depth	min	max	median	mean
0.6	-67.77	-51.1	-62.17	-61.47
4.5	-64.1	49.8	-31.32	-25.36
12.3	-39.25	218.8	35.12	47.68
27.2	65.22	364.66	211.25	213.61
36.7	117.06	457.34	343.04	327.69
41.4	184.07	506.84	400.87	386.76
44.5	303.06	518.59	439.51	432.13
52.4	489.96	662.47	565.39	570
55.8	518.09	841.88	637.88	651.29
64.9	748.24	1116.92	890.99	903.92
70.6	891.48	1233.89	1071.2	1071.74
75.2	1008.59	1259.98	1130.65	1143.7
85.3	1135.29	1401.65	1263.96	1264.23
87	1143.87	1416.02	1278.9	1278.8
93.5	1221.23	1474.12	1330.79	1335.94
96.8	1271.93	1491.59	1357.12	1365.57
103.7	1348.87	1634.48	1476.22	1480.59
115.4	1540.69	2018.19	1799.32	1792.55
122.3	1730.34	2231.12	1986.64	1984.16
129.9	2017.13	2296.02	2129.83	2152.76
141.5	2159.5	2509.55	2322.83	2324.35
153.2	2362.22	2655.99	2471.15	2478
165.3	2413.78	2823.82	2557.72	2567.42
169.2	2427.51	2873.79	2584.22	2594.81
175.1	2470.11	2936.94	2617.39	2636.09
187.1	2581.26	3063.28	2710.88	2740.6
190.8	2611.7	3108.38	2753.48	2784.48
194.5	2660.39	3158.58	2831.23	2854.78
200.3	2709.02	3320.75	2947.32	2965.03
210	2828.79	3474.66	3150.29	3150.95
221.9	3090.01	3626.53	3402.86	3393.2
234.7	3396.49	3748.67	3626.15	3611
244.5	3506.26	3842.36	3710.7	3702.56
251.2	3559.69	3891.83	3750.51	3745.05
265.5	3681.89	3989.83	3826.29	3827.83
276.4	3755.78	4057.71	3886.76	3895.08
290.3	3835.34	4229.44	3993.16	4004.44
293.9	3862.11	4255.15	4023.99	4034.25
303.6	3916.29	4360.6	4106.85	4114.47
312.2	3963.03	4453.34	4178.12	4185.88
322.2	4032.38	4562.31	4267.4	4274.22
332.6	4111.92	4674.33	4377.16	4379.85
340	4166.77	4751.13	4450.46	4453.16
356.2	4339.96	4916.59	4631.5	4630.77
361.2	4385.9	4982.15	4687.36	4688.38
367.9	4452.05	5032.1	4769.11	4761.5
370.1	4468.02	5058.7	4794.47	4785.53
376.1	4549.67	5098.9	4864.05	4851.62
381	4603.05	5149.23	4918.87	4906.74
383.4	4645.81	5163.31	4949.54	4935.92
388.2	4713.21	5208.51	5009.64	4994.27
396.8	4833.77	5284.99	5100.69	5088.73
405.1	4988.24	5405	5209.66	5199.48
410.4	5065.81	5500.94	5293.64	5289.43
412.7	5150.51	5596.07	5383.2	5383.55
416.3	5235.3	5835.42	5527.66	5530.86
430.8	5781.72	6333.5	6148.22	6120.71
435.7	5981.91	6374.38	6253.44	6226.93
443.3	6110.54	6532.56	6364.87	6355.36
448.1	6156.37	6598.12	6414.5	6406.58
453.4	6233.82	6653.94	6466.1	6461.94
458.8	6308.95	6700.75	6520.14	6517.65
466.6	6479.18	6794	6604.24	6611.83
471.9	6569.18	6958.79	6732.08	6739.79
474	6594.93	7144.71	6820.07	6834.65
478.7	6633.88	7626.62	7005.37	7046.96
491.5	6836.27	8114.83	7683.46	7628.01
495.3	6901.9	8162.34	7841.81	7787.38
499.2	6954	8250.8	8024.65	7950.95
504.5	7016.89	8319.51	8168.95	8081.45
