depth	min	max	median	wmean
15	-57.5	-54.6	-56.1	-56.1
16.4	-56.4	-54	-55.3	-55.2
17.8	-55.7	-53	-54.4	-54.4
19.2	-54.9	-51.7	-53.4	-53.3
20.7	-51.9	-49.5	-50.7	-50.7
22.2	-49.5	-46.8	-48.1	-48.1
23.7	-47.4	-43.6	-45.6	-45.5
25	-43.9	-40.7	-42.4	-42.4
26.4	-40.1	-37.3	-38.7	-38.7
27.8	-36.9	-33.1	-35	-35
29.3	-32.3	-27.6	-30	-30
30.6	-23.9	-20.2	-22.1	-22.1
32.1	-15.8	-10.8	-12.8	-12.9
33.5	-8.8	-1.5	-4.2	-4.3
34.6	-1	65.9	19.4	23.3
36.1	2	231.9	70.6	84.3
37.6	5.7	398.6	122.1	146.2
39.2	15.7	560.7	178.8	211.5
40.8	48.1	625.8	252	277.1
42.3	68.4	711	319.7	339.3
43.8	84.1	831.9	379.4	401.6
45.2	138.7	876.2	435.4	456.7
46.7	174.9	916.5	500.8	515.4
48.3	205.6	978.8	567.5	577.7
49.9	263.7	1038.9	634.5	641.9
51.4	331.4	1086.2	697.9	703.6
52.9	374.3	1142.7	763	765.5
54.3	416.2	1202.8	821.9	822
55.9	511.8	1227.1	888.8	887.2
57.5	572.5	1261.2	960.1	952.9
59	611.6	1325.5	1027.5	1014.6
60.4	733.4	1340	1085.8	1074.1
61.9	829.5	1362.7	1152.4	1139.2
63.3	881.4	1399.2	1220.1	1200.1
64.7	974.4	1433.8	1273.9	1255.5
66.2	1119.2	1460.2	1315.1	1309.3
67.5	1203.9	1491	1352.3	1355.8
68.9	1245.3	1546.7	1401.1	1405.9
70.3	1286.7	1595.1	1441.7	1446
71.6	1321	1670.6	1473.1	1481.5
72.8	1338.7	1748	1500.4	1513.5
74.1	1350	1838.4	1527.7	1548.2
75.3	1378	1872.7	1564.2	1585.1
76.7	1399.2	1934.7	1609.3	1628.8
78	1414.3	2021	1646.2	1669.2
79.3	1436.6	2103.3	1683.4	1709.6
80.8	1473.4	2140.7	1735.9	1756.4
82.1	1497.7	2183.1	1778.5	1797.1
83.6	1515	2244.6	1824.8	1843.9
85	1552.8	2292.1	1870.7	1888.6
86.4	1582.7	2331.3	1918.1	1933.9
87.7	1608.6	2377.6	1962.6	1976.1
89.1	1631.7	2435.8	2011.4	2021.4
90.4	1687.5	2461.5	2053.9	2062
91.7	1725.4	2493.4	2096.7	2102
93.2	1754.5	2540.2	2143.9	2148.1
94.6	1795.6	2584.9	2190.2	2192
96	1850.9	2614.1	2235.5	2236.7
97.4	1884.4	2654.8	2282.7	2281.7
98.6	1910.2	2701.4	2322.1	2320.4
99.3	1933.5	2723.8	2344.1	2341.8
100.9	1985.6	2746.2	2393	2388.8
102.4	2027.6	2775.7	2442.3	2434.1
103.9	2060.9	2829.3	2490.4	2479.3
105.3	2120.9	2848	2532.2	2523.2
106.8	2170.3	2874.2	2583.3	2571
108.3	2211.5	2912.9	2637.1	2618.7
109.7	2270	2944.4	2679.5	2662.5
111.1	2347.8	2963.4	2720.6	2706.6
112.5	2397.9	2987.6	2765.6	2750.6
114.1	2442.3	3025.7	2818	2800.6
115.6	2504	3041.8	2853.1	2842.3
117.1	2537.2	3065.4	2893.3	2885.1
118.6	2570.8	3101.3	2937.2	2927.7
120.1	2603.1	3130.1	2964	2954.8
121.8	2629.9	3158.9	2986.9	2979
123.1	2652.3	3193.7	3003.5	2997.8
124.5	2678.6	3226.4	3021.8	3017.6
125.9	2706	3246.7	3041.6	3037.2
127.4	2728.5	3270.2	3061.8	3058
129	2754.8	3307.3	3082.3	3080.1
130.4	2776	3326.6	3102.3	3099.7
131.8	2806.8	3345.4	3121.4	3119.5
133.2	2834.8	3372.4	3140.8	3139.2
134.5	2853.6	3396.2	3157.7	3157
136	2879.9	3417.6	3178.2	3178.2
137.4	2903.8	3439.9	3198	3197.2
138.8	2927.3	3468.7	3216.2	3216.4
140.2	2949.5	3484.6	3234.6	3234.9
141.3	2964.5	3498.8	3248.5	3249.6
141.9	2972.8	3509.1	3257	3257.9
143.2	2991.7	3528.9	3274.2	3275.7
144.4	3011.6	3550.1	3290.5	3292.4
145.6	3030.8	3563.4	3307.7	3309.1
146.8	3048.3	3577	3324.6	3325.7
148	3062.3	3594.5	3341.1	3341.9
149.2	3075.2	3613.2	3356.6	3357.9
150.3	3097.1	3626.3	3372.2	3373.6
151.3	3110.4	3640.6	3387.2	3388
152.5	3125.8	3659.6	3403.7	3405
153.5	3141.1	3677.5	3417.8	3419.6
154.6	3154.2	3692.8	3432.7	3434.8
155.7	3169.8	3703.8	3447.4	3449.7
156.8	3185	3717	3462.1	3464.6
157.9	3200	3735.2	3477.2	3479.7
159	3211.3	3755.8	3493	3494.5
160.3	3236.2	3768.9	3509.5	3512.2
161.4	3253.6	3781.6	3524.2	3527.4
162.5	3268.6	3796.2	3538.8	3542.4
163.6	3282.2	3816.2	3554.5	3557.5
164.8	3300.3	3831	3571	3573.7
166	3319.9	3841.4	3587.4	3589.5
167.2	3336.4	3857	3603.9	3605.5
168.5	3351.8	3873.9	3622.1	3622.9
169.7	3370.9	3886.7	3638.3	3639.4
170.9	3390.3	3899.9	3656	3656.6
171.9	3405.5	3913.2	3670.5	3670.8
173.1	3421.4	3926.9	3688.9	3687.8
174.2	3434.7	3941	3705.4	3703.5
175	3452.3	3949.9	3717	3714.6
176.5	3479.9	3963.9	3738.3	3735.3
177.8	3501.1	3978.9	3756.7	3753.2
179.2	3521.1	3999	3776.4	3772.8
180.6	3550.8	4012	3795.7	3792.7
182	3570.2	4028.1	3815.5	3812.2
183.1	3583.8	4044.5	3830.1	3827.5
184.4	3604.6	4063	3848.3	3845.8
185.6	3632.4	4074.5	3864.5	3862.8
186.9	3660.6	4085.1	3882.8	3881.3
188.2	3677.8	4099.3	3900.7	3899.9
189.5	3701.9	4115.9	3918	3918.1
190.8	3729.6	4126.5	3934	3936.7
192	3749.3	4137.3	3950.1	3953.8
193.8	3775.3	4163	3975.1	3979.5
195	3790.1	4186	3993.3	3997.2
196.3	3803.1	4216.1	4013.2	4016.7
197.6	3814.2	4252.1	4030.3	4036
198.9	3823	4292.7	4047.4	4055.5
200.2	3839.1	4316.4	4066.6	4075.1
201.5	3852.8	4341.2	4086.4	4094.8
202.7	3863.3	4371.4	4103.8	4113.1
203.9	3872	4407.5	4120.3	4131
205.3	3890.9	4432.2	4142.1	4152.6
206.6	3904.7	4458.8	4162.2	4172.4
208	3917	4493.1	4182.9	4193.4
209.4	3929.6	4526.4	4202.6	4214.4
210.7	3942.5	4552.1	4222	4234.4
212.1	3957	4582	4244.6	4255.9
213.5	3969.5	4620.8	4264.9	4276.8
214.8	3981	4646.4	4284.3	4296.2
216.2	3995.2	4675.2	4305.5	4317.4
217.6	4006.8	4701.5	4328.1	4338.3
218.7	4015.3	4730	4344.5	4354.9
219.5	4024.9	4747.4	4356.4	4366.9
220.8	4040	4769.8	4375.8	4386.1
222.3	4055.1	4796.1	4399.5	4408.3
223.9	4070.4	4836.5	4423.7	4432.2
225.1	4084	4858	4443.4	4450.6
226.4	4096.8	4881.7	4464.7	4470.8
227.6	4106.5	4908.1	4483	4489.3
228.9	4119.5	4941.4	4501.7	4509.3
230	4133.6	4963.1	4522.2	4526.8
231.2	4146.1	4994	4545	4546.1
232.5	4158.1	5024.8	4568.7	4566.7
233.7	4169.3	5056.1	4588	4585.2
235	4186.2	5091.2	4612.2	4605.9
236.4	4203.6	5121.4	4636.4	4628
237.5	4217.1	5151	4654.8	4645
238.8	4233.1	5187.1	4676	4665.3
240	4248.3	5210.6	4699.7	4685
241.3	4262.6	5236.2	4726.5	4706.4
242.6	4279.5	5267.2	4750.2	4728.1
243.8	4292.4	5296.2	4768.6	4747.5
245.1	4319.7	5319.7	4799.1	4778.6
246.3	4345.8	5343.5	4827.4	4809.1
247.5	4366.8	5365	4853.3	4839
248.8	4384.6	5396.2	4880.6	4870.9
250	4407.6	5426.5	4910.1	4901.3
251.4	4436.3	5460.5	4944	4937.4
252.6	4459	5497.5	4971.2	4968.2
253.8	4479.9	5533.5	4999	4999.1
255	4503.6	5561.5	5029.9	5028.8
256.2	4524.5	5589.4	5060.1	5058.9
257.4	4550.2	5624.7	5089.8	5089.3
258.7	4574.3	5664.1	5122.8	5121.7
260.2	4607.7	5695.7	5161.2	5159.2
261.6	4634.5	5731.1	5196.6	5193.7
262.9	4662.6	5772	5228.2	5225.8
264.2	4687.7	5816.6	5260.2	5257.7
265.5	4716.3	5839.6	5294.5	5290.2
266.8	4742.4	5870.3	5326.6	5322.5
268	4765.2	5907	5356.2	5352.2
269.2	4782.4	5950.9	5383.3	5381.3
270.6	4813.7	5979.8	5420.4	5415.5
271.9	4836.9	6008.7	5454.7	5447.1
273.1	4859.8	6038.3	5484.3	5476.3
274.4	4884.4	6074.6	5517.6	5508.3
275.5	4911.7	6092.7	5545.7	5536.2
276.7	4937.9	6122.8	5576.8	5566.5
278	4961.8	6156.6	5609.9	5598.9
279.3	4987.9	6195.8	5642.1	5631.6
280.3	5015.2	6214.5	5668.8	5656.7
281.7	5049.5	6244.1	5708	5691.6
282.9	5074.9	6278.4	5736.1	5720.7
284.1	5094	6313.3	5764.2	5749.9
285.4	5131.6	6339.4	5798.1	5783.9
286.7	5154.5	6373.3	5832.8	5817.3
287.9	5184.1	6406.1	5864.4	5848.3
289.2	5209.6	6447.8	5898.8	5882
290.6	5244.2	6471.8	5935.6	5918.3
291.9	5274.7	6498.7	5970.7	5952.3
293.2	5300.4	6531.6	6004.7	5985.1
294.6	5336.5	6570.9	6046.1	6025.2
295.8	5377.9	6592.2	6085.9	6064.4
297.2	5431.8	6631.3	6135.2	6110.6
298.6	5481.4	6678.3	6184.1	6156.7
299.6	5528.7	6709.3	6221.2	6193.2
301.1	5614.2	6741.3	6277.9	6253.3
302.4	5673.4	6779.7	6328.6	6304.9
303.8	5725.9	6828	6383.7	6360.1
305.3	5825.5	6863.2	6444.9	6422.9
306.8	5915.9	6901.4	6509.3	6487.1
308.2	5982.7	6954	6570.9	6547
309.6	6058.3	7000.5	6626.2	6603.9
311	6162.4	7024.7	6677	6658.4
312.4	6240.7	7063.5	6732.5	6712.7
313.9	6304	7116.9	6790.6	6771.1
315.2	6425.9	7137	6832.8	6821
316.7	6565.2	7160.6	6884.1	6879.7
317.9	6651.5	7184.8	6927.3	6927.2
319.3	6742.3	7225.4	6983.1	6988.8
320.7	6895.2	7262.1	7052	7072.9
322.1	6958.4	7407	7133.2	7155.9
323.6	6989.3	7630.5	7216.7	7244.9
325	7057.2	7756.1	7317.5	7343.4
326.4	7104.5	7863.4	7431.1	7449.2
327.7	7137.7	8029	7528.2	7546.3
329.1	7172	8232.8	7626.2	7649.9
330.6	7280.1	8292.9	7750	7763.9
331.9	7339.3	8356.4	7863.5	7862.9
333.3	7388	8449.5	7974.6	7969.4
334.7	7488.7	8532.6	8086	8075.6
336.1	7603.2	8561.4	8210.1	8184.1
337.4	7682.8	8595.9	8347.2	8284.6
338.8	7753.1	8666.1	8509.9	8392.8
