depth	min	max	median	mean
0	-59.24	-58.63	-58.87	-58.89
1	-59.18	-58.58	-58.83	-58.84
2	-59.13	-58.5	-58.8	-58.8
3	-59.08	-58.41	-58.77	-58.76
4	-59.04	-58.32	-58.73	-58.72
5	-59	-58.21	-58.7	-58.68
6	-58.96	-58.1	-58.68	-58.64
7	-58.93	-57.99	-58.65	-58.6
8	-58.9	-57.88	-58.62	-58.55
9	-58.88	-57.76	-58.59	-58.51
10	-58.85	-57.65	-58.56	-58.47
11	-58.84	-57.54	-58.53	-58.43
12	-58.82	-57.41	-58.49	-58.39
13	-58.8	-57.3	-58.46	-58.35
14	-58.79	-57.17	-58.43	-58.3
15	-58.78	-57.05	-58.4	-58.26
16	-58.77	-56.94	-58.37	-58.22
17	-58.76	-56.81	-58.33	-58.18
18	-58.75	-56.69	-58.3	-58.14
19	-58.74	-56.58	-58.27	-58.1
20	-58.73	-56.46	-58.24	-58.05
21	-55.23	-53.2	-54.66	-54.53
22	-51.84	-49.76	-51.1	-51.01
23	-48.52	-45.93	-47.58	-47.49
24	-45.2	-41.93	-44.07	-43.97
25	-41.95	-37.8	-40.59	-40.45
26	-38.72	-33.67	-37.11	-36.93
27	-35.49	-29.58	-33.63	-33.41
28	-32.3	-25.51	-30.14	-29.89
29	-29.1	-21.44	-26.65	-26.37
30	-25.94	-17.36	-23.17	-22.85
31	-22.74	-13.28	-19.67	-19.33
32	-19.58	-9.17	-16.18	-15.81
33	-16.4	-5.08	-12.69	-12.29
34	-13.21	-1	-9.19	-8.77
35	-10.05	3.12	-5.69	-5.25
36	-6.89	7.22	-2.19	-1.73
37	-3.67	11.32	1.31	1.79
38	-0.54	15.42	4.8	5.31
39	2.63	19.52	8.29	8.83
40	5.77	23.64	11.79	12.35
41	44.06	83.33	65.57	64.94
42	76.88	150.35	119.19	117.52
43	109.41	218.55	172.65	170.11
44	142.17	286.92	225.91	222.69
45	174.95	355.14	279.22	275.28
46	207.02	423.63	332.79	327.86
47	240.01	492.1	386.12	380.45
48	272.67	560.47	439.15	433.03
49	305.36	628.86	492.73	485.62
50	338.18	697.34	545.75	538.2
51	371	765.64	599.09	590.79
52	403.36	833.96	652.29	643.37
53	436.03	902.42	705.7	695.96
54	468.44	970.89	759.05	748.54
55	501.09	1039.2	812.48	801.13
56	533.81	1107.51	865.9	853.71
57	566.46	1175.82	919.35	906.3
58	598.93	1244.12	972.73	958.89
59	631.39	1312.43	1026.07	1011.47
60	663.86	1380.74	1079.17	1064.06
61	754.91	1388.82	1116.82	1105.37
62	844.18	1395.6	1155.23	1146.69
63	933.4	1408.6	1193.87	1188
64	1020.01	1426.75	1230.57	1229.32
