"Site","depth","SH20_mean_age","SH20_mean_95CI","K","K_ICP","Ca","Ca_ICP","Ti","Ti_ICP","Mn","Mn_ICP","Fe","Fe_ICP","Zn","Zn_ICP","Rb","Rb_ICP","Sr","Sr_ICP","Zr","Zr_ICP","Mo_inc","Mo_coh","inc_coh","coh_inc","Dry_mass","Ti_predicted"
"BI10",0.6,-61,7,8.63636363636364,1782.206118,42,1557.061769,15.2727272727273,134.9563972,16.3636363636364,34.34524027,5450.54545454545,13959.03161,8,22.90793616,26.1818181818182,2.288761162,28.7272727272727,26.58846642,792.363636363636,2.896325963,38213.7272727273,5590.27272727273,6.83609068610093,0.146376584805626,12.51,626.043957626715
"BI10",4.5,-20,52,10.4166666666667,1331.46149,43.0833333333333,1397.543318,12.8333333333333,79.78694045,35.6666666666667,28.06949723,5083.58333333333,9355.988249,0.545454545454546,12.50967591,56.5,1.525038372,2.08333333333333,25.05462045,898.5,2.113253146,45226.25,6602.41666666667,6.85367335296956,0.145989151530002,10.49,543.895034719784
"BI10",12.3,60,111,9.83333333333333,1545.22611,56.5,2547.021617,12.5,340.544392,12.9166666666667,37.1899001,1170,3942.206507,4.33333333333333,13.94648753,28.5833333333333,4.398970104,10.25,46.4043754,921.5,6.431024383,42093.8333333333,6060.5,6.94940689120671,0.143955505051114,13.62,537.950423536012
"BI10",27.2,214,145,11.3333333333333,4972.490853,125.083333333333,6361.863436,31.9166666666667,1070.668936,28.5,59.55046887,1496.25,4568.280308,90.9166666666667,83.1136075,74.3333333333333,19.01381163,248.083333333333,121.9608593,840.25,35.64216716,40802.6666666667,6037.25,6.75858272014732,0.148022999208843,19.66,1113.76028213131
"BI10",36.7,340,143,26.3,16457.36219,217.7,8442.247188,75.3,1962.99309,44.1,148.1529747,7994.7,18556.10587,74.1,90.06087679,47,43.16823811,349.4,150.558177,793.2,40.9140318,38550.7,6177,6.2410442382564,0.160262791645752,21.79,1423.3596468049
"BI10",41.4,404,138,11.0909090909091,10808.43657,171.727272727273,8467.75867,33.0909090909091,1538.231355,36.4545454545455,149.1109339,10621.2727272727,34440.81517,17.4545454545455,83.32372544,5.63636363636364,21.08188416,148.181818181818,145.2111951,831.454545454545,27.74345656,40697.0909090909,6303.27272727273,6.45711632008172,0.154934023509529,19.47,780.194639489429
"BI10",46.4,467,85,10.7272727272727,2479.827204,228.909090909091,6975.196896,50.1818181818182,301.0170716,39.3636363636364,55.70453095,8172.09090909091,26327.35852,197.363636363636,154.2471074,63.5454545454545,5.28425398,302.909090909091,110.8952002,884.090909090909,6.355756988,42397,6672.27272727273,6.35744417844683,0.15741285768978,15.14,1154.59023384567
"BI10",49.8,509,91,12.5454545454545,23399.21394,216,7326.374157,30.3636363636364,1904.013462,32,235.7531016,4413.27272727273,20544.92897,14.6363636363636,56.72463202,48.0909090909091,58.41930414,221,153.965778,970.545454545454,31.40903404,43566.6363636364,6609.09090909091,6.59292733472106,0.151714599760615,22.37,868.339974399412
"BI10",58.9,731,242,5,867.9986358,181.727272727273,5816.665099,17.0909090909091,225.6496719,39.8181818181818,36.54824658,1072.81818181818,2355.109726,143.545454545455,109.0593506,15.6363636363636,3.560602291,213.909090909091,97.81476508,884.818181818182,6.255310392,44227.8181818182,6491.09090909091,6.81663246711587,0.14675353397277,12.21,845.200793819781
"BI10",64.6,891,203,17.8333333333333,7766.606331,251.666666666667,9084.977882,54.5,1442.000824,49.1666666666667,88.46094721,2572.33333333333,6242.966621,464.916666666667,261.6355831,122.333333333333,30.36236272,570.166666666667,168.0404108,903.166666666667,30.42377281,40818.8333333333,6431.91666666667,6.34778948107308,0.157657003875155,22.98,1811.74269482556
"BI10",69.2,1024,184,18.1666666666667,1973.319538,302.75,6626.492173,41,461.9149499,41.4166666666667,46.49996193,2420,3694.801697,143.416666666667,140.4650062,62.5833333333333,7.795499709,498,114.9998151,953.833333333333,21.97235957,44307.25,6735.5,6.58059786821978,0.15205097191981,23.16,1464.13468637711
"BI10",80.5,1228,153,24.8,14359.67839,264.6,9905.624178,59,2197.326275,39.6,125.5077224,2747.5,6284.597012,74,67.51751759,129.2,50.21714125,467,209.897137,855.6,39.24997232,41785.9,6389,6.54256128674265,0.152911137520702,16.25,1549.71892199548
"BI10",85.3,1270,137,3.63636363636364,3095.570446,223.545454545455,7180.738417,23.4545454545455,574.7925663,21.4545454545455,57.22472424,1101.81818181818,3753.765384,36.4545454545455,65.03458094,48.4545454545455,13.30255749,379.727272727273,130.9618352,907.818181818182,13.33706426,40259.8181818182,6034.90909090909,6.67536463339285,0.149911105203995,16.62,1220.60890564264
"BI10",93.5,1342,127,26.6363636363636,3134.001598,242,6732.62029,100.818181818182,606.0238476,52.3636363636364,60.2997145,3160.36363636364,11390.75321,5.09090909090909,71.97280393,107.181818181818,10.28410137,657.636363636364,119.867266,834.545454545455,13.96054981,38250.6363636364,5976.09090909091,6.40163363640903,0.156443694503104,15.49,2291.33967627291
"BI10",96.8,1371,114,39.8181818181818,3044.618396,210.363636363636,6605.365982,79.9090909090909,562.7226914,54.6363636363636,54.01867077,3007.09090909091,7073.372392,11.3636363636364,41.79884834,179,9.694363956,687.090909090909,112.4064678,857.909090909091,13.08141258,36182.8181818182,5897.90909090909,6.12992269530532,0.163261797266716,27.34,2316.30259660794
"BI10",103.7,1487,145,19.6363636363636,1424.582603,254.272727272727,7089.603048,62.9090909090909,441.0920959,50.5454545454545,47.40786167,1610.09090909091,1987.252608,24.7272727272727,45.72842227,59.5454545454545,6.266500548,547.272727272727,127.1397723,914.363636363636,11.39582517,43429,6444.27272727273,6.74164520608689,0.148378059520846,16.83,1792.49644815123
"BI10",115.4,1768,310,8.54545454545454,1716.680373,203.545454545455,5586.311354,30.6363636363636,354.6954517,33.0909090909091,38.81328375,7030.18181818182,15892.74003,1.54545454545455,35.80217711,32,6.037782671,219.727272727273,94.40874214,866.545454545455,8.138802933,42366.3636363636,6354.72727272727,6.66920390477958,0.149992786549638,13.84,889.648177039032
"BI10",121.2,1912,318,9.18181818181818,1641.390095,230.545454545455,5647.265231,29.2727272727273,401.5251511,30.6363636363636,37.52718028,2490.72727272727,3019.385269,37.2727272727273,126.1466188,49.9090909090909,6.954876946,208,100.7977844,922.545454545454,10.71344504,44357.3636363636,6559.54545454545,6.76478887480985,0.147893012377588,12.71,802.754220208605
"BI10",122.3,1943,288,7.7,683.2265993,187.9,5350.125775,16.6,192.9637106,26.1,32.12024806,1472,4238.013215,41.3,87.02811474,48.3,2.592646444,143.2,91.74775016,945.1,5.71655892,44116.7,6464.9,6.82752687574649,0.146557429300952,12.21,652.078706480107
"BI10",132.5,2196,139,10,5412.77206,207.272727272727,5488.24581,37,523.0275133,33.5454545454545,51.81193098,15022,36760.73258,5.09090909090909,36.99629166,44.8181818181818,9.787053209,168.909090909091,91.25190224,760.636363636364,9.674570314,38468.0909090909,6064.36363636364,6.34628605749975,0.157698025287806,14.81,786.981308045132
"BI10",144.2,2368,161,15,5594.694254,295.181818181818,6436.237221,43.3636363636364,1149.476822,36.7272727272727,82.80022216,2365.54545454545,6074.810846,174,145.146567,35.2727272727273,20.81297886,334.363636363636,121.0153008,924.090909090909,58.14267286,43491.3636363636,6470.09090909091,6.72411553138222,0.148775539994117,16.33,1075.91232629637
"BI10",156.6,2501,159,10.1666666666667,2804.420041,260.25,5642.915643,53.5833333333333,253.7523195,38.5833333333333,42.83579617,4047.08333333333,49049.46764,186.333333333333,148.0981288,49.9166666666667,4.260143181,303.666666666667,85.39705279,872.416666666667,5.057282645,42205,6261.41666666667,6.74203834033382,0.14835908101826,15.65,1115.96367162529
"BI10",160.5,2532,181,15.8333333333333,21023.43508,234.083333333333,6500.001765,46.75,1574.554031,31.25,219.4284939,4480.25,51904.82693,118.333333333333,148.2023206,49.75,43.16608535,238.666666666667,121.2110164,841.916666666667,16.90685979,42478.1666666667,6370.91666666667,6.67144465900423,0.150016337510389,14.27,964.45957636297
"BI10",167.6,2579,203,8.81818181818182,1243.638909,213.181818181818,6176.904031,44.7272727272727,227.5458294,42,41.17278862,5498.18181818182,34127.39087,60.3636363636364,72.11422012,47.9090909090909,2.564526013,268.181818181818,95.32051892,872.363636363636,5.156965844,40605.8181818182,6218.54545454545,6.53140688126845,0.153206188719885,14.38,1067.54116189689
"BI10",179.6,2658,253,18.8181818181818,11337.75217,221.090909090909,6093.055388,44.2727272727273,915.5577505,44.2727272727273,122.3868181,10223.7272727273,29114.97389,130.090909090909,93.7163573,84,24.03856275,456.272727272727,119.1548845,814,15.8979202,37830.0909090909,6131.18181818182,6.16988196898905,0.162323613243649,20.19,1526.97389301973
