Site,depth,SH20_age,Ti,Ca,Sr,Ti_convert_WLS,Ti_ppm_WLS,Ti_lower_RMSE_WLS,Ti_upper_RMSE_WLS,Ti_convert_PLS_scaled,Ti_ppm_PLS_scaled,Ti_lower_RMSE_PLS_scaled,Ti_upper_RMSE_PLS_scaled,Ti_ppm_PLS
HER42PB,1.1,-51.51,-5.909350251,-4.430780614,-4.117590782,6.981641829,1076.684649,694.3956017,1669.437178,4.56309965,95.88021482,51.57449927,178.2473068,249.133288
HER42PB,1.2,-50.47,-5.473339621,-4.157662827,-3.651727188,7.278129058,1448.275848,934.0491479,2245.602319,4.276647317,71.9986463,38.72847112,133.8499796,535.0854461
HER42PB,1.3,-49.42,-5.379784028,-4.273008429,-3.800298438,7.341746861,1543.405876,995.4021844,2393.104751,4.23756037,69.23872875,37.24389617,128.7191205,566.6472885
HER42PB,1.4,-48.38,-5.792251123,-4.145425678,-3.718779748,7.061269236,1165.92406,751.9495518,1807.806004,4.450408965,85.6619696,46.0780485,159.2509508,286.3651538
HER42PB,1.5,-47.34,-5.573978952,-4.341018611,-3.447850296,7.209694313,1352.478769,872.2659035,2097.065599,4.517642865,91.61938396,49.28257472,170.3261561,530.617949
HER42PB,1.6,-46.29,-5.608298946,-4.308107284,-3.352805461,7.186356717,1321.280626,852.1450141,2048.691789,4.552027598,94.82447942,51.00661334,176.2846288,446.0798311
HER42PB,1.7,-45.25,-5.679817028,-4.445072565,-3.526360525,7.137724421,1258.561173,811.694811,1951.443084,4.620431978,101.5378848,54.61779134,188.7652686,559.113064
HER42PB,1.8,-44.2,-5.326018362,-4.203191815,-3.436278484,7.378307514,1600.87801,1032.468188,2482.217304,4.286978137,72.74630664,39.13064176,135.2399268,371.5400611
HER42PB,1.9,-43.16,-5.897840445,-3.992204195,-3.560345537,6.989468497,1085.144566,699.8517294,1682.554574,4.483434947,88.53827522,47.62522924,164.5981826,749.6239494
HER42PB,2,-42.11,-4.52025545,-4.649004433,-4.086122447,7.926226294,2768.957831,1785.808073,4293.36589,3.885704354,48.70123329,26.19666346,90.53863394,439.981434
HER42PB,2.1,-41.07,-5.760692541,-4.561275553,-3.847788689,7.082729072,1191.214998,768.2606566,1847.020487,4.633174203,102.8399816,55.31819639,191.1859478,320.9248027
HER42PB,2.3,-38.98,-5.977838804,-4.420396186,-3.747107814,6.935069613,1027.69079,662.797566,1593.470488,4.72909667,113.1932653,60.88728511,210.4333487,383.0267734
HER42PB,2.4,-37.94,-5.681471943,-4.343967746,-3.653323696,7.136599079,1257.145657,810.7818903,1949.248278,4.518355909,91.6847359,49.31772789,170.4476495,483.8910401
HER42PB,2.5,-36.89,-4.627950797,-4.3354261,-3.739886423,7.852993458,2573.426242,1659.702184,3990.187328,3.872089014,48.04264309,25.84240414,89.31427363,696.9618015
HER42PB,2.6,-35.85,-5.314499824,-4.264036879,-3.715371281,7.38614012,1613.466291,1040.586858,2501.735874,4.221657611,68.14635089,36.65630006,126.6883219,431.1921513
