"Element","Model","R2","RMSE","RMSEP","RMSEP_ppm_cv","RMSEP_ppm_boot","RMSEP_ppm_boot_sd","Mean_ppm","Mean_CI_width","SNR_model","SNR_CI","SNR_smooth","R2_s","SNR_CI_s","SNR_smooth_s","Robustness_score","Robust_Rank","Global_Rank","Robustness_Class","Stability_class","Confidence_class","Bootstrap_Unstable","R2_q05","R2_q95","Robustness_low","Robustness_high","Is_Production_Model"
"Ca","Bayes",0.636884102731344,0.428801053115093,0.437812064252784,5676.8614276907,5957.29135111303,820.730553649254,11114.521610419,20960.8035640108,2.00403246709114,0.349419977834777,4.32346304827183,0.468688964526326,0.740687069612545,0.694264451475596,0.645160852645594,1,1,"Preferred 1","Acceptable","Moderate confidence",FALSE,0.519498277021334,0.67577374573409,0.587637588476937,0.608287941969383,TRUE
"Ca","RF",0.677807498034738,0.403915878804705,0.405320083182145,5049.08307476495,5228.16746390404,454.783231485676,10904.4834900031,19126.5217496505,2.21513684354958,0.391287004664909,2.72434092078844,1,0.849488209709809,0,0.639795283883923,2,2,"Acceptable 2","Acceptable","Moderate confidence",FALSE,0.554541297845059,0.713838388641577,0.639795283883923,0.639795283883923,FALSE
"Ca","PLS_LOO",0.605172814508826,0.447133012734933,0.450351241681476,6053.6242581495,6205.7328409192,773.225243213102,10800.199565855,21448.147284187,1.82383154937305,0.374520162924147,5.02767378492198,0.0569792992651656,0.805915698467802,1,0.63946006916667,3,3,"Acceptable 3","Acceptable","Moderate confidence",FALSE,0.506076092932575,0.66342100925033,0.622366279387121,0.662407751313146,FALSE
"Ca","PLS_kfold",0.605172814508826,0.447133012734933,0.450351241681476,6053.6242581495,6205.7328409192,773.225243213102,10800.199565855,21448.147284187,1.82383154937305,0.374520162924147,5.02767378492198,0.0569792992651656,0.805915698467802,1,0.63946006916667,4,4,"Acceptable 4","Acceptable","Moderate confidence",FALSE,0.506076092932575,0.66342100925033,0.622366279387121,0.662407751313146,FALSE
"Ca","OLS_weighted",0.60078407376705,0.449611220751241,NA,NA,5697.48877526591,562.540331846359,10492.425843022,18035.9437498918,1.86668611119008,0.449204423146897,4.19853658933548,0,1,0.640027193421563,0.592008158026469,5,5,"Unstable","Acceptable","Low confidence",FALSE,0.515172267630545,0.655655208695775,0.648313551025807,0.592008158026469,FALSE
"Ca","OLS",0.605349695781694,0.447032844459699,0.450923989941031,5658.0460435519,5697.48877526591,562.540331846359,10921.4227828969,22038.6753023897,1.98404205125242,0.367288108355072,4.20176309327957,0.0592757600438129,0.787121534135248,0.641427991367153,0.525059739077389,6,6,"Unstable","Acceptable","Low confidence",FALSE,0.515172267630545,0.655655208695775,0.563582404063583,0.507277011064245,FALSE
"Ca","WLS_weighted",0.604732452698864,0.447382293228408,NA,NA,5697.48877526591,562.540331846359,10873.2672025233,114937.491193476,1.99618136599456,0.066580398464715,4.20378299807899,0.0512620539706419,0.00566308940610476,0.642304940083892,0.210335333978802,7,7,"Unstable","Unstable","Low confidence",FALSE,0.515172267630545,0.655655208695775,0.251262110786948,0.194956717787609,FALSE
"Ca","WLS",0.604685117514639,0.447409080513934,NA,NA,5697.48877526591,562.540331846359,10872.2684867972,118586.161886132,1.99636002495685,0.064401223541595,4.20381505816965,0.0506474982731397,0,0.642318859084118,0.207889907207177,8,8,"Unstable","Unstable","Low confidence",FALSE,0.515172267630545,0.655655208695775,0.249001050724574,0.192695657725235,FALSE
"Sr","Bayes",0.635271572146413,0.373704733132646,0.385058169520708,59.0390794365842,59.3962906925544,6.53605371859473,147.071853655315,235.23700439692,2.60007841664373,0.293986430286965,3.31289626071891,0.468670455805327,0.776875040417313,0.857832700312394,0.708700963002241,1,1,"Preferred 1","Acceptable","Moderate confidence",FALSE,0.51279182047885,0.678916873682426,0.618521480840004,0.644385229600366,TRUE
"Sr","RF",0.688361791876862,0.345437228325002,0.346757684558846,45.0004058967542,47.7285203815051,4.23336051005225,141.126846061806,206.040524950569,3.18192556944351,0.378407394822897,2.6690181300023,1,1,0,0.7,2,2,"Acceptable 2","Acceptable","Moderate confidence",FALSE,0.562534277892778,0.723478716044024,0.7,0.7,FALSE
