"Element","Model","R2","RMSE","RMSEP","RMSE_ppm","RMSEP_ppm_cv","RMSEP_ppm_boot","RMSEP_ppm_boot_sd","AIC","BIC","mean_obs_ppm","RMSE_log_pc","RMSE_ppm_pc","Rank","Recommended_CI","Mean_ppm","Mean_CI_width","SNR_model","SNR_CI","SNR_smooth","SNR_CI_s","SNR_smooth_s","R2_s","Robustness_score","Robust_Rank","R2_q05","R2_q95","Bootstrap_Unstable","R2_q05_s","R2_q95_s","Robustness_low","Robustness_high","Roughness","Global_Rank","Production_Model","Is_Production_Model","Robustness_Class","Confidence_Flag","Stability_class","Confidence_class"
"Ca","Bayes",0.71849446314204,0.377551919451181,0.391342413156401,4920.26934220119,5139.59940097741,5274.72624707994,627.262333363349,254.461762755566,283.189658599653,13400.3536152465,4.08476256724317,200.981320297776,2,"Bootstrap predictive CI",11346.9447772753,18368.730735261,2.30616333946446,0.416180627939233,4.17432514192196,0.890932690589969,0.953499813904513,0.869313882576547,0.903217185180305,1,0.613083144710092,0.742700175210974,FALSE,0.953480132911605,0.890782190258965,0.928467060280823,0.909657677485031,NA,1,"Bayes",TRUE,"Preferred 1","High confidence","Stable","High confidence"
"Ca","PLS_LOO",0.714591218855023,0.380160401230266,0.391014570914877,5060.00126868248,5182.9958349032,5386.18247930186,671.781235198483,NA,NA,13400.3536152465,4.11297132102708,208.116401024517,3,"Bootstrap predictive CI",11255.5432374305,18369.0735446626,2.22441510184863,0.401641950155111,4.10324734399092,0.854111366902733,0.84142317037354,0.840487672215607,0.846217799537837,2,0.601465171694946,0.743667346736352,FALSE,0.840341462469051,0.900679823680213,0.84617393661387,0.864275444977219,NA,2,"Bayes",FALSE,"Acceptable 2","High confidence","Stable","High confidence"
"Ca","PLS_kfold",0.714591218855023,0.380160401230266,0.391014570914877,5060.00126868248,5182.9958349032,5386.18247930186,671.781235198483,NA,NA,13400.3536152465,4.11297132102708,208.116401024517,4,"Bootstrap predictive CI",11255.5432374305,18369.0735446626,2.22441510184863,0.401641950155111,4.10324734399092,0.854111366902733,0.84142317037354,0.840487672215607,0.846217799537837,3,0.601465171694946,0.743667346736352,FALSE,0.840341462469051,0.900679823680213,0.84617393661387,0.864275444977219,NA,3,"Bayes",FALSE,"Acceptable 3","High confidence","Stable","High confidence"
"Ca","RF",0.736190158651039,0.365492700892084,0.371218256028587,4459.98875484185,4627.87384517854,4819.36681179678,448.170273276823,NA,NA,13400.3536152465,3.95269801698006,176.289887070168,1,"Bootstrap predictive CI",11055.1865615906,17229.020072962,2.47874763127797,0.459245197854281,3.56962584896658,1,0,1,0.7,4,0.61786017239114,0.753372661364978,FALSE,1,1,0.7,0.7,NA,4,"Bayes",FALSE,"Acceptable 4","Moderate confidence","Acceptable","Moderate confidence"
"Ca","OLS_weighted",0.60078407376705,0.449611220751241,NA,5620.88386479327,NA,5697.48877526591,562.540331846359,359.871349044666,370.644309986199,13400.3536152465,4.88868566908853,274.787343974258,8,"Log-normal % CI",10492.425843022,18035.9437498918,1.86668611119008,0.449204423146897,4.19853658933548,0.97457027240985,0.991676823324065,0,0.68733115596116,5,0.515172267630545,0.655655208695775,FALSE,0,0,0.68733115596116,0.68733115596116,NA,5,"Bayes",FALSE,"Unstable","Moderate confidence","Acceptable","Moderate confidence"
"Ca","OLS",0.605349695781694,0.447032844459699,0.450923989941031,5504.63271481712,5658.0460435519,5697.48877526591,562.540331846359,335.005013489929,345.777974431461,13400.3536152465,4.83646708828632,266.229749583172,5,"Log-normal % CI",10921.4227828969,22038.6753023897,1.98404205125242,0.367288108355072,4.20176309327957,0.767105247941848,0.996764427933645,0.0337179973747555,0.615986826769259,6,0.515172267630545,0.655655208695775,FALSE,0,0,0.605871427556832,0.605871427556832,NA,6,"Bayes",FALSE,"Unstable","Moderate confidence","Acceptable","Moderate confidence"
"Ca","WLS_weighted",0.604732452698864,0.447382293228408,NA,5447.03371534874,NA,5697.48877526591,562.540331846359,321.186258039926,331.959218981458,13400.3536152465,4.83890510810685,263.576792692313,6,"Log-normal % CI",10873.2672025233,114937.491193476,1.99618136599456,0.066580398464715,4.20378299807899,0.00551907858518885,0.999949447120527,0.0291595384003362,0.310940327090334,7,0.515172267630545,0.655655208695775,FALSE,0,0,0.302192465570234,0.302192465570234,NA,7,"Bayes",FALSE,"Unstable","Low confidence","Marginal","Low confidence"
"Ca","WLS",0.604685117514639,0.447409080513934,NA,5446.04597912254,NA,5697.48877526591,562.540331846359,321.219522661163,331.992483602695,13400.3536152465,4.83911154535997,263.540239741332,7,"Log-normal % CI",10872.2684867972,118586.161886132,1.99636002495685,0.064401223541595,4.20381505816965,0,1,0.0288099589537006,0.30864298768611,8,0.515172267630545,0.655655208695775,FALSE,0,0,0.3,0.3,NA,8,"Bayes",FALSE,"Unstable","Low confidence","Marginal","Low confidence"
"Fe","OLS_weighted",0.705011398870254,0.619652240442579,NA,19165.0781241486,NA,19032.0453789033,3839.29278988615,522.979148483121,533.752109424654,21584.5758201723,6.6620416902927,1276.78549460795,8,"Log-normal % CI",15756.8906271743,26305.9766538876,0.822166782994747,0.674583226386664,5.420670473258,1,0.952882331259152,0,0.685864699377746,1,0.648924983895774,0.748028324500089,FALSE,0,0,0.685864699377746,0.685864699377746,NA,1,"OLS_weighted",TRUE,"Preferred 1","Moderate confidence","Acceptable","Moderate confidence"
"Fe","Bayes",0.782666025570093,0.531874559979908,0.553367126639677,13054.643263387,13833.6149421765,14099.8040912884,3299.11099629504,438.148736470006,466.876632314093,21584.5758201723,5.66838416419403,739.987331433851,2,"Bootstrap predictive CI",20039.3503092571,49770.6178813076,1.53503622465574,0.423535164530212,2.93519389409532,0.572207111049672,0.351499883755962,0.777955381988014,0.567719424143061,2,0.693457578544477,0.804644634897564,FALSE,0.724700479224855,0.884701418133419,0.551742953314114,0.599743234986683,NA,2,"OLS_weighted",FALSE,"Acceptable 2","Low confidence","Acceptable","Low confidence"
"Fe","PLS_LOO",0.769588412151896,0.547643031052147,0.558876405734737,12699.4253247054,13221.1935545148,13237.3701936463,3039.5371344986,NA,NA,21584.5758201723,5.83641430093516,741.191075787688,3,"Bootstrap predictive CI",19736.9429343488,50988.4215852367,1.55416032062117,0.451820464479349,2.87835907298712,0.620406049892652,0.337748209687493,0.64694194242091,0.543569465589582,3,0.699120601523333,0.799925726049831,FALSE,0.816857594681814,0.810962502257023,0.594544161267853,0.592775633540416,NA,3,"OLS_weighted",FALSE,"Acceptable 3","Low confidence","Acceptable","Low confidence"
"Fe","PLS_kfold",0.769588412151896,0.547643031052147,0.558876405734737,12699.4253247054,13221.1935545148,13237.3701936463,3039.5371344986,NA,NA,21584.5758201723,5.83641430093516,741.191075787688,4,"Bootstrap predictive CI",19736.9429343488,50988.4215852367,1.55416032062117,0.451820464479349,2.87835907298712,0.620406049892652,0.337748209687493,0.64694194242091,0.543569465589582,4,0.699120601523333,0.799925726049831,FALSE,0.816857594681814,0.810962502257023,0.594544161267853,0.592775633540416,NA,4,"OLS_weighted",FALSE,"Acceptable 4","Low confidence","Acceptable","Low confidence"
"Fe","RF",0.804830268303868,0.504024490900157,0.516653413340178,18096.0902367463,18402.8283616123,18739.015104616,5977.56672536049,NA,NA,21584.5758201723,5.37531438799356,972.721742160119,1,"Bootstrap predictive CI",19334.069276334,44723.4588347852,1.06841140950291,0.383480442399461,1.48246654516615,0.50395274903745,0,1,0.50158109961498,5,0.710374639202109,0.812023147201884,FALSE,1,1,0.50158109961498,0.50158109961498,NA,5,"OLS_weighted",FALSE,"Unstable","Low confidence","Acceptable","Low confidence"
