"Site","Element","Model","Robustness_score_site","SNR_CI_s","SNR_smooth_s","n_mean","R2_overall","RMSE_overall","RMSEP","RMSEP_ppm_cv","RMSEP_overall_boot","RMSEP_ppm_boot_sd","Global_Rank","Robustness_score","Robustness_Class","Confidence_Flag","Bootstrap_Unstable","Rank_site"
"KER1","Ca","Bayes",0.584218564529591,0.708200014777695,0.398246389157435,2249,0.71849446314204,0.377551919451181,0.391342413156401,5139.59940097741,5274.72624707994,627.262333363349,1,0.903217185180305,"Preferred 1","High confidence",FALSE,4
"KER1","Ca","PLS_LOO",0.825159590805915,0.708599318009858,1,2249,0.714591218855023,0.380160401230266,0.391014570914877,5182.9958349032,5386.18247930186,671.781235198483,2,0.846217799537837,"Acceptable 2","High confidence",FALSE,1
"KER1","Ca","PLS_kfold",0.825159590805915,0.708599318009858,1,2249,0.714591218855023,0.380160401230266,0.391014570914877,5182.9958349032,5386.18247930186,671.781235198483,3,0.846217799537837,"Acceptable 3","High confidence",FALSE,2
"KER1","Ca","RF",0.772871415683786,1,0.432178539209466,2249,0.736190158651039,0.365492700892084,0.371218256028587,4627.87384517854,4819.36681179678,448.170273276823,4,0.7,"Acceptable 4","Moderate confidence",FALSE,3
"KER1","Ca","OLS_weighted",0.406969023582094,0.678281705970157,0,2523,0.60078407376705,0.449611220751241,NA,NA,5697.48877526591,562.540331846359,5,0.68733115596116,"Unstable","Moderate confidence",FALSE,5
"KER1","Ca","OLS",0.346203407338643,0.536762523655739,0.0603647328630001,2523,0.605349695781694,0.447032844459699,0.450923989941031,5658.0460435519,5697.48877526591,562.540331846359,6,0.615986826769259,"Unstable","Moderate confidence",FALSE,6
"KER1","Ca","WLS_weighted",0.0556219918603526,0.00385990285532434,0.133265125367895,2523,0.604732452698864,0.447382293228408,NA,NA,5697.48877526591,562.540331846359,7,0.310940327090334,"Unstable","Low confidence",FALSE,7
"KER1","Ca","WLS",0.0543671811204134,0,0.135917952801033,2523,0.604685117514639,0.447409080513934,NA,NA,5697.48877526591,562.540331846359,8,0.30864298768611,"Unstable","Low confidence",FALSE,8
"KER1","Fe","OLS_weighted",0.974854098282548,1,0.937135245706369,2523,0.705011398870254,0.619652240442579,NA,NA,19032.0453789033,3839.29278988615,1,0.685864699377746,"Preferred 1","Moderate confidence",FALSE,1
"KER1","Fe","Bayes",0.571713112087692,0.555135787732706,0.59657909862017,2249,0.782666025570093,0.531874559979908,0.553367126639677,13833.6149421765,14099.8040912884,3299.11099629504,2,0.567719424143061,"Acceptable 2","Low confidence",FALSE,3
"KER1","Fe","PLS_LOO",0.54583153077788,0.50841272849295,0.601959734205276,2249,0.769588412151896,0.547643031052147,0.558876405734737,13221.1935545148,13237.3701936463,3039.5371344986,3,0.543569465589582,"Acceptable 3","Low confidence",FALSE,4
"KER1","Fe","PLS_kfold",0.54583153077788,0.50841272849295,0.601959734205276,2249,0.769588412151896,0.547643031052147,0.558876405734737,13221.1935545148,13237.3701936463,3039.5371344986,4,0.543569465589582,"Acceptable 4","Low confidence",FALSE,5
"KER1","Fe","RF",0.344635613507689,0.574392689179481,0,2249,0.804830268303868,0.504024490900157,0.516653413340178,18402.8283616123,18739.015104616,5977.56672536049,5,0.50158109961498,"Unstable","Low confidence",FALSE,8
"KER1","Fe","OLS",0.653486325177087,0.43681426246481,0.978494419245501,2523,0.711860213839782,0.612416695598065,0.619207902382141,19195.0538472246,19032.0453789033,3839.29278988615,6,0.490902148604321,"Unstable","Low confidence",FALSE,2
"KER1","Fe","WLS_weighted",0.404299322735023,0.00716553789170452,1,2523,0.711404682307114,0.612900601250386,NA,NA,19032.0453789033,3839.29278988615,7,0.322090550737224,"Unstable","Low confidence",FALSE,6
"KER1","Fe","WLS",0.399793843488388,0,0.99948460872097,2523,0.711426381771426,0.612877558837851,NA,NA,19032.0453789033,3839.29278988615,8,0.319168272686531,"Unstable","Low confidence",FALSE,7
"KER1","Mn","PLS_LOO",0.741703580445502,0.862785089993714,0.560081316123184,2249,0.652472643614871,0.567888873609633,0.583845224423336,110.834481748237,115.218080815767,17.1968720536606,1,0.788011170470769,"Preferred 1","High confidence",FALSE,2
