"Element","Site","Model","n","Mean_ppm","SD_pred","Mean_CI_w","SNR_CI","SNR_smooth","Robustness_low","Robustness_high","Bootstrap_Unstable","Global_Rank","Robustness_score","SNR_CI_s","SNR_smooth_s","Robustness_score_site","Robustness_Rank","Stability_class"
"Ca","ALL","Bayes",13396,11346.9447772753,7644.70989184762,18368.730735261,0.416180627939233,0.668437890771438,0.928467060280823,0.909657677485031,FALSE,1,0.903217185180305,0.890932690589969,0,0.534559614353982,6,"Acceptable"
"Ca","ALL","PLS_LOO",13396,11255.5432374305,7377.79052102093,18369.0735446626,0.401641950155111,0.670264889818669,0.84617393661387,0.864275444977219,FALSE,2,0.846217799537837,0.854111366902733,0.219814852755458,0.600392761243823,4,"Acceptable"
"Ca","ALL","PLS_kfold",13396,11255.5432374305,7377.79052102093,18369.0735446626,0.401641950155111,0.670264889818669,0.84617393661387,0.864275444977219,FALSE,3,0.846217799537837,0.854111366902733,0.219814852755458,0.600392761243823,5,"Acceptable"
"Ca","ALL","RF",13396,11055.1865615906,7912.34473224282,17229.020072962,0.459245197854281,0.676749426704197,0.7,0.7,FALSE,4,0.7,1,1,1,1,"Stable"
"Ca","ALL","OLS_weighted",14519,10492.425843022,8101.82570808005,18035.9437498918,0.449204423146897,0.673938103532302,0.68733115596116,0.68733115596116,FALSE,5,0.68733115596116,0.97457027240985,0.661756479832545,0.849444755378928,2,"Stable"
"Ca","ALL","OLS",14519,10921.4227828969,8094.54336246637,22038.6753023897,0.367288108355072,0.673542447074752,0.605871427556832,0.605871427556832,FALSE,6,0.615986826769259,0.767105247941848,0.614153189568048,0.705924424592328,3,"Acceptable"
"Ca","ALL","WLS_weighted",14519,10873.2672025233,7652.5839621963,114937.491193476,0.066580398464715,0.673070286544119,0.302192465570234,0.302192465570234,FALSE,7,0.310940327090334,0.00551907858518885,0.557345334262846,0.226249580856252,7,"Unstable"
"Ca","ALL","WLS",14519,10872.2684867972,7637.09392056858,118586.161886132,0.064401223541595,0.673053234384607,0.3,0.3,FALSE,8,0.30864298768611,0,0.555293708708845,0.222117483483538,8,"Unstable"
"Fe","ALL","OLS_weighted",14519,15756.8906271743,17745.5706044317,26305.9766538876,0.674583226386664,0.670710846705186,0.685864699377746,0.685864699377746,FALSE,1,0.685864699377746,1,0.0297051493421845,0.611882059736874,4,"Acceptable"
"Fe","ALL","Bayes",13396,20039.3503092571,21079.6068331299,49770.6178813076,0.423535164530212,0.695208380228984,0.551742953314114,0.599743234986683,FALSE,2,0.567719424143061,0.572207111049672,1,0.743324266629803,3,"Acceptable"
"Fe","ALL","PLS_LOO",13396,19736.9429343488,23037.6123237105,50988.4215852367,0.451820464479349,0.69437787895629,0.594544161267853,0.592775633540416,FALSE,3,0.543569465589582,0.620406049892652,0.967105622793516,0.759085879052997,1,"Stable"
"Fe","ALL","PLS_kfold",13396,19736.9429343488,23037.6123237105,50988.4215852367,0.451820464479349,0.69437787895629,0.594544161267853,0.592775633540416,FALSE,4,0.543569465589582,0.620406049892652,0.967105622793516,0.759085879052997,2,"Stable"
"Fe","ALL","RF",13396,19334.069276334,17150.5717795975,44723.4588347852,0.383480442399461,0.684402786993485,0.50158109961498,0.50158109961498,FALSE,5,0.50158109961498,0.50395274903745,0.572013588040511,0.531177084638675,5,"Acceptable"
"Fe","ALL","OLS",14519,16489.7914089335,17477.4542318397,50727.5899499971,0.344535473675517,0.670190201716591,0.470318420272025,0.470318420272025,FALSE,6,0.490902148604321,0.437589437736436,0.00908351610859922,0.266187069085301,6,"Unstable"
"Fe","ALL","WLS_weighted",14519,16225.1661371414,16654.3372974163,181108.83229552,0.0919576206545299,0.669960865509938,0.302875896815167,0.302875896815167,FALSE,7,0.322090550737224,0.00718974203791843,0,0.00431384522275106,7,"Unstable"
"Fe","ALL","WLS",14519,16230.5950256377,16672.7990888321,190028.62119965,0.0877383574304587,0.669966034294714,0.299888402244487,0.299888402244487,FALSE,8,0.319168272686531,0,0.000204724497983521,8.18897991934085e-05,8,"Unstable"
"Mn","ALL","PLS_LOO",13396,153.648507852804,148.2760016852,417.173075343394,0.355430420726812,0.690598486788235,0.662457534590572,0.662457534590572,FALSE,1,0.788011170470769,0.90614383647643,0,0.543686301885858,4,"Acceptable"
"Mn","ALL","PLS_kfold",13396,153.648507852804,148.2760016852,417.173075343394,0.355430420726812,0.690598486788235,0.662457534590572,0.662457534590572,FALSE,2,0.788011170470769,0.90614383647643,0,0.543686301885858,5,"Acceptable"
"Mn","ALL","RF",13396,157.747426685665,133.055986977048,391.575028230825,0.339796916004088,0.692159246250392,0.748523536669993,0.748523536669993,FALSE,3,0.748523536669993,0.85254825541204,0.150102298993725,0.571569872844714,3,"Acceptable"
"Mn","ALL","Bayes",13396,154.258493992566,151.826991723746,399.642585261461,0.37990694015858,0.700996458522315,0.553199904647404,0.480567717473291,FALSE,4,0.63518529884232,0.990055493180809,1,0.994033295908486,1,"Stable"
"Mn","ALL","OLS",14095,147.072578783174,158.915474698546,415.131351621857,0.382807692258575,0.695744393253508,0.528939659872565,0.414109206608894,FALSE,5,0.49552099433582,1,0.494895215805064,0.797958086322026,2,"Stable"
"Mn","ALL","OLS_weighted",14095,132.023911331763,152.94793360619,939.928330609961,0.162722974321814,0.696317293403218,0.242439269884022,0.12760881662035,FALSE,6,0.124699404865295,0.245494305312877,0.549992514043802,0.367293588805247,6,"Marginal"
"Mn","ALL","WLS_weighted",14095,145.664884077566,152.436785824961,1673.03766670793,0.0911137799574559,0.695491968474445,0.121209183874812,0.00637873061114011,FALSE,7,0.08657980183241,0,0.470618867925073,0.188247547170029,7,"Unstable"
"Mn","ALL","WLS",14095,145.168076687072,149.827464350224,1630.88827087206,0.0918686258440677,0.695384947221107,0.118774985540314,0.00394453227664214,FALSE,8,0.0828723184119287,0.00258780130396593,0.460326355493328,0.185683222979711,8,"Unstable"
"Sr","ALL","RF",13396,142.816462582646,80.1771229575881,192.263357498392,0.417017178940395,0.670162453637591,1,1,FALSE,1,1,1,0.251812627722825,0.70072505108913,2,"Acceptable"
"Sr","ALL","Bayes",13396,150.562909245336,75.1069672253186,207.199353185979,0.362486494626766,0.664644690924117,0.63856545541204,0.637853811071271,FALSE,2,0.624944599463715,0.869220660018104,0,0.521532396010862,5,"Acceptable"
"Sr","ALL","PLS_LOO",13396,149.744279624008,67.9964700538676,221.398972488903,0.307121886291843,0.67124265560384,0.509128247291484,0.532972097515059,FALSE,3,0.544351022019322,0.73644134452751,0.301109509397039,0.562308610475322,3,"Acceptable"
"Sr","ALL","PLS_kfold",13396,149.744279624008,67.9964700538676,221.398972488903,0.307121886291843,0.67124265560384,0.509128247291484,0.532972097515059,FALSE,4,0.544351022019322,0.73644134452751,0.301109509397039,0.562308610475322,4,"Acceptable"
