Element,Model,R2,RMSE,RMSEP,AIC,BIC,Rank,Rejection Criteria
Ca,PLS_LOO,0.60535,0.44703,0.45092,NA,NA,1,
,PLS_kfold,0.60535,0.44703,0.45092,NA,NA,1,
,OLS,0.60535,0.44703,0.45092,335.01,345.78,3,x - SW-BP
,Bayes,0.60535,0.44703,0.45092,335.01,345.78,4,
,WLS_weighted,0.60473,0.44738,NA,321.19,331.96,5,
,OLS_weighted,0.60078,0.44961,NA,359.87,370.64,6,x - SW-BP
,RF,0.48630,0.51002,0.50300,NA,NA,7,
Fe,OLS,0.71186,0.61242,0.61921,503.73,514.50,1,x - SW-BP
,PLS_LOO,0.71186,0.61242,0.61921,NA,NA,1,
,PLS_kfold,0.71186,0.61242,0.61921,NA,NA,1,
,Bayes,0.71186,0.61242,0.61921,503.73,514.50,4,
,WLS_weighted,0.71140,0.61290,NA,491.44,502.21,5,
,OLS_weighted,0.70501,0.61965,NA,522.98,533.75,6,x - SW-BP
,RF,0.63228,0.69184,0.66719,NA,NA,7,
Mn,PLS_LOO,0.64233,0.57612,0.57847,NA,NA,1,
,PLS_kfold,0.64233,0.57612,0.57847,NA,NA,1,
,OLS,0.64233,0.57612,0.57847,470.98,481.75,1,
,Bayes,0.64233,0.57612,0.57847,470.98,481.75,4,
,WLS_weighted,0.64203,0.57636,NA,452.11,462.88,5,
,OLS_weighted,0.62158,0.59260,NA,464.26,475.04,6,x - SW-BP
,RF,0.54288,0.65130,0.64397,NA,NA,7,
Sr,PLS_LOO,0.60594,0.38844,0.39155,NA,NA,1,
,PLS_kfold,0.60594,0.38844,0.39155,NA,NA,1,
,OLS,0.60594,0.38844,0.39155,259.70,270.47,1,x - SW-BP
,Bayes,0.60594,0.38844,0.39155,259.70,270.47,4,
,WLS_weighted,0.60520,0.38881,NA,262.01,272.78,5,
,OLS_weighted,0.58844,0.39697,NA,330.65,341.42,6,x - SW-BP
,RF,0.51180,0.43236,0.43919,NA,NA,7,
Ti,PLS_LOO,0.72993,0.63960,0.64445,NA,NA,1,
,PLS_kfold,0.72993,0.63960,0.64445,NA,NA,2,
,OLS,0.72993,0.63960,0.64445,527.01,537.78,3,x - SW-BP
,Bayes,0.72993,0.63960,0.64445,527.01,537.78,4,
,WLS_weighted,0.72920,0.64047,NA,488.00,498.77,5,
,OLS_weighted,0.71856,0.65293,NA,558.91,569.68,6,x - SW-BP
,RF,0.65921,0.71849,0.69293,NA,NA,7,
Zr,OLS,0.60846,0.82233,0.82937,661.70,672.47,1,x - SW-BP
Zr,PLS_LOO,0.60846,0.82233,0.82937,NA,NA,1,
Zr,PLS_kfold,0.60846,0.82233,0.82937,NA,NA,1,
Zr,Bayes,0.60846,0.82233,0.82935,661.70,672.47,4,
Zr,WLS_weighted,0.60823,0.82257,NA,661.82,672.59,5,
Zr,RF,0.54805,0.88349,0.85781,NA,NA,6,
Zr,OLS_weighted,0.40119,1.01695,NA,788.73,799.50,7,x - SW-BP
