"Site","Element","Model","Robustness_score_site","SNR_CI_s","SNR_smooth_s","n_mean","R2_overall","RMSE_overall","RMSEP_overall","RMSEP","Global_Rank","Robustness_score","Robustness_Class","Confidence_Flag","Bootstrap_Unstable","Rank_site"
"KER1","Ca","PLS_LOO",0.821266359163504,0.70211059860584,1,2293,0.605172814508826,0.447133012734933,5921.70892622602,0.450351241681476,2,0.638537096368868,"Acceptable 2","Moderate confidence",FALSE,1
"KER1","Ca","PLS_kfold",0.821266359163504,0.70211059860584,1,2293,0.605172814508826,0.447133012734933,5921.70892622602,0.450351241681476,3,0.638537096368868,"Acceptable 3","Moderate confidence",FALSE,2
"KER1","Ca","Bayes",0.812794695170813,0.824664677257577,0.794989722040666,2293,0.636884102731344,0.428801053115093,5546.07861545861,0.437812064252784,4,0.634509260499655,"Acceptable 4","Moderate confidence",FALSE,3
"KER1","Ca","OLS_weighted",0.72894916674432,0.863429441654497,0.527228754379055,2523,0.60078407376705,0.449611220751241,5620.88386479327,NA,5,0.588405803230984,"Unstable","Low confidence",FALSE,4
"KER1","Ca","OLS",0.612765401555281,0.6832803568515,0.506992968610952,2523,0.605349695781694,0.447032844459699,5504.63271481712,0.450923989941031,6,0.520511230722479,"Unstable","Low confidence",FALSE,5
"KER1","Ca","RF",0.6,1,0,2293,0.682203721520104,0.401150756423534,4911.79054471344,0.405320083182145,1,0.642410341669775,"Unstable","Low confidence (noise-dominated)",FALSE,6
"KER1","Ca","WLS_weighted",0.257009377657627,0.00491352448087392,0.635153157422756,2523,0.604732452698864,0.447382293228408,5447.03371534874,NA,7,0.205925410630512,"Unstable","Low confidence (uncertainty-dominated)",FALSE,7
"KER1","Ca","WLS",0.255946108675831,0,0.639865271689577,2523,0.604685117514639,0.447409080513934,5446.04597912254,NA,8,0.203490077962097,"Unstable","Low confidence (uncertainty-dominated)",FALSE,8
"KER1","Sr","Bayes",0.992356122048914,1,0.980890305122284,2293,0.635271572146413,0.373704733132646,56.5643915636821,0.385058169520708,1,0.734632075858658,"Preferred 1","Moderate confidence",FALSE,1
"KER1","Sr","PLS_LOO",0.98436282359506,0.9739380393251,1,2293,0.619560933054721,0.381668523678026,58.9814163562467,0.387403145926133,2,0.715434657119346,"Acceptable 2","Moderate confidence",FALSE,2
"KER1","Sr","PLS_kfold",0.98436282359506,0.9739380393251,1,2293,0.619560933054721,0.381668523678026,58.9814163562467,0.387403145926133,3,0.715434657119346,"Acceptable 3","Moderate confidence",FALSE,3
"KER1","Sr","OLS",0.808535421779697,0.97399791770186,0.560341677896454,2310,0.605940022011523,0.388440903375382,59.7735590156883,0.391554198151312,5,0.476601104377288,"Unstable","Low confidence",FALSE,4
