"Element","Model","n_test_median","n_success","Failure_rate_pct","R2_single","RMSE_single","RMSE_ppm_single","R2_mean","R2_sd","R2_q05","R2_q25","R2_q75","R2_q95","RMSE_mean","RMSE_sd","RMSE_ppm_mean","RMSE_ppm_sd","R2_boot_s","RMSE_boot_s","Robustness_boot","Bootstrap_Unstable"
"Ca","RF",118,25,0,0.673677785504348,0.406496238911912,4915.58130206669,0.650714388414834,0.0489098444301013,0.576603269666055,0.6246662041833,0.68790446433873,0.709894644409048,0.417626599616457,0.0233550932336792,5047.71799505316,491.774175619624,1,0,1,FALSE
"Ca","Bayes",120,2000,0,0.636884102731344,0.428801053115093,5546.07861545861,0.607378392072377,0.0508661538096215,0.517873635021689,0.577038546625414,0.642146791616774,0.683384680507303,0.442931722633662,0.0254496173612553,5917.4263602204,828.714255420252,0.288082906090195,0.767325867475523,0.265919396663908,FALSE
"Ca","OLS",120,2000,0,0.605349695781694,0.447032844459699,5504.63271481712,0.591746596057155,0.0475759801178607,0.506693877391423,0.563759387738726,0.624505468767351,0.664163105864895,0.451886162596156,0.023556350267027,5675.35049137863,584.132213408368,0.0312861613284971,0.553747289306752,0.197272781074397,FALSE
"Ca","WLS",120,2000,0,0.604685117514639,0.447409080513934,5446.04597912254,0.591746596057155,0.0475759801178607,0.506693877391423,0.563759387738726,0.624505468767351,0.664163105864895,0.451886162596156,0.023556350267027,5675.35049137863,584.132213408368,0.0312861613284971,0.553747289306752,0.197272781074397,FALSE
"Ca","OLS_weighted",120,2000,0,0.60078407376705,0.449611220751241,5620.88386479327,0.591746596057155,0.0475759801178607,0.506693877391423,0.563759387738726,0.624505468767351,0.664163105864895,0.451886162596156,0.023556350267027,5675.35049137863,584.132213408368,0.0312861613284971,0.553747289306752,0.197272781074397,FALSE
"Ca","WLS_weighted",120,2000,0,0.604732452698864,0.447382293228408,5447.03371534874,0.591746596057155,0.0475759801178607,0.506693877391423,0.563759387738726,0.624505468767351,0.664163105864895,0.451886162596156,0.023556350267027,5675.35049137863,584.132213408368,0.0312861613284971,0.553747289306752,0.197272781074397,FALSE
"Ca","PLS_LOO",121,500,0,0.605172814508826,0.447133012734933,5921.70892622602,0.589842136978282,0.0530201141759039,0.498367773062824,0.556072562562308,0.630136967752144,0.672007267862575,0.452624568872089,0.0269357095927593,6181.14565862008,791.745954892206,0,1,0,FALSE
"Ca","PLS_kfold",121,500,0,0.605172814508826,0.447133012734933,5921.70892622602,0.589842136978282,0.0530201141759039,0.498367773062824,0.556072562562308,0.630136967752144,0.672007267862575,0.452624568872089,0.0269357095927593,6181.14565862008,791.745954892206,0,1,0,FALSE
"Sr","RF",119,25,0,0.694520038625107,0.34200712565981,43.8791563053624,0.637505180133409,0.0535421638904806,0.533769865459016,0.631334649381876,0.663564745974796,0.707327042592033,0.366376218034481,0.0358574379278752,46.8859432079513,4.7734039558753,1,0,1,FALSE
"Sr","Bayes",120,2000,0,0.635271572146413,0.373704733132646,56.5643915636821,0.602907713807087,0.0543853254816507,0.506111970895487,0.570604657681181,0.640041164385572,0.684515622721029,0.387754114617388,0.0277806156243863,59.1857610282632,6.52333190850527,0.253765854520233,0.888739473216742,0.196763723425443,FALSE
