"Element","Site","Model","n","Mean_ppm","SD_pred","Mean_CI_w","SNR_CI","SNR_smooth","Robustness_low","Robustness_high","Bootstrap_Unstable","Global_Rank","Robustness_score","SNR_CI_s","SNR_smooth_s","Robustness_score_site","Robustness_Rank","Stability_class"
"Ca","ALL","Bayes",13757,11114.521610419,7324.12351673578,20960.8035640108,0.349419977834777,9.28346094984434e-05,0.580584613197987,0.631881887509872,FALSE,1,0.65436049816905,0.740687069612545,1,0.844412241767527,1,"Stable"
"Ca","ALL","RF",13757,10909.8156740307,7450.49651228449,19282.8988530103,0.386378446989643,9.11006340676425e-05,0.63469287550447,0.63469287550447,FALSE,4,0.63469287550447,0.836732188761176,0.820334348587098,0.830173052691545,2,"Stable"
"Ca","ALL","OLS_weighted",14519,10492.425843022,8101.82570808005,18035.9437498918,0.449204423146897,8.31834857740987e-05,0.625387834228473,0.593460749886599,FALSE,5,0.593460749886599,1,0,0.6,3,"Acceptable"
"Ca","ALL","PLS_LOO",13757,10800.199565855,8032.76361529482,21448.147284187,0.374520162924147,8.48563290249442e-05,0.622366279387121,0.673824171997311,FALSE,2,0.640428498900347,0.805915698467802,0.173331448090944,0.552881998317059,4,"Acceptable"
"Ca","ALL","PLS_kfold",13757,10800.199565855,8032.76361529482,21448.147284187,0.374520162924147,8.48563290249442e-05,0.622366279387121,0.673824171997311,FALSE,3,0.640428498900347,0.805915698467802,0.173331448090944,0.552881998317059,5,"Acceptable"
"Ca","ALL","OLS",14519,10921.4227828969,8094.54336246637,22038.6753023897,0.367288108355072,8.32094433143569e-05,0.540651034651228,0.508723950309354,FALSE,6,0.527514139089005,0.787121534135248,0.00268958734750736,0.473348755420152,6,"Marginal"
"Ca","ALL","WLS",14519,10872.2684867972,7637.09392056858,118586.161886132,0.064401223541595,8.81294955103154e-05,0.226066086409575,0.194139002067701,FALSE,8,0.210194064930934,0,0.512480191683846,0.204992076673538,7,"Unstable"
"Ca","ALL","WLS_weighted",14519,10873.2672025233,7652.5839621963,114937.491193476,0.066580398464715,8.79533357450352e-05,0.228327202639043,0.196400118297169,FALSE,7,0.212649992961434,0.00566308940610476,0.494227419228363,0.201088821335008,8,"Unstable"
"Sr","ALL","OLS",14005,143.231154722705,62.308174844974,243.139630055274,0.256264989918794,0.0110145525976739,0.4039083667839,0.4039083667839,FALSE,5,0.453394114796587,0.663154685121714,0.575469349071596,0.628080550701667,1,"Acceptable"
"Sr","ALL","RF",13757,141.327920148989,78.8217718325491,203.985987945979,0.386407775486143,0.0085566074268364,0.7,0.7,FALSE,1,0.7,1,0,0.6,2,"Acceptable"
"Sr","ALL","PLS_LOO",13757,145.259398881809,67.546656152628,238.17309736281,0.283603215058894,0.010114325383738,0.665137214992373,0.706278068621457,FALSE,3,0.681572628387012,0.733913529074419,0.364702577311715,0.586229148369338,3,"Acceptable"
"Sr","ALL","PLS_kfold",13757,145.259398881809,67.546656152628,238.17309736281,0.283603215058894,0.010114325383738,0.665137214992373,0.706278068621457,FALSE,4,0.681572628387012,0.733913529074419,0.364702577311715,0.586229148369338,4,"Acceptable"
"Sr","ALL","Bayes",13757,147.071853655315,69.1564871940495,235.23700439692,0.293986430286965,0.00989794968144594,0.670431000858213,0.664607186531096,FALSE,2,0.69096575996511,0.760788145194715,0.31404335755763,0.582090230139881,5,"Acceptable"
