"Site","Element","Model","Rank_site","Robustness_score_site","R2_overall","RMSE_overall","RMSEP_overall","SNR_CI_s","SNR_smooth_s","n_mean"
"BI10","Ca","OLS_weighted",1,0.913305132679862,0.60078407376705,0.449611220751241,5620.88386479327,0.86261629440288,0.989338390095334,5017
"BI10","Ca","OLS",2,0.79435162028204,0.605349695781694,0.447032844459699,5504.63271481712,0.689324923925203,0.951891664817294,5017
"BI10","Ca","PLS_LOO",3,0.764126672627153,0.605172814508826,0.447133012734933,5921.70892622602,0.680289731878859,0.889882083749593,4709
"BI10","Ca","PLS_kfold",4,0.764126672627153,0.605172814508826,0.447133012734933,5921.70892622602,0.680289731878859,0.889882083749593,4709
"BI10","Ca","Bayes",5,0.724330560750335,0.636884102731344,0.428801053115093,5546.07861545861,0.738596532256658,0.70293160349085,4709
"BI10","Ca","RF",6,0.6,0.673677785504348,0.406496238911912,4915.58130206669,1,0,4709
"BI10","Ca","WLS_weighted",7,0.40230726701766,0.604732452698864,0.447382293228408,5447.03371534874,0.00495519451969361,0.998335375764609,5017
"BI10","Ca","WLS",8,0.4,0.604685117514639,0.447409080513934,5446.04597912254,0,1,5017
"BI10","Sr","PLS_LOO",1,0.86865071585259,0.619560933054721,0.381668523678026,58.9814163562467,0.8331795744906,0.921857427895574,4709
"BI10","Sr","PLS_kfold",2,0.86865071585259,0.619560933054721,0.381668523678026,58.9814163562467,0.8331795744906,0.921857427895574,4709
"BI10","Sr","OLS",3,0.791030018496535,0.605940022011523,0.388440903375382,59.7735590156883,0.846667063639737,0.707574450781733,4892
"BI10","Sr","Bayes",4,0.728085679831862,0.635271572146413,0.373704733132646,56.5643915636821,0.767184277166748,0.669437783829533,4709
"BI10","Sr","RF",5,0.6,0.694520038625107,0.34200712565981,43.8791563053624,1,0,4709
"BI10","Sr","OLS_weighted",6,0.4,0.588442221601662,0.396971381054182,68.563181097856,0,1,4892
"BI10","Sr","WLS_weighted",7,0.378344681661249,0.605197017350042,0.38880693583257,61.616501941787,0.114480950303492,0.774140278697884,4892
"BI10","Sr","WLS",8,0.337730929726138,0.605899324973479,0.388460961218056,59.3656290640811,0.100959304256148,0.692888367931122,4892
"BI10","Ti","OLS_weighted",1,0.827011479950549,0.718555763474536,0.652933928562262,2173.73266969499,0.711685799917582,1,4790
"BI10","Ti","PLS_LOO",2,0.779895540617216,0.756227776634957,0.607666319730726,1919.97750377683,0.962603414285261,0.505833730115148,4709
"BI10","Ti","PLS_kfold",3,0.779895540617216,0.756227776634957,0.607666319730726,1919.97750377683,0.962603414285261,0.505833730115148,4709
"BI10","Ti","Bayes",4,0.748203877287453,0.757847910218222,0.605643649083077,2132.72586760655,1,0.370509693218632,4709
"BI10","Ti","OLS",5,0.738904386541703,0.729930592021033,0.639603384224678,2035.54425020404,0.725643791018089,0.758795279827123,4790
"BI10","Ti","RF",6,0.575536448049894,0.739729829501074,0.627892441456487,1631.97472441788,0.95922741341649,0,4709
"BI10","Ti","WLS_weighted",7,0.330484906946409,0.72919658362992,0.640471967780676,1893.08238585334,0.0145341440045349,0.804411051359221,4790
"BI10","Ti","WLS",8,0.323592273132952,0.728935134347202,0.640781067535794,1882.89538666468,0,0.80898068283238,4790
"BI10","Zr","PLS_LOO",1,0.752050820211309,0.72037835645274,0.69492862207945,77.8910261396823,0.910861666134706,0.513834551326215,4709
"BI10","Zr","PLS_kfold",2,0.752050820211309,0.72037835645274,0.69492862207945,77.8910261396823,0.910861666134706,0.513834551326215,4709
"BI10","Zr","Bayes",3,0.731838667345611,0.7219222288162,0.693007515213175,84.3816359771264,0.951659163397718,0.402107923267451,4709
"BI10","Zr","RF",4,0.6,0.744758871788424,0.66394198898659,46.0449432203038,1,0,4709
"BI10","Zr","OLS",5,0.41462928258567,0.608456680906178,0.822327315016661,148.16046066862,0.510350322078288,0.271047723346743,5017
"BI10","Zr","OLS_weighted",6,0.4,0.401191970178938,1.01694769214115,153.784821913486,0,1,5017
"BI10","Zr","WLS_weighted",7,0.324107049959205,0.608229412035276,0.822565937768544,162.575252795128,0.3699236773369,0.255382108892663,5017
"BI10","Zr","WLS",8,0.248510398929722,0.608323185716187,0.822467487738816,159.077231156446,0.241471239853521,0.259069137544024,5017
