Location,Site,label,ID,section_depth,field_depth,depth,SH20_mean_age,surface,validity,qc,kcps,cps,MSE,K,Ca,Ti,Mn,Fe,Zn,Rb,Sr,Zr,Mo_inc,Mo_coh,inc_coh,coh_inc,Total_scatter
Bird Island,BI10,BI10.01,ACE_ITRAX_2,0.1,0.1,0.1,-63.4,7.46,1,TRUE,19704,50127,1.34,0,0.000659649,0,0.000604678,0.154357804,0,0,0,0.023280103,1,0.147706346,6.770189803,0.147706346,41757
Bird Island,BI10,BI10.01,ACE_ITRAX_3,0.2,0.2,0.2,-61.7,7.48,1,TRUE,19718,50612,1.39,0,0.001823557,0.000193408,0.000884149,0.175310143,0,0.000690741,0,0.017682977,1,0.145912193,6.853436849,0.145912193,41474
Bird Island,BI10,BI10.01,ACE_ITRAX_4,0.3,0.3,0.3,-60.1,7.5,1,TRUE,19924,50481,1.2,0,0.000771244,0,0.000330533,0.161492907,0.000991599,0,0,0.023412753,1,0.150364964,6.650485437,0.150364964,41764
Bird Island,BI10,BI10.01,ACE_ITRAX_5,0.4,0.4,0.4,-58.6,7.52,1,TRUE,20433,52629,1.37,0.000723531,0.001581049,0.001286277,0.000241177,0.183669641,0,0,0.002813731,0.016641209,1,0.152798992,6.544545773,0.152798992,43019
Bird Island,BI10,BI10.01,ACE_ITRAX_6,0.5,0.5,0.5,-57,7.52,1,TRUE,20192,50683,1.31,0.000214575,0.001394738,0.000938766,0.000536438,0.138856852,0,0,0.000831478,0.015663976,1,0.147654427,6.772570391,0.147654427,42788
Bird Island,BI10,BI10.01,ACE_ITRAX_7,0.6,0.6,0.6,-55.5,7.51,1,TRUE,20422,51345,1.32,0.000597946,0.001117899,0,0.000649942,0.113817756,0,0.000129988,0,0.023059925,1,0.144339009,6.928134006,0.144339009,44017
Bird Island,BI10,BI10.01,ACE_ITRAX_8,0.7,0.7,0.7,-53.9,7.48,1,TRUE,21569,53000,1.27,0,0.000550014,0,0.000425011,0.103927598,0.001300033,0,0,0.020175504,1,0.14720368,6.793308424,0.14720368,45887
Bird Island,BI10,BI10.01,ACE_ITRAX_9,0.8,0.8,0.8,-52.4,7.48,1,TRUE,22053,54850,1.38,0.000325913,0.001128159,0.000325913,0.000852387,0.146811071,0,0.002206177,0,0.021409948,1,0.140468311,7.11904337,0.140468311,45491
Bird Island,BI10,BI10.01,ACE_ITRAX_10,0.9,0.9,0.9,-50.8,7.51,1,TRUE,20675,52835,1.33,0.000362413,0.001579084,0.000517732,0,0.133885581,0,0,0.003391147,0.024048667,1,0.149521098,6.688019391,0.149521098,44406
Bird Island,BI10,BI10.01,ACE_ITRAX_11,1,1,1,-49.3,7.53,1,TRUE,20757,52197,1.39,0,0.000815619,0.001019524,0,0.118035377,0,0.002497834,0,0.024086252,1,0.140694296,7.107608696,0.140694296,44754
