Site,depth,SH20_age,Ti,Ca,Sr,Ti_ICP_clr_ppm,Ti_ICP_clr_lower_ppm,Ti_ICP_clr_upper_ppm,Ca_ICP_clr_ppm,Ca_ICP_clr_lower_ppm,Ca_ICP_clr_upper_ppm,Sr_ICP_clr_ppm,Sr_ICP_clr_lower_ppm,Sr_ICP_clr_upper_ppm
HER42PB,1.1,-51.51,75,329,450,1314.028776,1127.492248,1528.280223,15457.31168,15661.371,15224.56724,225.918915,208.39612,244.4119097
HER42PB,1.2,-50.47,110,410,680,1533.687687,1318.513834,1779.800288,15251.69521,15482.92473,14988.7472,211.876471,195.8208074,228.7118812
HER42PB,1.3,-49.42,122,369,592,1817.202457,1566.201893,2102.736905,14981.4651,15247.05057,14680.76828,198.5918154,184.0069054,213.7541825
HER42PB,1.4,-48.38,84,436,668,1146.290924,982.1339327,1335.435978,15611.38009,15794.44191,15402.18699,239.5883587,220.6835295,259.6364036
HER42PB,1.5,-47.34,102,350,855,1830.415526,1577.741198,2117.790992,14972.9625,15239.85857,14670.80748,193.8813429,179.6596049,208.660901
HER42PB,1.6,-46.29,100,367,954,1678.823506,1445.16242,1945.336223,15112.15594,15361.20091,14829.58282,206.2799211,190.8960408,222.3403282
HER42PB,1.7,-45.25,96,330,827,1705.567128,1468.54379,1975.773338,15085.3753,15337.73847,14799.16792,206.3169367,190.9771076,222.3181081
HER42PB,1.8,-44.2,136,418,900,1955.47119,1687.434541,2259.583687,14851.71731,15133.49758,14533.37763,190.0708723,176.3272471,204.2980542
HER42PB,1.9,-43.16,76,511,787,898.5269498,768.2115873,1049.379397,15835.94911,15987.51512,15662.40315,262.783304,241.5326583,285.4768185
HER42PB,2,-42.11,298,262,460,4544.930131,4015.919717,5115.860356,12332.02824,12867.06356,11755.4391,120.3010002,114.2760961,125.9599159
HER42PB,2.1,-41.07,88,292,596,1717.754435,1479.188709,1989.658095,15074.93524,15328.69152,14787.19177,204.569692,189.3791409,220.4095051
HER42PB,2.3,-38.98,75,356,698,1242.045823,1065.066582,1445.594939,15522.50758,15717.66922,15299.72962,232.7059664,214.5235644,251.9348065
HER42PB,2.4,-37.94,105,400,798,1536.075569,1320.621485,1782.489622,15245.63568,15477.4154,14982.10514,215.5481169,199.2224864,232.6646023
HER42PB,2.5,-36.89,309,414,751,3530.631643,3090.553007,4015.003302,13326.33777,13774.68667,12833.85681,140.2899529,132.0196884,148.399255
HER42PB,2.6,-35.85,156,446,772,1938.336475,1672.410574,2240.148246,14866.0496,15145.94722,14549.76719,192.8732911,178.9015792,207.3439349
HER42PB,2.7,-34.8,182,436,729,2186.821637,1891.006194,2520.959658,14628.62722,14937.23752,14281.34076,181.8105144,169.0156543,194.9589524
HER42PB,2.8,-33.76,97,451,577,1203.998428,1032.112895,1401.827135,15555.00359,15745.57499,15337.39255,238.2573457,219.5714803,258.0396803
HER42PB,2.9,-32.72,92,389,494,1318.635289,1131.502558,1533.549117,15451.02585,15655.80092,15217.49581,227.5982269,209.9558921,246.2144426
HER42PB,3,-31.67,101,443,725,1337.9749,1148.282611,1555.751125,15434.57731,15641.65443,15198.46659,224.7071581,207.3223273,243.0416574
HER42PB,3.1,-30.63,100,514,681,1165.57396,998.8028198,1357.667161,15597.39955,15782.62529,15385.7457,234.2858539,215.8312553,253.8465104
HER42PB,3.2,-29.58,92,534,699,1015.540686,869.1119469,1184.678997,15733.56159,15899.83295,15543.30185,248.1570964,228.3144705,269.2785214
HER42PB,3.3,-28.54,126,467,786,1530.701964,1315.931609,1776.361409,15251.76333,15482.81277,14989.03326,214.7940715,198.5149946,231.8646997
HER42PB,3.4,-27.49,178,443,778,2051.759553,1772.107504,2368.449431,14753.70981,15047.07072,14422.87251,191.7900101,178.0811407,205.9374296
HER42PB,3.5,-26.45,88,440,690,1195.547689,1024.770416,1392.139185,15566.96776,15756.17607,15350.858,234.7439229,216.3128798,254.2621793
HER42PB,3.6,-25.41,103,506,793,1167.282451,1000.313953,1359.58698,15589.78358,15775.66158,15377.43862,240.1933414,221.2838305,260.2337728
HER42PB,3.7,-24.36,138,473,805,1670.097538,1437.527811,1935.413109,15121.95408,15369.844,14840.64008,205.2077465,189.8875614,221.2061754
HER42PB,3.8,-23.32,120,472,913,1564.119036,1345.032489,1814.562883,15223.70792,15458.61357,14956.69163,209.4324141,193.6133139,226.0048577
