"Element","Site","Model","n","Mean_ppm","SD_pred","Mean_CI_w","SNR_CI","SNR_smooth","Robustness_low","Robustness_high","Bootstrap_Unstable","Global_Rank","Robustness_score","SNR_CI_s","SNR_smooth_s","Robustness_score_site","Robustness_Rank","Stability_class"
"Ca","ALL","PLS_LOO",13396,11255.5432374305,7377.79052102093,18369.0735446626,0.401641950155111,9.08489998338852e-05,0.812251917349835,0.863390475772702,FALSE,2,0.837235427150408,0.844393052063046,1,0.906635831237828,1,"Stable"
"Ca","ALL","PLS_kfold",13396,11255.5432374305,7377.79052102093,18369.0735446626,0.401641950155111,9.08489998338852e-05,0.812251917349835,0.863390475772702,FALSE,3,0.837235427150408,0.844393052063046,1,0.906635831237828,2,"Stable"
"Ca","ALL","Bayes",13396,11346.9447772753,7644.70989184762,18368.730735261,0.416180627939233,8.74379669376684e-05,0.893979184949795,0.90286449739367,FALSE,1,0.89337836429761,0.880795412567876,0.555015766768837,0.750483554248261,3,"Stable"
"Ca","ALL","RF",13396,11008.1315358607,7900.61226620046,17034.9079510132,0.463789548433136,8.56126445801363e-05,0.7,0.7,FALSE,4,0.7,1,0.316894442706861,0.726757777082745,4,"Acceptable"
"Ca","ALL","OLS_weighted",14519,10492.425843022,8101.82570808005,18035.9437498918,0.449204423146897,8.31834857740987e-05,0.682931997255936,0.682931997255936,FALSE,5,0.682931997255936,0.963481342900547,0,0.578088805740328,5,"Acceptable"
"Ca","ALL","OLS",14519,10921.4227828969,8094.54336246637,22038.6753023897,0.367288108355072,8.32094433143569e-05,0.602394248790927,0.602394248790927,FALSE,6,0.612277417462477,0.758376912734568,0.00338627521334799,0.45638065772608,6,"Marginal"
"Ca","ALL","WLS",14519,10872.2684867972,7637.09392056858,118586.161886132,0.064401223541595,8.81294955103154e-05,0.3,0.3,FALSE,8,0.308444560944566,0,0.645228708425907,0.258091483370363,7,"Unstable"
"Ca","ALL","WLS_weighted",14519,10873.2672025233,7652.5839621963,114937.491193476,0.066580398464715,8.79533357450352e-05,0.302167567694534,0.302167567694534,FALSE,7,0.310714594767109,0.00545628098595968,0.622247892800727,0.252172925711866,8,"Unstable"
"Ca","BI10","Bayes",4577,7977.67015907795,2701.43919061436,12914.4609340399,0.20917940008583,0.00083746433289697,0.893979184949795,0.90286449739367,FALSE,1,0.89337836429761,0.954003236021566,0.631741835926835,0.825098675983674,1,"Stable"
"Ca","BI10","OLS_weighted",5017,8704.48569640587,2346.12378187831,14883.6168606104,0.157631293780973,0.000982002448699456,0.682931997255936,0.682931997255936,FALSE,5,0.682931997255936,0.689423322901102,0.984923173454271,0.80762326312237,2,"Stable"
"Ca","BI10","PLS_LOO",4577,7855.58661793518,2796.64031522814,12820.3361914551,0.218140949930169,0.000780584740588244,0.812251917349835,0.863390475772702,FALSE,2,0.837235427150408,1,0.492755587364808,0.797102234945923,3,"Stable"
"Ca","BI10","PLS_kfold",4577,7855.58661793518,2796.64031522814,12820.3361914551,0.218140949930169,0.000780584740588244,0.812251917349835,0.863390475772702,FALSE,3,0.837235427150408,1,0.492755587364808,0.797102234945923,4,"Stable"
