C:\Data\BAS2023_Mo_batch\DP1__xrf     2023-08-22  re-evaluated data
peakarea
filename	position (mm)	sample surface	validity	E-gain	E-offset	F-slope	F-offset	cps	MSE	Mg	Al	Si	P	S	Cl	Ar	K	Ca	Fe	Ni	Cu	Zn	Se	Br	Rb	Sr	Y	Zr	Tc	Rh	Pd	Ag	Cd	In	Sb	Te	I	Dy	Tm	Yb	Lu	Hf	Pb	Fe a*2	Fe a+b	Fe X1	Fe X2	Fe X3	W La	W Lb1	W lb2	W La in	W Lb1 in	W Lb2 in	Mo inc	Mo coh	Dt	
C:\Data\BAS2023_Mo_batch\DP1__xrf\XRF data\L000000.spe	137.00	6.04	1	0.017518	-0.011353	0.009866	0.089277	24860	6.46	0.088	0.067	0.173	0.000	0.000	0.000	0.431	0.782	3.962	98.508	0.580	0.000	1.036	0.000	0.692	0.554	5.879	0.306	1.709	0.000	0.000	0.000	0.000	0.000	0.000	0.215	0.000	0.000	0.764	1.045	0.000	0.055	0.480	0.000	0.371	0.000	0.255	0.515	4.584	0.857	0.365	0.000	0.045	0.233	0.153	60.677	13.114	0.226	
C:\Data\BAS2023_Mo_batch\DP1__xrf\XRF data\L000001.spe	138.00	6.01	1	0.017516	-0.011353	0.009937	0.089277	28833	8.25	0.066	0.103	0.134	0.000	0.000	0.000	0.269	1.159	4.313	117.063	0.549	0.000	0.985	0.000	0.567	0.582	6.076	0.255	2.311	0.000	0.000	0.000	0.000	0.000	0.000	0.329	0.000	0.000	0.721	1.062	0.000	0.000	0.347	0.000	0.250	0.000	0.124	0.715	5.546	0.627	0.261	0.000	0.000	0.384	0.145	69.182	14.911	0.239	
C:\Data\BAS2023_Mo_batch\DP1__xrf\XRF data\L000002.spe	139.00	6.04	1	0.017517	-0.011353	0.009937	0.089277	28637	8.54	0.075	0.068	0.114	0.000	0.000	0.000	0.323	1.336	4.747	119.720	0.534	0.010	1.159	0.000	0.802	0.790	6.551	0.393	2.095	0.000	0.000	0.000	0.000	0.000	0.000	0.313	0.000	0.000	0.830	1.171	0.000	0.162	0.483	0.000	0.118	0.000	0.241	0.582	5.223	0.745	0.244	0.124	0.000	0.220	0.418	68.300	14.631	0.239	
C:\Data\BAS2023_Mo_batch\DP1__xrf\XRF data\L000003.spe	140.00	6.05	1	0.017515	-0.011353	0.009937	0.089277	30037	9.20	0.057	0.040	0.086	0.000	0.000	0.000	0.271	1.401	5.252	131.523	0.762	0.188	1.186	0.040	0.890	0.782	7.650	0.417	2.285	0.000	0.000	0.000	0.000	0.000	0.000	0.300	0.000	0.000	1.332	0.961	0.000	0.195	0.524	0.000	0.543	0.000	0.217	0.912	6.692	1.075	0.153	0.423	0.181	0.542	0.374	67.107	14.733	0.241	
C:\Data\BAS2023_Mo_batch\DP1__xrf\XRF data\L000004.spe	141.00	6.07	1	0.017514	-0.011353	0.009936	0.089277	30633	9.05	0.101	0.045	0.065	0.000	0.000	0.000	0.381	1.177	5.017	143.543	0.409	0.000	1.094	0.183	1.029	0.651	7.196	0.472	2.452	0.000	0.000	0.000	0.000	0.000	0.000	0.300	0.000	0.000	0.739	1.348	0.000	0.062	0.390	0.126	0.032	0.000	0.190	0.983	6.710	0.655	0.394	0.000	0.049	0.385	0.283	65.588	15.530	0.243	
C:\Data\BAS2023_Mo_batch\DP1__xrf\XRF data\L000005.spe	142.00	6.07	1	0.017513	-0.011353	0.009935	0.089277	31478	8.98	0.150	0.134	0.165	0.000	0.000	0.000	0.429	1.234	5.713	153.742	0.590	0.000	1.248	0.000	0.548	0.766	8.123	0.287	2.568	0.000	0.000	0.000	0.000	0.000	0.000	0.329	0.000	0.000	0.889	1.365	0.000	0.000	0.357	0.010	0.337	0.000	0.294	1.073	7.705	0.868	0.196	0.138	0.214	0.632	0.235	65.224	15.862	0.245	
C:\Data\BAS2023_Mo_batch\DP1__xrf\XRF data\L000006.spe	143.00	6.09	1	0.017514	-0.011353	0.010010	0.089277	31433	9.66	0.087	0.046	0.102	0.000	0.000	0.000	0.209	1.598	6.156	149.785	0.546	0.000	1.150	0.000	0.504	0.693	8.376	0.480	2.569	0.000	0.000	0.000	0.021	0.000	0.000	0.413	0.000	0.000	0.751	1.567	0.000	0.175	0.504	0.000	0.268	0.246	0.427	0.996	6.934	0.796	0.144	0.046	0.000	0.395	0.228	67.406	15.979	0.245	
C:\Data\BAS2023_Mo_batch\DP1__xrf\XRF data\L000007.spe	144.00	6.10	1	0.017516	-0.011353	0.010197	0.089277	31911	9.27	0.098	0.128	0.115	0.000	0.000	0.000	0.355	1.331	5.795	152.873	0.730	0.042	1.249	0.000	0.701	0.441	8.417	0.695	2.661	0.000	0.000	0.000	0.000	0.000	0.000	0.419	0.000	0.000	1.206	1.266	0.000	0.040	0.400	0.000	0.341	0.404	0.226	0.943	6.773	0.962	0.146	0.000	0.197	0.549	0.214	69.851	16.774	0.247	
C:\Data\BAS2023_Mo_batch\DP1__xrf\XRF data\L000008.spe	145.00	6.11	1	0.017517	-0.011353	0.010197	0.089277	31289	9.12	0.060	0.163	0.132	0.000	0.000	0.000	0.523	1.436	5.816	142.207	0.626	0.127	1.195	0.000	0.927	0.677	8.170	0.192	2.767	0.000	0.000	0.000	0.000	0.000	0.000	0.333	0.000	0.000	1.052	1.307	0.000	0.352	0.594	0.000	0.148	0.015	0.393	0.791	6.262	0.885	0.402	0.200	0.339	0.543	0.142	71.206	16.088	0.250	
C:\Data\BAS2023_Mo_batch\DP1__xrf\XRF data\L000009.spe	146.00	6.10	1	0.017515	-0.011353	0.010197	0.089277	31637	10.01	0.118	0.161	0.134	0.000	0.000	0.000	0.349	1.352	5.376	145.273	0.612	0.011	1.094	0.000	0.698	0.543	8.191	0.371	2.429	0.000	0.000	0.000	0.000	0.000	0.000	0.404	0.000	0.000	0.745	1.430	0.000	0.388	0.721	0.000	0.268	0.000	0.587	0.880	6.381	0.983	0.468	0.030	0.114	0.534	0.105	71.383	16.237	0.251	
C:\Data\BAS2023_Mo_batch\DP1__xrf\XRF data\L000010.spe	147.00	6.10	1	0.017516	-0.011353	0.010197	0.089277	32501	10.45	0.081	0.092	0.143	0.000	0.000	0.000	0.118	1.549	6.178	154.072	0.802	0.000	1.210	0.000	0.624	0.842	7.809	0.183	2.632	0.000	0.000	0.000	0.039	0.000	0.000	0.329	0.000	0.000	1.008	1.577	0.000	0.215	0.649	0.067	0.415	0.000	0.309	1.080	7.011	0.952	0.158	0.045	0.364	0.552	0.148	72.894	17.368	0.252	
C:\Data\BAS2023_Mo_batch\DP1__xrf\XRF data\L000011.spe	148.00	6.10	1	0.017520	-0.011353	0.010194	0.089277	32521	9.19	0.112	0.158	0.221	0.000	0.000	0.000	0.433	1.471	5.903	157.748	0.812	0.000	1.232	0.000	0.896	0.308	7.716	0.354	2.201	0.000	0.000	0.000	0.000	0.000	0.000	0.448	0.000	0.000	1.068	1.478	0.000	0.000	0.582	0.000	0.339	0.049	0.462	0.722	6.495	0.916	0.061	0.188	0.155	0.220	0.175	72.325	16.073	0.249	
C:\Data\BAS2023_Mo_batch\DP1__xrf\XRF data\L000012.spe	149.00	6.09	1	0.017519	-0.011353	0.010260	0.089277	32184	9.68	0.091	0.132	0.145	0.000	0.000	0.000	0.371	1.519	5.984	157.037	0.713	0.000	1.196	0.000	0.618	0.561	8.041	0.395	2.415	0.000	0.000	0.000	0.000	0.000	0.000	0.325	0.000	0.000	0.902	1.509	0.000	0.177	0.579	0.000	0.223	0.000	0.430	0.911	6.435	1.027	0.460	0.013	0.115	0.661	0.189	70.647	16.193	0.248	
C:\Data\BAS2023_Mo_batch\DP1__xrf\XRF data\L000013.spe	150.00	6.09	1	0.017518	-0.011353	0.010260	0.089277	31143	9.55	0.130	0.111	0.186	0.000	0.000	0.000	0.191	1.512	6.453	146.951	0.568	0.044	1.311	0.081	0.555	0.486	8.515	0.403	2.556	0.000	0.000	0.000	0.033	0.000	0.000	0.459	0.000	0.000	1.005	1.379	0.000	0.360	0.653	0.076	0.229	0.000	0.371	0.838	6.155	0.878	0.476	0.225	0.528	0.772	0.147	68.426	16.304	0.243	
C:\Data\BAS2023_Mo_batch\DP1__xrf\XRF data\L000014.spe	151.00	6.10	1	0.017516	-0.011353	0.010253	0.089277	30946	9.43	0.050	0.084	0.078	0.000	0.000	0.000	0.414	1.484	6.057	149.620	0.528	0.025	1.075	0.000	0.606	0.476	7.812	0.538	2.690	0.000	0.000	0.000	0.000	0.000	0.000	0.394	0.000	0.000	0.668	1.757	0.000	0.552	0.670	0.000	0.390	0.384	0.355	0.895	6.669	1.000	0.423	0.025	0.048	0.601	0.386	67.398	15.858	0.244	
C:\Data\BAS2023_Mo_batch\DP1__xrf\XRF data\L000015.spe	152.00	6.09	1	0.017515	-0.011353	0.010253	0.089277	31630	9.35	0.130	0.102	0.120	0.000	0.000	0.000	0.155	1.463	5.808	152.891	0.765	0.000	1.232	0.000	0.501	0.430	8.174	0.107	2.548	0.000	0.000	0.000	0.079	0.000	0.000	0.310	0.000	0.000	0.550	1.681	0.000	0.184	0.525	0.112	0.197	0.000	0.414	0.862	6.747	0.806	0.418	0.225	0.000	0.388	0.292	66.957	16.265	0.245	
