C:\Data\BAS2023_Mo_batch\MST1B__rep1     2023-08-21  re-evaluated data
peakarea
filename	position (mm)	sample surface	validity	E-gain	E-offset	F-slope	F-offset	cps	MSE	Mg	Al	Si	P	S	Cl	Ar	K	Ca	Fe	Ni	Cu	Zn	Se	Br	Rb	Sr	Y	Zr	Tc	Rh	Pd	Ag	Cd	In	Sb	Te	I	Dy	Tm	Yb	Lu	Hf	Pb	Fe a*2	Fe a+b	Fe X1	Fe X2	Fe X3	W La	W Lb1	W lb2	W La in	W Lb1 in	W Lb2 in	Mo inc	Mo coh	Dt	
C:\Data\BAS2023_Mo_batch\MST1B__rep1\XRF data\L000000.spe	170.00	6.01	1	0.017510	-0.011353	0.009851	0.089277	43880	1.81	0.000	0.025	0.057	0.107	0.161	0.047	0.488	0.000	0.806	1.602	0.940	0.743	0.000	0.090	10.958	0.982	0.986	0.070	2.219	0.140	0.129	0.122	0.036	0.122	0.171	0.201	0.055	0.049	0.244	1.005	0.686	1.064	1.094	0.000	0.676	0.000	0.348	0.424	0.704	1.400	0.789	0.181	1.468	0.000	0.997	233.219	29.745	0.397	
C:\Data\BAS2023_Mo_batch\MST1B__rep1\XRF data\L000001.spe	171.00	5.99	1	0.017510	-0.011353	0.009830	0.089277	39960	1.89	0.000	0.000	0.027	0.112	0.127	0.094	0.510	0.000	0.755	1.487	0.783	0.434	0.000	0.000	8.103	0.267	0.791	0.613	1.603	0.131	0.071	0.167	0.000	0.217	0.197	0.086	0.074	0.062	0.191	0.696	0.798	0.868	0.813	0.000	0.372	0.097	0.189	0.315	0.579	0.438	0.545	0.294	1.221	0.186	0.320	214.258	27.832	0.380	
C:\Data\BAS2023_Mo_batch\MST1B__rep1\XRF data\L000002.spe	172.00	5.95	1	0.017518	-0.011353	0.009830	0.089277	40603	1.57	0.000	0.000	0.045	0.140	0.187	0.101	0.577	0.000	0.606	0.959	0.973	0.623	0.116	0.000	6.706	0.664	0.706	0.000	1.240	0.128	0.153	0.100	0.000	0.186	0.086	0.143	0.152	0.030	0.264	0.843	0.640	1.198	1.139	0.000	0.434	0.000	0.320	0.446	0.730	1.174	0.559	0.299	1.296	0.284	0.540	222.960	29.365	0.387	
C:\Data\BAS2023_Mo_batch\MST1B__rep1\XRF data\L000003.spe	173.00	5.90	1	0.017526	-0.011353	0.009830	0.089277	43560	1.22	0.000	0.072	0.109	0.238	0.198	0.089	0.226	0.000	0.648	0.850	1.120	0.640	0.178	0.050	9.486	0.000	0.920	0.283	1.945	0.112	0.109	0.131	0.157	0.081	0.202	0.114	0.078	0.024	0.411	0.773	0.368	1.075	1.019	0.000	0.801	0.787	0.261	0.259	0.542	1.287	0.951	0.111	1.094	0.567	0.824	235.601	29.568	0.401	
C:\Data\BAS2023_Mo_batch\MST1B__rep1\XRF data\L000004.spe	174.00	5.94	1	0.017525	-0.011353	0.009813	0.089277	43128	1.47	0.000	0.103	0.096	0.122	0.299	0.060	0.328	0.020	0.766	1.045	0.933	0.852	0.032	0.000	9.934	0.890	0.369	0.033	1.517	0.113	0.110	0.085	0.133	0.077	0.093	0.073	0.075	0.075	0.251	0.845	0.844	1.254	1.369	0.000	0.156	0.000	0.365	0.205	0.508	0.965	0.751	0.265	1.414	0.412	0.569	230.514	30.153	0.396	
C:\Data\BAS2023_Mo_batch\MST1B__rep1\XRF data\L000005.spe	175.00	5.98	1	0.017524	-0.011353	0.009797	0.089277	42205	1.58	0.000	0.000	0.044	0.080	0.188	0.111	0.585	0.000	0.588	0.768	1.106	0.722	0.123	0.000	9.088	1.036	0.579	0.259	1.187	0.132	0.118	0.154	0.000	0.269	0.168	0.124	0.135	0.076	0.406	0.520	0.350	0.699	0.741	0.000	0.324	0.000	0.238	0.166	0.479	0.924	0.389	0.305	1.243	0.075	0.629	227.719	29.599	0.393	
C:\Data\BAS2023_Mo_batch\MST1B__rep1\XRF data\L000006.spe	176.00	6.00	1	0.017533	-0.011353	0.009797	0.089277	42420	1.24	0.000	0.028	0.000	0.193	0.198	0.138	0.439	0.000	0.546	0.750	1.226	0.670	0.096	0.188	10.339	1.007	0.915	0.256	1.557	0.087	0.082	0.147	0.033	0.141	0.157	0.106	0.101	0.018	0.371	0.774	0.289	1.031	0.901	0.000	0.290	0.000	0.233	0.399	0.699	1.205	1.124	0.501	1.453	0.372	0.460	227.948	28.159	0.392	
C:\Data\BAS2023_Mo_batch\MST1B__rep1\XRF data\L000007.spe	177.00	6.00	1	0.017531	-0.011353	0.009819	0.089277	42205	1.34	0.000	0.000	0.054	0.113	0.172	0.074	0.413	0.000	0.700	0.599	0.830	0.596	0.000	0.000	10.796	0.914	0.977	0.245	2.005	0.107	0.113	0.043	0.075	0.083	0.135	0.101	0.053	0.041	0.451	0.738	0.787	1.177	1.120	0.000	0.919	0.100	0.450	0.410	0.669	1.028	1.159	0.125	1.614	0.215	0.366	225.319	28.784	0.393	
C:\Data\BAS2023_Mo_batch\MST1B__rep1\XRF data\L000008.spe	178.00	5.99	1	0.017530	-0.011353	0.009857	0.089277	41945	1.32	0.000	0.019	0.065	0.145	0.220	0.112	0.395	0.000	0.656	0.899	1.026	0.695	0.038	0.078	10.678	1.085	0.526	0.245	1.588	0.122	0.172	0.048	0.209	0.079	0.199	0.164	0.074	0.053	0.309	0.581	0.502	0.944	0.864	0.229	0.275	0.000	0.424	0.254	0.480	1.229	1.055	0.000	1.196	0.270	0.481	223.640	28.382	0.390	
C:\Data\BAS2023_Mo_batch\MST1B__rep1\XRF data\L000009.spe	179.00	6.00	1	0.017529	-0.011353	0.009873	0.089277	40796	1.59	0.000	0.042	0.062	0.201	0.111	0.157	0.686	0.000	0.519	0.376	0.940	0.620	0.000	0.000	9.873	0.319	0.751	0.295	1.446	0.105	0.042	0.151	0.000	0.258	0.168	0.211	0.091	0.031	0.269	0.667	0.586	1.000	0.900	0.000	0.332	0.629	0.434	0.317	0.349	0.783	0.584	0.150	1.113	0.331	0.747	216.446	27.484	0.386	
