C:\Data\BAS2023_Mo_batch\MI1D__rep1     2023-08-23  re-evaluated data
peakarea
filename	position (mm)	sample surface	validity	E-gain	E-offset	F-slope	F-offset	cps	MSE	Mg	Al	Si	P	S	Cl	Ar	K	Ca	Fe	Ni	Cu	Zn	Se	Br	Rb	Sr	Y	Zr	Tc	Rh	Pd	Ag	Cd	In	Sb	Te	I	Dy	Tm	Yb	Lu	Hf	Pb	Fe a*2	Fe a+b	Fe X1	Fe X2	Fe X3	W La	W Lb1	W lb2	W La in	W Lb1 in	W Lb2 in	Mo inc	Mo coh	Dt	
C:\Data\BAS2023_Mo_batch\MI1D__rep1\XRF data\L000000.spe	15.00	4.68	0	0.017511	-0.011353	0.009845	0.089277	1334	0.95	0.000	0.000	0.000	0.000	0.000	0.000	0.602	0.000	0.000	0.106	0.025	0.011	0.000	0.000	0.019	0.030	0.044	0.024	0.000	0.000	0.000	0.068	0.000	0.036	0.010	0.000	0.000	0.000	0.000	0.018	0.033	0.000	0.011	0.021	0.000	0.000	0.013	0.000	0.000	0.044	0.000	0.051	0.000	0.000	0.050	5.877	1.010	0.201	
C:\Data\BAS2023_Mo_batch\MI1D__rep1\XRF data\L000001.spe	16.00	4.71	0	0.017516	-0.011353	0.009815	0.089277	4714	1.49	0.000	0.000	0.000	0.014	0.000	0.000	0.557	0.000	0.000	0.468	0.123	0.000	0.013	0.000	0.000	0.000	0.039	0.237	0.070	0.000	0.021	0.082	0.000	0.035	0.000	0.000	0.000	0.000	0.020	0.000	0.000	0.000	0.000	0.000	0.000	0.169	0.000	0.000	0.000	0.000	0.029	0.000	0.022	0.103	0.028	29.304	4.013	0.272	
C:\Data\BAS2023_Mo_batch\MI1D__rep1\XRF data\L000002.spe	17.00	4.71	0	0.017514	-0.011353	0.009803	0.089277	8625	1.78	0.000	0.000	0.033	0.019	0.029	0.041	0.636	0.000	0.062	0.495	0.233	0.000	0.000	0.000	0.000	0.189	0.025	0.258	0.368	0.041	0.019	0.096	0.000	0.117	0.060	0.016	0.013	0.061	0.052	0.018	0.061	0.031	0.019	0.000	0.000	0.000	0.022	0.023	0.068	0.000	0.214	0.106	0.000	0.121	0.145	53.132	7.595	0.286	
C:\Data\BAS2023_Mo_batch\MI1D__rep1\XRF data\L000003.spe	18.00	4.72	0	0.017521	-0.011353	0.009803	0.089277	12547	1.49	0.000	0.000	0.091	0.046	0.078	0.062	0.680	0.000	0.093	0.599	0.301	0.030	0.013	0.000	0.092	0.142	0.423	0.645	0.473	0.064	0.043	0.074	0.000	0.095	0.070	0.059	0.049	0.000	0.052	0.069	0.150	0.089	0.071	0.000	0.000	0.079	0.024	0.035	0.120	0.000	0.217	0.057	0.000	0.195	0.131	75.724	10.512	0.293	
C:\Data\BAS2023_Mo_batch\MI1D__rep1\XRF data\L000004.spe	19.00	4.73	0	0.017520	-0.011353	0.009785	0.089277	17661	1.77	0.000	0.045	0.033	0.164	0.137	0.082	0.538	0.000	0.119	0.782	0.434	0.015	0.000	0.000	0.282	0.290	0.324	0.652	0.340	0.092	0.093	0.153	0.000	0.123	0.136	0.080	0.106	0.049	0.057	0.171	0.214	0.179	0.108	0.000	0.000	0.000	0.063	0.086	0.191	0.000	0.187	0.095	0.000	0.215	0.145	104.252	14.231	0.302	
C:\Data\BAS2023_Mo_batch\MI1D__rep1\XRF data\L000005.spe	20.00	4.74	0	0.017520	-0.011353	0.009815	0.089277	20655	1.78	0.000	0.000	0.067	0.109	0.161	0.080	0.720	0.000	0.182	1.136	0.586	0.000	0.000	0.000	0.496	0.399	0.497	0.764	0.739	0.117	0.146	0.093	0.000	0.257	0.152	0.121	0.066	0.069	0.130	0.333	0.367	0.330	0.290	0.000	0.118	0.000	0.162	0.178	0.296	0.040	0.278	0.177	0.000	0.258	0.062	119.907	16.258	0.311	
C:\Data\BAS2023_Mo_batch\MI1D__rep1\XRF data\L000006.spe	21.00	4.75	0	0.017528	-0.011353	0.009815	0.089277	24289	1.47	0.000	0.000	0.106	0.127	0.138	0.000	0.533	0.000	0.203	2.984	0.677	0.160	0.101	0.000	0.694	0.000	0.522	0.301	1.003	0.111	0.114	0.119	0.030	0.128	0.181	0.090	0.082	0.076	0.380	0.393	0.236	0.466	0.487	0.000	0.500	0.899	0.195	0.189	0.419	0.217	0.259	0.115	0.266	0.180	0.135	135.423	18.828	0.319	
C:\Data\BAS2023_Mo_batch\MI1D__rep1\XRF data\L000007.spe	22.00	4.76	0	0.017527	-0.011353	0.009790	0.089277	30211	1.54	0.000	0.000	0.044	0.093	0.142	0.069	0.456	0.000	0.303	6.732	0.883	0.274	0.117	0.000	1.116	0.173	0.521	0.042	1.239	0.078	0.117	0.135	0.035	0.182	0.126	0.081	0.089	0.065	0.545	0.428	0.058	0.547	0.525	0.000	0.227	0.000	0.303	0.182	0.680	0.436	0.266	0.000	0.572	0.309	0.321	162.825	21.979	0.336	
C:\Data\BAS2023_Mo_batch\MI1D__rep1\XRF data\L000008.spe	23.00	4.77	1	0.017525	-0.011353	0.009749	0.089277	34446	1.49	0.000	0.000	0.012	0.038	0.147	0.000	0.317	0.000	0.352	9.911	1.008	0.549	0.206	0.075	1.500	0.000	0.772	0.457	1.265	0.087	0.092	0.084	0.086	0.058	0.072	0.048	0.052	0.055	0.870	0.576	0.202	0.752	0.934	0.000	0.141	0.630	0.326	0.362	0.875	1.063	0.431	0.128	0.894	0.155	0.584	178.561	23.862	0.350	
C:\Data\BAS2023_Mo_batch\MI1D__rep1\XRF data\L000009.spe	24.00	4.81	1	0.017531	-0.011353	0.009674	0.089277	36505	1.25	0.000	0.102	0.038	0.176	0.124	0.047	0.426	0.000	0.395	11.663	1.136	0.602	0.082	0.101	1.614	0.000	0.792	0.437	1.162	0.104	0.087	0.120	0.021	0.112	0.096	0.094	0.000	0.034	1.058	0.254	0.000	0.555	0.629	0.000	0.112	0.227	0.253	0.375	0.781	1.257	0.659	0.000	0.927	0.445	0.045	187.441	25.000	0.357	
C:\Data\BAS2023_Mo_batch\MI1D__rep1\XRF data\L000010.spe	25.00	4.84	1	0.017529	-0.011353	0.009685	0.089277	37349	1.47	0.000	0.113	0.072	0.180	0.224	0.040	0.424	0.000	0.373	9.279	1.042	0.760	0.298	0.000	1.470	0.383	0.406	0.460	0.938	0.094	0.084	0.138	0.000	0.232	0.107	0.081	0.081	0.000	0.942	0.423	0.214	0.702	0.936	0.000	0.000	0.000	0.246	0.295	1.003	1.173	0.263	0.000	1.116	0.595	0.576	193.741	25.394	0.362	
C:\Data\BAS2023_Mo_batch\MI1D__rep1\XRF data\L000011.spe	26.00	4.89	1	0.017534	-0.011353	0.009772	0.089277	38351	1.35	0.000	0.000	0.000	0.094	0.149	0.014	0.312	0.000	0.320	8.573	1.014	0.935	0.142	0.000	1.965	0.068	0.589	0.224	1.799	0.058	0.114	0.057	0.144	0.038	0.103	0.031	0.052	0.029	1.096	0.376	0.045	0.750	1.009	0.000	0.000	0.260	0.312	0.458	1.086	1.442	0.628	0.347	1.043	0.340	0.811	198.007	25.805	0.367	
C:\Data\BAS2023_Mo_batch\MI1D__rep1\XRF data\L000012.spe	27.00	4.90	1	0.017536	-0.011353	0.009871	0.089277	39558	1.30	0.000	0.093	0.000	0.115	0.035	0.064	0.293	0.000	0.251	8.308	1.334	0.860	0.000	0.041	1.626	0.136	0.114	0.272	1.180	0.085	0.078	0.095	0.070	0.068	0.076	0.121	0.000	0.000	0.882	0.568	0.000	0.843	1.034	0.000	0.225	0.000	0.275	0.411	0.953	1.455	0.985	0.151	1.110	0.410	0.469	204.849	27.164	0.372	
C:\Data\BAS2023_Mo_batch\MI1D__rep1\XRF data\L000013.spe	28.00	4.97	1	0.017534	-0.011353	0.009881	0.089277	38772	1.54	0.000	0.030	0.102	0.075	0.072	0.036	0.370	0.000	0.312	10.191	1.321	0.604	0.365	0.012	1.636	0.049	0.000	0.266	1.591	0.080	0.116	0.056	0.020	0.102	0.109	0.095	0.000	0.000	1.106	0.497	0.000	0.918	1.024	0.000	0.000	0.000	0.374	0.363	0.842	1.473	0.747	0.211	1.423	0.579	0.600	200.340	26.550	0.371	
C:\Data\BAS2023_Mo_batch\MI1D__rep1\XRF data\L000014.spe	29.00	4.97	1	0.017532	-0.011353	0.009859	0.089277	39904	1.79	0.000	0.122	0.000	0.161	0.111	0.078	0.820	0.000	0.402	9.903	1.120	0.621	0.056	0.000	1.400	0.214	0.099	0.000	1.964	0.070	0.065	0.065	0.000	0.344	0.069	0.068	0.000	0.060	1.214	0.611	0.094	1.037	1.127	0.043	0.358	0.000	0.392	0.462	0.850	1.456	0.934	0.037	1.315	0.350	0.585	207.675	26.823	0.375	
C:\Data\BAS2023_Mo_batch\MI1D__rep1\XRF data\L000015.spe	30.00	4.97	1	0.017529	-0.011353	0.009822	0.089277	40568	1.46	0.000	0.000	0.021	0.114	0.087	0.078	0.504	0.000	0.203	10.274	1.303	0.804	0.308	0.023	1.460	0.235	0.306	0.335	1.366	0.083	0.080	0.100	0.000	0.188	0.140	0.141	0.087	0.000	1.056	0.663	0.000	0.931	0.981	0.204	0.565	0.079	0.401	0.297	0.792	1.380	0.825	0.356	1.285	0.219	0.379	212.588	27.488	0.378	
C:\Data\BAS2023_Mo_batch\MI1D__rep1\XRF data\L000016.spe	31.00	5.00	1	0.017528	-0.011353	0.009808	0.089277	40410	1.54	0.000	0.094	0.165	0.118	0.166	0.026	0.308	0.000	0.211	10.538	0.991	0.825	0.402	0.000	1.209	0.478	0.552	0.649	1.291	0.073	0.052	0.179	0.060	0.062	0.071	0.084	0.052	0.024	1.026	0.786	0.395	0.857	1.003	0.000	0.000	0.000	0.552	0.417	0.858	1.315	0.737	0.245	1.268	0.373	0.717	213.872	27.185	0.377	
C:\Data\BAS2023_Mo_batch\MI1D__rep1\XRF data\L000017.spe	32.00	5.00	1	0.017532	-0.011353	0.009736	0.089277	41144	1.44	0.000	0.048	0.000	0.048	0.121	0.066	0.353	0.000	0.419	10.563	1.016	1.070	0.000	0.000	1.826	0.366	0.047	0.734	1.839	0.013	0.076	0.091	0.000	0.145	0.089	0.026	0.058	0.000	1.119	0.654	0.457	0.984	0.958	0.000	0.252	0.020	0.498	0.291	1.032	1.319	0.614	0.000	1.371	0.101	0.873	215.303	28.439	0.382	
C:\Data\BAS2023_Mo_batch\MI1D__rep1\XRF data\L000018.spe	33.00	5.02	1	0.017533	-0.011353	0.009913	0.089277	41648	1.37	0.000	0.106	0.000	0.107	0.087	0.059	0.460	0.000	0.395	11.336	1.265	0.713	0.259	0.000	2.015	0.000	0.399	0.534	2.013	0.054	0.116	0.035	0.040	0.123	0.044	0.047	0.000	0.017	1.139	0.658	0.000	0.937	0.819	0.080	0.971	0.551	0.398	0.320	0.748	1.646	0.748	0.733	1.423	0.278	0.760	216.872	28.386	0.384	
C:\Data\BAS2023_Mo_batch\MI1D__rep1\XRF data\L000019.spe	34.00	5.02	1	0.017532	-0.011353	0.009892	0.089277	41823	1.49	0.000	0.103	0.000	0.061	0.161	0.046	0.356	0.000	0.344	11.366	0.929	0.784	0.107	0.000	1.674	0.000	0.054	0.359	1.905	0.068	0.022	0.126	0.000	0.072	0.057	0.074	0.000	0.000	1.301	0.436	0.393	1.091	1.269	0.000	0.475	0.508	0.467	0.444	0.597	1.592	0.520	0.335	1.889	0.034	0.731	219.376	27.645	0.383	
C:\Data\BAS2023_Mo_batch\MI1D__rep1\XRF data\L000020.spe	35.00	5.04	1	0.017531	-0.011353	0.009855	0.089277	41038	1.46	0.000	0.000	0.023	0.177	0.162	0.057	0.346	0.000	0.309	11.730	1.222	0.886	0.337	0.331	1.625	0.550	0.176	0.355	1.706	0.093	0.036	0.206	0.094	0.033	0.112	0.065	0.000	0.029	1.410	0.335	0.079	0.896	0.965	0.119	0.000	0.000	0.435	0.295	1.203	1.735	0.559	0.358	1.555	0.500	0.703	212.829	27.220	0.378	
C:\Data\BAS2023_Mo_batch\MI1D__rep1\XRF data\L000021.spe	36.00	5.05	1	0.017530	-0.011353	0.009875	0.089277	40590	1.52	0.000	0.048	0.074	0.157	0.106	0.066	0.480	0.000	0.263	9.908	1.246	0.751	0.226	0.000	1.684	0.365	0.216	0.557	1.753	0.116	0.082	0.097	0.000	0.175	0.131	0.092	0.058	0.000	0.958	0.557	0.000	0.955	0.968	0.000	0.281	0.000	0.400	0.340	0.874	1.757	0.989	0.114	1.411	0.430	0.130	214.502	27.646	0.380	
C:\Data\BAS2023_Mo_batch\MI1D__rep1\XRF data\L000022.spe	37.00	5.06	1	0.017528	-0.011353	0.009923	0.089277	41067	1.43	0.000	0.045	0.000	0.054	0.121	0.039	0.367	0.000	0.275	8.838	1.407	0.809	0.243	0.000	1.580	0.273	0.616	0.290	2.021	0.043	0.083	0.147	0.000	0.157	0.098	0.090	0.041	0.000	0.931	0.505	0.000	0.780	1.051	0.139	0.000	0.000	0.508	0.344	0.845	1.417	0.745	0.038	1.156	0.049	0.659	220.638	29.866	0.382	
