C:\Data\BAS2023_Mo_batch\MI1E__rep1     2023-08-23  re-evaluated data
peakarea
filename	position (mm)	sample surface	validity	E-gain	E-offset	F-slope	F-offset	cps	MSE	Mg	Al	Si	P	S	Cl	Ar	K	Ca	Fe	Ni	Cu	Zn	Se	Br	Rb	Sr	Y	Zr	Tc	Rh	Pd	Ag	Cd	In	Sb	Te	I	Dy	Tm	Yb	Lu	Hf	Pb	Fe a*2	Fe a+b	Fe X1	Fe X2	Fe X3	W La	W Lb1	W lb2	W La in	W Lb1 in	W Lb2 in	Mo inc	Mo coh	Dt	
C:\Data\BAS2023_Mo_batch\MI1E__rep1\XRF data\L000000.spe	566.00	4.53	0	0.017520	-0.011353	0.009827	0.089277	17066	1.99	0.000	0.000	0.052	0.155	0.141	0.077	0.591	0.000	0.125	0.085	0.450	0.000	0.000	0.000	0.436	0.000	0.302	0.616	0.922	0.067	0.093	0.155	0.000	0.152	0.140	0.102	0.091	0.079	0.085	0.176	0.135	0.153	0.132	0.000	0.350	0.355	0.113	0.071	0.132	0.000	0.047	0.000	0.000	0.095	0.136	95.883	12.705	0.288	
C:\Data\BAS2023_Mo_batch\MI1E__rep1\XRF data\L000001.spe	567.00	4.57	0	0.017520	-0.011353	0.009859	0.089277	17919	2.00	0.000	0.000	0.000	0.056	0.102	0.027	0.477	0.000	0.160	0.172	0.461	0.000	0.000	0.000	0.211	0.033	0.358	0.281	0.868	0.075	0.076	0.114	0.056	0.048	0.196	0.069	0.074	0.064	0.076	0.310	0.174	0.227	0.216	0.000	0.000	0.317	0.116	0.131	0.202	0.000	0.035	0.047	0.000	0.135	0.154	103.526	13.982	0.293	
C:\Data\BAS2023_Mo_batch\MI1E__rep1\XRF data\L000002.spe	568.00	4.58	0	0.017530	-0.011353	0.009859	0.089277	20746	1.49	0.000	0.000	0.050	0.113	0.095	0.087	0.751	0.000	0.117	0.760	0.400	0.135	0.021	0.000	0.509	0.253	0.322	0.540	1.159	0.088	0.092	0.101	0.000	0.272	0.118	0.086	0.074	0.070	0.176	0.220	0.369	0.312	0.253	0.051	0.000	0.000	0.146	0.101	0.261	0.000	0.311	0.000	0.273	0.100	0.103	116.428	15.647	0.301	
C:\Data\BAS2023_Mo_batch\MI1E__rep1\XRF data\L000003.spe	569.00	4.58	0	0.017535	-0.011353	0.009941	0.089277	25753	1.34	0.000	0.056	0.000	0.113	0.103	0.040	0.669	0.000	0.140	3.653	0.729	0.209	0.065	0.000	0.548	0.000	0.036	0.559	1.499	0.110	0.032	0.078	0.000	0.138	0.115	0.091	0.050	0.044	0.420	0.464	0.290	0.572	0.743	0.000	0.000	0.607	0.275	0.268	0.639	0.374	0.478	0.342	0.596	0.313	0.313	134.973	17.927	0.313	
C:\Data\BAS2023_Mo_batch\MI1E__rep1\XRF data\L000004.spe	570.00	4.58	0	0.017533	-0.011353	0.009917	0.089277	30132	1.48	0.000	0.014	0.033	0.089	0.146	0.082	0.677	0.000	0.187	4.545	0.857	0.301	0.133	0.069	1.185	0.000	0.309	0.491	1.213	0.092	0.085	0.155	0.000	0.245	0.104	0.088	0.028	0.056	0.504	0.571	0.065	0.638	0.539	0.000	0.075	0.000	0.268	0.242	0.549	0.838	0.538	0.232	0.553	0.318	0.415	158.650	21.045	0.330	
C:\Data\BAS2023_Mo_batch\MI1E__rep1\XRF data\L000005.spe	571.00	4.59	0	0.017531	-0.011353	0.009884	0.089277	32343	1.35	0.000	0.103	0.095	0.135	0.165	0.093	0.422	0.000	0.209	4.187	0.868	0.392	0.237	0.078	1.195	0.000	0.297	0.198	1.854	0.096	0.089	0.126	0.016	0.154	0.133	0.078	0.023	0.040	0.597	0.626	0.348	0.684	0.726	0.000	0.324	0.775	0.313	0.237	0.609	0.568	0.303	0.125	0.896	0.266	0.508	170.424	23.124	0.344	
C:\Data\BAS2023_Mo_batch\MI1E__rep1\XRF data\L000006.spe	572.00	4.59	1	0.017533	-0.011353	0.009836	0.089277	36077	1.27	0.000	0.065	0.078	0.136	0.107	0.076	0.278	0.000	0.321	5.803	0.841	0.562	0.068	0.000	1.036	0.652	0.383	0.153	0.825	0.141	0.065	0.232	0.044	0.090	0.164	0.019	0.061	0.044	0.627	0.706	0.412	0.838	0.806	0.100	0.098	0.000	0.173	0.315	0.931	1.005	0.457	0.217	0.996	0.188	0.503	185.542	24.326	0.357	
C:\Data\BAS2023_Mo_batch\MI1E__rep1\XRF data\L000007.spe	573.00	4.60	1	0.017531	-0.011353	0.009849	0.089277	38429	1.42	0.000	0.058	0.082	0.134	0.138	0.012	0.353	0.000	0.258	8.121	1.277	0.724	0.271	0.000	1.628	0.000	0.000	0.232	2.102	0.108	0.080	0.091	0.000	0.164	0.102	0.075	0.067	0.000	0.904	0.740	0.082	0.908	1.024	0.029	0.000	0.000	0.529	0.395	0.928	1.591	0.766	0.134	1.062	0.077	0.422	192.833	25.491	0.364	
C:\Data\BAS2023_Mo_batch\MI1E__rep1\XRF data\L000008.spe	574.00	4.66	1	0.017529	-0.011353	0.009814	0.089277	38780	1.36	0.000	0.066	0.127	0.206	0.195	0.055	0.374	0.000	0.375	8.889	1.029	0.693	0.201	0.000	1.750	0.032	0.394	0.639	1.629	0.088	0.105	0.078	0.037	0.083	0.121	0.071	0.044	0.000	0.979	0.672	0.275	0.815	1.006	0.109	0.000	0.631	0.338	0.410	0.903	0.924	0.841	0.000	1.299	0.333	0.820	199.597	26.175	0.367	
C:\Data\BAS2023_Mo_batch\MI1E__rep1\XRF data\L000009.spe	575.00	4.71	1	0.017528	-0.011353	0.009856	0.089277	37361	1.33	0.000	0.100	0.084	0.107	0.130	0.026	0.234	0.000	0.227	7.935	0.788	0.629	0.080	0.000	0.984	0.309	0.213	0.155	1.213	0.104	0.072	0.141	0.210	0.027	0.159	0.099	0.068	0.021	0.710	0.666	0.498	0.916	0.917	0.000	0.329	0.000	0.190	0.512	0.822	1.114	0.766	0.287	1.073	0.000	0.529	191.658	24.423	0.360	
