\\Mac\Home\Documents\Steve\23-10_Manchester2_Mo\Marion\MI1I_rep1\XRF data     26/02/2025  re-evaluated data
peakarea
filename	position (mm)	sample surface	validity	E-gain	E-offset	F-slope	F-offset	cps	MSE	Mg	Al	Si	P	S	Cl	Ar	K	Ca	Ti	V	Cr	Mn	Fe	Co	Ni	Cu	Zn	As	Se	Br	Rb	Sr	Y	Zr	Sn	I	Cs	Ba	Ta	W	Ir	Pt	Au	Hg	Pb	Th	U	Fe a*2	Fe a+b	Fe X1	Fe X2	Fe X3	W La	W Lb1	W lb2	W La in	W Lb1 in	W Lb2 in	Mo inc	Mo coh	Dt	
\\Mac\Home\Documents\Steve\23-10_Manchester2_Mo\Marion\MI1I_rep1\XRF data\L000000.spe	564.00	5.46	0	0.017526	-0.012928	0.010011	0.091030	25465	2.24	22	42	25	14	0	0	190	0	0	0	14	0	8	35	0	146	16	0	91	44	317	0	82	163	0	5	0	0	0	0	0	12	164	114	0	0	5	0	0	0	11	19	32	232	101	140	13	0	0	40422	5991	0.296	
\\Mac\Home\Documents\Steve\23-10_Manchester2_Mo\Marion\MI1I_rep1\XRF data\L000001.spe	565.00	5.48	0	0.017526	-0.012928	0.010011	0.091030	27576	1.73	20	43	10	4	0	0	192	0	0	11	0	0	6	36	10	133	15	0	157	73	308	0	13	196	0	0	0	0	0	11	77	38	63	0	44	0	0	0	0	245	0	6	10	0	0	0	0	0	0	43373	6261	0.302	
\\Mac\Home\Documents\Steve\23-10_Manchester2_Mo\Marion\MI1I_rep1\XRF data\L000002.spe	566.00	5.48	0	0.017526	-0.012928	0.010011	0.091030	29689	1.75	17	36	6	0	0	0	202	0	12	4	0	22	0	52	0	178	5	0	128	16	269	0	62	161	0	0	0	0	0	60	98	0	66	0	0	0	0	0	0	0	0	0	38	0	14	0	0	0	0	44954	6431	0.307	
\\Mac\Home\Documents\Steve\23-10_Manchester2_Mo\Marion\MI1I_rep1\XRF data\L000003.spe	567.00	5.51	0	0.017526	-0.012928	0.010011	0.091030	31058	1.55	40	20	23	31	6	0	228	0	10	0	16	34	8	68	0	160	11	0	152	34	413	86	118	101	0	0	0	4	0	0	0	51	95	16	0	0	66	0	0	0	5	8	70	42	98	183	0	0	0	46455	6386	0.310	
\\Mac\Home\Documents\Steve\23-10_Manchester2_Mo\Marion\MI1I_rep1\XRF data\L000004.spe	568.00	5.51	0	0.017526	-0.012928	0.010011	0.091030	33412	3.66	37	25	15	0	0	0	186	0	25	28	13	16	0	221	10	144	0	0	167	0	260	0	0	14	0	0	0	7	0	113	720	70	98	0	0	0	67	0	27	158	0	0	7	0	0	0	0	0	0	48296	6796	0.315	
\\Mac\Home\Documents\Steve\23-10_Manchester2_Mo\Marion\MI1I_rep1\XRF data\L000005.spe	569.00	5.51	0	0.017526	-0.012928	0.010011	0.091030	36597	2.18	48	74	35	32	0	0	216	8	21	23	19	18	13	500	0	182	18	0	0	34	479	113	115	117	0	0	8	0	14	70	0	41	0	0	0	69	138	0	0	0	0	0	71	644	584	301	16	0	200	50323	6984	0.318	
\\Mac\Home\Documents\Steve\23-10_Manchester2_Mo\Marion\MI1I_rep1\XRF data\L000006.spe	570.00	5.51	0	0.017526	-0.012928	0.010011	0.091030	37440	1.64	47	33	11	9	6	0	219	0	27	74	0	7	0	819	18	174	0	0	89	105	457	0	0	66	0	0	0	23	0	43	0	0	0	0	14	0	0	0	0	30	0	0	0	344	456	134	78	10	126	49868	7295	0.318	
\\Mac\Home\Documents\Steve\23-10_Manchester2_Mo\Marion\MI1I_rep1\XRF data\L000007.spe	571.00	5.52	0	0.017526	-0.012928	0.010011	0.091030	40053	2.19	18	47	9	0	0	0	170	0	45	114	8	21	8	1224	8	126	69	0	34	0	423	243	180	65	0	0	0	0	0	39	861	122	97	26	109	0	0	225	74	0	0	0	24	0	0	0	0	0	0	51676	7486	0.323	
\\Mac\Home\Documents\Steve\23-10_Manchester2_Mo\Marion\MI1I_rep1\XRF data\L000008.spe	572.00	5.52	0	0.017526	-0.012928	0.010011	0.091030	46356	1.22	0	20	0	9	0	0	164	10	96	277	0	19	5	2550	139	182	126	8	13	0	717	129	122	91	0	0	14	11	17	0	0	0	69	35	89	139	131	0	0	0	0	9	0	406	459	19	194	198	71	56318	7956	0.334	
\\Mac\Home\Documents\Steve\23-10_Manchester2_Mo\Marion\MI1I_rep1\XRF data\L000009.spe	573.00	5.53	0	0.017526	-0.012928	0.010011	0.091030	47992	1.41	0	13	18	14	0	12	169	0	81	379	53	5	11	3048	0	122	42	0	87	22	619	0	140	101	181	17	0	14	0	95	593	0	0	0	115	0	45	0	90	139	0	40	162	0	0	0	40	59	164	55710	8200	0.338	
