\\Mac\Home\Documents\Steve\23-10_Manchester2_Mo\Marion\MI1J_xrf\XRF data     26/02/2025  re-evaluated data
peakarea
filename	position (mm)	sample surface	validity	E-gain	E-offset	F-slope	F-offset	cps	MSE	Mg	Al	Si	P	S	Cl	Ar	K	Ca	Ti	V	Cr	Mn	Fe	Co	Ni	Cu	Zn	As	Se	Br	Rb	Sr	Y	Zr	Sn	I	Cs	Ba	Ta	W	Ir	Pt	Au	Hg	Pb	Th	U	Fe a*2	Fe a+b	Fe X1	Fe X2	Fe X3	W La	W Lb1	W lb2	W La in	W Lb1 in	W Lb2 in	Mo inc	Mo coh	Dt	
\\Mac\Home\Documents\Steve\23-10_Manchester2_Mo\Marion\MI1J_xrf\XRF data\L000000.spe	1120.00	4.43	0	0.017526	-0.012928	0.010011	0.091030	13406	1.38	20	11	7	6	0	0	207	4	63	14	0	8	6	50	0	88	0	0	33	22	0	0	77	110	0	0	0	5	0	42	0	33	97	0	62	0	0	0	8	0	0	0	12	37	87	0	0	0	0	21820	3394	0.278	
\\Mac\Home\Documents\Steve\23-10_Manchester2_Mo\Marion\MI1J_xrf\XRF data\L000001.spe	1121.00	4.44	0	0.017526	-0.012928	0.010011	0.091030	22918	1.92	0	15	0	0	0	0	163	0	22	33	5	13	0	428	0	129	25	17	76	82	212	135	69	98	161	4	0	0	0	0	0	0	0	15	0	0	66	90	0	0	5	0	24	436	373	214	61	15	160	32670	5128	0.283	
\\Mac\Home\Documents\Steve\23-10_Manchester2_Mo\Marion\MI1J_xrf\XRF data\L000002.spe	1122.00	4.46	0	0.017526	-0.012928	0.010011	0.091030	39076	1.22	8	31	0	15	11	0	164	0	114	427	0	0	0	2598	21	98	108	78	0	44	411	96	265	0	94	0	11	0	0	38	472	13	0	0	41	67	5	0	25	0	9	0	31	0	0	0	22	192	163	46523	7258	0.303	
\\Mac\Home\Documents\Steve\23-10_Manchester2_Mo\Marion\MI1J_xrf\XRF data\L000003.spe	1123.00	4.48	0	0.017526	-0.012928	0.010011	0.091030	46654	1.22	8	26	20	5	0	10	79	25	188	725	24	21	0	2987	86	135	147	85	40	0	612	65	370	129	262	15	8	4	50	39	31	0	0	0	15	21	18	39	0	101	0	22	17	86	406	150	116	177	302	53376	8275	0.326	
\\Mac\Home\Documents\Steve\23-10_Manchester2_Mo\Marion\MI1J_xrf\XRF data\L000004.spe	1124.00	4.55	1	0.017526	-0.012928	0.010011	0.091030	50687	1.33	41	0	39	0	33	0	109	14	267	1205	7	0	0	4785	73	135	66	60	0	34	618	250	431	34	433	16	8	0	43	109	500	64	0	0	50	143	0	60	90	0	0	38	10	0	49	0	116	123	403	55025	8436	0.336	
\\Mac\Home\Documents\Steve\23-10_Manchester2_Mo\Marion\MI1J_xrf\XRF data\L000005.spe	1125.00	4.62	1	0.017526	-0.012928	0.010011	0.091030	50745	1.36	26	54	13	29	18	0	161	16	203	995	9	25	0	5246	92	108	70	104	0	0	904	0	514	69	540	5	21	8	43	49	151	0	0	0	0	102	41	69	0	78	0	20	80	75	138	466	0	193	194	56594	8679	0.339	
\\Mac\Home\Documents\Steve\23-10_Manchester2_Mo\Marion\MI1J_xrf\XRF data\L000006.spe	1126.00	4.67	1	0.017526	-0.012928	0.010011	0.091030	52940	1.28	27	25	13	0	14	0	101	20	298	1648	50	23	0	6836	11	176	96	135	165	0	518	82	451	23	369	8	0	20	25	93	326	93	10	0	37	0	133	0	0	0	0	48	204	0	162	0	0	25	166	58833	9004	0.346	
\\Mac\Home\Documents\Steve\23-10_Manchester2_Mo\Marion\MI1J_xrf\XRF data\L000007.spe	1127.00	4.64	1	0.017526	-0.012928	0.010011	0.091030	62533	1.71	23	20	0	0	14	0	80	14	503	2476	41	0	0	9035	113	144	27	96	110	60	1094	0	563	187	277	0	0	0	42	206	0	0	0	45	0	0	163	201	139	0	0	40	0	745	551	630	72	160	368	65128	9609	0.367	
\\Mac\Home\Documents\Steve\23-10_Manchester2_Mo\Marion\MI1J_xrf\XRF data\L000008.spe	1128.00	4.66	1	0.017526	-0.012928	0.010011	0.091030	63374	1.23	0	14	39	0	24	0	84	14	365	1666	61	6	0	5494	48	218	216	0	70	0	824	379	518	71	443	4	0	12	22	0	131	0	53	0	0	0	0	141	39	0	0	44	30	0	354	178	318	435	242	67248	9818	0.370	
\\Mac\Home\Documents\Steve\23-10_Manchester2_Mo\Marion\MI1J_xrf\XRF data\L000009.spe	1129.00	4.66	1	0.017526	-0.012928	0.010011	0.091030	63994	1.26	7	14	9	0	0	0	93	15	265	1212	14	0	0	4227	39	172	123	23	0	0	1106	132	306	104	276	0	0	16	31	64	265	14	0	0	0	50	0	430	0	0	0	60	49	0	291	569	62	170	247	67729	10231	0.372	
