"Site","sample","min_depth","max_depth","depth","depth_err","SH20_mean_age","SH20_mean_95CI","thickness_cm","depth_next","depth_next_err","interval_cm","interval_cm_err"
"KER1",1,0,1.4,0.7,0.7,-55,15,1.4,3.9,0.8,3.2,1.06301458127347
"KER1",3,3.1,4.7,3.9,0.8,-7,79,1.6,7.1,0.7,3.2,1.06301458127347
"KER1",5,6.4,7.8,7.1,0.7,45,100,1.4,9.9,0.675,2.8,0.972432516938836
"KER1",7,9.3,10.6,9.9,0.675,92,128,1.3,11.4,0.65,1.5,0.937083240699566
"KER1",8,10.7,12,11.4,0.65,120,117,1.3,12.8,0.725,1.4,0.973717104707522
"KER1",9,12.1,13.6,12.8,0.725,147,112,1.5,15.8,0.7,3,1.00778221853732
"KER1",11,15.1,16.5,15.8,0.7,212,118,1.4,18.7,0.7,2.9,0.989949493661166
"KER1",13,18,19.4,18.7,0.7,293,137,1.4,24.7,0.725,6,1.00778221853732
"KER1",17,24,25.5,24.7,0.725,479,52,1.5,29.3,0.7,4.6,1.00778221853732
"KER1",20,28.6,30,29.3,0.7,573,60,1.4,33.7,0.675,4.4,0.972432516938836
"KER1",23,33,34.4,33.7,0.675,655,103,1.4,36.6,0.625,2.9,0.919918474648705
"KER1",25,35.9,37.2,36.6,0.625,710,120,1.3,38,0.7,1.4,0.938416218956173
"KER1",26,37.3,38.7,38,0.7,737,123,1.40000000000001,39.4,0.675,1.4,0.972432516938836
"KER1",27,38.8,40.1,39.4,0.675,764,138,1.3,40.9,0.675,1.5,0.954594154601839
"KER1",28,40.2,41.6,40.9,0.675,791,137,1.4,45.6,0.55,4.7,0.8707037383634
"KER1",36,45.1,46.2,45.6,0.55,897,119,1.1,51.4,0.7,5.8,0.890224690738243
"KER1",40,50.7,52.1,51.4,0.7,1117,173,1.4,53,0.65,1.6,0.95524865872714
"KER1",41,52.3,53.6,53,0.65,1278,361,1.3,60.5,0.65,7.5,0.919238815542512
"KER1",46,59.9,61.2,60.5,0.65,1957,655,1.3,65.1,0.7,4.59999999999999,0.95524865872714
"KER1",49,64.4,65.8,65.1,0.7,2268,661,1.39999999999999,68.3,0.65,3.2,0.95524865872714
"KER1",51,67.6,68.9,68.3,0.65,2504,578,1.30000000000001,77.2,0.7,8.90000000000001,0.95524865872714
"KER1",57,76.5,77.9,77.2,0.7,3132,130,1.40000000000001,86.7,0.7,9.5,0.989949493661166
"KER1",63,86,87.4,86.7,0.7,3445,246,1.40000000000001,93.1,0.65,6.39999999999999,0.95524865872714
"KER1",73,92.4,93.7,93.1,0.65,3646,311,1.3,103.8,0.7,10.7,0.95524865872714
"KER1",80,103.1,104.5,103.8,0.7,3939,275,1.40000000000001,112.9,0.7,9.10000000000001,0.989949493661166
"KER1",86,112.2,113.6,112.9,0.7,4199,163,1.39999999999999,123.5,0.6,10.6,0.921954445729289
"KER1",93,122.9,124.1,123.5,0.6,4468,146,1.19999999999999,130.8,0.55,7.30000000000001,0.813941029804985
"KER1",105,130.3,131.4,130.8,0.55,4622,188,1.09999999999999,135.2,0.6,4.39999999999998,0.813941029804985
"KER1",108,134.6,135.8,135.2,0.6,4718,194,1.20000000000002,138.2,0.6,3,0.848528137423857
"KER1",110,137.6,138.8,138.2,0.6,4787,167,1.20000000000002,144,0.6,5.80000000000001,0.848528137423857
"KER1",114,143.4,144.6,144,0.6,4932,94,1.19999999999999,148.4,0.55,4.40000000000001,0.813941029804985
"KER1",117,147.8,148.9,148.4,0.55,5096,227,1.09999999999999,151.3,0.55,2.90000000000001,0.777817459305202
"KER1",119,150.7,151.8,151.3,0.55,5215,309,1.10000000000002,157.1,0.6,5.79999999999998,0.813941029804985
"KER1",123,156.5,157.7,157.1,0.6,5456,388,1.19999999999999,158.6,0.6,1.5,0.848528137423857
"KER1",124,158,159.2,158.6,0.6,5519,409,1.19999999999999,161.7,0.65,3.09999999999999,0.884590300647707
"KER1",126,161,162.3,161.7,0.65,5646,439,1.30000000000001,169.4,0.6,7.70000000000002,0.884590300647707
"KER1",137,168.8,170,169.4,0.6,5954,455,1.19999999999999,179.6,0.6,10.2,0.848528137423857
"KER1",144,179,180.2,179.6,0.6,6389,361,1.19999999999999,181,0.6,1.40000000000001,0.848528137423857
"KER1",145,180.4,181.6,181,0.6,6444,341,1.19999999999999,182.4,0.55,1.40000000000001,0.813941029804985
"KER1",146,181.9,183,182.4,0.55,6497,318,1.09999999999999,183.8,0.55,1.40000000000001,0.777817459305202
"KER1",147,183.3,184.4,183.8,0.55,6551,309,1.09999999999999,189.7,0.65,5.89999999999998,0.85146931829632
"KER1",151,189,190.3,189.7,0.65,6805,107,1.30000000000001,199,0.625,9.30000000000001,0.901734439843572
"KER1",157,198.4,199.7,199,0.625,6984,193,1.29999999999998,205,0.65,6,0.901734439843572
"KER1",166,204.4,205.7,205,0.65,7089,221,1.29999999999998,211,0.7,6,0.95524865872714
"KER1",170,210.3,211.7,211,0.7,7193,236,1.39999999999998,221.6,0.65,10.6,0.95524865872714
"KER1",177,220.9,222.2,221.6,0.65,7382,249,1.29999999999998,224.7,0.7,3.09999999999999,0.95524865872714
"KER1",179,224,225.4,224.7,0.7,7438,248,1.40000000000001,226.2,0.6,1.5,0.921954445729289
"KER1",180,225.6,226.8,226.2,0.6,7465,240,1.20000000000002,233.8,0.65,7.60000000000002,0.884590300647707
"KER1",185,233.2,234.5,233.8,0.65,7601,237,1.30000000000001,235.3,0.6,1.5,0.884590300647707
"KER1",186,234.7,235.9,235.3,0.6,7628,234,1.20000000000002,238.4,0.65,3.09999999999999,0.884590300647707
"KER1",188,237.8,239.1,238.4,0.65,7681,220,1.29999999999998,242.6,0.7,4.19999999999999,0.95524865872714
"KER1",218,241.9,243.3,242.6,0.7,7750,204,1.40000000000001,NA,NA,NA,NA
