"rowname","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se","Q0.25","Q0.75"
"accrate",1,1144,"0.07","0.07","0.06","0.07","0.04","0.01","1.28","1.27","10.34","170.22","0.002","0.04","0.09"
"accrate_err",2,1143,"0.01","0.14","0.01","0.01","0.01","-3.17","2.37","5.55","-5.52","289.19","0.004","0.00","0.01"
"Dry_mass",3,1149,"20.90","10.12","17.65","19.02","5.72","5.25","78.01","72.76","1.98","4.46","0.299","14.47","23.44"
"Dry_mass_err",4,1149,"1.05","0.51","0.88","0.95","0.28","0.26","3.90","3.64","1.98","4.46","0.015","0.72","1.17"
"C_org_pc",5,1055,"37.79","12.75","39.53","38.72","11.42","1.18","58.65","57.47","-0.56","-0.38","0.393","30.30","45.52"
"C_org_pc_err",6,1055,"3.47","1.15","3.85","3.60","1.02","0.15","5.07","4.92","-0.87","-0.33","0.036","2.77","4.36"
"Dry_density",7,1149,"0.31","0.19","0.24","0.27","0.11","0.02","1.58","1.56","2.07","5.65","0.006","0.18","0.38"
"Dry_density_err",8,1149,"0.52","0.44","0.40","0.46","0.31","0.00","4.86","4.85","2.34","11.88","0.013","0.22","0.69"
"DMAR",9,1144,"0.02","0.02","0.02","0.02","0.01","0.00","0.33","0.33","6.55","90.69","0.001","0.01","0.02"
"DMAR_err",10,1143,"0.04","0.04","0.03","0.03","0.03","-0.41","0.36","0.77","-0.43","24.59","0.001","0.01","0.06"
