"Location","Site","Section","sample","min_depth","max_depth","midpoint","Fe","Fe_sd","Fe_ICP","Fe_ICP_sd","Fe_fit_OLS","Fe_lwr_OLS","Fe_upr_OLS","Fe_fit_WLS","Fe_lwr_WLS","Fe_upr_WLS"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,4.49868218112284,0.224934109056142,5.943882920053,0.29719414600265,5.05016208013473,4.03808573317707,6.0622384270924,5.0533464936637,4.05578525556235,6.05090773176505
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,4.77526453674322,0.238763226837161,5.79254094240942,0.289627047120471,5.26007256637571,4.24603421359735,6.27411091915407,5.26440615182782,4.27031886246706,6.25849344118857
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,3.27611304436587,0.163805652218293,4.41985774210023,0.220992887105011,4.12230071535518,3.11175086695834,5.13285056375203,4.12040547684739,3.10018073440503,5.14063021928975
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,2.63177321354107,0.131588660677054,3.63124035163831,0.181562017581915,3.63328294381482,2.61884218201956,4.64772370561009,3.6287105379914,2.5919361162566,4.6654849597262
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,3.8456062542936,0.19228031271468,4.29698441782345,0.214849220891173,4.55451410199269,3.54470716860702,5.56432103537837,4.5549850506041,3.54677721558991,5.56319288561829
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,4.589623528963,0.22948117644815,5.11463757134918,0.255731878567459,5.1191814595587,4.10652545040784,6.13183746870956,5.12274372525888,4.12639341143197,6.11909403908579
"Bird Island","BI10","BI10.2",45,44,45,44.5,3.66120844190471,0.183060422095236,4.3540560961122,0.21770280480561,4.41456651071015,3.40479680127478,5.42433622014553,4.41427130492169,3.40244681448054,5.42609579536284
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,2.60175507918499,0.13008775395925,5.31484152233614,0.265742076116807,3.61050086444248,2.59580036775966,4.6252013611253,3.60580373628415,2.5681841267602,4.64342334580811
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,2.49853687898812,0.124926843949406,4.54887106984056,0.227443553492028,3.53216404305109,2.51651744287825,4.54781064322393,3.5270380536324,2.48646286903341,4.5676132382314
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,2.56228906851198,0.128114453425599,3.52571668576342,0.176285834288171,3.58054837715607,2.56549582306188,4.59560093125027,3.57568727168516,2.53694659854949,4.61442794482083
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,2.6010977371724,0.13005488685862,3.49959649542173,0.174979824771087,3.61000197874466,2.59529571656762,4.62470824092169,3.60530211939625,2.56766392921622,4.64294030957629
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,2.83388970190524,0.141694485095262,3.58559083008807,0.179279541504403,3.78667801579864,2.77380477131771,4.79955126027956,3.78294538369509,2.75169175947075,4.81419900791943
"Bird Island","BI10","BI10.2",81,86.5,87.5,87,2.57067627256312,0.128533813628156,3.44471116762741,0.17223555838137,3.58691379434485,2.57193706304311,4.6018905256466,3.58208753686483,2.54358604486407,4.62058902886558
"Bird Island","BI10","BI10.3",88,84.8,85.8,85.3,2.47278641567096,0.123639320783548,3.55376607479954,0.177688303739977,3.51262088649755,2.49672547638701,4.52851629660809,3.50738790648872,2.46606350610611,4.54871230687133
"Bird Island","BI10","BI10.3",95,93,94,93.5,3.14917614794375,0.157458807397187,4.53394780132259,0.226697390066129,4.02596273461118,3.01490182272343,5.03702364649893,4.02354008604119,3.0002990276657,5.04678114441668
"Bird Island","BI10","BI10.3",98,96.3,97.3,96.8,2.94923495342757,0.147461747671378,4.25632323302847,0.212816161651424,3.87421858858149,2.8620980278395,4.88633914932348,3.8709652044192,2.84272835124086,4.89920205759754
"Bird Island","BI10","BI10.3",104,103.2,104.2,103.7,2.50398560623888,0.125199280311944,3.30950909748898,0.165475454874449,3.53629932125435,2.5207047149973,4.5518939275114,3.53119597075042,2.49077871215811,4.57161322934273
"Bird Island","BI10","BI10.3",114,114.9,115.9,115.4,4.31464262368915,0.215732131184458,5.23781256754478,0.261890628377239,4.91048638425808,3.89938633579161,5.92158643272455,4.91290613190055,3.91268972084687,5.91312254295423
"Bird Island","BI10","BI10.3",120,121.8,122.7,122.3,2.74993009688985,0.137496504844492,4.21882452377154,0.210941226188577,3.72295738736646,2.70947137511076,4.73644339962216,3.71887591153229,2.68536501813834,4.75238680492623
"Bird Island","BI10","BI10.4",135,129.4,130.4,129.9,4.68847694075842,0.234423847037921,3.5098958356037,0.175494791780185,5.19420565150331,4.18084676487843,6.20756453812819,5.1981786432062,4.20306836801481,6.19328891839759
