"Location","Site","Section","sample","min_depth","max_depth","midpoint","SH20_age","Zr","Zr_sd","Zr_ICP","Zr_ICP_sd","fit","lwr","upr"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,-55.4909090909091,792.363636363636,126.043066233151,2.896325963,0.085387528,60.4696290104695,-121.832794907285,242.772052928224
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,5.21666666666667,898.5,114.744379937637,2.113253146,0.03629458,61.4219917622449,-120.851196531974,243.695180056464
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,132.083333333333,921.5,127.663976552083,6.431024383,0.078886265,61.6283710138073,-120.640251494222,243.896993521837
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,382.866666666667,840.25,91.0595459525848,35.64216716,0.676354366,60.8993138751356,-121.38825782283,243.186885573101
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,541.72,793.2,107.025230670156,40.9140318,0.917402906,60.4771337105264,-121.825007365316,242.779274786369
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,618.7,831.454545454545,100.516032190257,27.74345656,3.945793598,60.820392165299,-121.469702682416,243.110487013014
"Bird Island","BI10","BI10.2",45,44,45,44.5,670.06,866.8,126.178709244732,60.55383697,6.691084732,61.1375473155262,-121.142967058806,243.418061689858
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,800.245454545455,927.181818181818,95.6230287972706,6.355756988,0.110447115,61.6793540304977,-120.588237678726,243.946945739722
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,856.145454545455,922.181818181818,63.1740740839439,31.40903404,0.597663272,61.6344889758102,-120.634007804793,243.902985756413
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,1005.71818181818,860.454545454545,100.4752343977,6.255310392,0.136212551,61.0806094824864,-121.201515210354,243.362734175327
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,1100.56666666667,904,140.341142804369,30.42377281,3.299014819,61.4713433224011,-120.80069579823,243.743382443032
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,1174.81666666667,866.833333333333,131.158359060775,21.97235957,0.521915705,61.1378464158908,-121.142659625953,243.418352457735
"Bird Island","BI10","BI10.2",81,86.5,87.5,87,1349.67272727273,873.909090909091,98.4545118777748,39.24997232,1.135258391,61.2013372660091,-121.077429986625,243.480104518644
"Bird Island","BI10","BI10.3",88,84.8,85.8,85.3,1324,907.818181818182,62.3455181738322,13.33706426,0.180364254,61.505603909617,-120.765658638447,243.776866457681
"Bird Island","BI10","BI10.3",95,93,94,93.5,1444.54545454545,834.545454545455,85.4977936982746,13.96054981,0.385854347,60.8481269263786,-121.441070729108,243.137324581865
"Bird Island","BI10","BI10.3",98,96.3,97.3,96.8,1492.28181818182,857.909090909091,86.3486589883764,13.08141258,0.324463031,61.0577690910092,-121.22501505853,243.340553240548
"Bird Island","BI10","BI10.3",104,103.2,104.2,103.7,1595.6,914.363636363636,104.603319954266,11.39582517,0.228978244,61.5643363448443,-120.705635358613,243.834308048302
"Bird Island","BI10","BI10.3",114,114.9,115.9,115.4,1769.91818181818,866.545454545455,82.2877434814732,8.138802933,0.19067742,61.1352632763785,-121.145314771519,243.415841324276
