"Location","Site","Section","sample","min_depth","max_depth","midpoint","SH20_age","Sr","Sr_sd","Sr_ICP","Sr_ICP_sd","fit","lwr","upr"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,-55.4909090909091,0.00078855167872104,0.00121440553124714,26.58846642,0.463509298,100.752947897145,0.619173983280774,200.886721811009
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,5.21666666666667,0.00010219452499716,0.00014002027351542,25.05462045,0.186955871,98.8884003224956,-1.2687442916306,199.045544936622
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,132.083333333333,0.00028110458139735,0.00054482359629033,46.4043754,0.519109914,99.374424704891,-0.776519206313608,199.525368616096
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,382.866666666667,0.00607563015240897,0.00144861792285657,121.9608593,0.839622095,115.11574617441,15.1240999145592,215.107392434261
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,541.72,0.00910065661283586,0.00287301850356145,150.558177,2.59385652,123.333487796882,23.3929174841959,223.274058109568
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,618.7,0.00365702627736381,0.00244098234533608,145.2111951,2.397227724,108.545403074196,8.49707363685209,208.59373251154
"Bird Island","BI10","BI10.2",45,44,45,44.5,670.06,0.00864283094916737,0.00189286225187321,165.8736664,2.61051165,122.089765448869,22.1428809165123,222.036649981226
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,800.245454545455,0.00666861313434669,0.0022233365336204,110.8952002,2.069414432,116.726634871033,16.7467376048316,216.706532137235
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,856.145454545455,0.00313659776892014,0.00211668290739313,153.965778,1.949345735,107.131614774719,7.0692498666853,207.193979682753
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,1005.71818181818,0.0146458337441863,0.0046217152022715,97.81476508,1.178390202,138.397433025926,38.4931974513917,238.30166860046
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,1100.56666666667,0.0104476707630153,0.00198190814840984,168.0404108,1.955006557,126.992766283467,27.0678429986415,226.917689568292
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,1174.81666666667,0.00977149048907702,0.00258756889327168,114.9998151,1.529219743,125.155865068178,25.2236340982014,225.088096038155
"Bird Island","BI10","BI10.2",81,86.5,87.5,87,1349.67272727273,0.00960812434758569,0.00251783437314418,209.897137,2.629036009,124.712067052459,24.7779051684554,224.646228936463
"Bird Island","BI10","BI10.3",88,84.8,85.8,85.3,1324,0.00940245263679472,0.00201882629301144,130.9618352,0.711514938,124.153342360149,24.2166580266372,224.090026693661
