"Location","Site","Section","sample","min_depth","max_depth","midpoint","Mn","Mn_sd","Mn_ICP","Mn_ICP_sd","fit","lwr","upr"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,-7.75588748734083,4.28e-05,3.53646344341951,0.178633186,3.88297996903959,2.51898498668555,5.24697495139363
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,-7.14521583119114,7.89e-05,3.33468347892019,0.234649235,4.31503308770807,2.95393537153538,5.67613080388075
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,-8.08913849352894,3.07e-05,3.6160372217274,0.366072293,3.64720328762162,2.28072659526029,5.01367997998296
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,-7.26659828575724,6.98e-05,4.08682416932195,0.237697509,4.22915442031161,2.86765141707176,5.59065742355147
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,-6.77326984160307,0.000114395,4.99824535279201,0.305567488,4.5781866550293,3.21780243061584,5.93857087944277
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,-7.01784585263606,8.96e-05,5.00469055174463,0.185893427,4.40514795697583,3.04438431926599,5.76591159468567
"Bird Island","BI10","BI10.2",45,44,45,44.5,-7.19577074033516,7.5e-05,6.21202271619992,6.046753704,4.27926524759348,2.91800903509937,5.64052146008759
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,-7.16986057698434,7.69e-05,4.0200614892263,0.688199618,4.29759681213916,2.93642366917511,5.65876995510322
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,-7.22413591045745,7.29e-05,5.46278507773667,13.60034647,4.25919675401025,2.89784517115155,5.62054833686894
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,-6.61982823653795,0.000133366,3.59863321185762,0.120334052,4.68674732480048,3.32642508145487,6.04706956814608
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,-6.94724378798953,9.61e-05,4.48256118016038,0.148073757,4.45509925553011,3.09448054122027,5.81571796983995
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,-6.96018606217011,9.49e-05,3.8394514938833,0.203261185,4.44594253462114,3.08529940405107,5.8065856651912
"Bird Island","BI10","BI10.2",81,86.5,87.5,87,-6.8661096237635,0.000104252,4.83236728974649,1.234445563,4.51250206493088,3.15201441829057,5.8729897115712
"Bird Island","BI10","BI10.3",88,84.8,85.8,85.3,-7.53717301561923,5.33e-05,4.04698604695415,0.585720892,4.03772150428792,2.67501021118714,5.4004327973887
"Bird Island","BI10","BI10.3",95,93,94,93.5,-6.59370322102902,0.000136896,4.0993273690619,0.569052976,4.70523089827606,3.34490568147998,6.06555611507213
"Bird Island","BI10","BI10.3",98,96.3,97.3,96.8,-6.49563966790817,0.000151001,3.98932974180479,0.421691157,4.77461133132369,3.41423983890777,6.1349828237396
"Bird Island","BI10","BI10.3",104,103.2,104.2,103.7,-6.75600977498701,0.000116386,3.85878807296499,0.811856875,4.59039823474616,3.23002775941928,5.95076871007303
"Bird Island","BI10","BI10.3",114,114.9,115.9,115.4,-7.15485090465285,7.81e-05,3.65876255272653,0.081961578,4.30821622713199,2.94708943846515,5.66934301579883
"Bird Island","BI10","BI10.3",120,121.8,122.7,122.3,-7.4326578530621,5.92e-05,3.46948661196281,0.26750503,4.11166648188138,2.7494717630995,5.47386120066327
"Bird Island","BI10","BI10.4",135,129.4,130.4,129.9,-6.75406985022452,0.000116612,3.62506547789696,0.316767608,4.59177074079778,3.23140170339845,5.9521397781971
"Bird Island","BI10","BI10.4",145,141,142,141.5,-7.2882239182299,6.84e-05,3.94762045054329,0.049962394,4.21385418186285,2.85227007576833,5.57543828795738
"Bird Island","BI10","BI10.4",155,152.7,153.8,153.2,-7.01542846680589,8.98e-05,4.4164307444794,1.100044802,4.40685826901739,3.04610006828707,5.7676164697477
"Bird Island","BI10","BI10.4",165,164.8,165.8,165.3,-6.76037115503114,0.00011588,3.75737411214651,0.699855742,4.5873125374966,3.22693875015596,5.94768632483724
"Bird Island","BI10","BI10.4",168,168.4,170,169.2,-6.68192095105649,0.000125337,5.39102641133193,1.571294805,4.6428164321773,3.2824854616182,6.0031474027364
"Bird Island","BI10","BI10.5",181,174.6,175.6,175.1,-7.10564661821342,8.2e-05,3.71777756776048,0.168930879,4.34302849522063,2.98204456894292,5.70401242149833
"Bird Island","BI10","BI10.5",191,186.6,187.6,187.1,-6.93830211917246,9.7e-05,4.80718666901724,1.392426748,4.46142552900229,3.10082311975542,5.82202793824917
"Bird Island","BI10","BI10.5",194,190.3,191.3,190.8,-7.15960699443309,7.77e-05,5.49569256244799,1.438405031,4.30485127085553,2.94370993433981,5.66599260737125
"Bird Island","BI10","BI10.5",197,194,195,194.5,-7.18405042921007,7.59e-05,4.21641311097253,0.637151851,4.28755742379383,2.92633926591192,5.64877558167574
"Bird Island","BI10","BI10.5",202,199.9,200.8,200.3,-6.53713630645964,0.000144863,3.74336890123433,0.50833131,4.74525226099535,3.38490711861941,6.10559740337128
"Bird Island","BI10","BI10.6",218,209.5,210.5,210,-6.75966463844325,0.000115962,5.07847074812285,4.267333565,4.58781240136307,3.22743915799296,5.94818564473318
"Bird Island","BI10","BI10.6",228,221.4,222.4,221.9,-6.90439493127993,0.000100337,4.29914195414763,0.458479319,4.48541502667542,3.12487026010905,5.84595979324178
"Bird Island","BI10","BI10.6",239,234.2,235.2,234.7,-6.83240572077262,0.000107826,3.9379798934123,0.280653345,4.53634773756342,3.175903382124,5.89679209300283
"Bird Island","BI10","BI10.6",247,243.9,245,244.5,-7.36108430535794,6.36e-05,4.17148780111106,1.00218427,4.16230510934728,2.80042796194231,5.52418225675226
"Bird Island","BI10","BI10.7",259,250.7,251.7,251.2,-7.1783652460075,7.63e-05,3.71531404759859,0.20369105,4.29157971811212,2.93037973466314,5.65277970156111
"Bird Island","BI10","BI10.7",271,265,266,265.5,-6.76921930519076,0.000114859,4.04078412348808,0.770254564,4.58105242892203,3.22067158535941,5.94143327248465
"Bird Island","BI10","BI10.7",280,275.9,276.9,276.4,-7.40292739402794,6.09e-05,3.67060434951071,0.284820113,4.13270092390239,2.77064169241553,5.49476015538925
"Bird Island","BI10","BI10.8",300,289.7,290.8,290.3,-6.42716229043215,0.000161703,4.01830325933705,0.815337755,4.82305940353862,3.46262271708577,6.18349608999147
"Bird Island","BI10","BI10.8",303,293.4,294.4,293.9,-6.77103709457683,0.00011465,4.00298409034192,0.753154456,4.57976633423362,3.21938398512264,5.9401486833446
"Bird Island","BI10","BI10.8",311,303.1,304,303.6,-6.16045330203936,0.00021113,4.38980958875902,1.855020668,5.01175728897605,3.6508090365302,6.37270554142189
"Bird Island","BI10","BI10.8",318,311.7,312.8,312.2,-6.73746750525473,0.000118565,4.26212573508231,1.987543814,4.60351697930282,3.24315936047534,5.9638745981303
"Bird Island","BI10","BI10.8",326,321.7,322.8,322.2,-7.12836703798899,8.02e-05,5.60776646978262,4.718080418,4.32695368951672,2.96590552777246,5.68800185126097
"Bird Island","BI10","BI10.9",342,332.1,333.1,332.6,-6.67471446752992,0.000126243,3.87669896856894,0.742906646,4.64791505375395,3.28758623656241,6.00824387094549
"Bird Island","BI10","BI10.9",348,339.5,340.5,340,-7.0508488149572,8.67e-05,4.26621517220479,1.139627929,4.381798203221,3.02095697085526,5.74263943558675
"Bird Island","BI10","BI10.9",361,355.7,356.7,356.2,-6.83042763838514,0.00010804,4.1458801859122,1.032756436,4.53774724031729,3.17730522218281,5.89818925845177
"Bird Island","BI10","BI10.9",365,360.7,361.7,361.2,-6.25789510776332,0.000191527,4.25477583690087,1.552356955,4.94281674518666,3.58210291408673,6.30353057628659
"Bird Island","BI10","BI10.9",372,369.1,371,370.1,-6.67217419543638,0.000126564,4.61205455325781,1.179209481,4.64971230841483,3.28938417889089,6.01004043793877
