"Location","Site","Section","sample","min_depth","max_depth","midpoint","Mn","Mn_sd","Mn_ICP","Mn_ICP_sd","Mn_fit_OLS","Mn_lwr_OLS","Mn_upr_OLS","Mn_fit_WLS","Mn_lwr_WLS","Mn_upr_WLS"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,-7.75588748734083,-10.0589724553765,3.53646344341951,-1.72242081593052,3.67547746352466,2.51478586047239,4.83616906657694,3.70828277195435,2.35146056570386,5.06510497820485
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,-7.14521583119114,-9.44732933011245,3.33468347892019,-1.44966349692175,4.17736177850745,3.02002572504511,5.33469783196978,4.1967764054308,2.93512872593956,5.45842408492205
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,-8.08913849352894,-10.3912479033711,3.6160372217274,-1.00492444322772,3.40159304253714,2.23830463272235,4.56488145235194,3.44170580995988,2.032613890594,4.85079772932576
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,-7.26659828575724,-9.56987654819595,4.08682416932195,-1.43675638426703,4.07760285004344,2.91974499635407,5.2354607037328,4.09967912627241,2.81918265144441,5.38017560110041
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,-6.77326984160307,-9.07585318626743,4.99824535279201,-1.18558461478387,4.48304791329875,3.3268605572862,5.6392352693113,4.49430658565311,3.29017634171942,5.69843682958679
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,-7.01784585263606,-9.32015523798339,5.00469055174463,-1.68258174259904,4.28204159096106,3.12517539395337,5.43890778796875,4.29866327539376,3.05675399058445,5.54057256020307
"Bird Island","BI10","BI10.2",45,44,45,44.5,-7.19577074033516,-9.49802244442796,6.21202271619992,1.7995215501821,4.13581291065146,2.9782683049624,5.29335751634052,4.15633609514436,2.88684247051331,5.4258297197754
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,-7.16986057698434,-9.47300468145268,4.0200614892263,-0.373676340690111,4.15710734024134,2.9996711859527,5.31454349452999,4.1770623720425,2.91159071553811,5.4425340285469
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,-7.22413591045745,-9.52642191894966,5.46278507773667,2.6100952681528,4.11250081841198,2.95483371289282,5.27016792393114,4.13364598847626,2.85974739782389,5.40754457912864
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,-6.61982823653795,-8.922413329532,3.59863321185762,-2.11748363703603,4.60915485484819,3.45324323595298,5.76506647374339,4.61704889148946,3.43653238294405,5.79756540003487
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,-6.94724378798953,-9.25012124198803,4.48256118016038,-1.91004477124907,4.3400663387853,3.18342628108002,5.49670639649059,4.35513987577764,3.12415328702443,5.58612646453085
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,-6.96018606217011,-9.26268685234839,3.8394514938833,-1.59326350131805,4.32942964990998,3.17274997050193,5.48610932931803,4.34478698240809,3.11179912882135,5.57777483599483
"Bird Island","BI10","BI10.2",81,86.5,87.5,87,-6.8661096237635,-9.16869951281711,4.83236728974649,0.210621932435521,4.40674695843453,3.25033653489699,5.56315738197207,4.42004140228983,3.20159009706508,5.63849270751458
"Bird Island","BI10","BI10.3",88,84.8,85.8,85.3,-7.53717301561923,-9.83957422679248,4.04698604695415,-0.534911896384269,3.85522931824299,2.69594880971589,5.01450982677009,3.88323870106821,2.56059995047757,5.20587745165885
"Bird Island","BI10","BI10.3",95,93,94,93.5,-6.59370322102902,-8.89628904450433,4.0993273690619,-0.563781745499,4.63062586202623,3.47474964773781,5.78650207631464,4.63794703474217,3.46144387290467,5.81445019657968
"Bird Island","BI10","BI10.3",98,96.3,97.3,96.8,-6.49563966790817,-8.79822409865472,3.98932974180479,-0.863482088333298,4.71122000568299,3.55544671237841,5.86699329898756,4.71639086113106,3.55493310068829,5.87784862157383
"Bird Island","BI10","BI10.3",104,103.2,104.2,103.7,-6.75600977498701,-9.05859830481463,3.85878807296499,-0.208431216671758,4.49723320685696,3.34108264938195,5.65338376433196,4.50811340404793,3.30664288080347,5.70958392729239
"Bird Island","BI10","BI10.3",114,114.9,115.9,115.4,-7.15485090465285,-9.45752050111863,3.65876255272653,-2.50150470250249,4.16944313320036,3.01206829900563,5.3268179673951,4.18906903601759,2.92592652252075,5.45221154951443
"Bird Island","BI10","BI10.3",120,121.8,122.7,122.3,-7.4326578530621,-9.73458901607431,3.46948661196281,-1.31861690908455,3.94112575741298,2.78243719482346,5.0998143200025,3.96684335341579,2.66050289468076,5.27318381215082
"Bird Island","BI10","BI10.4",135,129.4,130.4,129.9,-6.75406985022452,-9.05665837339139,3.62506547789696,-1.14958687174424,4.49882754614017,3.34268103299256,5.65497405928777,4.50966520506302,3.30849356345855,5.71083684666749
"Bird Island","BI10","BI10.4",145,141,142,141.5,-7.2882239182299,-9.59013773333577,3.94762045054329,-2.99648467653814,4.0598296889178,2.90187129545369,5.21778808238191,4.08238016753344,2.79852177768992,5.36623855737695
"Bird Island","BI10","BI10.4",155,152.7,153.8,153.2,-7.01542846680589,-9.31792558265612,4.4164307444794,0.095350908065827,4.28402833460506,3.12717028522253,5.44088638398759,4.30059701110231,3.05906193583717,5.54213208636745
"Bird Island","BI10","BI10.4",165,164.8,165.8,165.3,-6.76037115503114,-9.06295538506313,3.75737411214651,-0.356881048033865,4.49364877942565,3.33748906181868,5.64980849703262,4.50462461205428,3.30248209646648,5.70676712764208
"Bird Island","BI10","BI10.4",168,168.4,170,169.2,-6.68192095105649,-8.98450444835127,5.39102641133193,0.451899996028887,4.55812356957773,3.40211432328005,5.7141328158754,4.56737916239343,3.3773154893132,5.75744283547367
"Bird Island","BI10","BI10.5",181,174.6,175.6,175.1,-7.10564661821342,-9.40879131070002,3.71777756776048,-1.77826564772238,4.20988198335033,3.05270042003874,5.36706354666192,4.22842894477275,2.9729177578378,5.4839401317077
"Bird Island","BI10","BI10.5",191,186.6,187.6,187.1,-6.93830211917246,-9.24079957946089,4.80718666901724,0.331048086767764,4.34741510515405,3.19080194099652,5.50402826931157,4.36229257108584,3.13268836655615,5.59189677561553
"Bird Island","BI10","BI10.5",194,190.3,191.3,190.8,-7.15960699443309,-9.46265530059067,5.49569256244799,0.363534882365365,4.16553431110699,3.00814016606439,5.3229284561496,4.18526450447516,2.92138402072766,5.44914498822267
"Bird Island","BI10","BI10.5",197,194,195,194.5,-7.18405042921007,-9.48609387356269,4.21641311097253,-0.450747267203687,4.14544532155699,2.98795018082316,5.30294046229083,4.16571150549673,2.89803740238969,5.43338560860376
"Bird Island","BI10","BI10.5",202,199.9,200.8,200.3,-6.53713630645964,-8.83972208976084,3.74336890123433,-0.676621858944525,4.67711573409323,3.52130466665678,5.83292680152968,4.68319651923074,3.51537587833948,5.85101716012199
"Bird Island","BI10","BI10.6",218,209.5,210.5,210,-6.75966463844325,-9.06224800673289,5.07847074812285,1.45098917434009,4.49422943449645,3.33807120712476,5.65038766186814,4.50518977477577,3.30315612157394,5.70722342797761
"Bird Island","BI10","BI10.6",228,221.4,222.4,221.9,-6.90439493127993,-9.20697603770076,4.29914195414763,-0.77984009408263,4.37528193931453,3.21876718750281,5.53179669112625,4.38941589545793,3.16505175645408,5.61378003446177
"Bird Island","BI10","BI10.6",239,234.2,235.2,234.7,-6.83240572077262,-9.13499174118633,3.9379798934123,-1.27063501890494,4.43444672162884,3.27812217880663,5.59077126445106,4.44700211328494,3.23375267377147,5.66025155279841
"Bird Island","BI10","BI10.6",247,243.9,245,244.5,-7.36108430535794,-9.6628970876182,4.17148780111106,0.00218188795034607,3.9999489246562,2.84163494751114,5.15826290180127,4.02409707073951,2.72890360059743,5.31929054088159
"Bird Island","BI10","BI10.7",259,250.7,251.7,251.2,-7.1783652460075,-9.48083761967386,3.71531404759859,-1.59115089387714,4.15011772488281,2.99264633565372,5.3075891141119,4.17025924530361,2.90346761588205,5.43705087472516
"Bird Island","BI10","BI10.7",271,265,266,265.5,-6.76921930519076,-9.07180526881711,4.04078412348808,-0.261034216174002,4.48637687194967,3.33019828328172,5.64255546061761,4.4975467249811,3.29404073383291,5.70105271612929
"Bird Island","BI10","BI10.7",280,275.9,276.9,276.4,-7.40292739402794,-9.70627738324842,3.67060434951071,-1.25589748044913,3.96555992087254,2.80702999568446,5.12408984606062,3.99062559353168,2.68891684484899,5.29233434221436
"Bird Island","BI10","BI10.8",300,289.7,290.8,290.3,-6.42716229043215,-8.72974923867762,4.01830325933705,-0.204152828278014,4.76749856608492,3.6117690679868,5.92322806418305,4.77116786379253,3.62019780083511,5.92213792674996
"Bird Island","BI10","BI10.8",303,293.4,294.4,293.9,-6.77103709457683,-9.07362654866036,4.00298409034192,-0.283484951366715,4.48488291038845,3.32870039711493,5.64106542366197,4.49609262352878,3.29230648772778,5.69987875932979
"Bird Island","BI10","BI10.8",311,303.1,304,303.6,-6.16045330203936,-8.46303650046428,4.38980958875902,0.617895837776305,4.98669501411272,3.83091598564681,6.14247404257863,4.98451597240179,3.87424067911461,6.09479126568898
"Bird Island","BI10","BI10.8",318,311.7,312.8,312.2,-6.73746750525473,-9.0400492245662,4.26212573508231,0.686899612083241,4.51247228705512,3.35635962910413,5.66858494500612,4.52294589319853,3.32433170022375,5.72156008617332
