Location,Site,Section,sample,min_depth,max_depth,midpoint,SH20_age,kcps,cps,MSE,K,Ca,Ti,Mn,Fe,Co,Ni,Cu,Zn,Rb,Sr,Zr,Mo_inc,Mo_coh,coh_inc,K_sd,Ca_sd,Ti_sd,Mn_sd,Fe_sd,Co_sd,Ni_sd,Cu_sd,Zn_sd,Rb_sd,Sr_sd,Zr_sd,Mo_inc_sd,Mo_coh_sd,coh_inc_sd,K_ICP_clr,Ca_ICP_clr,Ti_ICP_clr,Mn_ICP_clr,Fe_ICP_clr,Co_ICP_clr,Ni_ICP_clr,Cu_ICP_clr,Zn_ICP_clr,Rb_ICP_clr,Sr_ICP_clr,Zr_ICP_clr,K_ICP_sd_clr,Ca_ICP_sd_clr,Ti_ICP_sd_clr,Mn_ICP_sd_clr,Fe_ICP_sd_clr,Co_ICP_sd_clr,Ni_ICP_sd_clr,Cu_ICP_sd_clr,Zn_ICP_sd_clr,Rb_ICP_sd_clr,Sr_ICP_sd_clr,Zr_ICP_sd_clr
Bird Island,BI10,BI10.1,1,0,1.1,0.6,-55.49090909,20689.81818,52220.36364,1.329090909,-2.98103716,-0.767578792,-2.345884202,-1.946560243,4.155324006,-0.803575425,0.703849506,-0.251610327,-3.185062353,-2.78558991,-2.321797533,2.225453996,6.112981185,4.191087251,0.146376585,9.831304362,15.8113883,17.90581419,11.56955252,835.9219298,58.91087259,26.46163604,47.18262392,18.15488915,39.54950867,47.40272336,126.0430662,1611.558568,191.8406062,0.003886984,3.885927429,3.750951993,1.3057106,-0.073203654,5.944315562,-3.900669272,-2.695346028,-2.12480117,-0.467990682,-2.771012361,-0.319028974,-2.534853442,6.957609866,3.879913655,1.395007005,0.008712644,5.878009557,-3.903310362,-3.210163181,-3.210163181,-2.111550892,-3.903310362,-0.074668965,-1.706085784
Bird Island,BI10,BI10.1,4,3.9,5,4.5,5.216666667,24515.91667,60507.16667,1.321666667,-2.755921689,-0.894428333,-2.502278318,-1.163270891,3.908789392,-0.41443066,0.849372726,-0.118906829,-3.922213837,-1.940861951,-3.507188195,2.177893464,6.103974465,4.179470656,0.145989152,8.979353422,12.12404323,12.82634599,18.95608961,710.0685573,41.30476163,34.79322034,46.75557008,0,72.09148229,7.216878365,114.7443799,654.3573009,185.3877795,0.003613515,3.842318353,3.891430457,1.030659169,-0.019162955,5.792405662,-3.625804311,-2.256094078,-2.16964027,-0.824839141,-2.92609973,-0.130493638,-2.604679518,7.374311474,3.947943354,1.11473001,0.42158283,4.410566876,-4.183587356,-2.797292995,-3.490440176,-0.657226832,-3.490440176,-0.546001196,-2.104145815
Bird Island,BI10,BI10.1,10,11.7,12.8,12.3,132.0833333,21782.66667,52798.33333,1.291666667,-2.505148149,-0.23111857,-1.888550623,-2.100589775,2.82080103,-1.633479576,1.016599899,-0.405780057,-3.166269882,-2.636462172,-2.745337407,2.584437106,6.414675565,4.476222613,0.143955505,8.558178792,15.82001034,7.786935446,12.28789747,185.3448874,34.65796074,24.60028948,53.7623136,12.70170592,44.55937476,24.83445188,127.6639766,1322.154016,252.6443782,0.003010999,3.483158696,3.983050981,1.972261984,-0.248702581,4.419822994,-3.300004706,-2.589859949,-2.096603493,-1.224140985,-2.378015953,-0.022321034,-1.998645955,7.090541924,4.206926948,2.319857299,0.017272206,4.602239685,-4.58789798,-3.894750799,-3.201603619,-2.508456438,-2.285312887,0.056492919,-1.815309258
Bird Island,BI10,BI10.1,22,26.7,27.8,27.2,382.8666667,21759.58333,52292.16667,1.33,-3.167689593,-0.386396844,-1.848938187,-1.896329693,2.103870805,-1.808746923,0.10809045,-0.87552325,-1.086096427,-1.86475888,0.283182209,1.524601401,5.412667964,3.502066967,0.148022999,9.208033383,20.78224038,13.74083717,8.639233973,127.3064485,34.22341924,17.30650605,47.77686457,60.62471493,79.60394386,60.54368571,91.05954595,1078.149453,98.40650847,0.003202734,3.715418217,3.961938836,2.180188835,-0.701814674,3.630671515,-4.639155487,-2.843131619,-1.861770593,-0.375994204,-1.851194079,0.007533886,-1.222690633,6.799778663,4.138645382,1.972192464,-1.11884999,2.906501701,-5.030872995,-3.239113526,-2.140501237,-0.243381252,-2.632977722,-0.600056196,-0.81136529
Bird Island,BI10,BI10.1,30,36.3,37.2,36.7,541.72,22119.4,57449,1.346,-2.740641009,-0.30241259,-1.418930394,-1.964979555,3.300910602,-0.773030156,-0.331505888,-0.828806928,-1.472979162,-2.515706873,0.126757141,0.990172415,4.881098103,3.050054293,0.160262792,22.63748121,27.90877998,27.37821518,17.53377693,1003.562881,53.02368444,38.55443482,51.66827954,26.91323508,37.44922488,106.5574441,107.0252307,967.395593,126.3232186,0.00242683,4.177054782,3.509523111,2.050777779,-0.534239142,4.29709705,-2.824068103,-3.244995705,-2.296702242,-1.030975301,-1.766305606,-0.51708974,-1.820076884,7.373298131,3.708982621,2.48520719,-1.609137372,2.58051737,-3.911722465,-4.134866017,-3.3239358,-1.10231977,-1.10231977,0.035667684,-0.999371801
Bird Island,BI10,BI10.1,34,40.9,41.9,41.4,618.7,23491.90909,61638.18182,1.349090909,-3.156067766,-0.062600474,-1.81133849,-1.749503269,4.065444657,0.32376374,0.211139681,-0.302331379,-3.04005716,-4.270946483,-0.682451987,1.515214948,5.412351494,3.547382488,0.154934023,8.141922936,21.74898117,12.9340987,17.27057403,985.4789791,60.44802426,38.94448263,51.50145629,19.22167337,9.902249515,98.66794635,100.5160322,1249.597652,167.3362429,0.003348951,3.955764376,3.711772129,2.005960647,-0.328331197,5.114725491,-3.765747092,-3.027694408,-2.109409657,-0.909588887,-2.28395278,-0.354096533,-2.009402089,6.870196761,2.474376804,1.25798148,-1.514607243,4.337595237,-4.040335887,-3.124045155,-2.430897975,-1.207122543,-3.229405671,0.054008675,0.552255517
Bird Island,BI10,BI10.2,45,44,45,44.5,670.06,23876.4,60911.7,1.358,-3.217537635,-0.167829959,-2.06170206,-2.44024756,3.130644953,-0.487779104,-0.297864024,-0.73909852,-0.114937323,-3.012761494,0.213719166,1.07951738,4.986909629,3.12896655,0.156005654,7.572611468,30.23978248,14.82640288,16.00694294,1156.003537,73.9541149,38.77929001,30.11016809,53.05091894,51.60415573,85.43750152,126.1787092,801.7086545,145.3142572,0.002073748,5.301169806,3.482641142,2.202372633,0.406280546,4.353895057,-3.953157453,-3.573090535,-3.287017474,-1.657492803,-0.877623639,-0.695121201,-1.70285608,8.257517156,3.327568985,1.423331532,0.576033672,2.421860363,-5.127748803,-4.722283695,-3.741454442,-2.35516008,-0.48817719,-0.256375576,0.684888077
Bird Island,BI10,BI10.2,51,51.9,52.9,52.4,800.2454545,24296.54545,57427.36364,1.319090909,-3.113580671,0.435687656,-2.721570361,-1.546552115,2.086180908,-1.095407209,0.586172163,-0.078672035,-3.911169966,-3.195706507,0.793750601,1.960324151,5.8529021,3.947641286,0.148821988,8.412112479,15.58437446,14.03890698,16.98716093,180.1123892,35.1692014,31.43044268,36.71908099,10.8544084,61.23605593,99.87519485,95.6230288,298.8807302,161.2279583,0.003551217,2.95210332,3.986177088,0.843199746,-0.838558828,5.314439789,-2.028346997,-2.594882209,-1.439647864,0.174664144,-3.199984421,-0.155281625,-3.013882142,6.016363954,3.786982265,0.953768921,-0.43252544,4.865791927,-3.091785477,-3.245936157,-2.552788976,-0.526836119,-3.428257713,0.295023167,-2.639800353
Bird Island,BI10,BI10.2,54,55.3,56.3,55.8,856.1454545,24361,56855.45455,1.398181818,-3.541231519,0.470610208,-2.916368729,-1.309904276,2.049692728,-1.765673706,0.794082135,0.060786091,-3.054178898,-2.703517641,-0.364787397,2.134921064,6.030930878,4.114639063,0.147191486,7.751832628,17.37239189,9.277538859,15.54348738,82.92022453,34.7000131,31.40787394,54.47635016,22.21260903,36.03634529,97.45460482,63.17407408,466.7517541,176.81742,0.003572464,4.678903659,3.517640037,2.170167309,0.082286899,4.548827975,-3.641078732,-3.542583836,-2.877652957,-1.343418024,-1.313886609,-0.344787128,-1.934418593,5.907766778,3.573959911,2.24862625,0.355084086,4.725435689,-3.753649214,-1.712993697,-3.278225517,-1.871863593,-1.783197956,-1.616143871,-2.794798867
Bird Island,BI10,BI10.2,62,64.4,65.4,64.9,1005.718182,22100.09091,54142.18182,1.27,-2.934869808,-0.178227184,-2.009621066,-1.940706222,2.086896423,-1.502082702,-0.494394775,-1.00806285,0.427841346,-1.782491553,0.552432147,0.982776492,4.821220332,2.979289421,0.158576434,20.3951866,43.27922029,47.76685804,34.30160346,263.6502504,18.13334447,28.72281323,61.3413697,70.33116469,115.2347801,175.5829252,100.4752344,1545.351746,213.911239,0.004789498,2.526259961,4.428608191,1.180603246,-0.629013841,3.524364253,-3.801676822,-2.20653415,-0.441749564,0.451966436,-2.970171209,0.343095068,-2.405751568,6.14990807,4.411173069,0.841640372,-0.544653989,2.451078285,-4.456676994,-2.377235452,-1.748626793,-0.152611901,-3.070382633,0.31400763,-1.817619664
