"Location","Site","Section","sample","min_depth","max_depth","midpoint","SH20_age","kcps","cps","MSE","K","Ca","Ti","Mn","Fe","Co","Ni","Cu","Zn","Rb","Sr","Zr","Mo_inc","Mo_coh","coh_inc","K_sd","Ca_sd","Ti_sd","Mn_sd","Fe_sd","Co_sd","Ni_sd","Cu_sd","Zn_sd","Rb_sd","Sr_sd","Zr_sd","Mo_inc_sd","Mo_coh_sd","coh_inc_sd","water_content_pc","water_content_err","dry_mass_pc","dry_mass_err","density_gcm3","density_gcm3_err","P_ICP","P_ICP_sd","K_ICP","K_ICP_sd","Ca_ICP","Ca_ICP_sd","Ti_ICP","Ti_ICP_sd","Mn_ICP","Mn_ICP_sd","Fe_ICP","Fe_ICP_sd","Co_ICP","Co_ICP_sd","Ni_ICP","Ni_ICP_sd","Cu_ICP","Cu_ICP_sd","Zn_ICP","Zn_ICP_sd","As_ICP","As_ICP_sd","Rb_ICP","Rb_ICP_sd","Sr_ICP","Sr_ICP_sd","Zr_ICP","Zr_ICP_sd","Pb_ICP","Pb_ICP_sd","Th_ICP","Th_ICP_sd"
"Kerguelen","KER3","CAT2-S3-1A",6,7.9,9.1,8.5,386.276923076923,22243.6153846154,53274.6923076923,1.31384615384615,-2.29447228986125,-0.404457848560823,-1.25282170832318,-1.71991712040007,2.39109262428771,-1.71114461911558,0.446790225437202,-0.113352285370941,-4.0176013497092,-1.84574727652057,-0.935390501674912,1.96056822052747,5.70349328207051,3.79296064721363,0.148017348461538,0.928042753880254,0.256712996183173,0.731214945549458,0.627353957686276,0.217422444923534,1.29468147918836,0.226143862814918,0.402539582120147,0.557684895542437,1.68224596126848,1.04050169319072,0.27180823087066,0.258893533524653,0.25865077577413,0.00225338228546777,86.5897549,4.329487745,13.4102451,1.34102451,0.127002892,0.012700289,2570.623323,60.34061437,2433.469353,412.7415789,8525.391032,292.4467919,1493.72135,52.91622772,73.97054275,2.614554557,7043.906744,240.295989,2.360731307,0.069815083,7.989049521,0.248862689,8.840919501,0.229976711,33.9867472,0.829112693,1.836820618,0.007837643,6.303556106,0.104558215,77.55523489,0.957157998,51.12144032,1.081885684,1.449083949,0.031749255,1.368113398,0.05102612
"Kerguelen","KER3","CAT2-S3-1A",9,12.3,13.5,12.9,621.707692307692,22313.8461538462,53827.8461538462,1.33230769230769,-2.40558340913286,-0.390652268743595,-1.38935187588125,-1.83631154745225,2.78946976861074,-1.56546057764392,0.606440001119482,-0.100007327415044,-4.10528987261311,-1.98225567547494,-1.42774671799992,2.03738950041389,5.83879539394358,3.9305646082692,0.148379162307692,0.691166516366553,0.271933929193033,0.773080550732447,1.03526140473123,0.355087676485218,1.24909174533677,0.361152003531203,0.399053525625598,0.340247192796923,1.52463815996445,1.55722556228744,0.37104382263142,0.343745883781855,0.334918239532328,0.00343725876994278,87.65410667,4.382705334,12.34589333,1.234589333,0.120978988,0.012097899,1925.941564,47.47919756,1807.885973,317.9447142,7727.272205,259.4424886,1028.300333,41.97503234,53.9884387,1.825000442,5806.724977,264.0185473,2.063027935,0.069604809,6.820390916,0.213258954,7.875132613,0.29908538,22.83873715,0.668420943,1.981092172,0.026250211,3.688021304,0.079731647,68.05571381,0.211252066,28.2096257,0.542535446,0.861685089,0.023559447,0.723414991,0.021168133
"Kerguelen","KER3","CAT2-S3-1A",13,18.1,19.3,18.7,928.807692307692,22491.4615384615,54693.8461538462,1.41,-2.4672903692104,-0.475678696459098,-1.03319796109118,-1.50153506090723,2.98694130762755,-1.50345974421778,0.664775166477991,-0.314321086115196,-3.93900217168265,-2.36700347285529,-2.41612675671554,2.24605816467544,6.01687575239222,4.10296492808118,0.147539399,0.958983110094776,0.28487847846591,0.734997227650428,0.829199204753745,0.381722830717626,1.34847254357693,0.392001408166526,0.471621417131579,0.359873472998849,1.69547262810991,1.78584381634479,0.344104284978079,0.355595714708658,0.348236996889916,0.00345193697805811,86.20305437,4.310152718,13.79694563,1.379694563,0.143807055,0.014380706,2075.478682,57.71761628,2390.397694,425.057007,8370.564722,304.4626424,1383.034771,54.8904067,65.55518428,2.528396357,5950.241077,237.5442039,2.117141394,0.072121037,6.393762065,0.166829823,6.48426444,0.180858218,21.31018792,0.696001663,1.837777624,0.007019007,6.207609895,0.185004911,78.5344764,1.42230775,45.24542121,1.004989654,1.293057315,0.020115449,1.321962492,0.040846333
"Kerguelen","KER3","CAT2-S3-1A",15,21,22.1,21.6,1082.7,22178.8333333333,54848.75,1.3525,-2.53164376564097,-0.540405530762575,-1.39197842112235,-1.9780008600801,2.8987129677034,-1.49473922040815,0.537652949213594,-0.567634645108113,-3.91318754841853,-1.91516737206121,-1.10665764328072,2.11032344226322,5.90345286145513,3.98927278624738,0.147500188333333,0.989294044015811,0.220081501975415,0.668783863190823,1.28062908203337,0.256121659759449,1.07113131222391,0.28499106647263,0.620061493111389,0.453604752490384,1.43276735760571,1.54521340709919,0.224095646281873,0.211584255716295,0.212990951433463,0.00348399282668989,86.89391751,4.344695875,13.10608249,1.310608249,0.131689055,0.013168905,2443.572039,49.80339872,2551.414712,457.224602,8528.540345,342.5386702,1475.406854,49.34926785,59.93308415,2.067625201,6187.963748,264.4820043,2.279411544,0.072621448,7.850724687,0.178711739,6.918225269,0.133823297,19.50535782,0.465175211,2.009562056,0.035058094,5.547019557,0.091658311,79.19188077,0.248883511,39.22303086,1.041248388,1.091353254,0.022458753,1.113522217,0.044519068
"Kerguelen","KER3","CAT2-S3-1A",20,28.2,29.4,28.8,1469.79230769231,22745.5384615385,55251.1538461538,1.30538461538462,-2.83068206063161,-0.285220610677054,-1.16904127238249,-1.76940016944944,2.96310841805096,-0.904322577129051,0.474888022751483,-0.0566883785547754,-4.11255446931743,-2.9260393009459,-1.22757767387387,2.08860627092266,5.83601178730723,3.91891201392929,0.147061792538462,0.874461441903537,0.297852730174864,0.609551847204329,0.55295981291778,0.198218345438923,0.6819866847588,0.34814029486884,0.437227136688965,0.230045349311622,1.44462605160676,1.62126914692621,0.241224902180634,0.22908323262875,0.224747159733005,0.00302661957659096,85.38950254,4.269475127,14.61049746,1.461049746,0.170373458,0.017037346,3359.324714,61.02238631,1463.774697,215.3232617,7489.032735,268.7118611,937.5899962,26.00205725,37.80142795,1.422170806,5072.990401,222.4086728,1.778968575,0.062470129,8.567301171,0.223272061,6.433648096,0.172534658,14.3729798,0.410391691,2.145297257,0.019339871,2.92778834,0.037964937,72.04904865,0.888278315,42.85323212,0.681820188,1.266430396,0.01680148,1.227647524,0.029567494
"Kerguelen","KER3","CAT2-S3-1A",21,29.6,30.7,30.2,1540.33333333333,22410.9166666667,54173.4166666667,1.30833333333333,-3.1204222816378,-0.528537835051583,-1.10627882003875,-2.03599596005714,2.89137987494069,-0.812085260424017,0.495664580659027,-0.268776400089814,-3.99639435722829,-1.86607139141465,-1.38755148662495,2.05844315508486,5.79802422557344,3.87860195630899,0.146726371916667,1.00818193938134,0.203961228420382,0.593944980546287,1.10099319659201,0.266973017988624,0.545953217251005,0.267025965830618,0.542390386352438,0.542313026177745,1.40724601488506,1.35545224054401,0.252359319303328,0.234487001271926,0.24080129557657,0.00333175427167377,84.38619663,4.219309831,15.61380337,1.561380337,0.290230006,0.029023001,3337.527461,78.29548461,1742.201387,300.6279914,7060.636584,247.1543807,1221.194979,32.01951858,47.42694669,1.668705887,5217.251998,166.8662424,1.649765973,0.055830034,8.139809229,0.273778714,5.73865376,0.209451089,13.07843571,0.308143877,1.85274284,0.010493724,4.597352978,0.107216345,63.78046606,0.743036154,54.84725556,1.329843376,1.595597699,0.028713222,1.546097659,0.042317615
"Kerguelen","KER3","CAT2-S3-1A",22,31,32.1,31.6,1613.25833333333,21431.1666666667,52867.9166666667,1.34666666666667,-1.97528666810013,-0.632876873574278,-0.404840521713514,-1.45540811731673,3.00727596764547,-1.97729186283319,0.0950702267724497,-0.575871449385201,-4.43900628454262,-1.87457572647478,-0.552632651777498,1.80453913480911,5.43890291197216,3.54200191451876,0.150084062666667,0.520793331247499,0.352422579479877,0.346113323874883,0.548310037303375,0.253601931049038,1.19451577829635,0.278526332519503,0.553685468047038,0.241791012833105,1.7774426442312,1.4377337292626,0.254679293564825,0.247398443101736,0.255738356256309,0.00408597906088967,81.06164945,4.053082472,18.93835055,1.893835055,0.204189212,0.020418921,3870.540968,94.63863001,4461.087959,814.8204864,7896.234296,137.2228992,2205.724776,44.47793014,119.7043062,3.353962903,6488.988438,172.2282377,1.71561783,0.017316078,8.098447371,0.189641677,6.068782697,0.119616413,25.41388525,0.462599646,1.788830104,0.013674539,17.22708873,0.188428708,67.625654,0.890889058,113.2387274,1.329392715,3.268989696,0.036575957,3.137293564,0.081134649
"Kerguelen","KER3","CAT2-S3-1A",27,38.2,39.3,38.7,1994.20833333333,22003.5833333333,55134,1.405,-1.00893884429228,-0.275144846909516,0.0628386315101461,-1.06185014954059,3.02548818624151,-2.46028043101509,-0.310407982578398,-1.15371871570891,-4.4464066584408,-1.27033402420824,-0.598948251294205,1.42772307519475,4.98197239425868,3.08800761678294,0.150540635166667,0.446052413545302,0.215389220568578,0.262683780315238,0.286605134209476,0.198429032331317,1.25762434125785,0.300945851473625,0.494567128287462,1.00530348352657,1.28548780634656,1.24854086037286,0.284239454747738,0.292841142211081,0.280502160433092,0.00466289060701396,80.97508864,4.048754432,19.02491136,1.902491136,0.207657987,0.020765799,2699.125756,45.85131928,3566.70755,584.9454802,7653.796312,229.6193045,2003.194081,55.76531167,86.51921621,2.579695536,5349.432635,159.3624199,1.391814484,0.034683301,7.449716815,0.176749202,7.047681054,0.14681248,20.72720657,0.422312402,1.552621796,0.013289465,12.64697374,0.1608634,68.96032566,0.946703239,116.3395336,1.801510112,2.258197337,0.05099856,3.558463768,0.136219391
"Kerguelen","KER3","CAT2-S3-1A",28,39.5,40.7,40.1,2065.98461538462,21501.8461538462,54318.6923076923,1.36461538461538,-0.994077486283466,-0.322881626242317,0.133609499324169,-1.07960636846483,3.01491145410804,-2.21664919633583,-0.342325679775104,-1.35927425182414,-4.26143075375674,-1.71062675431033,-0.261215058142525,1.40904712158566,4.91304062451217,3.07747847560526,0.159710844076923,0.320280880929998,0.156892561423865,0.196625489284164,0.199229694942297,0.129725845059679,1.35339284679465,0.434984227187728,0.831016973883391,1.16325705762935,1.35405205750031,0.57929458016157,0.288813375982721,0.440070873317751,0.399742067474189,0.00806957703242545,74.93538663,3.746769331,25.06461337,2.506461337,0.249493964,0.024949396,2141.460893,23.50064649,8937.293284,1465.603155,9775.180899,399.0790513,3299.904326,122.978558,206.5622145,7.321432352,8197.149421,280.6579326,1.707642336,0.043729961,6.49364719,0.147552822,6.508755339,0.189387888,39.26943077,0.573854051,1.304375651,0.004776414,30.0068369,0.064964968,79.88473282,0.812607102,158.7616528,4.191820821,3.814471206,0.062730445,4.341460403,0.091452063
"Kerguelen","KER3","CAT2-S3-1A",32,45.1,47,46.1,2386.005,22434,54874.75,1.336,-1.84631135401528,-0.519967648893198,-0.0119921419145842,-1.44043495295879,2.85839069124855,-1.00324767999211,0.0205467306379697,-0.801056050099633,-4.61079322628594,-2.50130787368886,-0.30860280550236,1.60982587602492,5.21488547465645,3.34006496078288,0.1534259359,0.321451927622884,0.185077763673541,0.221987278107167,0.311443836913297,0.172325243000374,0.652634348535564,0.212866523463989,0.483871791035138,0.411483513287127,1.59652420451822,0.609566208064189,0.17086964950403,0.158494179131419,0.15626241924162,0.00374335937555709,77.68865755,3.884432877,22.31134245,2.231134245,0.234122248,0.023412225,3170.162526,42.2925377,4770.599596,804.4079576,10152.65951,356.7867935,3690.444085,148.8328951,115.6050883,3.979073084,6337.843662,204.1185361,2.217760046,0.065872497,10.51108713,0.295660822,9.587253172,0.277084542,27.51857011,0.706941335,1.861307997,0.025104106,14.07224116,0.318548124,95.06307262,0.842246234,117.9588143,1.944375787,2.404639381,0.058721534,3.153152484,0.100445756
"Kerguelen","KER3","CAT2-S3-1B",38,46.4,47.6,47,2436.8,22132.0769230769,54216.6923076923,1.35769230769231,-1.70724009615361,-0.457229609004199,0.0946956436573442,-1.38744908403698,2.88789723524199,-1.17383569898564,-0.0694458133246012,-1.10786714079043,-4.61761689531616,-2.14220683765902,-0.283284256034022,1.56296923469374,5.13476795444825,3.26584536326334,0.154355480923077,0.386797780095765,0.238424993593622,0.192186293113168,0.270785328055802,0.175591176694361,0.542978042751141,0.310423779066523,0.643869057829835,0.522694013444642,1.54830936817659,0.668916645981615,0.215686599116423,0.195319393269829,0.183330628253168,0.00467110928501703,81.9911618,4.09955809,18.0088382,1.80088382,0.163283006,0.016328301,3492.592783,17.23671939,3732.955372,600.6912203,8677.270529,199.5974938,2737.714004,83.43219744,87.44930657,2.241839965,4793.106432,123.7777205,1.678496422,0.041155697,9.854731646,0.162334964,10.40875416,0.161441707,22.31535337,0.498619634,1.891934993,0.026962291,12.29867694,0.24860925,80.95231282,1.021867117,111.6058313,1.207940004,2.094705664,0.020458546,3.042283803,0.057990562
"Kerguelen","KER3","CAT2-S3-1B",42,51.6,52.7,52.2,2712.45833333333,21397.1666666667,52463.3333333333,1.35666666666667,-1.73837784387731,-0.400870107006087,0.0117050950989619,-1.35292327959734,2.72383175158477,-1.42895531776773,-0.255549770059768,-1.23343363040495,-4.72041120665244,-1.17550614208255,0.0455690384243528,1.39734514019235,4.99194919261516,3.13562707953259,0.156329377833333,0.331327812193325,0.199820680461868,0.18829180591807,0.246920011301653,0.138447348527756,0.634416520751844,0.236023693299267,0.868773115788806,0.4445199042122,1.07218978454195,0.412213082378599,0.246997178471263,0.251130709393528,0.228979663028447,0.00531087188110397,80.8040297,4.040201485,19.1959703,1.91959703,0.211486343,0.021148634,2867.540808,19.97513047,3515.939224,534.1706522,9459.400389,451.5596368,2833.675864,107.3163869,86.14961589,3.732362338,5197.712813,175.1787325,1.967605598,0.065948581,11.56429275,0.275483342,9.373035718,0.271420193,20.69108587,0.427441505,1.857526302,0.014508774,10.32724622,0.12519598,86.09850052,0.414138987,96.16087645,1.502312638,1.76961539,0.035234836,2.641940663,0.073027458
"Kerguelen","KER3","CAT2-S3-1B",45,55.3,56.5,55.9,2912.56153846154,16595.2307692308,45664.3846153846,1.43307692307692,-1.26128252895638,0.0644379580350816,0.543773033425992,-1.09673656580819,3.14043376804007,-1.75418600830323,-0.862306331249026,-1.53287142808106,-4.27667423041143,-1.05814345623026,1.01766663262727,0.664689025722805,4.02081197201595,2.39038815917241,0.196528091461538,0.334717162244345,0.25160157035842,0.28226531621734,0.345701599854951,0.229139175210017,0.603836729057625,0.272374715157096,0.49041452494157,1.39071376389578,0.438587855808007,0.194765257880651,0.239917307662098,0.347038806041818,0.273726625747466,0.0167026906163183,70.03022518,3.501511259,29.96977482,2.996977482,0.365062981,0.036506298,1552.905719,19.92143048,13911.44149,1930.925053,17303.92837,370.717596,7876.665965,151.2091388,212.8364779,6.240262071,12610.90951,440.7759491,5.218331686,0.134842002,13.36916814,0.524919335,13.06431875,0.407919365,41.60383738,1.403200361,1.406796613,0.009215404,15.69566935,0.133332164,150.3131973,1.05818661,102.9146045,1.849401518,2.557377839,0.061020981,2.053493809,0.044461997
"Kerguelen","KER3","CAT2-S3-1B",47,58.1,59.3,58.7,3063.31538461538,24017.2307692308,56447.4615384615,1.30846153846154,-2.89466386176151,0.181788011071539,-0.490045520176281,-1.85939552027153,2.45565456330306,-1.55197073085367,0.577112801682769,0.0528035960277916,-4.14980092573829,-2.67466702189811,-1.60265271405487,2.11574157124648,5.860930780418,3.97916497100462,0.152334579,0.835939726868299,0.255703769005476,0.284102124756729,1.15161966056021,0.234487168130898,0.936692891434006,0.202954071383556,0.363247534049917,0.198741527448387,1.57463708279931,1.67992544717292,0.182954677384186,0.196332686090106,0.19559067287173,0.00212565619235869,85.28397915,4.264198957,14.71602085,1.471602085,0.134803354,0.013480335,1204.378718,15.05284217,1680.089191,261.9857183,9172.659013,276.1605867,1708.112446,62.94800743,45.25246798,1.310067389,3682.282642,146.3440893,1.796711679,0.054430343,13.47816025,0.395213256,10.09827176,0.307887904,31.83349681,1.019096502,1.963624592,0.016781917,3.465695798,0.035575797,90.88637985,0.506644858,53.04194313,0.904802555,0.670868341,0.021940302,1.322438942,0.053757721
