"Element","Model","R2","RMSE","RMSEP","AIC","BIC","Rank"
"Ca","RF",0.739917657487935,0.362901401940352,0.371218256028587,NA,NA,1
"Ca","Bayes",0.71849446314204,0.377551919451181,0.391342413156401,254.461762755566,283.189658599653,2
"Ca","PLS_LOO",0.714591218855023,0.380160401230266,0.391014570914877,NA,NA,3
"Ca","PLS_kfold",0.714591218855023,0.380160401230266,0.391014570914877,NA,NA,4
"Ca","OLS",0.605349695781694,0.447032844459699,0.450923989941031,335.005013489929,345.777974431461,5
"Ca","WLS_weighted",0.604732452698864,0.447382293228408,NA,321.186258039926,331.959218981458,6
"Ca","WLS",0.604685117514639,0.447409080513934,NA,321.219522661163,331.992483602695,7
"Ca","OLS_weighted",0.60078407376705,0.449611220751241,NA,359.871349044666,370.644309986199,8
"Fe","RF",0.80053438105373,0.509541347860933,0.516653413340178,NA,NA,1
"Fe","Bayes",0.782666025570093,0.531874559979908,0.553367126639677,438.148736470006,466.876632314093,2
"Fe","PLS_LOO",0.769588412151896,0.547643031052147,0.558876405734737,NA,NA,3
"Fe","PLS_kfold",0.769588412151896,0.547643031052147,0.558876405734737,NA,NA,4
"Fe","OLS",0.711860213839782,0.612416695598065,0.619207902382141,503.727552589756,514.500513531289,5
"Fe","WLS",0.711426381771426,0.612877558837851,NA,491.391320242748,502.164281184281,6
"Fe","WLS_weighted",0.711404682307114,0.612900601250386,NA,491.44106706079,502.214028002323,7
"Fe","OLS_weighted",0.705011398870254,0.619652240442579,NA,522.979148483121,533.752109424654,8
"Mn","RF",0.698151148146781,0.529253362135368,0.538666849894129,NA,NA,1
"Mn","Bayes",0.675458563365959,0.54878715622519,0.563291283780317,454.927144861597,483.655040705684,2
"Mn","PLS_LOO",0.652472643614871,0.567888873609633,0.583845224423336,NA,NA,3
"Mn","PLS_kfold",0.652472643614871,0.567888873609633,0.583845224423336,NA,NA,4
"Mn","OLS",0.642325781154841,0.576119639333299,0.578466614037536,470.979249882013,481.752210823546,5
"Mn","WLS_weighted",0.642027836746649,0.576359544649593,NA,452.112021258381,462.884982199914,6
"Mn","WLS",0.64171449487873,0.57661174033931,NA,449.383505423298,460.15646636483,7
"Mn","OLS_weighted",0.621575234052913,0.592595892589243,NA,464.263343905446,475.036304846979,8
"Sr","RF",0.721982836872426,0.326271842029504,0.327736832283875,NA,NA,1
"Sr","Bayes",0.719033486991341,0.327997906598047,0.346202462486856,179.046097421121,207.773993265208,2
"Sr","PLS_LOO",0.681443929954195,0.349250256346248,0.359641666342418,NA,NA,3
"Sr","PLS_kfold",0.681443929954195,0.349250256346248,0.359641666342418,NA,NA,4
"Sr","OLS",0.605940022011523,0.388440903375382,0.391554198151312,259.701823511304,270.474784452837,5
"Sr","WLS",0.605899324973479,0.388460961218056,NA,259.48152064019,270.254481581722,6
"Sr","WLS_weighted",0.605197017350042,0.38880693583257,NA,262.010925381086,272.783886322619,7
"Sr","OLS_weighted",0.588442221601662,0.396971381054182,NA,330.646390635536,341.419351577069,8
"Ti","Bayes",0.769067236846491,0.591446999353038,0.623668660505259,495.052856787575,523.780752631662,1
"Ti","RF",0.758515868218349,0.604807761433501,0.609044942817076,NA,NA,2
"Ti","PLS_LOO",0.754035431978301,0.610392701137588,0.641872967170071,NA,NA,3
"Ti","PLS_kfold",0.754035431978301,0.610392701137588,0.641872967170071,NA,NA,4
"Ti","OLS",0.729930592021033,0.639603384224678,0.644447515724916,527.008898110934,537.781859052467,5
"Ti","WLS_weighted",0.72919658362992,0.640471967780676,NA,487.996188481353,498.769149422886,6
"Ti","WLS",0.728935134347202,0.640781067535794,NA,487.487982869888,498.26094381142,7
"Ti","OLS_weighted",0.718555763474536,0.652933928562262,NA,558.906329039579,569.679289981112,8
"Zr","RF",0.76427923472626,0.638048553639218,0.656891235581288,NA,NA,1
"Zr","Bayes",0.723503699572672,0.691034085621477,0.73294668717106,578.463608938088,607.191504782175,2
"Zr","PLS_LOO",0.697291605179832,0.723047851394819,0.762985283258762,NA,NA,3
"Zr","PLS_kfold",0.697291605179832,0.723047851394819,0.762985283258762,NA,NA,4
"Zr","OLS",0.608456680906178,0.822327315016661,0.829368800202076,661.700465220814,672.473426162346,5
"Zr","WLS",0.608323185716187,0.822467487738816,NA,661.726819498081,672.499780439613,6
"Zr","WLS_weighted",0.608229412035276,0.822565937768544,NA,661.816062941063,672.589023882596,7
"Zr","OLS_weighted",0.401191970178938,1.01694769214115,NA,788.726977570257,799.499938511789,8
