"Element","Site","Model","n","Mean_ppm","SD_pred","Mean_CI_w","SNR_CI","SNR_smooth","SNR_CI_s","SNR_smooth_s","Robustness_score","Robustness_Rank"
"Ca","ALL","Bayes",13757,11114.521610419,7324.12351673578,20960.8035640108,0.349419977834777,9.28346094984434e-05,0.740687069612545,1,0.844412241767527,1
"Ca","ALL","RF",13757,10913.5631119714,7453.6883167534,19288.8946873262,0.386423817309287,9.11398862044187e-05,0.836850094016877,0.824401453920876,0.831870637978477,2
"Ca","ALL","OLS_weighted",14519,10492.425843022,8101.82570808005,18035.9437498918,0.449204423146897,8.31834857740987e-05,1,0,0.6,3
"Ca","ALL","PLS_LOO",13757,10800.199565855,8032.76361529482,21448.147284187,0.374520162924147,8.48563290249442e-05,0.805915698467802,0.173331448090944,0.552881998317059,4
"Ca","ALL","PLS_kfold",13757,10800.199565855,8032.76361529482,21448.147284187,0.374520162924147,8.48563290249442e-05,0.805915698467802,0.173331448090944,0.552881998317059,5
"Ca","ALL","OLS",14519,10921.4227828969,8094.54336246637,22038.6753023897,0.367288108355072,8.32094433143569e-05,0.787121534135248,0.00268958734750736,0.473348755420152,6
"Ca","ALL","WLS",14519,10872.2684867972,7637.09392056858,118586.161886132,0.064401223541595,8.81294955103154e-05,0,0.512480191683846,0.204992076673538,7
"Ca","ALL","WLS_weighted",14519,10873.2672025233,7652.5839621963,114937.491193476,0.066580398464715,8.79533357450352e-05,0.00566308940610476,0.494227419228363,0.201088821335008,8
"Sr","ALL","OLS",14005,143.231154722705,62.308174844974,243.139630055274,0.256264989918794,0.0110145525976739,0.677272735740018,0.567830549690741,0.633495861320307,1
"Sr","ALL","RF",13757,141.36846527401,78.1556214688848,206.567463548729,0.378353977563596,0.0086321029213877,1,0,0.6,2
"Sr","ALL","PLS_LOO",13757,145.259398881809,67.546656152628,238.17309736281,0.283603215058894,0.010114325383738,0.749537980782891,0.353271342491621,0.591031325466383,3
"Sr","ALL","PLS_kfold",13757,145.259398881809,67.546656152628,238.17309736281,0.283603215058894,0.010114325383738,0.749537980782891,0.353271342491621,0.591031325466383,4
"Sr","ALL","Bayes",13757,147.071853655315,69.1564871940495,235.23700439692,0.293986430286965,0.00989794968144594,0.77698473670593,0.301700585218052,0.586871076110779,5
"Sr","ALL","OLS_weighted",14005,131.570344226979,53.520979787046,1069088.3690725,5.006225989857e-05,0.0128278082732462,0,1,0.4,6
"Sr","ALL","WLS_weighted",14005,142.461659924356,59.6023130308183,1720.05445347286,0.0346514105471945,0.0115170990014167,0.0914644202387342,0.687606930918322,0.329921424510569,7
"Sr","ALL","WLS",14005,143.397140314445,62.9427056666161,2053.6686365944,0.030648910220976,0.0109029840206153,0.0808843015449973,0.541239412396217,0.265026345885485,8
"Ti","ALL","RF",13757,2138.83535166162,3966.50510233552,6640.16271189271,0.59735058829679,0.000175068377531743,0.829208098072355,1,0.897524858843413,1
"Ti","ALL","PLS_LOO",13757,2139.04947431541,4330.05138914022,6388.36995589027,0.677802227960793,0.00016037042191657,0.985781032588366,0.42904832169636,0.763087948231564,2
"Ti","ALL","PLS_kfold",13757,2139.04947431541,4330.05138914022,6388.36995589027,0.677802227960793,0.00016037042191657,0.985781032588366,0.42904832169636,0.763087948231564,3
"Ti","ALL","Bayes",13757,2140.41045976442,4358.64877930628,6361.9847129266,0.68510833898267,0.000159579227136698,1,0.398313844109074,0.75932553764363,4
"Ti","ALL","OLS",14219,2121.49959929056,4501.39620156788,6993.83718311646,0.64362324768362,0.000153215426229387,0.919262770647259,0.151107844611542,0.612000800232972,5
"Ti","ALL","OLS_weighted",14219,2011.43951913123,4620.96622439432,7272.03003890279,0.635443775627134,0.000149325471128802,0.903344090207377,0,0.542006454124426,6
"Ti","ALL","WLS",14219,2048.48407539001,4093.1085193698,23897.2029063303,0.171279816111263,0.00016843982608492,0,0.74250959300905,0.29700383720362,7
"Ti","ALL","WLS_weighted",14219,2056.34869670063,4143.29743992204,22898.1279739593,0.180944811062021,0.000166407316992203,0.018809767306703,0.663555450811464,0.276708040708607,8
"Zr","ALL","RF",13757,41.8534675456406,61.151757361101,143.039964681095,0.427515187782922,0.0118635427861465,0.514096128950838,1,0.708457677370503,1
"Zr","ALL","Bayes",13757,45.422868267256,128.301321196548,164.996573779594,0.777599911668075,0.00551729881318058,0.935087433460112,0.293347456752533,0.67839144277708,2
"Zr","ALL","PLS_LOO",13757,44.1624715556574,114.793102893905,161.108915768419,0.712518623481466,0.00617655621336295,0.856824502964999,0.366755589260218,0.660796937483087,3
"Zr","ALL","PLS_kfold",13757,44.1624715556574,114.793102893905,161.108915768419,0.712518623481466,0.00617655621336295,0.856824502964999,0.366755589260218,0.660796937483087,4
"Zr","ALL","OLS",14519,51.8863941021318,217.004118558315,260.954175716361,0.831579406470902,0.00325531020541313,1,0.0414756394563818,0.616590255782553,5
"Zr","ALL","WLS_weighted",14519,54.1513484129792,237.111699230124,384.798485710846,0.61619706946638,0.00297910085455154,0.7409938656634,0.0107198032347474,0.448884240691939,6
"Zr","ALL","WLS",14519,53.6040944885685,232.234493885455,577.090663848485,0.402422891988473,0.0030417003465077,0.483921609416238,0.0176902396669519,0.297429061516524,7
"Zr","ALL","OLS_weighted",14519,42.0668288564161,244.972972970347,34663157.0601033,7.0672435446541e-06,0.00288282937386422,0,0,0,8
