"Element","Site","Model","n","Mean_ppm","SD_pred","Mean_CI_w","SNR_CI","SNR_smooth","SNR_CI_s","SNR_smooth_s","Robustness_score","Robustness_Rank"
"Ca","BI10","OLS_weighted",5017,8704.48569640587,2346.12378187831,14883.6168606104,0.157631293780973,0.000982002448699456,0.874870641572237,0.989129222238743,0.92057407383884,1
"Ca","BI10","OLS",5017,9134.44342980325,2400.78482472853,18376.0319985411,0.130647618861304,0.000960331115133468,0.69911748984945,0.950947837623811,0.799849628959195,2
"Ca","BI10","PLS_LOO",4709,8351.83222341035,2143.57729105073,16585.927558862,0.12924072430941,0.000924444657622765,0.689953943654459,0.88772170377693,0.769061047703447,3
"Ca","BI10","PLS_kfold",4709,8351.83222341035,2143.57729105073,16585.927558862,0.12924072430941,0.000924444657622765,0.689953943654459,0.88772170377693,0.769061047703447,4
"Ca","BI10","Bayes",4709,9343.42573604014,2437.29309147414,17620.7054457901,0.138319836227468,0.000816251853367467,0.74908905179644,0.697103481817442,0.72829482380484,5
"Ca","BI10","RF",4709,8655.94812651186,2705.46765777045,15298.7315066789,0.176842613166284,0.000420583591547302,1,0,0.6,6
"Ca","BI10","WLS_weighted",5017,9183.88358975807,2337.47336212703,97060.955278778,0.0240825299463966,0.0009872092238201,0.00502558812845108,0.998302717855864,0.402336440019416,7
"Ca","BI10","WLS",5017,9186.32244910297,2335.27006011243,100179.133008929,0.0233109430075053,0.000988172582479617,0,1,0.4,8
"Sr","BI10","PLS_LOO",4709,135.446226788896,32.8644652054252,222.083029454535,0.147982785024793,0.0594940710191858,0.866221599673939,0.91903821741122,0.887348246768852,1
"Sr","BI10","PLS_kfold",4709,135.446226788896,32.8644652054252,222.083029454535,0.147982785024793,0.0594940710191858,0.866221599673939,0.91903821741122,0.887348246768852,2
"Sr","BI10","OLS",4892,133.021245192819,33.9145005967583,225.528564651434,0.150377849693563,0.0540359585768105,0.880243972262097,0.697024386302831,0.806956137878391,3
"Sr","BI10","Bayes",4709,139.939430627126,30.4997224839522,223.828908384376,0.136263553729958,0.0530645598254672,0.797609077512945,0.657511833090242,0.741570179743864,4
"Sr","BI10","RF",4709,125.99912232385,31.4519457221385,184.109794623262,0.170832550144861,0.0368999204456496,1,0,0.6,5
"Sr","BI10","OLS_weighted",4892,123.108572641999,29.4598233982136,1000235.04490858,2.94529006438742e-05,0.0614844808540081,0,1,0.4,6
"Sr","BI10","WLS_weighted",4892,132.895211943176,32.6578949941325,1604.13190112638,0.0203586095203275,0.0557314911780453,0.119021006923643,0.765991761479419,0.377809308745953,7
"Sr","BI10","WLS",4892,133.034483198397,34.2057986126626,1904.82182318499,0.0179574793801282,0.053661881771381,0.104963122851634,0.681808462193717,0.335701258588467,8
"Ti","BI10","OLS_weighted",4790,726.209976484539,563.266093115789,2586.20726908919,0.217796191298372,0.00327556650497939,0.711685799917582,1,0.827011479950549,1
"Ti","BI10","PLS_LOO",4709,839.443412681973,686.542193112076,2507.03648589699,0.273846111524156,0.0027502485710026,0.962603414285261,0.474036449582278,0.767176628404068,2
"Ti","BI10","PLS_kfold",4709,839.443412681973,686.542193112076,2507.03648589699,0.273846111524156,0.0027502485710026,0.962603414285261,0.474036449582278,0.767176628404068,3
"Ti","BI10","OLS",4790,833.091794210343,601.925239562639,2724.70237798445,0.220914124209009,0.00301915652115716,0.725643791018089,0.743274887965946,0.732696229797232,4
"Ti","BI10","Bayes",4709,850.771837112853,713.617168831505,2528.76610521525,0.282199752424616,0.00260639386498141,1,0.330004945935671,0.732001978374269,5
"Ti","BI10","RF",4709,897.989839368769,766.411951321052,2787.87174637013,0.274909329067572,0.00227679399772184,0.967363100088081,0,0.580417860052849,6
"Ti","BI10","WLS_weighted",4790,848.754704959257,586.652542018583,9451.98279257098,0.0620666113018823,0.00306764785761277,0.0145341440045349,0.79182582033868,0.325450814538193,7
"Ti","BI10","WLS",4790,852.06598199714,584.805849841913,9942.29979072901,0.0588199774852124,0.0030725055533132,0,0.796689486153596,0.318675794461438,8
"Zr","BI10","PLS_LOO",4709,11.9234366551668,9.57043319584549,43.4978361509129,0.220020903169562,0.118691094034448,0.914759355194704,0.521439840628331,0.757431549368154,1
"Zr","BI10","PLS_kfold",4709,11.9234366551668,9.57043319584549,43.4978361509129,0.220020903169562,0.118691094034448,0.914759355194704,0.521439840628331,0.757431549368154,2
"Zr","BI10","Bayes",4709,12.2453031816754,10.224987581473,44.4805259320288,0.229875599877078,0.109421107504203,0.955731429964565,0.411460998907437,0.738023257541714,3
"Zr","BI10","RF",4709,15.8132912796539,12.9988565726635,54.0440914164868,0.240523177131221,0.0747395464156364,1,0,0.6,4
"Zr","BI10","OLS",5017,14.9174885182867,9.02212559957325,73.1859244160666,0.1232767867805,0.0985470096367089,0.512534173854126,0.28245102846953,0.420500915700287,5
"Zr","BI10","OLS_weighted",5017,7.85256116656259,5.73729733094919,6372196.16917862,9.00364203898753e-07,0.159028364020848,0,1,0.4,6
"Zr","BI10","WLS_weighted",5017,14.7945315422376,9.17131543533938,102.637339071436,0.0893565199401367,0.0972472296513957,0.371506626234408,0.26703047776966,0.329716166848509,7
"Zr","BI10","WLS",5017,14.8222706202239,9.13583842435051,156.626972497066,0.0583286408381651,0.0975531433492186,0.242504524977787,0.270659828690867,0.253766646463019,8
