"Site","Element","Model","Rank_site","Robustness_score","R2_overall","RMSE_overall","RMSEP_overall","SNR_CI_s","SNR_smooth_s","n_mean"
"ALL","Ca","Bayes",1,0.844412241767527,0.636884102731344,0.428801053115093,5546.07861545861,0.740687069612545,1,13757
"ALL","Ca","RF",2,0.831870637978477,0.67369543696228,0.406485244643095,4985.95489955459,0.836850094016877,0.824401453920876,13757
"ALL","Ca","OLS_weighted",3,0.6,0.60078407376705,0.449611220751241,5620.88386479327,1,0,14519
"ALL","Ca","PLS_LOO",4,0.552881998317059,0.605172814508826,0.447133012734933,5921.70892622602,0.805915698467802,0.173331448090944,13757
"ALL","Ca","PLS_kfold",5,0.552881998317059,0.605172814508826,0.447133012734933,5921.70892622602,0.805915698467802,0.173331448090944,13757
"ALL","Ca","OLS",6,0.473348755420152,0.605349695781694,0.447032844459699,5504.63271481712,0.787121534135248,0.00268958734750736,14519
"ALL","Ca","WLS",7,0.204992076673538,0.604685117514639,0.447409080513934,5446.04597912254,0,0.512480191683846,14519
"ALL","Ca","WLS_weighted",8,0.201088821335008,0.604732452698864,0.447382293228408,5447.03371534874,0.00566308940610476,0.494227419228363,14519
"ALL","Sr","OLS",1,0.633495861320307,0.605940022011523,0.388440903375382,59.7735590156883,0.677272735740018,0.567830549690741,14005
"ALL","Sr","RF",2,0.6,0.687903628988896,0.345691061755634,44.4622459672722,1,0,13757
"ALL","Sr","PLS_LOO",3,0.591031325466383,0.619560933054721,0.381668523678026,58.9814163562467,0.749537980782891,0.353271342491621,13757
"ALL","Sr","PLS_kfold",4,0.591031325466383,0.619560933054721,0.381668523678026,58.9814163562467,0.749537980782891,0.353271342491621,13757
"ALL","Sr","Bayes",5,0.586871076110779,0.635271572146413,0.373704733132646,56.5643915636821,0.77698473670593,0.301700585218052,13757
"ALL","Sr","OLS_weighted",6,0.4,0.588442221601662,0.396971381054182,68.563181097856,0,1,14005
"ALL","Sr","WLS_weighted",7,0.329921424510569,0.605197017350042,0.38880693583257,61.616501941787,0.0914644202387342,0.687606930918322,14005
"ALL","Sr","WLS",8,0.265026345885485,0.605899324973479,0.388460961218056,59.3656290640811,0.0808843015449973,0.541239412396217,14005
"ALL","Ti","RF",1,0.897524858843413,0.742787031556751,0.624193853128855,1634.80229641458,0.829208098072355,1,13757
"ALL","Ti","PLS_LOO",2,0.763087948231564,0.756227776634957,0.607666319730726,1919.97750377683,0.985781032588366,0.42904832169636,13757
"ALL","Ti","PLS_kfold",3,0.763087948231564,0.756227776634957,0.607666319730726,1919.97750377683,0.985781032588366,0.42904832169636,13757
"ALL","Ti","Bayes",4,0.75932553764363,0.757847910218222,0.605643649083077,2132.72586760655,1,0.398313844109074,13757
"ALL","Ti","OLS",5,0.612000800232972,0.729930592021033,0.639603384224678,2035.54425020404,0.919262770647259,0.151107844611542,14219
"ALL","Ti","OLS_weighted",6,0.542006454124426,0.718555763474536,0.652933928562262,2173.73266969499,0.903344090207377,0,14219
"ALL","Ti","WLS",7,0.29700383720362,0.728935134347202,0.640781067535794,1882.89538666468,0,0.74250959300905,14219
"ALL","Ti","WLS_weighted",8,0.276708040708607,0.72919658362992,0.640471967780676,1893.08238585334,0.018809767306703,0.663555450811464,14219
"ALL","Zr","RF",1,0.708457677370503,0.743204375842857,0.665960724096371,45.4053867998287,0.514096128950838,1,13757
"ALL","Zr","Bayes",2,0.67839144277708,0.7219222288162,0.693007515213175,84.3816359771264,0.935087433460112,0.293347456752533,13757
"ALL","Zr","PLS_LOO",3,0.660796937483087,0.72037835645274,0.69492862207945,77.8910261396823,0.856824502964999,0.366755589260218,13757
"ALL","Zr","PLS_kfold",4,0.660796937483087,0.72037835645274,0.69492862207945,77.8910261396823,0.856824502964999,0.366755589260218,13757
"ALL","Zr","OLS",5,0.616590255782553,0.608456680906178,0.822327315016661,148.16046066862,1,0.0414756394563818,14519
"ALL","Zr","WLS_weighted",6,0.448884240691939,0.608229412035276,0.822565937768544,162.575252795128,0.7409938656634,0.0107198032347474,14519
"ALL","Zr","WLS",7,0.297429061516524,0.608323185716187,0.822467487738816,159.077231156446,0.483921609416238,0.0176902396669519,14519
"ALL","Zr","OLS_weighted",8,0,0.401191970178938,1.01694769214115,153.784821913486,0,0,14519
"BI10","Ca","OLS_weighted",1,0.92057407383884,0.60078407376705,0.449611220751241,5620.88386479327,0.874870641572237,0.989129222238743,5017
"BI10","Ca","OLS",2,0.799849628959195,0.605349695781694,0.447032844459699,5504.63271481712,0.69911748984945,0.950947837623811,5017
"BI10","Ca","PLS_LOO",3,0.769061047703447,0.605172814508826,0.447133012734933,5921.70892622602,0.689953943654459,0.88772170377693,4709
"BI10","Ca","PLS_kfold",4,0.769061047703447,0.605172814508826,0.447133012734933,5921.70892622602,0.689953943654459,0.88772170377693,4709
"BI10","Ca","Bayes",5,0.72829482380484,0.636884102731344,0.428801053115093,5546.07861545861,0.74908905179644,0.697103481817442,4709
"BI10","Ca","RF",6,0.6,0.67369543696228,0.406485244643095,4985.95489955459,1,0,4709
"BI10","Ca","WLS_weighted",7,0.402336440019416,0.604732452698864,0.447382293228408,5447.03371534874,0.00502558812845108,0.998302717855864,5017
"BI10","Ca","WLS",8,0.4,0.604685117514639,0.447409080513934,5446.04597912254,0,1,5017
"BI10","Sr","PLS_LOO",1,0.887348246768852,0.619560933054721,0.381668523678026,58.9814163562467,0.866221599673939,0.91903821741122,4709
"BI10","Sr","PLS_kfold",2,0.887348246768852,0.619560933054721,0.381668523678026,58.9814163562467,0.866221599673939,0.91903821741122,4709
"BI10","Sr","OLS",3,0.806956137878391,0.605940022011523,0.388440903375382,59.7735590156883,0.880243972262097,0.697024386302831,4892
"BI10","Sr","Bayes",4,0.741570179743864,0.635271572146413,0.373704733132646,56.5643915636821,0.797609077512945,0.657511833090242,4709
"BI10","Sr","RF",5,0.6,0.687903628988896,0.345691061755634,44.4622459672722,1,0,4709
"BI10","Sr","OLS_weighted",6,0.4,0.588442221601662,0.396971381054182,68.563181097856,0,1,4892
"BI10","Sr","WLS_weighted",7,0.377809308745953,0.605197017350042,0.38880693583257,61.616501941787,0.119021006923643,0.765991761479419,4892
"BI10","Sr","WLS",8,0.335701258588467,0.605899324973479,0.388460961218056,59.3656290640811,0.104963122851634,0.681808462193717,4892
"BI10","Ti","OLS_weighted",1,0.827011479950549,0.718555763474536,0.652933928562262,2173.73266969499,0.711685799917582,1,4790
"BI10","Ti","PLS_LOO",2,0.767176628404068,0.756227776634957,0.607666319730726,1919.97750377683,0.962603414285261,0.474036449582278,4709
"BI10","Ti","PLS_kfold",3,0.767176628404068,0.756227776634957,0.607666319730726,1919.97750377683,0.962603414285261,0.474036449582278,4709
"BI10","Ti","OLS",4,0.732696229797232,0.729930592021033,0.639603384224678,2035.54425020404,0.725643791018089,0.743274887965946,4790
"BI10","Ti","Bayes",5,0.732001978374269,0.757847910218222,0.605643649083077,2132.72586760655,1,0.330004945935671,4709
"BI10","Ti","RF",6,0.580417860052849,0.742787031556751,0.624193853128855,1634.80229641458,0.967363100088081,0,4709
"BI10","Ti","WLS_weighted",7,0.325450814538193,0.72919658362992,0.640471967780676,1893.08238585334,0.0145341440045349,0.79182582033868,4790
"BI10","Ti","WLS",8,0.318675794461438,0.728935134347202,0.640781067535794,1882.89538666468,0,0.796689486153596,4790
"BI10","Zr","PLS_LOO",1,0.757431549368154,0.72037835645274,0.69492862207945,77.8910261396823,0.914759355194704,0.521439840628331,4709
"BI10","Zr","PLS_kfold",2,0.757431549368154,0.72037835645274,0.69492862207945,77.8910261396823,0.914759355194704,0.521439840628331,4709
"BI10","Zr","Bayes",3,0.738023257541714,0.7219222288162,0.693007515213175,84.3816359771264,0.955731429964565,0.411460998907437,4709
"BI10","Zr","RF",4,0.6,0.743204375842857,0.665960724096371,45.4053867998287,1,0,4709
"BI10","Zr","OLS",5,0.420500915700287,0.608456680906178,0.822327315016661,148.16046066862,0.512534173854126,0.28245102846953,5017
"BI10","Zr","OLS_weighted",6,0.4,0.401191970178938,1.01694769214115,153.784821913486,0,1,5017
"BI10","Zr","WLS_weighted",7,0.329716166848509,0.608229412035276,0.822565937768544,162.575252795128,0.371506626234408,0.26703047776966,5017
"BI10","Zr","WLS",8,0.253766646463019,0.608323185716187,0.822467487738816,159.077231156446,0.242504524977787,0.270659828690867,5017
"HER42PB","Ca","OLS_weighted",1,0.96039585761204,0.60078407376705,0.449611220751241,5620.88386479327,1,0.900989644030099,4009
"HER42PB","Ca","OLS",2,0.830778990229095,0.605349695781694,0.447032844459699,5504.63271481712,0.797652094473633,0.880469333862288,4009
"HER42PB","Ca","PLS_LOO",3,0.820636761490385,0.605172814508826,0.447133012734933,5921.70892622602,0.701061269150641,1,3971
"HER42PB","Ca","PLS_kfold",4,0.820636761490385,0.605172814508826,0.447133012734933,5921.70892622602,0.701061269150641,1,3971
"HER42PB","Ca","Bayes",5,0.759355721652456,0.636884102731344,0.428801053115093,5546.07861545861,0.700754351424529,0.847257776994348,3971
"HER42PB","Ca","RF",6,0.598028491347152,0.67369543696228,0.406485244643095,4985.95489955459,0.996714152245253,0,3971
"HER42PB","Ca","WLS_weighted",7,0.383872266484045,0.604732452698864,0.447382293228408,5447.03371534874,0.00573662399740849,0.951075730213999,4009
"HER42PB","Ca","WLS",8,0.381466524944655,0.604685117514639,0.447409080513934,5446.04597912254,0,0.953666312361637,4009
"HER42PB","Sr","OLS",1,0.780857645625981,0.605940022011523,0.388440903375382,59.7735590156883,0.807112838308737,0.741474856601847,4009
"HER42PB","Sr","PLS_LOO",2,0.776479593143113,0.619560933054721,0.381668523678026,58.9814163562467,1,0.441198982857782,3971
"HER42PB","Sr","PLS_kfold",3,0.776479593143113,0.619560933054721,0.381668523678026,58.9814163562467,1,0.441198982857782,3971
"HER42PB","Sr","Bayes",4,0.669984821300566,0.635271572146413,0.373704733132646,56.5643915636821,0.849184921910615,0.401184670385492,3971
"HER42PB","Sr","RF",5,0.571746002631283,0.687903628988896,0.345691061755634,44.4622459672722,0.952910004385471,0,3971
"HER42PB","Sr","OLS_weighted",6,0.4,0.588442221601662,0.396971381054182,68.563181097856,0,1,4009
"HER42PB","Sr","WLS_weighted",7,0.390208597624815,0.605197017350042,0.38880693583257,61.616501941787,0.109276874827769,0.811606181820383,4009
"HER42PB","Sr","WLS",8,0.348133480885888,0.605899324973479,0.388460961218056,59.3656290640811,0.0962548526615804,0.72595142322235,4009
"HER42PB","Ti","OLS_weighted",1,0.890284906219639,0.718555763474536,0.652933928562262,2173.73266969499,0.817141510366064,1,3971
"HER42PB","Ti","OLS",2,0.853788732014765,0.729930592021033,0.639603384224678,2035.54425020404,0.85458577510566,0.852593167378423,3971
"HER42PB","Ti","PLS_LOO",3,0.843467062664663,0.756227776634957,0.607666319730726,1919.97750377683,0.85516313548524,0.825922953433799,3971
"HER42PB","Ti","PLS_kfold",4,0.843467062664663,0.756227776634957,0.607666319730726,1919.97750377683,0.85516313548524,0.825922953433799,3971
"HER42PB","Ti","Bayes",5,0.801056837057038,0.757847910218222,0.605643649083077,2132.72586760655,0.825280914434982,0.764720720990122,3971
"HER42PB","Ti","RF",6,0.6,0.742787031556751,0.624193853128855,1634.80229641458,1,0,3971
"HER42PB","Ti","WLS_weighted",7,0.395517378055545,0.72919658362992,0.640471967780676,1893.08238585334,0.0168691245118193,0.963489758371134,3971
"HER42PB","Ti","WLS",8,0.391455152643622,0.728935134347202,0.640781067535794,1882.89538666468,0,0.978637881609055,3971
"HER42PB","Zr","PLS_LOO",1,0.841095917240917,0.72037835645274,0.69492862207945,77.8910261396823,0.735159862068195,1,3971
"HER42PB","Zr","PLS_kfold",2,0.841095917240917,0.72037835645274,0.69492862207945,77.8910261396823,0.735159862068195,1,3971
"HER42PB","Zr","Bayes",3,0.804517069513948,0.7219222288162,0.693007515213175,84.3816359771264,0.821450461099731,0.779116982135273,3971
"HER42PB","Zr","RF",4,0.722597925787396,0.743204375842857,0.665960724096371,45.4053867998287,1,0.306494814468491,3971
"HER42PB","Zr","OLS",5,0.565279852833367,0.608456680906178,0.822327315016661,148.16046066862,0.918971725173434,0.0347420443232668,4009
"HER42PB","Zr","WLS_weighted",6,0.411654223040823,0.608229412035276,0.822565937768544,162.575252795128,0.686090371734705,0,4009
"HER42PB","Zr","WLS",7,0.270100305140916,0.608323185716187,0.822467487738816,159.077231156446,0.444810057571229,0.00803567649544675,4009
"HER42PB","Zr","OLS_weighted",8,0.0569254791643293,0.401191970178938,1.01694769214115,153.784821913486,0,0.142313697910823,4009
"KER1","Ca","PLS_LOO",1,0.831719466229882,0.605172814508826,0.447133012734933,5921.70892622602,0.71953244371647,1,2293
"KER1","Ca","PLS_kfold",2,0.831719466229882,0.605172814508826,0.447133012734933,5921.70892622602,0.71953244371647,1,2293
"KER1","Ca","Bayes",3,0.824830407899171,0.636884102731344,0.428801053115093,5546.07861545861,0.845127522148279,0.794384736525509,2293
"KER1","Ca","OLS_weighted",4,0.741245948806172,0.60078407376705,0.449611220751241,5620.88386479327,0.884854177339063,0.525833606006834,2523
"KER1","Ca","OLS",5,0.622356216039153,0.605349695781694,0.447032844459699,5504.63271481712,0.700234957120803,0.505538104416678,2523
"KER1","Ca","RF",6,0.6,0.67369543696228,0.406485244643095,4985.95489955459,1,0,2293
"KER1","Ca","WLS_weighted",7,0.256651865456667,0.604732452698864,0.447382293228408,5447.03371534874,0.00503544638694264,0.634076494061254,2523
"KER1","Ca","WLS",8,0.255521005512611,0.604685117514639,0.447409080513934,5446.04597912254,0,0.638802513781527,2523
"KER1","Sr","Bayes",1,0.976219295591988,0.635271572146413,0.373704733132646,56.5643915636821,0.973461443789392,0.980356073295882,2293
"KER1","Sr","PLS_LOO",2,0.968854677953693,0.619560933054721,0.381668523678026,58.9814163562467,0.948091129922822,1,2293
"KER1","Sr","PLS_kfold",3,0.968854677953693,0.619560933054721,0.381668523678026,58.9814163562467,0.948091129922822,1,2293
"KER1","Sr","OLS",4,0.788109876455559,0.605940022011523,0.388440903375382,59.7735590156883,0.948149419213914,0.548050562318028,2310
"KER1","Sr","RF",5,0.6,0.687903628988896,0.345691061755634,44.4622459672722,1,0,2293
"KER1","Sr","OLS_weighted",6,0.362226414499015,0.588442221601662,0.396971381054182,68.563181097856,0,0.905566036247536,2310
"KER1","Sr","WLS_weighted",7,0.322702325582229,0.605197017350042,0.38880693583257,61.616501941787,0.128036758346711,0.614700676435507,2310
"KER1","Sr","WLS",8,0.281314087418835,0.605899324973479,0.388460961218056,59.3656290640811,0.113307163307608,0.533324473585675,2310
"KER1","Ti","OLS",1,0.73630311926318,0.729930592021033,0.639603384224678,2035.54425020404,0.66323508607177,0.845905169050295,2505
"KER1","Ti","PLS_LOO",2,0.733778166511572,0.756227776634957,0.607666319730726,1919.97750377683,0.752769953610575,0.705290485863066,2293
"KER1","Ti","PLS_kfold",3,0.733778166511572,0.756227776634957,0.607666319730726,1919.97750377683,0.752769953610575,0.705290485863066,2293
"KER1","Ti","OLS_weighted",4,0.727352232434912,0.718555763474536,0.652933928562262,2173.73266969499,0.638692749376913,0.860341457021911,2505
"KER1","Ti","Bayes",5,0.657334617601695,0.757847910218222,0.605643649083077,2132.72586760655,0.783316715657456,0.468361470518054,2293
"KER1","Ti","RF",6,0.6,0.742787031556751,0.624193853128855,1634.80229641458,1,0,2293
"KER1","Ti","WLS",7,0.4,0.728935134347202,0.640781067535794,1882.89538666468,0,1,2505
"KER1","Ti","WLS_weighted",8,0.399978301971409,0.72919658362992,0.640471967780676,1893.08238585334,0.0132267331288335,0.980105655235271,2505
"KER1","Zr","PLS_LOO",1,0.696541037527283,0.72037835645274,0.69492862207945,77.8910261396823,0.739839552870067,0.631593264513106,2293
"KER1","Zr","PLS_kfold",2,0.696541037527283,0.72037835645274,0.69492862207945,77.8910261396823,0.739839552870067,0.631593264513106,2293
"KER1","Zr","RF",3,0.666809372860832,0.743204375842857,0.665960724096371,45.4053867998287,0.444682288101386,1,2293
"KER1","Zr","OLS",4,0.651209500457502,0.608456680906178,0.822327315016661,148.16046066862,1,0.128023751143756,2523
"KER1","Zr","Bayes",5,0.60939819913407,0.7219222288162,0.693007515213175,84.3816359771264,0.820998990775221,0.291997011672343,2293
"KER1","Zr","WLS_weighted",6,0.453000584502227,0.608229412035276,0.822565937768544,162.575252795128,0.744347239377013,0.0159806021900472,2523
"KER1","Zr","WLS",7,0.307197386065273,0.608323185716187,0.822467487738816,159.077231156446,0.484362772813466,0.0414493059429845,2523
"KER1","Zr","OLS_weighted",8,0,0.401191970178938,1.01694769214115,153.784821913486,0,0,2523
