"Element","Site","Model","n","Mean_ppm","SD_pred","Mean_CI_w","SNR_CI","SNR_smooth","SNR_CI_s","SNR_smooth_s","Robustness_score","Robustness_Rank"
"Ca","KER3","OLS_weighted",2000,6929.60011628761,2850.52629603518,11865.8233108174,0.240229963093797,0.000960819586332564,0.976233190453279,0.973926706010544,0.975310596676185,1
"Ca","KER3","OLS",2000,7307.47310664866,2907.92704381854,14717.2059434183,0.197586896249081,0.000942254380051319,0.77346126646194,0.932956955461597,0.837259542061802,2
"Ca","KER3","Bayes",1739,8790.34321420576,3460.79839225225,14230.0373132729,0.243203746839387,0.000593900528355073,0.990373820953032,0.164208674911761,0.659907762536524,3
"Ca","KER3","PLS_LOO",1739,8915.61868166404,3568.14569629711,14550.3110605118,0.245228138522806,0.000519490313939327,1,0,0.6,4
"Ca","KER3","PLS_kfold",1739,8915.61868166404,3568.14569629711,14550.3110605118,0.245228138522806,0.000519490313939327,1,0,0.6,5
"Ca","KER3","RF",1739,8068.4956613454,2604.054741135,12622.7537559698,0.206298466363049,0.000557034469343345,0.814885628350061,0.0828525499890292,0.522072397005648,6
"Ca","KER3","WLS_weighted",2000,7392.36329969694,2820.87475149484,78148.2245403915,0.0360964662739951,0.000971585458947964,0.00555858930506898,0.997684864622563,0.402409099432067,7
"Ca","KER3","WLS",2000,7396.02526284447,2817.84336265569,80676.94684287,0.0349274913457476,0.000972634549198093,0,1,0.4,8
"Fe","KER3","OLS_weighted",2000,5558.36294009852,5436.87801281925,9215.4283953415,0.589975612589822,0.000683300147324821,1,0.954837487316385,0.981934994926554,1
"Fe","KER3","OLS",2000,6146.86623232948,5586.33921607282,18881.0231929227,0.295870576450898,0.000673692815670451,0.429215678219755,0.921617366176556,0.626176353402476,2
"Fe","KER3","PLS_LOO",1739,5046.80925771594,3625.08288973145,13037.9278568445,0.278041336747265,0.000661943376280006,0.394613582908172,0.880990289489956,0.589164265540886,3
"Fe","KER3","PLS_kfold",1739,5046.80925771594,3625.08288973145,13037.9278568445,0.278041336747265,0.000661943376280006,0.394613582908172,0.880990289489956,0.589164265540886,4
"Fe","KER3","WLS_weighted",2000,6222.73698078085,5439.29854361291,69477.3821555772,0.0782887664280868,0.000696361244720276,0.00694380047154626,1,0.404166280282928,5
"Fe","KER3","WLS",2000,6220.58701019537,5442.53155093298,72847.920087676,0.0747108708715724,0.000695842284160099,0,0.998205544130659,0.399282217652264,6
"Fe","KER3","Bayes",1739,5186.23145666109,4499.08983634304,12880.754120769,0.349287766396276,0.000415896903031364,0.53288508468302,0.0302136179434556,0.331816497987194,7
"Fe","KER3","RF",1739,5622.2518681441,4238.00171880288,13192.0269027212,0.321254781395926,0.000407159058673742,0.478480071627267,0,0.28708804297636,8
"Mn","KER3","RF",1739,89.5398937154278,65.8762549912011,220.921273263264,0.298188825449593,0.0369673819584885,0.660300305191756,1,0.796180183115054,1
"Mn","KER3","PLS_LOO",1739,81.3493683395444,50.1551623326384,220.872735060739,0.227077200446882,0.0369046796957976,0.428934894002179,0.996231996279087,0.655853734912942,2
"Mn","KER3","PLS_kfold",1739,81.3493683395444,50.1551623326384,220.872735060739,0.227077200446882,0.0369046796957976,0.428934894002179,0.996231996279087,0.655853734912942,3
"Mn","KER3","OLS",1889,104.846473451735,119.045043666453,295.692324881909,0.402597678901527,0.0203266705008778,1,0,0.6,4
"Mn","KER3","Bayes",1739,92.4374467275121,82.7601470253203,239.480752268538,0.34558162291272,0.023825330097662,0.814495263780634,0.210246996091263,0.572795956704885,5
"Mn","KER3","OLS_weighted",1889,92.5263575086001,113.942408654304,658.119191826751,0.173133392961892,0.0217165890558818,0.253425879837192,0.0835251881233868,0.18546560315167,6
"Mn","KER3","WLS",1889,104.6383131306,112.63133641236,1175.61319571896,0.0958064581296906,0.0211415487121234,0.00183863129941915,0.0489689526389138,0.020690759835217,7
"Mn","KER3","WLS_weighted",1889,104.648408433813,114.472746766994,1201.92285177939,0.0952413431507043,0.0209049168062587,0,0.0347488932101162,0.0138995572840465,8
"Sr","KER3","RF",1739,98.9866013545243,26.7503271732128,135.409643744332,0.19755112290023,0.0480943632099567,0.716320102795128,1,0.829792061677077,1
"Sr","KER3","PLS_LOO",1739,100.747396612362,34.5446714045193,148.956408531367,0.231911280253813,0.0428608350483134,0.840932753624464,0.477117723427119,0.695406741545526,2
"Sr","KER3","PLS_kfold",1739,100.747396612362,34.5446714045193,148.956408531367,0.231911280253813,0.0428608350483134,0.840932753624464,0.477117723427119,0.695406741545526,3
"Sr","KER3","Bayes",1739,109.987499877849,41.7410703554489,151.360909187129,0.275771799863094,0.0380853642514429,1,0,0.6,4
"Sr","KER3","OLS",1846,98.8973563958974,30.8450220645756,167.8306376755,0.183786598750905,0.0399871280678325,0.666400836593836,0.19000539657084,0.475842660584638,5
"Sr","KER3","OLS_weighted",1846,93.0714235059623,27.2940033793717,756212.044924977,3.6093055595378e-05,0.0446244852345584,0,0.653324174597226,0.26132966983889,6
"Sr","KER3","WLS_weighted",1846,99.778071402937,30.0253310671683,1204.54423319866,0.024926715216955,0.0407755296611575,0.0902698545993416,0.268774671759381,0.161671781463358,7
"Sr","KER3","WLS",1846,98.6807076384558,31.0318716348877,1413.20302504201,0.021958537510182,0.0398156497282964,0.0795052795606609,0.172872980007825,0.116852359739527,8
"Ti","KER3","OLS_weighted",1984,1175.81196222422,1060.36589276349,4191.98347321769,0.252950876247032,0.002366598449119,0.76719176778391,0.95078858618224,0.840630495143242,1
"Ti","KER3","RF",1739,1387.12560109604,1142.83018854011,4114.84497916742,0.277733473393532,0.0021633559904495,0.870260614278571,0.753964604057553,0.823742210190164,2
"Ti","KER3","OLS",1984,1314.43930188586,1105.06488049025,4299.29613603801,0.257033906370686,0.00229311541198247,0.784172764672986,0.879626172174314,0.822354127673517,3
