"Site","Element","Model","Rank_site","Robustness_score","R2_overall","RMSE_overall","RMSEP_overall","SNR_CI_s","SNR_smooth_s","n_mean"
"HER42PB","Ca","OLS_weighted",1,0.966795761936031,0.60078407376705,0.449611220751241,5620.88386479327,1,0.916989404840078,4009
"HER42PB","Ca","OLS",2,0.832452235811433,0.605349695781694,0.447032844459699,5504.63271481712,0.797652094473633,0.884652447818132,4009
"HER42PB","Ca","PLS_LOO",3,0.747767789072109,0.714591218855023,0.380160401230266,5060.00126868248,0.812825998972305,0.650180474221815,3901
"HER42PB","Ca","PLS_kfold",4,0.747767789072109,0.714591218855023,0.380160401230266,5060.00126868248,0.812825998972305,0.650180474221815,3901
"HER42PB","Ca","Bayes",5,0.731997860136378,0.71849446314204,0.377551919451181,4920.26934220119,0.824321832718183,0.59351190126367,3901
"HER42PB","Ca","RF",6,0.569892861356153,0.734447503581713,0.366697885888916,4496.46080402109,0.949821435593589,0,3901
"HER42PB","Ca","WLS_weighted",7,0.401809025522235,0.604732452698864,0.447382293228408,5447.03371534874,0.00573662399740849,0.995917627809476,4009
"HER42PB","Ca","WLS",8,0.4,0.604685117514639,0.447409080513934,5446.04597912254,0,1,4009
"HER42PB","Fe","OLS_weighted",1,0.990086826961868,0.705011398870254,0.619652240442579,19165.0781241486,1,0.975217067404671,4009
"HER42PB","Fe","OLS",2,0.646069068134779,0.711860213839782,0.612416695598065,19046.317786508,0.439663835797651,0.955676916640472,4009
"HER42PB","Fe","PLS_LOO",3,0.494777626890131,0.769588412151896,0.547643031052147,12699.4253247054,0.548310458220292,0.414478379894889,3901
"HER42PB","Fe","PLS_kfold",4,0.494777626890131,0.769588412151896,0.547643031052147,12699.4253247054,0.548310458220292,0.414478379894889,3901
"HER42PB","Fe","Bayes",5,0.480015448474993,0.782666025570093,0.531874559979908,13054.643263387,0.494934006135189,0.457637611984699,3901
"HER42PB","Fe","WLS_weighted",6,0.404360499890339,0.711404682307114,0.612900601250386,19121.2837499281,0.00726749981723219,1,4009
"HER42PB","Fe","WLS",7,0.39959254388475,0.711426381771426,0.612877558837851,19118.97376675,0,0.998981359711874,4009
"HER42PB","Fe","RF",8,0.262126643853497,0.80053438105373,0.509541347860933,18195.5344182785,0.436877739755829,0,3901
"HER42PB","Mn","PLS_LOO",1,0.8947664408058,0.652472643614871,0.567888873609633,106.37886834467,0.824610734676333,1,3901
"HER42PB","Mn","PLS_kfold",2,0.8947664408058,0.652472643614871,0.567888873609633,106.37886834467,0.824610734676333,1,3901
"HER42PB","Mn","OLS",3,0.613706807533945,0.642325781154841,0.576119639333299,111.776118917736,1,0.034267018834863,3936
"HER42PB","Mn","RF",4,0.609182648005624,0.698151148146781,0.529253362135368,99.3730994626993,0.819290161488421,0.29402137778143,3901
"HER42PB","Mn","Bayes",5,0.57131443839507,0.675458563365959,0.54878715622519,106.167683499791,0.95219073065845,0,3901
"HER42PB","Mn","OLS_weighted",6,0.235083356259,0.621575234052913,0.592595892589243,115.442539169045,0.23163528208185,0.240255467524724,3936
"HER42PB","Mn","WLS",7,0.0727591954583895,0.64171449487873,0.57661174033931,108.962939644912,0.00389050099445253,0.176062237154295,3936
"HER42PB","Mn","WLS_weighted",8,0.0536645314649828,0.642027836746649,0.576359544649593,109.653909631702,0,0.134161328662457,3936
"HER42PB","Sr","OLS",1,0.799506022598707,0.605940022011523,0.388440903375382,59.7735590156883,0.827042688505896,0.758201023737924,4009
"HER42PB","Sr","PLS_LOO",2,0.638298167192008,0.681443929954195,0.349250256346248,60.5526521980026,1,0.0957454179800206,3901
"HER42PB","Sr","PLS_kfold",3,0.638298167192008,0.681443929954195,0.349250256346248,60.5526521980026,1,0.0957454179800206,3901
"HER42PB","Sr","RF",4,0.616213803305935,0.721982836872426,0.326271842029504,43.1095883838837,0.855779256072915,0.256865624155464,3901
"HER42PB","Sr","Bayes",5,0.541819950742984,0.719033486991341,0.327997906598047,49.7050467588939,0.903033251238306,0,3901
"HER42PB","Sr","OLS_weighted",6,0.4,0.588442221601662,0.396971381054182,68.563181097856,0,1,4009
"HER42PB","Sr","WLS_weighted",7,0.39670311935414,0.605197017350042,0.38880693583257,61.616501941787,0.11197522336339,0.823794963340264,4009
"HER42PB","Sr","WLS",8,0.35665176361398,0.605899324973479,0.388460961218056,59.3656290640811,0.0986316514228474,0.743681931900679,4009
"HER42PB","Ti","OLS_weighted",1,0.935403552051449,0.718555763474536,0.652933928562262,2173.73266969499,0.892339253419082,1,3971
"HER42PB","Ti","OLS",2,0.845870489261156,0.729930592021033,0.639603384224678,2035.54425020404,0.933229340164999,0.714832212905392,3971
"HER42PB","Ti","PLS_LOO",3,0.695048837758219,0.754035431978301,0.610392701137588,2029.36926987965,0.838664562872103,0.479625250087393,3901
"HER42PB","Ti","PLS_kfold",4,0.695048837758219,0.754035431978301,0.610392701137588,2029.36926987965,0.838664562872103,0.479625250087393,3901
"HER42PB","Ti","RF",5,0.672962390195727,0.758515868218349,0.604807761433501,1540.05877513209,1,0.182405975489318,3901
"HER42PB","Ti","Bayes",6,0.584061344858241,0.769067236846491,0.591446999353038,1783.30513592537,0.973435574763735,0,3901
"HER42PB","Ti","WLS",7,0.383469455463201,0.728935134347202,0.640781067535794,1882.89538666468,0,0.958673638658002,3971
"HER42PB","Ti","WLS_weighted",8,0.382800363755715,0.72919658362992,0.640471967780676,1893.08238585334,0.0184215117966127,0.929368641694368,3971
"HER42PB","Zr","Bayes",1,0.805352860384399,0.723503699572672,0.691034085621477,78.0488237943269,0.711475299287724,0.946169202029411,3901
"HER42PB","Zr","PLS_LOO",2,0.802486531142974,0.697291605179832,0.723047851394819,93.2499291193699,0.670810885238289,1,3901
"HER42PB","Zr","PLS_kfold",3,0.802486531142974,0.697291605179832,0.723047851394819,93.2499291193699,0.670810885238289,1,3901
"HER42PB","Zr","RF",4,0.706384955613353,0.76427923472626,0.638048553639218,43.5303797063521,1,0.265962389033382,3901
"HER42PB","Zr","OLS",5,0.498574721456727,0.608456680906178,0.822327315016661,148.16046066862,0.802234700102183,0.0430847534885417,4009
"HER42PB","Zr","WLS_weighted",6,0.359361766113779,0.608229412035276,0.822565937768544,162.575252795128,0.598936276856299,0,4009
"HER42PB","Zr","WLS",7,0.236969610816183,0.608323185716187,0.822467487738816,159.077231156446,0.388305813294467,0.00996530709875732,4009
"HER42PB","Zr","OLS_weighted",8,0.0705951617064089,0.401191970178938,1.01694769214115,153.784821913486,0,0.176487904266022,4009
