"rowname","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se","Q0.25","Q0.75","SNR"
"kcps",1,22741,21835.8210720728,2516.23963606609,22394,22089.4575935796,2091.9486,9879,27344,17465,-0.928679939935597,0.586309183927844,16.6858071578181,20586,23596,8.67795767902737
"cps",2,22741,57938.6043709602,7313.38470119453,56838,57151.2241521468,4492.278,32827,117731,84904,1.75287495161965,6.45671711136452,48.496862161289,54021,60101,7.92226947414605
"MSE",3,22741,1.34476891957258,0.0976465163637445,1.34,1.34073874567141,0.0889560000000001,1.04,1.93,0.89,0.502440523937112,0.754580253898549,0.000647518192752677,1.28,1.4,13.7718064059056
"Al",5,22741,20.424079855767,16.2580447225399,19,19.0549661957877,17.7912,0,104,104,0.56676367798299,-0.171061672981841,0.107811114297366,7,31,1.25624453643256
"P",7,22741,12.4689327646102,10.6516466802469,11,11.437201121309,13.3434,0,62,62,0.625371207364005,-0.139510641132034,0.0706337027174721,0,20,1.17061081154085
"S",8,22741,36.6230156985191,24.5803271989191,33,34.1878744572081,20.7564,0,345,345,1.88563723758349,8.83230752298313,0.162998227052196,20,48,1.48993198512547
"Ca",11,22741,290.23424651512,284.576820261445,227,239.723739899959,108.2298,5,5527,5522,5.54794259915635,46.8957061517594,1.88709925573353,162,312,1.0198801372806
"Co",17,22741,110.476628116615,88.3897170312377,91,99.8200956411739,75.6126,0,708,708,1.24607762603319,1.94043543288532,0.586134067668985,47,153,1.24988100230676
"Ni",18,22741,209.050525482607,41.5902526816989,209,209.164678722581,40.0302,40,585,545,0.0639126502309558,0.616001291412184,0.275795248570485,182,237,5.02643076209527
"Cu",19,22741,134.041466953959,77.5329594557314,127,127.729676249102,53.3736,0,1408,1408,4.23662842523379,36.0076436264201,0.514140223892127,92,163,1.72883207212659
"Se",22,22741,75.629567741086,60.2139981295124,69,70.3415599406294,66.717,0,371,371,0.65023117827753,0.0327498388565184,0.399293909288008,25,115,1.25601305494474
"Br",23,22741,1583.07092915876,836.69875395108,1335,1481.27021381844,573.7662,119,6224,6105,1.34829775134397,2.19472535163716,5.54835630816195,1041,1991,1.89204408597854
"Zr",27,22741,872.587617079296,192.66109327876,875,870.047051063574,182.3598,140,3200,3060,0.967174092626122,7.78021526032656,1.27758334428341,745,992,4.52913248974849
"Pb",32,22741,90.527901147708,68.2751931739068,85,85.3807508382215,75.6126,0,419,419,0.560402564880098,-0.144994404654457,0.452749686728433,34,136,1.3259266937132
"Th",33,22741,70.1541269073465,63.5841649529985,60,62.8428516462322,74.13,0,405,405,0.828453502552653,0.250324236913147,0.421642318755988,11,111,1.10332701481893
"Mo_inc",35,22741,37866.1021503019,7828.76632556969,39840,38934.3855878633,6516.027,9567,53454,43887,-1.23040902980377,1.2916100124205,51.9144851387457,34002,43637,4.83679044380552
"Mo_coh",36,22741,5986.7993491931,730.558559559691,6112,6056.75320178095,636.0354,2941,8066,5125,-0.938144890697507,0.977645582806658,4.84451443637708,5612,6491,8.19482472808388
