Location,Site,Section,sample,min_depth,max_depth,midpoint,depth,depth_err,SH20_min_age_95CI,SH20_max_age_95CI,SH20_median_age,SH20_mean_age,SH20_mean_95CI,accrate,accrate_err,kcps,cps,MSE,K,Ca,Ti,Mn,Fe,Co,Ni,Cu,Zn,Rb,Sr,Zr,Mo_inc,Mo_coh,inc_coh,Ln_inc_coh,coh_inc,Ln_coh_inc,Total_scatter,kcps_sd,cps_sd,MSE_sd,K_sd,Ca_sd,Ti_sd,Mn_sd,Fe_sd,Co_sd,Ni_sd,Cu_sd,Zn_sd,Rb_sd,Sr_sd,Zr_sd,Mo_inc_sd,Mo_coh_sd,inc_coh_sd,Ln_inc_coh_sd,coh_inc_sd,Ln_coh_inc_sd,Total_scatter_sd,Water_Content,Dry_mass,Dry_mass_err,LOI550,LOI550_err,C_org_pc,C_org_pc_err,Volume,Volume_err,Wet_density,Dry_density,Dry_density_err,DMAR,DMAR_err,DMAR_err_pc,K_ICP,Ca_ICP,Ti_ICP,Mn_ICP,Fe_ICP,Co_ICP,Ni_ICP,Cu_ICP,Zn_ICP,Rb_ICP,Sr_ICP,Zr_ICP,K_ICP_sd,Ca_ICP_sd,Ti_ICP_sd,Mn_ICP_sd,Fe_ICP_sd,Co_ICP_sd,Ni_ICP_sd,Cu_ICP_sd,Zn_ICP_sd,Rb_ICP_sd,Sr_ICP_sd,Zr_ICP_sd
Bird Island,BI10,BI10.1,1,0.0,1.1,0.6,0.6,0.55,-67,-52,-61,-61,7,0.09517,0.07549,20689.81818,52220.36364,1.329090909,8.636363636,42,15.27272727,16.36363636,5450.545455,68.90909091,172.7272727,88,8,26.18181818,28.72727273,792.3636364,38213.72727,5590.272727,6.836090686,1.921893934,0.146376585,-1.921893935,43804,873.5065905,1818.180039,0.057000797,9.831304362,15.8113883,17.90581419,11.56955252,835.9219298,58.91087259,26.46163604,47.18262392,18.15488915,39.54950867,47.40272336,126.0430662,1611.558568,191.8406062,0.182202519,0.026604035,0.003886984,0.026604035,1764.165809,87.49,12.51,0.63,90.56,4.53,52.34,4.53,3.9915,0.2116,0.7473,0.1069,0.011,0.0102,0.0091,89.6,1782.206118,1557.061769,134.9563972,34.34524027,13959.03161,0.738789575,2.467420581,4.369649931,22.90793616,2.288761162,26.58846642,2.896325963,320.7971012,202.41803,18.89389561,4.121428832,2512.62569,0.05171527,1.332407114,0.61175099,2.061714254,0.366201786,0.531769328,0.144816298
Bird Island,BI10,BI10.1,4,3.9,5.0,4.5,4.5,0.55,-62,41,-24,-20,52,0.09524,-0.2374,24515.91667,60507.16667,1.321666667,10.41666667,43.08333333,12.83333333,35.66666667,5083.583333,81.58333333,238.75,98.91666667,0.545454545,56.5,2.083333333,898.5,45226.25,6602.416667,6.853673353,1.924503809,0.145989152,-1.924503808,51828.66667,487.3021199,1472.753564,0.068202017,8.979353422,12.12404323,12.82634599,18.95608961,710.0685573,41.30476163,34.79322034,46.75557008,1.809068067,72.09148229,7.216878365,114.7443799,654.3573009,185.3877795,0.169742759,0.024756333,0.003613515,0.024756333,759.6963907,89.51,10.49,0.52,90.31,4.52,45.15,4.52,3.7179,0.303,1.4999,0.1757,0.0231,0.0167,-0.0395,-236.1,1331.46149,1397.543318,79.78694045,28.06949723,9355.988249,0.761205508,2.98969441,3.255429522,12.50967591,1.525038372,25.05462045,2.113253146,239.6630682,181.6806313,11.17017166,3.368339668,1684.077885,0.053284386,1.614434981,0.455760133,1.125870832,0.24400614,0.501092409,0.105662657
Bird Island,BI10,BI10.1,10,11.7,12.8,12.3,12.3,0.55,-33,189,50,60,111,0.10578,0.20089,21782.66667,52798.33333,1.291666667,9.833333333,56.5,12.5,12.91666667,1170,33.08333333,191.9166667,71.25,4.333333333,28.58333333,10.25,921.5,42093.83333,6060.5,6.949406891,1.938452952,0.143955505,-1.938452952,48154.33333,564.7542238,1711.664067,0.082553931,8.558178792,15.82001034,7.786935446,12.28789747,185.3448874,34.65796074,24.60028948,53.7623136,12.70170592,44.55937476,24.83445188,127.6639766,1322.154016,252.6443782,0.146903945,0.021027399,0.003010999,0.021027399,1547.898536,86.38,13.62,0.68,90.68,4.53,45.34,4.53,4.7687,0.701,0.9214,0.1452,0.0286,0.0154,0.0322,209.6,1545.22611,2547.021617,340.544392,37.1899001,3942.206507,1.745989306,3.556521683,5.828405269,13.94648753,4.398970104,46.4043754,6.431024383,278.1406998,331.1128102,47.67621488,4.462788012,709.5971713,0.122219251,1.920521709,0.815976738,1.255183878,0.703835217,0.928087508,0.321551219
Bird Island,BI10,BI10.1,22,26.7,27.8,27.2,27.2,0.525,82,372,212,214,145,0.08802,0.06119,21759.58333,52292.16667,1.33,11.33333333,125.0833333,31.91666667,28.5,1496.25,50.16666667,203.3333333,87.41666667,90.91666667,74.33333333,248.0833333,840.25,40802.66667,6037.25,6.75858272,1.910600997,0.148022999,-1.910600998,46839.91667,587.0123831,1289.586955,0.068090848,9.208033383,20.78224038,13.74083717,8.639233973,127.3064485,34.22341924,17.30650605,47.77686457,60.62471493,79.60394386,60.54368571,91.05954595,1078.149453,98.40650847,0.14503619,0.021547465,0.003202734,0.021547463,1138.107237,80.34,19.66,0.98,72.7,3.63,36.35,3.64,5.6796,1.5477,0.8756,0.2142,0.0691,0.0189,0.0192,101.8,4972.490853,6361.863436,1070.668936,59.55046887,4568.280308,1.171208352,7.052448962,18.80830619,83.1136075,19.01381163,121.9608593,35.64216716,895.0483535,827.0422467,149.893651,7.146056264,822.2904554,0.081984585,3.808322439,2.633162867,7.480224675,3.042209861,2.439217186,1.782108358
Bird Island,BI10,BI10.1,30,36.3,37.2,36.7,36.7,0.475,182,468,347,340,143,0.07126,0.0308,22119.4,57449,1.346,26.3,217.7,75.3,44.1,7994.7,144.2,213,137.5,74.1,47,349.4,793.2,38550.7,6177,6.241044238,1.83104381,0.160262792,-1.83104381,44727.7,229.5663545,1848.955501,0.126156869,22.63748121,27.90877998,27.37821518,17.53377693,1003.562881,53.02368444,38.55443482,51.66827954,26.91323508,37.44922488,106.5574441,107.0252307,967.395593,126.3232186,0.094860109,0.015171435,0.00242683,0.015171434,1070.948806,78.21,21.79,1.09,61.98,3.1,30.99,3.1,4.6609,1.6313,1.0904,0.3038,0.1215,0.0216,0.018,83.2,16457.36219,8442.247188,1962.99309,148.1529747,18556.10587,14.98993637,9.844407416,25.3957986,90.06087679,43.16823811,150.558177,40.9140318,2962.325194,1097.492134,274.8190326,17.77835696,3340.099057,1.049295546,5.315980005,3.555411804,8.105478911,6.906918098,3.01116354,2.04570159
Bird Island,BI10,BI10.1,34,40.9,41.9,41.4,41.4,0.5,244,520,411,404,138,0.07979,0.02824,23491.90909,61638.18182,1.349090909,11.09090909,171.7272727,33.09090909,36.45454545,10621.27273,258.1818182,227.4545455,143,17.45454545,5.636363636,148.1818182,831.4545455,40697.09091,6303.272727,6.45711632,1.864969006,0.154934023,-1.864969007,47000.36364,847.1868099,2006.333812,0.064413437,8.141922936,21.74898117,12.9340987,17.27057403,985.4789791,60.44802426,38.94448263,51.50145629,19.22167337,9.902249515,98.66794635,100.5160322,1249.597652,167.3362429,0.140283271,0.021670954,0.003348951,0.021670954,1375.404542,80.53,19.47,0.97,46.97,2.35,23.49,2.35,4.9063,1.9134,1.0736,0.2596,0.1142,0.0207,0.0164,79.4,10808.43657,8467.75867,1538.231355,149.1109339,34440.81517,4.788646274,10.02079263,25.1006547,83.32372544,21.08188416,145.2111951,27.74345656,1945.518583,1100.808627,215.3523897,17.89331207,6199.346731,0.335205239,5.41122802,3.514091658,7.49913529,3.373101466,2.904223902,1.387172828
Bird Island,BI10,BI10.2,51,45.9,46.9,46.4,46.4,0.5,374,544,470,467,85,0.07984,0.01535,24155,62053.09091,1.374545455,10.72727273,228.9090909,50.18181818,39.36363636,8172.090909,189.6363636,225.4545455,133.0909091,197.3636364,63.54545455,302.9090909,884.0909091,42397,6672.272727,6.357444179,1.849253461,0.157412858,-1.849253462,49069.27273,453.4772321,1133.338295,0.091253892,11.06427502,30.83976182,21.8806681,16.80043289,673.6131612,54.93136213,26.67719489,43.09397764,115.5216627,56.88473193,69.39806128,64.28756419,762.7776871,166.4602601,0.182779022,0.028592983,0.004475297,0.028592983,803.3255991,84.86,15.14,0.76,86.82,4.34,43.41,4.34,5.8291,3.2905,1.0017,0.1787,0.1098,0.0143,0.0115,80.7,2479.827204,6975.196896,301.0170716,55.70453095,26327.35852,17.04437568,9.672030755,30.70187991,154.2471074,5.28425398,110.8952002,6.355756988,446.3688967,906.7755965,42.14239002,6.684543714,4738.924534,1.193106298,5.222896608,4.298263187,13.88223967,0.845480637,2.217904004,0.317787849
Bird Island,BI10,BI10.2,54,49.3,50.3,49.8,49.8,0.5,431,612,509,509,91,0.04431,0.00833,23782.54545,58865.81818,1.302727273,12.54545455,216,30.36363636,32,4413.272727,77.09090909,238.6363636,130.6363636,14.63636364,48.09090909,221,970.5454545,43566.63636,6609.090909,6.592927335,1.885875918,0.1517146,-1.885875918,50175.72727,415.853427,920.7227398,0.071005762,9.511715264,27.06288972,18.22236388,18.89973545,708.4610209,50.6151253,29.33350551,52.63890715,40.27970389,65.10369351,105.8621745,90.8166985,549.8352977,99.84733802,0.107707507,0.016359697,0.002485303,0.016359698,588.7108103,77.63,22.37,1.12,49.27,2.46,24.64,2.47,5.7227,3.3993,0.9612,0.2769,0.1783,0.0123,0.0102,83.2,23399.21394,7326.374157,1904.013462,235.7531016,20544.92897,5.701846016,6.289145655,12.23274868,56.72463202,58.41930414,153.965778,31.40903404,4211.858509,952.4286404,266.5618847,28.29037219,3698.087215,0.399129221,3.396138654,1.712584815,5.105216882,9.347088662,3.07931556,1.570451702
Bird Island,BI10,BI10.2,62,58.4,59.4,58.9,58.9,0.5,517,1000,723,731,242,0.04011,0.0136,23787.45455,55955.63636,1.37,5,181.7272727,17.09090909,39.81818182,1072.818182,23.45454545,231.2727273,132.7272727,143.5454545,15.63636364,213.9090909,884.8181818,44227.81818,6491.090909,6.816632467,1.919182655,0.146753534,-1.919182654,50718.90909,321.6977972,1024.875531,0.086139422,6.340346994,38.05283408,10.77454914,17.18614664,146.8930347,31.31888771,39.47933867,35.91125425,47.36953375,23.04895975,66.89462541,75.60134679,670.183679,182.7842742,0.137121981,0.020033304,0.002927739,0.020033305,814.1142984,87.79,12.21,0.61,89.03,4.45,44.52,4.45,5.7227,3.8571,1.0337,0.1438,0.1041,0.0058,0.0061,106.3,867.9986358,5816.665099,225.6496719,36.54824658,2355.109726,1.54911114,7.635178907,44.61646774,109.0593506,3.560602291,97.81476508,6.255310392,156.2397544,756.1664629,31.59095407,4.38578959,423.9197507,0.10843778,4.12299661,6.246305484,9.815341554,0.569696367,1.956295302,0.31276552
Bird Island,BI10,BI10.2,67,64.1,65.2,64.6,64.6,0.525,707,1112,883,891,203,0.03456,0.00815,22661.41667,55280.33333,1.319166667,17.83333333,251.6666667,54.5,49.16666667,2572.333333,69.66666667,210.5833333,154.4166667,464.9166667,122.3333333,570.1666667,903.1666667,40818.83333,6431.916667,6.347789481,1.847722769,0.157657004,-1.847722769,47250.75,631.5493874,1314.721079,0.083389375,18.62468222,43.75621168,47.49066894,36.82349382,329.9077924,26.37262125,30.79096188,63.02446615,57.30216295,97.9956709,167.2058249,129.0967455,1324.429746,173.9291697,0.182454354,0.029041933,0.004628057,0.029041933,1425.894432,77.02,22.98,1.15,80.57,4.03,40.28,4.03,5.5719,4.0229,1.0497,0.3133,0.2418,0.0108,0.0109,100.8,7766.606331,9084.977882,1442.000824,88.46094721,6242.966621,4.068857773,5.960197779,36.59073739,261.6355831,30.36236272,168.0404108,30.42377281,1397.98914,1181.047125,201.8801154,10.61531367,1123.733992,0.284820044,3.218506801,5.122703235,23.54720248,4.857978035,3.360808216,1.521188641
