"Location","Site","Section","sample","top","bottom","mp","depth","depth_err","SH20_min_age_95CI","SH20_max_age_95CI","SH20_median_age","SH20_mean_age","SH20_mean_95CI","accrate","accrate_err","Water_Content","Dry_mass","Dry_mass_err","LOI550","LOI550_err","C_org_pc","C_org_pc_err","Volume","Volume_err","Wet_density","Dry_density","Dry_density_err","DMAR","DMAR_err","DMAR_err_pc","P_ICP","P_ICP_sd","K_ICP","K_ICP_sd","Ca_ICP","Ca_ICP_sd","Ti_ICP","Ti_ICP_sd","Mn_ICP","Mn_ICP_sd","Fe_ICP","Fe_ICP_sd","Co_ICP","Co_ICP_sd","Ni_ICP","Ni_ICP_sd","Cu_ICP","Cu_ICP_sd","Zn_ICP","Zn_ICP_sd","As_ICP","As_ICP_sd","Rb_ICP","Rb_ICP_sd","Sr_ICP","Sr_ICP_sd","Zr_ICP","Zr_ICP_sd","Pb_ICP","Pb_ICP_sd","Th_ICP","Th_ICP_sd"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,0.6,0.55,-67,-52,-61,-61,7,0.09517,0.07549,87.49,12.51,0.63,90.56,4.53,52.34,4.53,3.9915,0.2116,0.7473,0.1069,0.011,0.0102,0.0091,89.6,3631.01094,41.22201845,1782.206118,320.7971012,1557.061769,202.41803,134.9563972,18.89389561,34.34524027,4.121428832,13959.03161,2512.62569,0.738789575,0.05171527,2.467420581,1.332407114,4.369649931,0.61175099,22.90793616,2.061714254,1.593037056,0.008373058,2.288761162,0.366201786,26.58846642,0.531769328,2.896325963,0.144816298,1.440961807,0.005279507,0.193973613,0.004950768
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,4.5,0.55,-62,41,-24,-20,52,0.09524,-0.2374,89.51,10.49,0.52,90.31,4.52,45.15,4.52,3.7179,0.303,1.4999,0.1757,0.0231,0.0167,-0.0395,-236.1,2187.768178,58.29252023,1331.46149,239.6630682,1397.543318,181.6806313,79.78694045,11.17017166,28.06949723,3.368339668,9355.988249,1684.077885,0.761205508,0.053284386,2.98969441,1.614434981,3.255429522,0.455760133,12.50967591,1.125870832,1.332775979,0.02334512,1.525038372,0.24400614,25.05462045,0.501092409,2.113253146,0.105662657,2.373368867,0.02400569,0.111198299,0.000588647
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,12.3,0.55,-33,189,50,60,111,0.10578,0.20089,86.38,13.62,0.68,90.68,4.53,45.34,4.53,4.7687,0.701,0.9214,0.1452,0.0286,0.0154,0.0322,209.6,2538.801945,60.0436628,1545.22611,278.1406998,2547.021617,331.1128102,340.544392,47.67621488,37.1899001,4.462788012,3942.206507,709.5971713,1.745989306,0.122219251,3.556521683,1.920521709,5.828405269,0.815976738,13.94648753,1.255183878,1.743850558,0.029034748,4.398970104,0.703835217,46.4043754,0.928087508,6.431024383,0.321551219,1.816847326,0.011704502,0.392855167,0.002705738
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,27.2,0.525,82,372,212,214,145,0.08802,0.06119,80.34,19.66,0.98,72.7,3.63,36.35,3.64,5.6796,1.5477,0.8756,0.2142,0.0691,0.0189,0.0192,101.8,6654.725412,133.8869744,4972.490853,895.0483535,6361.863436,827.0422467,1070.668936,149.893651,59.55046887,7.146056264,4568.280308,822.2904554,1.171208352,0.081984585,7.052448962,3.808322439,18.80830619,2.633162867,83.1136075,7.480224675,4.803888726,0.047934098,19.01381163,3.042209861,121.9608593,2.439217186,35.64216716,1.782108358,5.697875838,0.054057547,2.206277124,0.022103189
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,36.7,0.475,182,468,347,340,143,0.07126,0.0308,78.21,21.79,1.09,61.98,3.1,30.99,3.1,4.6609,1.6313,1.0904,0.3038,0.1215,0.0216,0.018,83.2,3726.942347,91.16765458,16457.36219,2962.325194,8442.247188,1097.492134,1962.99309,274.8190326,148.1529747,17.77835696,18556.10587,3340.099057,14.98993637,1.049295546,9.844407416,5.315980005,25.3957986,3.555411804,90.06087679,8.105478911,7.177832466,0.057235004,43.16823811,6.906918098,150.558177,3.01116354,40.9140318,2.04570159,4.940056387,0.065822161,4.042046336,0.032130391
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,41.4,0.5,244,520,411,404,138,0.07979,0.02824,80.53,19.47,0.97,46.97,2.35,23.49,2.35,4.9063,1.9134,1.0736,0.2596,0.1142,0.0207,0.0164,79.4,3202.443185,82.71131473,10808.43657,1945.518583,8467.75867,1100.808627,1538.231355,215.3523897,149.1109339,17.89331207,34440.81517,6199.346731,4.788646274,0.335205239,10.02079263,5.41122802,25.1006547,3.514091658,83.32372544,7.49913529,7.880957488,0.074791029,21.08188416,3.373101466,145.2111951,2.904223902,27.74345656,1.387172828,7.408811877,0.095574739,2.195438664,0.011765005
"Bird Island","BI10","BI10.2",51,45.9,46.9,46.4,46.4,0.5,374,544,470,467,85,0.07984,0.01535,84.86,15.14,0.76,86.82,4.34,43.41,4.34,5.8291,3.2905,1.0017,0.1787,0.1098,0.0143,0.0115,80.7,3384.904962,93.00445812,2479.827204,446.3688967,6975.196896,906.7755965,301.0170716,42.14239002,55.70453095,6.684543714,26327.35852,4738.924534,17.04437568,1.193106298,9.672030755,5.222896608,30.70187991,4.298263187,154.2471074,13.88223967,10.64861794,0.177330122,5.28425398,0.845480637,110.8952002,2.217904004,6.355756988,0.317787849,2.861172068,0.011046014,0.732997581,0.006237929
"Bird Island","BI10","BI10.2",54,49.3,50.3,49.8,49.8,0.5,431,612,509,509,91,0.04431,0.00833,77.63,22.37,1.12,49.27,2.46,24.64,2.47,5.7227,3.3993,0.9612,0.2769,0.1783,0.0123,0.0102,83.2,3001.682437,49.99798666,23399.21394,4211.858509,7326.374157,952.4286404,1904.013462,266.5618847,235.7531016,28.29037219,20544.92897,3698.087215,5.701846016,0.399129221,6.289145655,3.396138654,12.23274868,1.712584815,56.72463202,5.105216882,5.236852561,0.016924834,58.41930414,9.347088662,153.965778,3.07931556,31.40903404,1.570451702,6.319566267,0.119404834,4.857814687,0.12796856
"Bird Island","BI10","BI10.2",62,58.4,59.4,58.9,58.9,0.5,517,1000,723,731,242,0.04011,0.0136,87.79,12.21,0.61,89.03,4.45,44.52,4.45,5.7227,3.8571,1.0337,0.1438,0.1041,0.0058,0.0061,106.3,4341.206788,110.6435017,867.9986358,156.2397544,5816.665099,756.1664629,225.6496719,31.59095407,36.54824658,4.38578959,2355.109726,423.9197507,1.54911114,0.10843778,7.635178907,4.12299661,44.61646774,6.246305484,109.0593506,9.815341554,6.931517761,0.104210602,3.560602291,0.569696367,97.81476508,1.956295302,6.255310392,0.31276552,4.714142544,0.009348352,0.621271024,0.00212764
"Bird Island","BI10","BI10.2",67,64.1,65.2,64.6,64.6,0.525,707,1112,883,891,203,0.03456,0.00815,77.02,22.98,1.15,80.57,4.03,40.28,4.03,5.5719,4.0229,1.0497,0.3133,0.2418,0.0108,0.0109,100.8,3712.228887,74.17879973,7766.606331,1397.98914,9084.977882,1181.047125,1442.000824,201.8801154,88.46094721,10.61531367,6242.966621,1123.733992,4.068857773,0.284820044,5.960197779,3.218506801,36.59073739,5.122703235,261.6355831,23.54720248,8.072382999,0.070931291,30.36236272,4.857978035,168.0404108,3.360808216,30.42377281,1.521188641,4.487970407,0.077593013,2.556674805,0.045766663
