"Site","depth","SH20_age","Ti","Ti_ppm","Ti_lower_RMSE","Ti_upper_RMSE"
"HER42PB",1.1,-51.51,-5.90935025073105,1142.22721412946,732.545409902137,1781.02680197294
"HER42PB",1.2,-50.47,-5.47333962086038,1529.75436236507,981.078477702326,2385.28156754143
"HER42PB",1.3,-49.42,-5.3797840283916,1628.71184296917,1044.54295070322,2539.58180048233
"HER42PB",1.4,-48.38,-5.79225112264381,1235.45147347819,792.332991945943,1926.38746440532
"HER42PB",1.5,-47.34,-5.57397895214569,1430.00626170977,917.106955769023,2229.74855404342
"HER42PB",1.6,-46.29,-5.60829894649459,1397.49930239525,896.259243911733,2179.06182107679
"HER42PB",1.7,-45.25,-5.67981702817202,1332.11421060866,854.32577544609,2077.10960046705
"HER42PB",1.8,-44.2,-5.32601836189582,1688.45248240213,1082.85645843609,2632.73286419447
"HER42PB",1.9,-43.16,-5.89784044507531,1151.06962963842,738.216322670985,1794.81440816969
"HER42PB",2,-42.11,-4.52025545026581,2896.99377305745,1857.93112326229,4517.16041356655
"HER42PB",2.1,-41.07,-5.76069254116219,1261.85229699623,809.264651292301,1967.55315692091
"HER42PB",2.3,-38.98,-5.97783880352617,1090.99783524474,699.690435086341,1701.14698847046
"HER42PB",2.4,-37.94,-5.68147194329115,1330.63799008663,853.379029865144,2074.80779196272
"HER42PB",2.5,-36.89,-4.62795079742712,2695.3220242538,1728.59283393984,4202.70214696519
"HER42PB",2.6,-35.85,-5.31449982399247,1701.53339053655,1091.24564676279,2653.12937348207
"HER42PB",2.7,-34.8,-5.1446153040257,1906.65894582066,1222.79896830708,2972.97301510728
"HER42PB",2.8,-33.76,-5.79345354177275,1234.45656886525,791.694929047004,1924.83615153243
"HER42PB",2.9,-32.72,-5.86945042628248,1173.17404592072,752.392564040356,1829.28089378108
"HER42PB",3,-31.67,-5.79455190781127,1233.54845998254,791.112530916846,1923.42017558717
"HER42PB",3.1,-30.63,-5.75770231664563,1264.38288963032,810.887598106647,1971.49900346565
"HER42PB",3.2,-29.58,-5.84023080453195,1196.3677385612,767.267391808676,1865.44584215425
"HER42PB",3.3,-28.54,-5.5417925057632,1461.17914329791,937.099082587871,2278.35511578213
"HER42PB",3.4,-27.49,-5.19339370926144,1845.35364348907,1183.48199417956,2877.38223841681
"HER42PB",3.5,-26.45,-5.94999129890141,1111.5445679663,712.867686124906,1733.18464369124
"HER42PB",3.6,-25.41,-5.76786579511828,1255.80228378833,805.384591921912,1958.11962605921
"HER42PB",3.7,-24.36,-5.46075658272386,1542.70568109133,989.384556359652,2405.4760135212
"HER42PB",3.8,-23.32,-5.58352763661178,1420.88682949182,911.258383672738,2215.52900735601
"HER42PB",3.9,-22.27,-5.1824387663028,1858.94802095941,1192.20048616889,2898.57937882051
"HER42PB",4,-21.23,-5.69544593528043,1318.2379314126,845.426491218004,2055.47290257181
"HER42PB",4.1,-20.19,-5.4462436988955,1557.77955128955,999.051892496086,2428.98006464202
"HER42PB",4.2,-19.14,-5.28128573094288,1739.82282144524,1115.80183533277,2712.83247093685
"HER42PB",4.3,-18.1,-5.14518572040217,1905.93040009065,1222.33172954422,2971.83702442559
"HER42PB",4.4,-17.05,-5.52890422199616,1473.85127871182,945.226112408459,2298.11424297785
"HER42PB",4.5,-16.01,-5.13735233392747,1915.95972176898,1228.76384170983,2987.47532343804
"HER42PB",4.6,-14.96,-5.07330059292136,1999.97228659323,1282.64368100522,3118.47257845312
"HER42PB",4.7,-13.92,-5.14092303514181,1911.3815161306,1225.82769775836,2980.33672014964
"HER42PB",4.8,-12.88,-5.04350013286017,2040.30566415403,1308.51071536802,3181.36271586298
"HER42PB",4.9,-11.83,-5.08170365417488,1988.74397817522,1275.44262180191,3100.96474990034
"HER42PB",5,-10.79,-4.94784078956164,2175.35396104805,1395.12133782654,3391.9378390554
"HER42PB",5.1,-9.74,-4.29635646978413,3365.86802338979,2158.63458720841,5248.25629034734
"HER42PB",5.2,-8.7,-4.88295192633675,2272.01460790126,1457.11278076765,3542.65671583581
"HER42PB",5.3,-7.65,-4.75602912657498,2473.67575961671,1586.44427385182,3857.09845884373
"HER42PB",5.4,-6.61,-5.58138600974305,1422.92710923593,912.56687776479,2218.71032965585
"HER42PB",5.5,-5.57,-4.93157827803421,2199.1859622566,1410.40553249302,3429.09807510303
"HER42PB",5.6,-4.52,-5.22702274091346,1804.2400615609,1157.11459078245,2813.27556118712
"HER42PB",5.7,-3.48,-5.32104996957055,1694.08240693203,1086.46710202911,2641.51136846822
"HER42PB",5.8,-2.43,-5.57388393102003,1430.09730474697,917.16534446628,2229.890513618
"HER42PB",5.9,-1.39,-5.3840902318005,1624.019527048,1041.5336243211,2532.26526983453
"HER42PB",6,-0.34,-4.46205816160513,3012.18507141358,1931.80684240786,4696.77335500981
"HER42PB",6.1,0.7,-5.40461078025446,1601.84405225204,1027.31181094348,2497.68798567468
"HER42PB",6.2,1.74,-5.27454018449644,1747.70377436333,1120.85613259901,2725.12090899766
"HER42PB",6.3,2.79,-5.65864428773888,1351.14590136092,866.531383516695,2106.78491453533
"HER42PB",6.4,3.83,-4.59000628808204,2764.72316278374,1773.10191658399,4310.9164201678
"HER42PB",6.5,4.88,-5.84067507034098,1196.01168301678,767.039042447441,1864.89065973542
"HER42PB",6.6,5.92,-5.35147378909878,1659.89987174226,1064.54479187721,2588.21198058877
"HER42PB",6.7,6.97,-5.84051245006008,1196.14200227257,767.12262019053,1865.09386106393
"HER42PB",6.8,8.01,-5.17319062139905,1870.50230048154,1199.61060065746,2916.59548039105
"HER42PB",6.9,9.05,-5.73185149458379,1286.47281256321,825.054544445706,2005.94289020756
"HER42PB",7,10.1,-5.43669495193359,1567.7776440367,1005.46397658855,2444.56966969696
"HER42PB",7.1,11.14,-5.84202658218392,1194.92916915678,766.344793046371,1863.20274145234
"HER42PB",7.2,12.19,-5.7262028599959,1291.35080325955,828.182949766424,2013.54893571452
"HER42PB",7.3,13.23,-5.66409432553908,1346.22115477331,863.37299220623,2099.10596453575
"HER42PB",7.4,14.27,-4.54587455287929,2847.69179768468,1826.31225154248,4440.28591920771
"HER42PB",7.5,15.32,-5.33369145461277,1679.79446963367,1077.3038088109,2619.23278942676
"HER42PB",7.6,16.36,-5.57757116351818,1426.56868732801,914.902333690855,2224.38848904764
"HER42PB",7.7,17.41,-5.40964404918437,1596.45126740829,1023.85325231783,2489.27924332886
"HER42PB",7.8,18.45,-5.24085886820836,1787.59167202199,1146.43746701221,2787.31642835287
"HER42PB",7.9,19.5,-5.14994855059577,1899.85808659809,1218.43736831606,2962.36872166897
"HER42PB",8,20.54,-4.8780337016317,2279.51372320863,1461.92219384132,3554.34977058734
"HER42PB",8.1,21.58,-4.92684898325142,2206.16541518772,1414.88167011702,3439.98084219147
