"Location","Site","Section","sample","top","bottom","mp","depth","depth_err","SH20_min_age_95CI","SH20_max_age_95CI","SH20_median_age","SH20_mean_age","SH20_mean_95CI","accrate","accrate_err","Water_Content","Dry_mass","Dry_mass_err","LOI550","LOI550_err","C_org_pc","C_org_pc_err","Volume","Volume_err","Wet_density","Dry_density","Dry_density_err","DMAR","DMAR_err","DMAR_err_pc"
"Isla Hermite","HER42PB","HER42PB1A",2,1.2,1.8,1.5,1.5,0.6,-66,-53,-62,-62,7,0.4077,0.14201,77.68,22.32,1.12,35.3,1.77,20.48,1.77,4.7687,0.3195,0.9029,0.2594,0.0304,0.1058,0.0492,46.5
"Isla Hermite","HER42PB","HER42PB1A",3,2.5,3.1,2.8,2.8,0.6,-65,-42,-60,-58,12,0.4116,0.01546,79.48,20.52,1.03,41.92,2.1,24.32,2.1,5.0921,0.3895,0.9496,0.2452,0.031,0.1009,0.0166,16.4
"Isla Hermite","HER42PB","HER42PB1A",4,3.9,4.5,4.2,4.2,0.6,-65,-30,-57,-55,17,0.4092,-0.06608,77.27,22.73,1.14,37.42,1.87,21.7,1.87,5.8875,0.5299,0.8513,0.2505,0.0351,0.1025,-0.0022,-2.1
"Isla Hermite","HER42PB","HER42PB1A",5,5.3,5.9,5.6,5.6,0.6,-64,-19,-55,-51,23,0.4081,-0.1335,71.58,28.42,1.42,22.91,1.15,13.29,1.15,5.7703,0.5741,0.9087,0.3608,0.0539,0.1472,-0.0262,-17.8
"Isla Hermite","HER42PB","HER42PB1A",6,6.7,7.3,7,7,0.6,-64,-8,-52,-48,28,0.4103,-0.20377,69.69,30.31,1.52,28.64,1.43,16.61,1.43,5.4259,0.586,0.8766,0.3812,0.0602,0.1564,-0.053,-33.9
"Isla Hermite","HER42PB","HER42PB1A",7,8.1,8.7,8.4,8.4,0.6,-64,3,-50,-44,33,0.3223,-0.21976,29.61,70.39,3.52,23.05,1.15,13.37,1.16,5.1998,0.6136,0.4258,1.0123,0.1701,0.3263,-0.1676,-51.4
"Isla Hermite","HER42PB","HER42PB1A",8,9.5,10.1,9.8,9.8,0.6,-62,15,-46,-40,39,0.0853,-0.07685,68.61,31.39,1.57,31.04,1.55,18,1.55,5.6544,0.7294,0.8022,0.367,0.0657,0.0313,-0.0226,-72.2
"Isla Hermite","HER42PB","HER42PB1A",9,10.9,11.5,11.2,11.2,0.6,-56,33,-29,-24,45,0.0853,-0.15703,75.75,24.25,1.21,32.46,1.62,18.83,1.63,5.7703,0.805,0.9124,0.2921,0.0554,0.0249,-0.0412,-165.1
"Isla Hermite","HER42PB","HER42PB1A",10,12.3,12.9,12.6,12.6,0.6,-53,66,-14,-8,60,0.0853,-0.65065,72.33,27.67,1.38,38.04,1.9,22.07,1.9,5.3969,0.8095,0.9458,0.3618,0.0724,0.0309,-0.2293,-742.8
"Isla Hermite","HER42PB","HER42PB1A",11,13.6,14.2,13.9,13.9,0.6,-50,107,0,8,78,0.0853,0.88905,68.58,31.42,1.57,23.17,1.16,13.44,1.16,5.1832,0.8241,0.8701,0.3987,0.0833,0.034,0.3616,1063.2
"Isla Hermite","HER42PB","HER42PB1A",12,14.9,15.5,15.2,15.2,0.6,-48,149,14,23,99,0.0859,0.36456,71.17,28.83,1.44,28.92,1.45,16.77,1.45,4.9832,0.8272,0.9945,0.4028,0.087,0.0346,0.1543,446
"Isla Hermite","HER42PB","HER42PB1A",13,16.3,16.9,16.6,16.6,0.6,-46,192,27,40,119,0.0853,0.25802,71.91,28.09,1.4,29.64,1.48,17.19,1.48,5.2022,0.9208,0.8836,0.3451,0.0783,0.0294,0.0957,325.2
"Isla Hermite","HER42PB","HER42PB1A",14,17.8,18.4,18.1,18.1,0.6,-44,240,41,56,142,0.0856,0.21815,74.69,25.31,1.27,31.88,1.59,18.49,1.6,5.3135,0.9963,0.9622,0.3261,0.0774,0.0279,0.0778,278.6
"Isla Hermite","HER42PB","HER42PB1A",15,19.2,19.7,19.5,19.5,0.6,-42,286,55,73,164,0.0869,0.19915,70.75,29.25,1.46,26.38,1.32,15.3,1.32,4.6723,0.9134,0.9897,0.4092,0.1005,0.0356,0.0902,253.7
"Isla Hermite","HER42PB","HER42PB1A",16,20.5,21.1,20.8,20.8,0.6,-29,300,70,88,164,0.0885,0.16786,67.14,32.86,1.64,24.87,1.24,14.42,1.25,3.9701,0.804,1.2319,0.6031,0.1523,0.0534,0.1147,214.9
"Isla Hermite","HER42PB","HER42PB1A",17,21.8,22.4,22.1,22.1,0.6,-18,311,87,103,165,0.0878,0.14204,67.41,32.59,1.63,28.5,1.43,16.53,1.43,4.9832,1.0764,0.9877,0.4776,0.127,0.0419,0.079,188.4
"Isla Hermite","HER42PB","HER42PB1A",18,23.3,23.9,23.6,23.6,0.6,-10,323,105,119,167,0.0878,0.12481,67.01,32.99,1.65,27.69,1.38,16.06,1.39,4.8754,1.0994,0.9885,0.4866,0.1341,0.0427,0.0725,169.7
"Isla Hermite","HER42PB","HER42PB1A",19,24.7,25.3,25,25,0.6,-3,339,125,136,171,0.0881,0.11307,69.77,30.23,1.51,27.72,1.39,16.08,1.39,4.7689,1.1207,1.0138,0.4392,0.1252,0.0387,0.0607,156.8
"Isla Hermite","HER42PB","HER42PB1A",20,26.1,26.7,26.4,26.4,0.6,2,355,144,152,177,0.0875,0.10392,68.52,31.48,1.57,27.72,1.39,16.08,1.39,4.7493,1.1588,0.9455,0.4344,0.1277,0.038,0.0563,148.2
"Isla Hermite","HER42PB","HER42PB1A",21,27.5,28.1,27.8,27.8,0.6,7,372,161,168,182,0.0884,0.09774,67.41,32.59,1.63,26.06,1.3,15.12,1.31,4.4562,1.1297,0.9709,0.4693,0.1424,0.0415,0.0585,140.9
"Isla Hermite","HER42PB","HER42PB1A",22,28.9,29.5,29.2,29.2,0.6,13,395,177,184,191,0.0865,0.09169,63.74,36.26,1.81,22.44,1.12,13.02,1.13,4.2749,1.1307,0.9912,0.5639,0.1773,0.0488,0.067,137.4
"Isla Hermite","HER42PB","HER42PB1A",23,30.2,30.8,30.5,30.5,0.6,26,409,193,199,191,0.0856,0.08396,62.75,37.25,1.86,22.29,1.11,12.93,1.12,4.6635,1.2801,0.9467,0.562,0.1824,0.0481,0.0628,130.5
"Isla Hermite","HER42PB","HER42PB1A",24,31.6,32.2,31.9,31.9,0.6,45,414,210,216,185,0.086,0.07527,60.01,39.99,2,19.62,0.98,11.38,0.98,4.7689,1.3591,0.8915,0.5941,0.199,0.0511,0.0618,121
"Isla Hermite","HER42PB","HER42PB1A",25,33.1,33.6,33.4,33.4,0.5,56,419,226,231,182,0.0859,0.06884,59.53,40.47,2.02,19.47,0.97,11.29,0.98,3.9894,1.1729,1.1348,0.7716,0.2654,0.0663,0.0759,114.5
"Isla Hermite","HER42PB","HER42PB1A",26,34.3,34.9,34.6,34.6,0.6,68,429,244,247,181,0.0857,0.06427,58.97,41.03,2.05,48.43,2.42,28.09,2.42,4.5593,1.386,0.9826,0.6837,0.242,0.0586,0.0647,110.4
"Isla Hermite","HER42PB","HER42PB1A",27,35.7,36.3,36,36,0.6,78,437,262,263,179,0.0857,0.05986,59.9,40.1,2.01,18.91,0.95,10.97,0.95,4.4562,1.397,0.9636,0.6452,0.2345,0.0553,0.0587,106.2
"Isla Hermite","HER42PB","HER42PB1A",28,37.1,37.7,37.4,37.4,0.6,89,447,280,279,179,0.0859,0.05639,63.18,36.82,1.84,20.1,1.01,11.66,1.01,3.8992,1.2575,1.0087,0.5878,0.219,0.0505,0.052,102.9
"Isla Hermite","HER42PB","HER42PB1A",29,38.4,39,38.7,38.7,0.6,97,463,296,294,183,0.0834,0.05314,57.29,42.71,2.14,13.93,0.7,8.08,0.7,4.2706,1.4242,0.8871,0.6614,0.2536,0.0552,0.0563,102.1
"Isla Hermite","HER42PB","HER42PB1A",30,39.8,40.4,40.1,40.1,0.6,113,479,313,311,183,0.078,0.04705,60.72,39.28,1.96,15.87,0.79,9.21,0.8,3.8869,1.3274,0.9626,0.6227,0.2438,0.0486,0.0483,99.5
"Isla Hermite","HER42PB","HER42PB1A",31,41.2,41.7,41.5,41.5,0.6,154,482,329,328,164,0.0777,0.0399,58.63,41.37,2.07,18.16,0.91,10.53,0.91,3.6289,1.2737,1.0532,0.7433,0.2981,0.0578,0.0528,91.5
"Isla Hermite","HER42PB","HER42PB1A",32,42.5,43.1,42.8,42.8,0.6,190,486,346,345,148,0.078,0.03455,71.78,28.22,1.41,32.95,1.65,19.11,1.65,4.1542,1.5038,1.0704,0.4209,0.1734,0.0328,0.0281,85.5
"Isla Hermite","HER42PB","HER42PB1A",33,43.9,44.4,44.2,44.2,0.6,226,491,366,363,132,0.0777,0.02934,73.32,26.68,1.33,37.81,1.89,21.93,1.89,4.173,1.5565,1.0735,0.3907,0.1653,0.0304,0.0243,80.1
"Isla Hermite","HER42PB","HER42PB1A",34,45.2,45.8,45.5,45.5,0.6,253,496,388,381,122,0.0772,0.02563,75.75,24.25,1.21,40.77,2.04,23.65,2.04,3.7018,1.4085,1.1325,0.3626,0.1561,0.028,0.0213,76.3
