"Location","Site","Section","sample","min_depth","max_depth","midpoint","depth","depth_err","SH20_min_age_95CI","SH20_max_age_95CI","SH20_median_age","SH20_mean_age","SH20_mean_95CI","accrate","accrate_err","kcps","cps","MSE","K","Ca","Ti","Mn","Fe","Co","Ni","Cu","Zn","Rb","Sr","Zr","Mo_inc","Mo_coh","inc_coh","Ln_inc_coh","coh_inc","Ln_coh_inc","Total_scatter","kcps_sd","cps_sd","MSE_sd","K_sd","Ca_sd","Ti_sd","Mn_sd","Fe_sd","Co_sd","Ni_sd","Cu_sd","Zn_sd","Rb_sd","Sr_sd","Zr_sd","Mo_inc_sd","Mo_coh_sd","inc_coh_sd","Ln_inc_coh_sd","coh_inc_sd","Ln_coh_inc_sd","Total_scatter_sd","Water_Content","Dry_mass","Dry_mass_err","LOI550","LOI550_err","C_org_pc","C_org_pc_err","Volume","Volume_err","Wet_density","Dry_density","Dry_density_err","DMAR","DMAR_err","DMAR_err_pc"
"Kerguelen","KER1","CAT1.1A",1,0,1.4,0.7,0.7,0.7,-66,-37,-57,-55,15,0.06522,0.04802,21128.75,48795.75,1.3875,41,153,27.5,719.5,2054.5,76.25,187,62,47,115.5,471.25,623.5,36172,5541.5,6.5242063205,1.87543981067399,0.15329975375,-1.8754398107082,41713.5,1246.66819295807,2398.49833229044,0.0596517672272442,11.4891252930761,48.5455112926691,14.8436293854749,410.872648558326,636.510539320966,54.7501902584213,36.9864840178139,58.2980845883179,31.6227766016838,92.1466222929522,123.429804612446,202.771628521678,2850.28875730162,382.222012273844,0.0948652571921684,0.014569926883327,0.00223801385347654,0.0145699254573162,3229.35746963179,74.05,25.95,1.3,51.46,2.57,29.74,2.57,4.396,0.2198,0.7873,0.2043,0.0204,0.0133,0.0111,83.6
"Kerguelen","KER1","CAT1.1A",2,1.5,3,2.2,2.2,0.75,-64,25,-37,-32,45,0.068,-0.07138,17480.1875,47608.25,1.375625,54.5,394,283.0625,253.6875,10261.1875,122.625,188.625,129.5,40.0625,44.375,694.3125,672.3125,27704.8125,4752.5625,5.830023196,1.76218433960875,0.1718177819375,-1.7621843395977,32457.375,1117.90448123561,4665.79685941569,0.105449434959763,29.2415229881528,208.777393412218,203.35436025159,223.762290165256,4800.5690248657,52.8720152821887,37.938327146392,42.385532122805,30.5078541799758,48.2063273855207,153.632339802964,66.8687458134715,1735.23255766098,228.466180940054,0.242445398533803,0.0425849269136321,0.00749286299270997,0.0425849265433317,1912.2563592085,73.34,26.66,1.33,22.15,1.11,12.81,1.11,5.0699,0.3118,1.3295,0.5808,0.0648,0.0395,-0.0371,-93.8
"Kerguelen","KER1","CAT1.1A",3,3.1,4.7,3.9,3.9,0.8,-62,96,-15,-7,79,0.064,-0.70916,14967.4117647059,49334,1.34235294117647,48.8823529411765,371.058823529412,342.470588235294,164.764705882353,20505.0588235294,265.823529411765,148.411764705882,92,16.4705882352941,86.2941176470588,724.823529411765,566.117647058824,20162.6470588235,4087.05882352941,4.921745546,1.59195371897715,0.203875801529412,-1.5919537196404,24249.7058823529,1564.93218937849,6298.1705081714,0.0800413496079296,41.3020616206703,168.25073201484,157.81995978292,90.9172215615424,5465.0915759778,60.7774992226951,36.6998958164894,37.4916657405349,22.0060152204426,45.4116789849846,137.04480804381,120.661656271235,2676.60040772751,397.113565398526,0.296725658332483,0.0602776339394174,0.0122903659962809,0.060277634790704,3041.25598570529,67.64,32.36,1.62,30.69,1.53,17.74,1.54,4.5342,0.3083,1.0018,0.5773,0.0681,0.0369,-0.405,-1096.3
"Kerguelen","KER1","CAT1.1A",4,4.8,6.3,5.5,5.5,0.75,-54,145,9,18,100,0.05926,0.33565,17051.9375,63896.25,1.4375,132.1875,704,628.8125,184.0625,34240.8125,264.75,174.5,95.3125,19.125,113.1875,1076.5625,571.75,19540.8125,4279.25,4.53127714075,1.50282603423047,0.224457457625,-1.50282603444298,23820.0625,1597.43880294885,5496.10739220648,0.0673795221116921,87.1995556181337,376.91714385702,285.072673482862,45.550658612143,5304.97630806837,91.0622497708756,27.1489717423454,29.1152165256131,39.7120888395461,54.5664350432877,322.367278891639,102.954035051247,3806.95358904816,346.19811283907,0.578182010774937,0.134452858489407,0.0317311029299388,0.134452858197718,4130.60829206789,55.55,44.45,2.22,21.33,1.07,12.33,1.07,5.1928,0.4258,1.112,0.7153,0.0944,0.0424,0.2457,579.6
"Kerguelen","KER1","CAT1.1A",6,7.9,9.2,8.5,8.5,0.65,-38,182,65,68,110,0.05833,0.09882,19836.1428571429,57536.0714285714,1.38142857142857,39.7857142857143,253.642857142857,255.857142857143,80.5,16839.2142857143,225.285714285714,196.357142857143,99.3571428571429,6.14285714285714,53.1428571428571,438.285714285714,710.357142857143,30926.1428571429,5343.42857142857,5.78553037935714,1.75485830012245,0.173019537857143,-1.75485830096236,36269.5714285714,1100.4287875567,6544.29900417485,0.0953420677880959,18.8768420249565,107.621564283842,126.802606830069,22.5516501187147,6375.0390910243,113.418509255581,22.7143029925983,49.023710343304,12.5321564407306,64.8606282647732,128.50706569705,106.070083611557,1835.15213610135,224.319385727553,0.189083870625348,0.0329699737048037,0.00575308991071806,0.0329699729737468,2030.01908722689,75.67,24.33,1.22,48.91,2.45,28.27,2.45,3.4927,0.3388,1.1072,0.598,0.0879,0.0349,0.0642,184.1
"Kerguelen","KER1","CAT1.1A",7,9.3,10.6,9.9,9.9,0.675,-33,222,88,92,128,0.05357,0.0779,21546.3571428571,63213.7142857143,1.38142857142857,52.1428571428571,244.428571428571,192.428571428571,74.0714285714286,19220.2857142857,201.5,225.357142857143,101.714285714286,3.78571428571429,54.9285714285714,312.5,758.857142857143,34171.8571428571,5453.28571428571,6.27281396307143,1.83551698807794,0.159645525071429,-1.83551698709485,39625.1428571429,618.434575501584,7035.58137588524,0.0523093083137574,45.3615512264553,100.190368250196,82.7579550307952,28.5992584242596,7409.84498362271,97.1396694693542,22.7684232853551,51.9961959724401,7.76757136015916,51.7530590485154,78.2832627754441,100.097534852345,670.888143507471,180.05914779121,0.243356858905864,0.0391843489164229,0.00631906653232497,0.039184349131045,689.615596060349,82.51,17.49,0.87,50.79,2.54,29.36,2.54,4.6735,0.5234,0.9849,0.4178,0.0677,0.0224,0.0362,161.6
"Kerguelen","KER1","CAT1.1A",8,10.7,12,11.4,11.4,0.65,-2,231,125,120,117,0.05185,0.0533,18073.1428571429,50747.7142857143,1.39357142857143,104.5,485,433.142857142857,104.928571428571,12891.4285714286,143.428571428571,200.928571428571,120.857142857143,8.64285714285714,64.6428571428571,646.571428571429,670.857142857143,27758.2142857143,5068,5.441802038,1.68911273259704,0.185652934857143,-1.68911273205266,32826.2142857143,2377.2129401123,5805.83769121247,0.0814868694337308,100.293990923607,249.88181821998,239.112093810818,40.1793369890435,3830.01324991252,71.6752443967976,36.1396102437675,50.8585627657075,13.8097353779423,69.9621954430304,243.789226204086,118.84693267642,4996.42851180985,479.419360348456,0.55102859955256,0.105025334543123,0.0201604584524328,0.105025334720295,5445.4717133889,71.8,28.2,1.41,28.93,1.45,16.72,1.45,4.2887,0.5189,1.1106,0.5808,0.0993,0.0301,0.0361,119.9
"Kerguelen","KER1","CAT1.1A",9,12.1,13.6,12.8,12.8,0.725,17,240,179,147,112,0.05172,0.04216,20860.6875,54932.3125,1.32875,49.375,320.6875,307.6875,74.6875,9088,77.25,227.6875,125.1875,12.5,63.375,385.125,852.4375,35799.1875,5683.0625,6.2835385715,1.83526618492944,0.1600421338125,-1.83526618558536,41482.25,1657.09889943238,3311.5747858836,0.0954899645687092,59.0354413325871,347.554258354001,290.954227499791,40.7098984687181,5483.48634842226,56.5113557909677,27.9826583202287,45.2006176211491,31.6333157709821,61.5130067546694,258.408945923575,111.077131609826,4346.57175589759,412.528862626605,0.451484777321844,0.0773269820999727,0.0133615973286676,0.0773269822443046,4716.29577104744,80.86,19.14,0.96,51.36,2.57,29.69,2.57,5.0197,0.6626,0.9577,0.412,0.075,0.0213,0.0212,99.7
"Kerguelen","KER1","CAT1.1A",10,13.7,15,14.3,14.3,0.65,30,265,226,176,118,0.04167,0.02971,20594.4285714286,52491.0714285714,1.34928571428571,38.2857142857143,202.928571428571,220,66.1428571428571,7100.42857142857,95.7857142857143,204.214285714286,114.285714285714,10.4285714285714,45.5,487.142857142857,801.214285714286,35376.5,5842.85714285714,6.04157591035714,1.79686061497891,0.166118127285714,-1.79686061411224,41219.3571428571,1750.92304071467,4032.98693400935,0.0731136402841795,15.3042405959845,78.6134303320459,140.266778785175,21.6896187250851,1982.81900001316,56.278399424275,40.011880103921,37.1575203516236,23.0508277365621,41.3758569513858,175.436974062288,130.820004687256,4185.49048224017,424.688457241642,0.376691231231456,0.062347516152981,0.0103593043344582,0.0623475172103627,4566.92968073641,80.05,19.95,1,41.02,2.05,23.71,2.05,5.1663,0.7491,1.1523,0.452,0.0881,0.0188,0.0171,90.8
"Kerguelen","KER1","CAT1.1A",11,15.1,16.5,15.8,15.8,0.7,75,310,242,212,118,0.0359,0.02149,21094.1333333333,53044.6,1.298,20.2,153.2,143.666666666667,45.2,4948.33333333333,86.8,212.8,104.266666666667,9.33333333333333,83.8666666666667,300.333333333333,879.733333333333,37836.9333333333,5968.2,6.34127521853333,1.84674812013171,0.157802914266667,-1.84674812031806,43805.1333333333,825.772440693878,2525.52723774095,0.0819581774879289,8.92988561756852,39.8787447860923,63.9203373255298,18.7090505218349,1018.37781837213,49.8744137094076,28.0972799903682,52.5743917384373,18.9949868073006,71.5340744647179,109.933529700365,95.804463560396,1429.23198490191,208.739140008357,0.167135501920181,0.0268207668701316,0.00430957165735743,0.0268207666392286,1586.24493094616,80.23,19.77,0.99,60.37,3.02,34.9,3.02,5.0801,0.7773,1.1536,0.454,0.0922,0.0163,0.0131,80.2
"Kerguelen","KER1","CAT1.1A",12,16.5,17.9,17.2,17.2,0.7,113,357,266,251,122,0.03571,0.01881,22886.7333333333,58062.0666666667,1.34666666666667,9,154.533333333333,83.5333333333333,46.8,6614.66666666667,97.4666666666667,220.4,95.4666666666667,5.86666666666667,42.7333333333333,146.066666666667,857.8,41105.0666666667,6245.93333333333,6.58301906333333,1.88429734821437,0.151965530133333,-1.8842973484493,47351,949.343642934924,2439.46350854523,0.0830375703837612,7.24075765569954,31.9416134011209,38.4129194536471,19.4943215175233,1323.01040200352,54.3387084691497,41.149205859374,42.2642480906341,12.6934553815661,50.140469350283,96.085130904591,124.57539312171,1109.22170054159,192.194271754488,0.135061144719467,0.0204918349413103,0.00311002318386021,0.0204918347027877,1260.20395174749,82.12,17.88,0.89,78.54,3.93,45.4,3.93,5.9408,0.9891,1.1664,0.4017,0.087,0.0143,0.0107,74.3
"Kerguelen","KER1","CAT1.1A",13,18,19.4,18.7,18.7,0.7,137,410,302,293,137,0.03488,0.01756,23650.5333333333,61225.3333333333,1.33533333333333,10.3333333333333,162.333333333333,84.7333333333333,46.4666666666667,8375.6,92.7333333333333,242.2,116.533333333333,4.33333333333333,40.8666666666667,125.266666666667,936.333333333333,42160.4,6328.66666666667,6.66395970853333,1.89633187786621,0.1501756108,-1.89633187860955,48489.0666666667,696.362781752101,3368.65040094836,0.0593857446418471,8.68222047525588,78.8440292754052,40.1078308468321,18.3803725543879,3817.86628516879,61.3787616440115,34.9697828744434,41.7507342393378,10.9261590863831,52.5735765606731,87.940293597959,122.278760371927,1503.8707581248,213.713983320387,0.190657371495519,0.0286104305774834,0.00429598407288064,0.0286104308653141,1653.77306556279,84.04,15.96,0.8,86.82,4.34,50.19,4.34,6.3302,1.1268,1.0035,0.3415,0.0779,0.0119,0.0087,73.1
"Kerguelen","KER1","CAT1.1A",14,19.5,20.9,20.2,20.2,0.7,169,468,340,336,150,0.03125,0.01499,23247.8,58410.7333333333,1.346,7.8,137.866666666667,96.6666666666667,39.4,6357.53333333333,98.2666666666667,216.333333333333,124.266666666667,7.8,32.6666666666667,162.333333333333,955,41556.9333333333,6347.13333333333,6.55009968433333,1.87915788524228,0.152767229133333,-1.87915788503863,47904.0666666667,619.245301037596,1504.86646140668,0.0735624127624194,7.95702744209706,41.334638996275,47.6620044340003,13.678972392482,956.428988228509,68.4391979023995,27.0625378037787,42.3209955774515,13.2568041828661,50.6975156712644,116.388307381962,107.280007457121,1599.05751110131,263.914722879155,0.173373334706456,0.0261933616372463,0.0039611972597965,0.026193362582423,1813.8594396112,84.04,15.96,0.8,87.5,4.37,50.58,4.38,6.199,1.1623,1.0766,0.357,0.0848,0.0112,0.008,71.7
