"Location","Site","Section","sample","top","bottom","mp","depth","depth_err","SH20_min_age_95CI","SH20_max_age_95CI","SH20_median_age","SH20_mean_age","SH20_mean_95CI","accrate","accrate_err","Water_Content_pc","Dry_mass","Dry_mass_err","LOI550","LOI550_err","C_org_pc","C_org_pc_err","Volume_cm3","Volume_err_cm3","Wet_density_g_cm3","Dry_density_g_cm3","Dry_density_err_g_cm3","DMAR_g_cm2_yr","DMAR_err_g_cm2_yr","DMAR_err_pc"
"Marion Island","PB1","PB1.1A",1,0,1,0.5,0.5,0.5,-68.7,-65.5,-67,-67,2,1.27841,1.24808,92.7,7.3,0.36,0,0,0,0,1.4841,0.0557,1.12,0.0817,0.0071,0.1045,0.1111,106.4
"Marion Island","PB1","PB1.1A",2,1.1,3,2,2,0.9,-67.7,-63.7,-65.8,-65.8,2,1.20177,0.50575,93.33,6.67,0.33,0,0,0,0,3.7178,0.1933,0.6307,0.0421,0.0043,0.0506,0.0264,52.3
"Marion Island","PB1","PB1.1A",3,3.1,4.9,4,4,0.9,-67.3,-59.6,-64.5,-64.2,4,0.19107,0.03151,94.75,5.25,0.26,0,0,0,0,4.4518,0.2916,0.4123,0.0216,0.0025,0.0041,0.0012,28
"Marion Island","PB1","PB1.1A",4,5,6.3,5.7,5.7,0.7,-64.3,-40.8,-56.6,-55.5,12,0.08948,-0.0087,93.64,6.36,0.32,0,0,0,0,1.5945,0.1036,1.2693,0.0807,0.0093,0.0072,0.0001,1.8
"Marion Island","PB1","PB1.1A",5,6.4,7.7,7.1,7.1,0.7,-62.2,2.9,-43.6,-39.6,33,0.08663,-0.06331,92.59,7.41,0.37,0,0,0,0,2.5315,0.2063,1.1521,0.0854,0.0112,0.0074,-0.0044,-59.9
"Marion Island","PB1","PB1.1A",6,7.9,9.7,8.8,8.8,0.9,-60.2,55.4,-27.8,-20.3,58,0.09206,-0.25314,90.79,9.21,0.46,0,0,0,0,4.7062,0.4541,0.7619,0.0702,0.0103,0.0065,-0.0168,-260.3
"Marion Island","PB1","PB1.1A",7,9.8,11.1,10.4,10.4,0.7,-55.1,96.7,-11.7,-2.1,76,0.08802,-3.17392,88.48,11.52,0.58,0,0,0,0,3.9806,0.4359,0.9867,0.1136,0.0181,0.01,-0.3591,-3590
"Marion Island","PB1","PB1.1A",8,11.2,12.5,11.8,11.8,0.6,-46.5,110.6,6.4,13.8,79,0.08487,0.48874,89.34,10.66,0.53,0,0,0,0,3.8275,0.4574,1.0647,0.1135,0.0192,0.0096,0.0571,592.8
"Marion Island","PB1","PB1.1A",9,12.6,13.8,13.2,13.2,0.6,-40.6,127,24.1,29.6,84,0.09307,0.26736,89.37,10.63,0.53,0,0,0,0,2.9679,0.3725,1.1774,0.1252,0.022,0.0116,0.0355,304.8
"Marion Island","PB1","PB1.1A",10,13.9,15.2,14.5,14.5,0.7,-36.6,152.5,38.2,44.4,95,0.0834,0.18137,88.89,11.11,0.56,0,0,0,0,4.2887,0.6047,0.9624,0.1069,0.0204,0.0089,0.0211,236.6
"Marion Island","PB1","PB1.1A",11,15.3,16.6,15.9,15.9,0.6,-25.5,170.8,56.3,61.1,98,0.07958,0.13089,88.65,11.35,0.57,0,0,0,0,4.1237,0.6227,1.0868,0.1233,0.0248,0.0098,0.0181,184.6
"Marion Island","PB1","PB1.1A",12,16.7,17.9,17.3,17.3,0.6,-14.9,186.2,76.1,78.4,101,0.07958,0.10498,89.33,10.67,0.53,0,0,0,0,3.5423,0.5597,1.1515,0.1228,0.0255,0.0098,0.0149,152.7
"Marion Island","PB1","PB1.1A",13,18.1,19.3,18.7,18.7,0.6,-5.3,200.4,94.6,95.6,103,0.08136,0.09025,89.07,10.93,0.55,0,0,0,0,3.6361,0.6127,1.0363,0.1133,0.0248,0.0092,0.0122,132.8
"Marion Island","PB1","PB1.1A",14,19.4,20.7,20.1,20.1,0.7,2.8,221.1,112.8,112.8,109,0.08745,0.08746,89.67,10.33,0.52,0,0,0,0,4.082,0.7348,0.9981,0.1031,0.0237,0.009,0.0111,123
"Marion Island","PB1","PB1.1A",15,20.9,22.2,21.5,21.5,0.7,21.8,228.2,130.9,129,103,0.08591,0.07129,88.41,11.59,0.58,0,0,0,0,3.9806,0.7543,1.1213,0.1299,0.0311,0.0112,0.0119,106.9
"Marion Island","PB1","PB1.1A",16,22.3,23.5,22.9,22.9,0.6,33.1,237.9,150,145.3,102,0.08437,0.06175,88.27,11.73,0.59,0,0,0,0,4.3273,0.8741,1.2467,0.1462,0.0368,0.0123,0.0121,98.4
"Marion Island","PB1","PB1.1A",17,23.7,24.9,24.3,24.3,0.6,41.3,250.5,170.5,161.6,105,0.08595,0.05786,88.55,11.45,0.57,0,0,0,0,4.8578,1.042,0.9916,0.1135,0.03,0.0098,0.0092,93.8
"Marion Island","PB1","PB1.1A",18,25,26.2,25.6,25.6,0.6,53.7,261.7,186.9,176.9,104,0.08255,0.05035,89.05,10.95,0.55,0,0,0,0,4.9854,1.1317,1.1532,0.1263,0.035,0.0104,0.0092,88.7
"Marion Island","PB1","PB1.1A",19,26.3,27.5,26.9,26.9,0.6,67.5,266.4,204.1,192.7,99,0.08573,0.04617,89.25,10.75,0.54,0,0,0,0,4.7689,1.1207,1.2457,0.134,0.0382,0.0115,0.0095,82.4
"Marion Island","PB1","PB1.1A",20,27.6,28.9,28.2,28.2,0.6,79.5,274.2,220.5,208.4,97,0.08108,0.03967,89.57,10.43,0.52,0,0,0,0,5.0786,1.2468,1.157,0.1207,0.0357,0.0098,0.0077,78.5
"Marion Island","PB1","PB1.1A",21,29,30.2,29.6,29.6,0.6,89.3,288.9,238.7,225.3,100,0.04411,0.02047,89.55,10.45,0.52,0,0,0,0,4.8578,1.2363,1.0923,0.1142,0.0348,0.005,0.0039,76.9
"Marion Island","PB1","PB1.1A",22,30.4,31.6,31,31,0.6,121,335.6,266.6,256.4,107,0.03732,0.01637,89.28,10.72,0.54,0,0,0,0,4.8578,1.2849,1.0452,0.112,0.0352,0.0042,0.0031,75.3
"Marion Island","PB1","PB1.1A",23,31.7,33,32.4,32.4,0.6,144.3,435.6,294.4,293.1,146,0.03946,0.02037,88.47,11.53,0.58,0,0,0,0,4.8578,1.3335,1.2126,0.1398,0.0454,0.0055,0.0046,84.1
"Marion Island","PB1","PB1.1A",24,33.1,34.3,33.7,33.7,0.6,161,521.3,321.4,327.3,180,0.03661,0.0208,87.52,12.48,0.62,0,0,0,0,5.2022,1.493,1.1365,0.1419,0.0478,0.0052,0.0047,90.5
"Marion Island","PB1","PB1.1A",25,34.4,35.7,35.1,35.1,0.6,178.2,612.3,352.2,364.1,217,0.03978,0.02443,86.61,13.39,0.67,0,0,0,0,4.7493,1.3963,1.1855,0.1587,0.0546,0.0063,0.006,95.8
"Marion Island","PB1","PB1.1A",26,35.8,37,36.4,36.4,0.6,215.9,639.2,390.3,398.6,212,0.03693,0.02025,86.74,13.26,0.66,0,0,0,0,4.6419,1.4088,1.176,0.1559,0.0551,0.0058,0.0052,90.2
"Marion Island","PB1","PB1.1A",27,37.2,38.4,37.8,37.8,0.6,243.7,664.6,429.7,435.7,210,0.03694,0.01845,86.21,13.79,0.69,0,0,0,0,5.0786,1.6023,1.0846,0.1495,0.0547,0.0055,0.0048,86.5
"Marion Island","PB1","PB1.1A",28,38.5,39.8,39.2,39.2,0.6,263,720.9,465.2,472.8,229,0.04041,0.02021,85.62,14.38,0.72,0,0,0,0,5.1908,1.6922,1.1663,0.1677,0.0631,0.0068,0.0059,87.6
