"Location","Site","Section","sample","min_depth","max_depth","midpoint","Co","Co_sd","Co_ICP","Co_ICP_sd","Co_fit_OLS","Co_lwr_OLS","Co_upr_OLS","Co_fit_WLS","Co_lwr_WLS","Co_upr_WLS"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,0.127999327795264,0.109427536942211,-3.90274122642275,-0.273191885849593,-3.19907364565665,-4.53131048230816,-1.86683680900515,-3.22423050623773,-4.67471708169894,-1.77374393077653
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,0.551566833079921,0.279252337857346,-3.62408283695147,-0.253685798586603,-2.92781632356111,-4.26625588327476,-1.58937676384746,-2.97529216971853,-4.54168474648962,-1.40889959294744
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,-0.289616352518115,0.30340087176632,-3.30231679805059,-0.231162175863541,-3.46651935311427,-4.79648338319981,-2.13655532302874,-3.46967084683157,-4.80885101124434,-2.1304906824188
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,-0.763593247865128,0.52091904015761,-4.63761576586541,-0.324633103610579,-3.77005940697318,-5.1020902131238,-2.43802860082257,-3.74823569990482,-4.96569014465349,-2.53078125515614
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,-0.169726621967429,0.0624100613279985,-2.8241906861885,-0.197693348033195,-3.3897406416924,-4.71996491289599,-2.05951637048881,-3.39920946885366,-4.7699990717319,-2.02841986597542
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,0.872673456953867,0.204318749725877,-3.76611229974393,-0.263627860982075,-2.72217608484485,-4.06790175951071,-1.37645041017899,-2.78657195913779,-4.4424673742328,-1.13067654404279
"Bird Island","BI10","BI10.2",51,45.9,46.9,46.4,0.0874296172598434,0.025325459075955,-2.02770212588656,-0.141939148812059,-3.22505493766023,-4.55690307819387,-1.89320679712659,-3.24807406394164,-4.68760703807193,-1.80854108981135
"Bird Island","BI10","BI10.2",54,49.3,50.3,49.8,-0.380094413693962,0.249556356276699,-3.64070836931758,-0.25484958585223,-3.52446250568558,-4.8544395605149,-2.19448545085626,-3.52284645109673,-4.83837421032094,-2.20731869187252
"Bird Island","BI10","BI10.2",62,58.4,59.4,58.9,-1.31718587356771,1.75884015935902,-3.80094460400633,-0.266066122280443,-4.1245862564278,-5.46525098402299,-2.78392152883262,-4.0735921676043,-5.15718767034843,-2.98999666486017
"Bird Island","BI10","BI10.2",67,64.1,65.2,64.6,-0.997016507479221,0.377424957850047,-3.83625195838584,-0.268537637087009,-3.91954624797903,-5.25440526719923,-2.58468722875884,-3.88542280049265,-5.04517824291333,-2.72566735807197
"Bird Island","BI10","BI10.2",71,68.7,69.8,69.2,-0.618853633072352,0.351956455323674,-3.91553436973874,-0.274087405881712,-3.67736655442907,-5.00824265627951,-2.34649045257863,-3.66316959241215,-4.9171964200308,-2.40914276479351
"Bird Island","BI10","BI10.3",84,80,81,80.5,-0.775180394060055,0.498703103288391,-4.4093244422307,-0.308652710956149,-3.77747994374324,-5.1096230461671,-2.44533684131938,-3.75504567673916,-4.96959741616956,-2.54049393730877
"Bird Island","BI10","BI10.3",88,84.8,85.8,85.3,-0.53623509025289,0.341844106383438,-3.72074650778727,-0.260452255545109,-3.62445672447037,-4.9548799018927,-2.29403354704804,-3.61461317021613,-4.88976375753155,-2.33946258290071
