"Location","Site","Section","sample","min_depth","max_depth","midpoint","Zr","Zr_sd","Zr_ICP","Zr_ICP_sd","Zr_fit_OLS","Zr_lwr_OLS","Zr_upr_OLS","Zr_fit_WLS","Zr_lwr_WLS","Zr_upr_WLS"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,2.5702316382174,0.40885252899428,-2.53655606047204,-0.126827803023602,-1.28395312095648,-3.52206593922321,0.954159697310243,-1.19979280525368,-3.1787723595541,0.779186749046746
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,2.95066854656102,0.37681984727505,-2.60300239378037,-0.130150119689019,-1.12920665661205,-3.3742072443652,1.1157939311411,-1.00326896975941,-2.8663081712142,0.859770231695367
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,3.03735679369257,0.420793322290049,-1.99850429196811,-0.0999252145984057,-1.09394535717023,-3.34088244607122,1.15299173173076,-0.95848807062757,-2.79571127902242,0.878735137767285
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,2.05475542321927,0.222677888583109,-1.22212235350002,-0.0611061176750009,-1.49362815504272,-3.72662382235815,0.739367512272699,-1.46607444264412,-3.60805166205456,0.675902776766324
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,1.53514754982736,0.207135048705241,-1.82009667345778,-0.091004833672889,-1.70498378192712,-3.93775956435575,0.527792000501505,-1.73449038755491,-4.04631227386707,0.577331498757239
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,2.04218603001662,0.246883534227867,-2.00936004344459,-0.100468002172229,-1.49874087968748,-3.73167264045735,0.734190881082377,-1.47256746502929,-3.61859279482406,0.673457864765481
"Bird Island","BI10","BI10.2",51,45.9,46.9,46.4,1.62688115018577,0.118300307458934,-3.01416138859216,-0.150708069429608,-1.66767023530291,-3.90012396114501,0.564783490539179,-1.68710318985997,-3.96858982371264,0.594383443992703
"Bird Island","BI10","BI10.2",54,49.3,50.3,49.8,2.15277846103855,0.201441603304265,-1.93440279436772,-0.0967201397183862,-1.45375631770476,-3.68734993105222,0.779837295642695,-1.41543828475156,-3.52595870219075,0.695082132687627
"Bird Island","BI10","BI10.2",62,58.4,59.4,58.9,2.31313199393716,0.197640484380462,-2.40519514667373,-0.120259757333686,-1.38853093678881,-3.62348293953191,0.846421065954284,-1.33260381041653,-3.39211322383851,0.726905603005459
"Bird Island","BI10","BI10.2",67,64.1,65.2,64.6,1.56516863556214,0.223721915850867,-1.82438996985932,-0.091219498492966,-1.69277240923601,-3.92542576560209,0.539880947130071,-1.71898227363403,-4.02086115520093,0.582896607932867
