"Location","Site","Section","sample","min_depth","max_depth","midpoint","Co","Co_sd","Co_ICP","Co_ICP_sd","Co_fit_OLS","Co_lwr_OLS","Co_upr_OLS","Co_fit_WLS","Co_lwr_WLS","Co_upr_WLS"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,68.9090909090909,58.9108725880962,0.738789575,0.05171527,3.06324081398063,-10.2995534612704,16.4260350892316,3.5428007162025,-2.32098614760942,9.40658758001441
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,81.5833333333333,41.3047616302689,0.761205508,0.053284386,4.15370055552184,-9.20415702699545,17.5115581380391,4.44006606360703,-2.54165673359974,11.4217888608138
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,33.0833333333333,34.6579607366654,1.745989306,0.122219251,-0.019116698122412,-13.4029194568718,13.364686060627,1.00653781848818,-1.73160302451379,3.74467866149016
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,50.1666666666667,34.2234192365758,1.171208352,0.081984585,1.45069006647737,-11.9217966224941,14.8231767554489,2.21594209726716,-2.00218434262368,6.434068537158
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,144.2,53.0236844354588,14.98993637,1.049295546,9.54108008196221,-3.8115811987613,22.8937413626857,8.87297521031202,-3.65215183386374,21.3981022544878
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,258.181818181818,60.4480242552528,4.788646274,0.335205239,19.347787247134,5.92277913435312,32.7727953599149,16.9422492754104,-5.69602932738285,39.5805278782037
"Bird Island","BI10","BI10.2",51,45.9,46.9,46.4,189.636363636364,54.9313621299759,17.04437568,1.193106298,13.4503098164916,0.081428749013142,26.81919088397,12.0896151670326,-4.46543668497251,28.6446670190377
"Bird Island","BI10","BI10.2",54,49.3,50.3,49.8,77.0909090909091,50.6151252995674,5.701846016,0.399129221,3.76718374336767,-9.5922742098222,17.1266416965575,4.12202759916538,-2.4631388892544,10.7071940875852
"Bird Island","BI10","BI10.2",62,58.4,59.4,58.9,23.4545454545455,31.3188877081024,1.54911114,0.10843778,-0.847553238169554,-14.2387747829751,12.543668306636,0.324873588630945,-1.60475784302198,2.25450502028387
"Bird Island","BI10","BI10.2",67,64.1,65.2,64.6,69.6666666666667,26.3726212484681,4.068857773,0.284820044,3.12842071484981,-10.2340417801764,16.490883209876,3.59643283499536,-2.33409431199026,9.52695998198098
"Bird Island","BI10","BI10.2",71,68.7,69.8,69.2,86.3333333333333,49.0997747325574,2.041238975,0.142886728,4.56237853397154,-8.79396551328221,17.9187225812253,4.77633944843826,-2.62496076304537,12.1776396599219
"Bird Island","BI10","BI10.3",84,80,81,80.5,76.6,49.2797005762909,2.439569014,0.170769831,3.72494716760444,-9.63469561529962,17.0845899505085,4.0872739861876,-2.45457678623151,10.6291247586067
