"Location","Site","Section","sample","min_depth","max_depth","midpoint","K","K_sd","K_ICP","K_ICP_sd","K_fit_OLS","K_lwr_OLS","K_upr_OLS","K_fit_WLS","K_lwr_WLS","K_upr_WLS"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,8.63636363636364,9.83130436181006,1782.206118,320.7971012,2573.35245796885,-5895.63266786396,11042.3375838017,2611.70294306858,-5092.43548668868,10315.8413728258
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,10.4166666666667,8.97935342208936,1331.46149,239.6630682,2674.36731526188,-5794.0469646733,11142.7815951971,2710.73161460829,-5030.62741368422,10452.0906429008
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,9.83333333333333,8.55817879238476,1545.22611,278.1406998,2641.26883010629,-5827.32923958303,11109.8668997956,2678.28392223145,-5050.86988782725,10407.4377322902
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,11.3333333333333,9.2080333832952,4972.490853,895.0483535,2726.37922050637,-5741.7526543286,11194.5110953413,2761.72084548619,-4998.83644743396,10522.2781384063
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,26.3,22.6374812104959,16457.36219,2962.325194,3575.59178249832,-4889.03753434011,12040.2210993367,3594.23592418346,-4482.86039457645,11671.3322429434
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,11.0909090909091,8.14192293570193,10808.43657,1945.518583,2712.62400589626,-5755.58179287575,11180.8298046683,2748.2360902127,-5007.24176787411,10503.7139482995
"Bird Island","BI10","BI10.2",51,45.9,46.9,46.4,10.7272727272727,11.0642750245184,2479.827204,446.3688967,2691.99118398108,-5776.32652773185,11160.308895694,2728.00895730245,-5019.85272287675,10475.8706374817
"Bird Island","BI10","BI10.2",54,49.3,50.3,49.8,12.5454545454545,9.51171526448975,23399.21394,4211.858509,2795.15529355694,-5672.61517841037,11262.9257655243,2829.14462185365,-4956.83352351619,10615.1227672235
"Bird Island","BI10","BI10.2",62,58.4,59.4,58.9,5,6.34034699365894,867.9986358,156.2397544,2367.02423881713,-6103.21862961502,10837.2671072493,2409.43161396618,-5218.95423759606,10037.8174655284
"Bird Island","BI10","BI10.2",67,64.1,65.2,64.6,17.8333333333333,18.624682222223,7766.606331,1397.98914,3095.19091224007,-5371.16316246816,11561.5449869483,3123.28084625672,-4774.04909568829,11020.6107882017
"Bird Island","BI10","BI10.2",71,68.7,69.8,69.2,18.1666666666667,13.1483378371104,1973.319538,355.1975168,3114.10433232898,-5352.16919299506,11580.377857653,3141.82238475777,-4762.55113142015,11046.1959009357
"Bird Island","BI10","BI10.3",84,80,81,80.5,24.8,37.5819105421744,14359.67839,2584.74211,3490.48139209824,-4974.4047418914,11955.3675260879,3510.79900092873,-4534.32078186744,11555.9187837249
"Bird Island","BI10","BI10.3",88,84.8,85.8,85.3,3.63636363636364,5.00545157348919,3095.570446,557.2026803,2289.65115663524,-6181.09511940277,10760.3974326732,2333.57986555278,-5266.49484029257,9933.65457139814
"Bird Island","BI10","BI10.3",95,93,94,93.5,26.6363636363636,16.8598501017816,3134.001598,564.1202876,3594.67714276985,-4869.89746688783,12059.2517524275,3612.94602212543,-4471.3281925599,11697.2202368108
"Bird Island","BI10","BI10.3",98,96.3,97.3,96.8,39.8181818181818,24.9792641277448,3044.618396,548.0313113,4342.61693719483,-4120.64539555752,12805.8792699472,4346.17959012162,-4021.44331146614,12713.8024917094
"Bird Island","BI10","BI10.3",104,103.2,104.2,103.7,19.6363636363636,18.6776482849031,1424.582603,256.4248685,3197.4953209028,-5268.43541279824,11663.4260546038,3223.57371360332,-4711.88922855195,11159.0366557586
"Bird Island","BI10","BI10.3",114,114.9,115.9,115.4,8.54545454545454,9.20177848422398,1716.680373,309.0024671,2568.19425249006,-5900.82081549946,11037.2093204796,2606.64615984102,-5095.59397418846,10308.8862938705
"Bird Island","BI10","BI10.3",119,120.7,121.7,121.2,9.18181818181818,8.1218000691741,1641.390095,295.4502171,2604.30169084161,-5864.50539922078,11073.108780904,2642.04364243394,-5073.48933311137,10357.5766179792
"Bird Island","BI10","BI10.3",120,121.8,122.7,122.3,7.7,9.39325999498222,683.2265993,122.9807879,2520.22294153728,-5949.07427659876,10989.5201596733,2559.61807582471,-5124.97883400059,10244.21498565
"Bird Island","BI10","BI10.4",145,132,133,132.5,10,9.60208310732624,5412.77206,974.2989708,2650.72554015074,-5817.8196945916,11119.2707748931,2687.55469148198,-5045.08537917868,10420.1947621426
"Bird Island","BI10","BI10.4",155,143.7,144.8,144.2,15,8.56737999624156,5594.694254,1007.044966,2934.42684148436,-5532.65373963551,11401.5074226042,2965.67776899777,-4871.89720760105,10803.2527455966
"Bird Island","BI10","BI10.5",172,156.1,157.2,156.6,10.1666666666667,8.44052274698814,2804.420041,504.7956074,2660.1822501952,-5808.31040846868,11128.6749088591,2696.8254607325,-5039.30162672721,10432.9525481922
"Bird Island","BI10","BI10.5",175,159.9,161,160.5,15.8333333333333,9.42755471364595,21023.43508,3784.218314,2981.71039170662,-5485.14874008701,11448.5695235003,3012.0316152504,-4843.09677736027,10867.1600078611
"Bird Island","BI10","BI10.5",181,167.1,168.1,167.6,8.81818181818182,8.17090180846866,1243.638909,223.8550036,2583.66886892643,-5885.25660361399,11052.5943414669,2621.8165095237,-5086.11919399226,10329.7522130397
"Bird Island","BI10","BI10.5",191,179.1,180.1,179.6,18.8181818181818,17.069377152188,11337.75217,2040.795391,3151.07147159366,-5315.04760855613,11617.1905517434,3178.06266455528,-4740.08600746503,11096.2113365756
"Bird Island","BI10","BI10.5",194,182.8,183.8,183.3,3.63636363636364,5.2205886118852,21256.47654,3826.165777,2289.65115663524,-6181.09511940277,10760.3974326732,2333.57986555278,-5266.49484029256,9933.65457139813
"Bird Island","BI10","BI10.5",197,186.5,187.5,187,10.5454545454545,10.308866439756,4642.258304,835.6064947,2681.6747730235,-5786.69935731259,11150.0489033596,2717.89539084733,-5026.15954168431,10461.950323379
"Bird Island","BI10","BI10.5",202,192.4,193.3,192.8,41.1,56.0980292781207,2367.746797,426.1944235,4415.34763444581,-4047.87363260178,12878.5689014934,4417.48023363021,-3977.90136454516,12812.8618318056
"Bird Island","BI10","BI10.6",221,205.5,206.6,206,24.6666666666667,16.5822102558645,21467.56946,3864.162503,3482.91602406268,-4981.99395422793,11947.8260023533,3503.38238552831,-4538.89766115273,11545.6624322093
"Bird Island","BI10","BI10.6",231,217,218,217.5,15.0909090909091,10.3581325098161,3810.216932,685.8390478,2939.58504696315,-5527.47106138282,11406.6411553091,2970.73455222533,-4868.75446239251,10810.2235668432
"Bird Island","BI10","BI10.6",242,230.4,231.5,230.9,17.8333333333333,10.4519100762695,2179.747422,392.354536,3095.19091224007,-5371.16316246816,11561.5449869483,3123.28084625672,-4774.04909568829,11020.6107882017
"Bird Island","BI10","BI10.6",250,240.2,242,241.1,4.57894736842105,5.37810158031504,2601.638721,468.2949698,2343.13360291535,-6127.26285560612,10813.5300614368,2386.01072322801,-5233.62778714374,10005.6492335998
"Bird Island","BI10","BI10.7",259,252.7,253.7,253.2,10,8.08702664766229,2160.208858,388.8375944,2650.72554015074,-5817.8196945916,11119.2707748931,2687.55469148198,-5045.08537917868,10420.1947621426
"Bird Island","BI10","BI10.7",271,267,268,267.5,6.18181818181818,9.97815796445598,2135.960113,384.4728203,2434.08091004144,-6035.73968066608,10903.901500749,2475.16979592446,-5177.79505250864,10128.1346443576
