"Location","Site","Section","sample","min_depth","max_depth","midpoint","Sr","Sr_sd","Sr_ICP","Sr_ICP_sd","Sr_fit_OLS","Sr_lwr_OLS","Sr_upr_OLS","Sr_fit_WLS","Sr_lwr_WLS","Sr_upr_WLS"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,28.7272727272727,47.4027233586656,26.58846642,0.531769328,62.1841481156602,-30.3854879541997,154.75378418552,65.2739215080268,-7.31966849249768,137.867511508551
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,2.08333333333333,7.21687836487032,25.05462045,0.501092409,57.2867252992009,-35.3001591509889,149.873609749391,60.5371923580466,-11.2285681749236,132.302952891017
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,10.25,24.8344518763753,46.4043754,0.928087508,58.7878403961992,-33.7936713478541,151.369352140253,61.9890530414924,-10.0301955992793,134.008301682264
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,248.083333333333,60.5436857053473,121.9608593,2.439217186,102.503988221028,10.0455973932177,194.962379048838,104.270791720616,24.7804515384311,183.761131902801
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,349.4,106.557444080125,150.558177,3.01116354,121.127005924401,28.7014442910297,213.552567557772,122.282753138303,39.5644301532433,205.001076123364
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,148.181818181818,98.6679463471478,145.2111951,2.904223902,84.141089534463,-8.36115770057322,176.643336769499,86.5104143248844,10.1779758542602,162.842852795509
"Bird Island","BI10","BI10.2",51,45.9,46.9,46.4,302.909090909091,69.39806127761,110.8952002,2.217904004,112.581511372212,20.1423427600752,205.020679984349,114.01765235707,32.7835226578261,195.251782056314
"Bird Island","BI10","BI10.2",54,49.3,50.3,49.8,221,105.862174547853,153.965778,3.07931556,97.5258003993497,5.05664631634359,189.994954482356,99.4559476173524,20.8242947129737,178.087600521731
"Bird Island","BI10","BI10.2",62,58.4,59.4,58.9,213.909090909091,66.8946254125913,97.81476508,1.956295302,96.2224203151285,3.75030978996098,188.694530840296,98.1953338884979,19.7881924272312,176.602475349765
"Bird Island","BI10","BI10.2",67,64.1,65.2,64.6,570.166666666667,167.205824894912,168.0404108,3.360808216,161.706129546523,69.3114205596648,254.10083853338,161.530399287125,71.7032302158579,251.357568358391
"Bird Island","BI10","BI10.2",71,68.7,69.8,69.2,498,133.996607826806,114.9998151,2.299996302,148.441173689374,56.0425178844126,240.839829494336,148.700691615043,61.2076352971005,236.193747932985
"Bird Island","BI10","BI10.3",84,80,81,80.5,467,89.0655189546812,209.897137,4.19794274,142.743063321176,50.3408811187788,235.145245523574,143.189546979922,56.6961995048038,229.682894455041
"Bird Island","BI10","BI10.3",88,84.8,85.8,85.3,379.727272727273,88.6353100170478,130.9618352,2.619236704,126.701462284608,34.2834443447587,219.119480224458,127.674301086328,43.985214081529,211.363388091126
"Bird Island","BI10","BI10.3",95,93,94,93.5,657.636363636364,307.69929240324,119.867266,2.39734532,177.78393558543,85.3860154886124,270.181855682248,177.080662228743,84.4124661120197,269.748858345466
"Bird Island","BI10","BI10.3",98,96.3,97.3,96.8,687.090909090909,135.948118446306,112.4064678,2.248129356,183.197975935272,90.7970027590449,275.598949111499,182.317057717831,88.68941706524,275.944698370422
"Bird Island","BI10","BI10.3",104,103.2,104.2,103.7,547.272727272727,137.91380707463,127.1397723,2.542795446,157.497994274603,65.1026790736355,249.893309475571,157.460340859135,68.3746440233698,246.546037694899
"Bird Island","BI10","BI10.3",114,114.9,115.9,115.4,219.727272727273,87.0759334249032,94.40874214,1.888174843,97.2918603842331,4.82217988723282,189.761540881233,99.2296836147375,20.6383371708451,177.82103005863
"Bird Island","BI10","BI10.3",119,120.7,121.7,121.2,208,80.1835394579212,100.7977844,2.015955688,95.1362702449442,2.66165214426877,187.61088834562,97.1448224477857,18.9246744734096,175.364970422162
"Bird Island","BI10","BI10.3",120,121.8,122.7,122.3,143.2,55.8684963900845,91.74775016,1.834955003,83.2253814752922,-9.27935103463035,175.730113985215,85.6247523717917,9.44908455438004,161.800420189203
"Bird Island","BI10","BI10.4",145,132,133,132.5,168.909090909091,107.725070940292,91.25190224,1.825038045,87.950969780648,-4.54124133310037,180.443180894396,90.1952852246132,13.2098465914024,167.180723857824
"Bird Island","BI10","BI10.4",155,143.7,144.8,144.2,334.363636363636,127.302217362678,121.0153008,2.420306016,118.363171745809,25.933479745742,210.792863745875,119.609605564553,37.3718431073686,201.847368021737
"Bird Island","BI10","BI10.5",172,156.1,157.2,156.6,303.666666666667,72.726553026742,85.39705279,1.707941056,112.72076138121,20.2818343086988,205.159688453722,114.152333311007,32.8940580669984,195.410608555016
"Bird Island","BI10","BI10.5",175,159.9,161,160.5,238.666666666667,118.980772574497,121.2110164,2.424220328,100.773110609183,8.31107252248053,193.235148695885,102.596707463174,23.4051359330965,181.788278993251
"Bird Island","BI10","BI10.5",181,167.1,168.1,167.6,268.181818181818,111.031363300482,95.32051892,1.906410378,106.198290959744,13.7473456998139,198.649236219675,107.843877428577,27.7151259191823,187.972628937972
"Bird Island","BI10","BI10.5",191,179.1,180.1,179.6,456.272727272727,187.278984891039,119.1548845,2.38309769,140.771283193765,48.367624474505,233.174941913025,141.282464672168,55.1346291210694,227.430300223266
"Bird Island","BI10","BI10.5",194,182.8,183.8,183.3,339.181818181818,62.1865229480121,121.5336821,2.430673642,119.248801803036,26.8204614773854,211.677142128686,120.466176431595,38.0744802181328,202.857872645057
"Bird Island","BI10","BI10.5",197,186.5,187.5,187,382.909090909091,105.525783148437,118.8967341,2.377934682,127.2863123224,34.8690248403079,219.703599804492,128.239961092865,44.4489106645764,212.031011521153
"Bird Island","BI10","BI10.5",202,192.4,193.3,192.8,307.2,144.665745004745,85.79649547,1.715929909,113.370223423177,20.9324142229841,205.80803262337,114.780485280172,33.4095776047346,196.151392955609
"Bird Island","BI10","BI10.6",221,205.5,206.6,206,323.666666666667,63.7171781223775,111.2286921,2.224573842,116.396961618757,23.9641738143207,208.829749423194,117.707910494956,35.8117137378238,199.604107252088
"Bird Island","BI10","BI10.6",231,217,218,217.5,400.545454545455,78.1541600125849,136.1592518,2.723185036,130.528052531873,38.114603796201,222.941501267545,131.375333700529,47.0187273388137,215.731940062244
"Bird Island","BI10","BI10.6",242,230.4,231.5,230.9,395.666666666667,60.1578731087602,116.7915838,2.335831676,129.631282473926,37.2168074311255,222.045757516726,130.507988357172,46.3078982835795,214.708078430764
"Bird Island","BI10","BI10.6",250,240.2,242,241.1,228.526315789474,64.0792637815356,95.07661499,1.9015323,98.9092125940055,6.44313365029255,191.375291537719,100.793967452365,21.9238761585894,179.66405874614
"Bird Island","BI10","BI10.7",259,252.7,253.7,253.2,261.454545454545,92.75814102963,101.292967,2.02585934,104.961750879842,12.5083648779301,197.415136881754,106.647910557612,26.7329554160786,186.562865699146
"Bird Island","BI10","BI10.7",271,267,268,267.5,228.363636363636,49.7961298240591,119.6977813,2.393955626,98.87931048681,6.41316575901257,191.345455214608,100.765046489624,21.9001105098477,179.629982469401
"Bird Island","BI10","BI10.7",280,277.9,278.9,278.4,287.090909090909,81.9786003118552,99.83622626,1.996724525,109.673971184334,17.2296093221751,202.118333046493,111.205514038856,30.4752363380964,191.935791739615
"Bird Island","BI10","BI10.8",300,293.7,294.8,294.3,330.666666666667,66.4712286814697,110.4667193,2.209334386,117.683631701899,25.2528845637317,210.114378840065,118.952362509338,36.8326774474181,201.072047571258
"Bird Island","BI10","BI10.8",303,297.4,298.4,297.9,285.454545454545,70.9159553786927,95.05242503,1.901048501,109.373191164898,16.9282757417307,201.818106588066,110.914603178351,30.2364144179251,191.592791938777
"Bird Island","BI10","BI10.8",311,307.1,308,307.6,366.9,91.4736756303874,109.9097917,2.198195834,124.343681132254,31.9226009168867,216.764761347622,125.393883174259,42.1156350365144,208.672131312003
"Bird Island","BI10","BI10.8",318,315.7,316.8,316.2,118.166666666667,66.3487114807177,92.99111859,1.859822372,78.6240041779628,-13.8936453242029,171.141653680128,81.1743549298826,5.78538069537109,156.563329164394
"Bird Island","BI10","BI10.9",337,326,327.1,326.5,354.454545454545,100.502103098755,54.97448254,1.099489651,122.056081984435,29.6318507086873,214.480313260183,123.181344462974,40.3013663843974,206.061322541551
