"Location","Site","Section","sample","min_depth","max_depth","midpoint","Cu","Cu_sd","Cu_ICP","Cu_ICP_sd","Cu_fit_OLS","Cu_lwr_OLS","Cu_upr_OLS","Cu_fit_WLS","Cu_lwr_WLS","Cu_upr_WLS"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,-6.07810102636568,-6.74793914681923,1.47468289857608,-3.7831798039682,1.9821336125446,0.784290910329983,3.17997631475923,2.0001500819493,0.740301118511533,3.25999904538706
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,-6.12049842736349,-6.834791407075,1.18032422455858,-4.59026354410022,1.88542745680321,0.686831421396227,3.08402349221019,1.90530507588006,0.637925984803883,3.17268416695623
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,-6.38277834996271,-6.67457525312098,1.76274342417884,-3.90820335957217,1.28718128025028,0.0822687995970088,2.49209376090356,1.31857239261848,0.00330993154048342,2.63383485369648
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,-6.14754368823822,-6.77777653151846,2.93429859087982,-1.73473839781915,1.82373869408039,0.624623022596203,3.02285436556457,1.84480353872356,0.572589407629953,3.11701766981717
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,-5.63726262806277,-6.63251712200013,3.23458375089402,-2.37743602876921,2.98766191851954,1.79319329831879,4.18213053872029,2.9863265828332,1.80092368674953,4.17172947891688
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,-5.65380172039836,-6.70916476985254,3.2228939294629,-1.60738806979778,2.94993715234084,1.75548930380735,4.14438500087433,2.94932784526838,1.76126721080964,4.13738847972711
"Bird Island","BI10","BI10.2",45,44,45,44.5,-5.70549476118379,-7.28205567810481,2.51898773373569,-2.57524266727526,2.83202815001308,1.63757106823091,4.02648523179524,2.83368805010063,1.63724913898841,4.03012696121285
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,-5.89163590129852,-7.12686545625864,3.42432388757179,-2.09545280050523,2.40745037726834,1.21202967669777,3.6028710778389,2.41728145091244,1.18980631038431,3.64475659144057
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,-5.85645425473815,-6.7174781502092,2.50411667342474,-0.994968632570582,2.48769779129453,1.29257075232734,3.68282483026172,2.49598447050829,1.27447648149848,3.71749245951811
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,-5.71086111921764,-6.47779343084146,3.79810302271528,-1.88306784036054,2.81978778047221,1.62532330253884,4.01425225840557,2.82168325149714,1.62436842953555,4.01899807345873
