"Location","Site","Section","sample","min_depth","max_depth","midpoint","Ca","Ca_sd","Ca_ICP","Ca_ICP_sd","Ca_fit_OLS","Ca_lwr_OLS","Ca_upr_OLS","Ca_fit_WLS","Ca_lwr_WLS","Ca_upr_WLS"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,-6.80758541593921,-0.680758541593921,7.35055584285185,0.95557225957074,8.05342818508728,7.19117709290532,8.91567927726925,8.09060191227481,6.92355218907145,9.25765163547817
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,-6.95635233262163,-0.695635233262164,7.24247120132883,0.941521256172748,7.96489709347065,7.10150740923046,8.82828677771085,8.00465427549929,6.81407545341687,9.19523309758172
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,-6.61499894187169,-0.661499894187169,7.84267996218333,1.01954839508383,8.16803626570101,7.30714066558527,9.02893186581675,8.20186557687282,7.06525467464806,9.33847647909757
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,-5.78629652032065,-0.578629652032065,8.75807660650184,1.13854995884524,8.66119651692724,7.80459498077525,9.51779805307923,8.68063475694869,7.67468533534559,9.68658417855179
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,-5.1750432851041,-0.51750432851041,9.04100380665293,1.17533049486488,9.02495290426594,8.16990386754829,9.8800019409836,9.03377624976057,8.12377993810446,9.94377256141668
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,-5.46525974364459,-0.546525974364459,9.04402113279338,1.17572274726314,8.85224528584733,7.99663089250995,9.70785967918471,8.86610846903912,7.91060792246418,9.82160901561407
"Bird Island","BI10","BI10.2",45,44,45,44.5,-5.14897803524557,-0.514897803524557,9.28899573342214,1.20756944534488,9.04046431684809,8.18545083420126,9.89547779949492,9.04883501872119,8.14292035143743,9.95474968600494
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,-5.41437262611466,-0.541437262611466,8.85011583510835,1.15051505856409,8.88252817511206,8.02703538738388,9.73802096284023,8.89550766337312,7.94799330982176,9.84302201692448
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,-5.55609395270816,-0.555609395270816,8.89923601451618,1.1569006818871,8.79818990939762,7.94233471592104,9.65404510287421,8.81363050027102,7.84386715677152,9.78339384377052
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,-4.98199434764984,-0.498199434764984,8.66848236944953,1.12690270802844,9.1398361965287,8.28499091331621,9.99468147974118,9.14530709496615,8.26551873452873,10.0250954554036
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,-4.70870176364323,-0.470870176364323,9.11437754626484,1.18486908101443,9.3024724286453,8.4476799703518,10.1572648869388,9.30319738581479,8.46607826128939,10.1403165103402
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,-5.15280892334931,-0.515280892334931,8.79883085915351,1.14384801168996,9.03818455792556,8.18316600716308,9.89320310868803,9.04662178619201,8.14010728436294,9.95313628802107
"Bird Island","BI10","BI10.2",81,86.5,87.5,87,-5.24324040548484,-0.524324040548484,9.20085797360353,1.19611153656846,8.98436884399866,8.1292149083049,9.83952277969241,8.99437648627598,8.07369672492888,9.91505624762307
