"Location","Site","Section","sample","min_depth","max_depth","midpoint","Co","Co_sd","Co_ICP","Co_ICP_sd","Co_fit_OLS","Co_lwr_OLS","Co_upr_OLS","Co_fit_WLS","Co_lwr_WLS","Co_upr_WLS"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,-6.32229598269348,-0.632229598269348,-0.302742141476696,-0.0211919499033687,0.860697731699057,-0.70581693022187,2.42721239361998,0.852942081692354,-0.797452091164315,2.50333625454902
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,-6.31632574152516,-0.631632574152516,-0.272851907643074,-0.0190996335350152,0.867014600349019,-0.699471339182561,2.4335005398806,0.859344401949973,-0.790096505978954,2.5087853098789
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,-7.12736858521983,-0.712736858521983,0.557321332541838,0.0390124932779287,0.00888325043131905,-1.56457789659896,1.5823443974616,-0.0103953424894443,-1.79158061809683,1.77078993311794
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,-6.70291331440332,-0.670291331440332,0.158035995347025,0.0110625196742917,0.457982058659726,-1.11105772922487,2.02702184654432,0.444778661739725,-1.26691480514024,2.15647212861969
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,-5.58425640728806,-0.558425640728806,2.70737906727561,0.189516534709293,1.64158730129345,0.076067701634343,3.20710690095256,1.64439515558317,0.109686552239808,3.17910375892653
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,-5.0591491032681,-0.50591491032681,1.56624775644835,0.109637342951385,2.19718192018874,0.629232725261877,3.7651311151156,2.20750559537335,0.75210218259884,3.66290900814787
"Bird Island","BI10","BI10.2",45,44,45,44.5,-5.41468580331101,-0.541468580331101,1.85250594746283,0.129675416322398,1.82100304045996,0.254983710020803,3.38702237089911,1.82623794590431,0.317437263540232,3.33503862826839
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,-6.598334493059,-0.6598334493059,2.83582027716898,0.198507419401829,0.568632643682068,-0.999577337279335,2.13684262464347,0.556926075476133,-1.13782423249221,2.25167638344448
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,-7.15939126124484,-0.715939126124484,1.74078998486452,0.121855298940516,-0.0249986368437622,-1.59886167328042,1.5488643995929,-0.0447355678903465,-1.83120832967802,1.74173719389733
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,-6.29608226671114,-0.629608226671114,0.437681308376675,0.0306376915863672,0.888433395304459,-0.677957660920075,2.45482445152899,0.881052940220403,-0.765157677319209,2.52726355776002
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,-6.49579543714895,-0.649579543714895,1.40336231461165,0.0982353620228157,0.677125036101848,-0.890371301691511,2.24462137389521,0.666886101602496,-1.01132422115495,2.34509642435994
