"Location","Site","Section","sample","min_depth","max_depth","midpoint","Co","Co_sd","Co_ICP","Co_ICP_sd","Co_fit_OLS","Co_lwr_OLS","Co_upr_OLS","Co_fit_WLS","Co_lwr_WLS","Co_upr_WLS"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,0.127999327795264,0.0063999663897632,-3.90274122642275,-0.195137061321138,-3.26659067527498,-4.60816802576463,-1.92501332478533,-3.28197299344786,-4.8506226685312,-1.71332331836453
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,0.643117857135596,0.0321558928567798,-3.62408283695147,-0.181204141847574,-2.99721391390328,-4.34788715714147,-1.64654067066508,-3.02819210824341,-4.84719681538151,-1.2091874011053
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,-0.289616352518116,-0.0144808176259058,-3.30231679805059,-0.165115839902529,-3.48497916851152,-4.82390273261396,-2.14605560440909,-3.48771763470725,-4.85605342566212,-2.11938184375239
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,-0.763593247865126,-0.0381796623932563,-4.63761576586541,-0.23188078829327,-3.73284126968093,-5.07390953733519,-2.39177300202668,-3.72122947560659,-4.86679301706184,-2.57566593415135
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,-0.169726621967429,-0.00848633109837147,-2.8241906861885,-0.141209534309425,-3.4222838751024,-4.76153405593888,-2.08303369426591,-3.4286521571267,-4.85418441525632,-2.00311989899708
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,0.872673456953866,0.0436336728476933,-3.76611229974393,-0.188305614987196,-2.8771698065539,-4.23393876740258,-1.52040084570522,-2.91509809199801,-4.84649447322769,-0.983701710768328
"Bird Island","BI10","BI10.2",45,44,45,44.5,0.0895493855490216,0.00447746927745108,-3.95365364951037,-0.197682682475519,-3.28669773865413,-4.62785322306503,-1.94554225424324,-3.30091593536029,-4.8510062517299,-1.75082561899069
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,-0.244064199715712,-0.0122032099857856,-2.02770212588656,-0.101385106294328,-3.46115806580117,-4.80016438291593,-2.12215174868642,-3.46527568202508,-4.85531012458702,-2.07524123946315
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,-0.692560848870176,-0.0346280424435088,-3.64070836931758,-0.182035418465879,-3.69569549350739,-5.03609341878362,-2.35529756823116,-3.68623429669463,-4.86477162087737,-2.50769697251188
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,-1.00346197834834,-0.0501730989174172,-3.80094460400633,-0.190047230200316,-3.85827853914716,-5.20251554031009,-2.51404153798423,-3.83940441067029,-4.87503662612716,-2.80377219521341
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,-0.860487026338631,-0.0430243513169316,-3.83625195838584,-0.191812597919292,-3.78351102965964,-5.12569141509773,-2.44133064422156,-3.76896565178977,-4.86984115820341,-2.66809014537614
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,-0.215687576770969,-0.0107843788385485,-3.91553436973874,-0.195776718486937,-3.446318757269,-4.78540224184222,-2.10723527269578,-3.45129551225862,-4.85486795711413,-2.04772306740311
