depth	min	max	median	mean
31.5	-19.78	-18.41	-19.28	-19.14
36.1	-4.43	-2.46	-3.69	-3.49
39.2	5.87	8.3	6.84	7.06
43.8	126.25	266.4	207.62	202.19
49.9	313.68	677.09	524.7	511.05
69.3	1332.47	1617.79	1452.78	1458.19
89.3	1697.03	2728.25	2232.17	2227.63
109.3	2433.44	3018.87	2780.61	2762.26
129.3	2912.83	3345.62	3118.83	3122.24
149.3	3047.9	3622.29	3335.59	3335.1
169.3	3309.72	3776.42	3560.74	3554.73
189.3	3515.82	3900	3726.4	3725.85
200.2	3586.18	3973.88	3778.94	3782.02
205.3	3613.91	3989.49	3792.1	3798.21
209.4	3634.62	4003.31	3803.78	3811.22
217.6	3667.65	4037.02	3827.84	3837.25
225.1	3697.9	4058.7	3850.57	3860.93
232.5	3728.26	4086.13	3870.46	3884.24
240	3751.11	4122.49	3889.7	3907.85
247.5	3802.5	4187.75	3957.71	3967.76
253.8	3829.75	4268.64	4005.41	4018.09
261.6	3860.13	4383.63	4062.86	4079.47
269.2	3925.04	4445.58	4122.61	4135.79
279.3	3969.99	4546.09	4201.9	4210.63
289.2	4137.58	4691.73	4320.07	4329.58
290.6	4151.89	4723.27	4338.16	4346.89
297.2	4199.08	4804.65	4416.19	4428.49
299.6	4208.02	4837.02	4440.39	4458.17
302.4	4607.41	5155.02	4811.02	4827
305.3	5078.95	5540.39	5253.92	5266.7
308.2	5544.4	5928.88	5697.16	5706.4
309.6	5765.12	6119.56	5910.62	5918.67
311	5981.6	6312.03	6122.44	6130.94
313.9	6415.05	6738.82	6553.59	6570.64
317.9	6981.78	7356.2	7154.54	7177.12
