depth	min	max	median	wmean
0	-378.5	-65.8	-136.7	-158.5
1	-338.7	-65.1	-126.9	-146.1
2	-298.9	-64.3	-117.2	-133.7
3	-259	-63.6	-107.6	-121.3
4	-219.1	-62.7	-98	-109
5	-179.4	-62	-88.3	-96.8
6	-138.5	-60.9	-78.4	-84.3
7	-98.7	-59.8	-69.3	-71.7
8	-65.3	-55	-59	-59.3
9	-64.1	-54.6	-58.6	-58.7
10	-62.7	-54.2	-58.2	-58.2
11	-61.4	-53.6	-57.8	-57.6
12	-60.2	-53	-57.3	-57.1
13	-59.2	-52.3	-56.9	-56.5
14	-58.4	-51.6	-56.4	-55.9
15	-57.9	-50.7	-55.8	-55.4
16	-57.6	-49.7	-55.3	-54.8
17	-56.3	-48.7	-54.2	-53.7
18	-55.1	-47.8	-53.1	-52.6
19	-53.9	-46.8	-52	-51.5
20	-52.8	-45.7	-50.9	-50.4
21	-51.7	-44.6	-49.8	-49.3
22	-50.7	-43.5	-48.7	-48.2
23	-49.8	-42.4	-47.6	-47.2
24	-48.9	-41.3	-46.4	-46.1
25	-45.4	-38	-43.2	-42.7
26	-41.9	-34.8	-39.9	-39.4
27	-38.6	-31.4	-36.6	-36.1
28	-35.4	-28	-33.2	-32.7
29	-32.3	-24.5	-29.9	-29.4
30	-29.3	-21	-26.5	-26.1
31	-26.3	-17.5	-23.1	-22.7
32	-23.3	-14	-19.8	-19.4
33	-14.5	-3.2	-10.4	-9.8
34	-8.3	11.2	-1.3	-0.2
35	-2.5	26.3	7.8	9.4
36	3	41.7	16.9	19
37	8.6	57.2	26	28.5
38	14.3	72.7	35.1	38.1
39	19.8	88.4	44.2	47.7
40	25.2	104	53.3	57.3
41	47.2	173.1	97.4	100.9
42	57.3	267.7	137.4	144.2
43	65.2	365.4	176.7	187.4
44	72.2	463	216.5	230.8
45	78.7	564.5	256.5	274.1
46	84.5	663.1	296.4	317.4
47	89.3	758.2	335.6	360.7
48	94	856.5	375.1	403.9
49	143.7	882.4	428.4	455.2
50	180.3	909.8	489.1	506.8
51	209.3	947.5	549	558.4
52	232.5	989.2	609.3	610.1
53	254.2	1036.3	663.5	661.7
54	273.1	1103	719.9	713.6
55	290.9	1170.2	775.6	765.2
56	305.8	1254.1	827.3	815.7
57	397.3	1264.5	873.9	863.9
58	483	1276.8	920.6	912.8
59	561.8	1287.8	968.3	961.8
60	627.1	1302.6	1021.2	1011
61	663.4	1321	1074.4	1059.8
62	691.9	1342.4	1130.4	1108.6
63	720.4	1374.3	1187.5	1157.5
64	748.8	1423.4	1240.1	1206.3
65	868.2	1434	1269.8	1243.5
66	983.7	1446.9	1298.2	1280.9
67	1085.5	1465.1	1326.6	1318.5
68	1179.4	1492.2	1356.6	1356
69	1226	1525.6	1392.3	1393.5
70	1252.4	1585.2	1426.8	1430
71	1280.4	1680	1455.7	1465.8
72	1297.7	1792.9	1482.5	1501.8
73	1332	1822	1516	1533.6
74	1349.8	1854.9	1549.9	1565.1
75	1368.6	1895.9	1582.1	1597.1
76	1378.3	1948.5	1613.8	1628.7
77	1390.5	2012.3	1643.2	1660.6
78	1396.6	2075.6	1671	1691.9
79	1403.9	2149	1697.9	1723
80	1411.7	2234.7	1726.7	1754.1
81	1443.3	2257.2	1758.1	1785.9
82	1466.1	2281.6	1791.3	1817.1
83	1484.5	2306.9	1826	1848.3
84	1500.5	2337.6	1860.6	1880.4
85	1514.3	2366	1892.9	1912.2
86	1529.5	2404.7	1925.5	1943.3
87	1541.9	2456	1958.3	1974.9
88	1553	2503.7	1992	2006.2
89	1587.5	2521.7	2021	2036.2
90	1614.1	2539.1	2055.2	2066.3
91	1636.7	2557.5	2088.6	2096.5
92	1659.1	2580.9	2121.9	2126.8
93	1677.1	2608.1	2156.1	2157.1
94	1696.6	2636.7	2185.6	2187.3
95	1712.5	2672.9	2216.6	2218.1
96	1730.6	2709.4	2247.8	2249.1
97	1784.4	2723.5	2277.6	2279.7
98	1832.3	2740.7	2310	2310.5
99	1866.2	2757.6	2344.3	2341.7
100	1896.7	2776.2	2378.4	2372.5
101	1926.9	2795	2413	2403.6
102	1952.9	2815	2449.6	2434.7
103	1974.6	2842.9	2484.4	2465.5
104	1994.9	2874.3	2518	2496.2
105	2047.2	2885.6	2546.5	2526.9
106	2093.4	2895.6	2577.6	2557.7
107	2141.6	2911	2608.7	2588.5
108	2187.9	2924.9	2640.9	2619.9
109	2220.4	2944.6	2673.4	2651.2
110	2250.3	2967.8	2708.6	2682.3
111	2278.5	2995	2743.2	2713.5
112	2300.5	3024.6	2776.5	2744.2
113	2376.7	3032.4	2799.9	2773.8
114	2447.2	3042.2	2823	2803.2
115	2513.9	3053.1	2846.4	2832.5
116	2585.9	3065.2	2871.1	2862
117	2642.5	3080.8	2897.8	2891.5
118	2678.7	3098.1	2924.8	2921.3
119	2698.5	3121.6	2952.8	2950.9
120	2721.9	3156.8	2981.7	2980.4
121	2748.4	3167.9	2994	2992.8
122	2776.3	3183	3006.3	3005.4
123	2792.9	3198.2	3018.9	3017.5
124	2804.8	3219.3	3030.9	3029.9
125	2816.4	3243.1	3041.1	3042.1
126	2830.8	3267	3052.2	3054.3
127	2832.1	3292.4	3062.2	3066.3
128	2844	3317.9	3071.8	3077.7
129	2852.1	3328.3	3083.9	3089.7
130	2863	3338.7	3097.1	3102
131	2871.1	3351.4	3109.8	3113.8
132	2884.9	3367.7	3121.5	3125.9
133	2890.9	3381.7	3133.7	3138
134	2902.4	3399.1	3145.5	3149.9
135	2909.5	3419.5	3156.2	3161.9
136	2913.8	3440.5	3168	3174
137	2926.6	3449.3	3180.7	3185.9
138	2940.3	3460.6	3192.6	3197.8
139	2949.7	3471.6	3205.3	3209.6
140	2961.8	3484.1	3217.7	3221.9
141	2968.5	3499.1	3230.5	3233.9
142	2974	3515.5	3243.1	3246.3
143	2981.7	3534.8	3254.3	3258.8
144	2988.3	3550.7	3265.7	3270.6
145	3004.1	3563.2	3278.9	3283
146	3016.9	3574.9	3290.9	3295.1
147	3027.2	3587.8	3304.6	3307.3
148	3039.2	3600.8	3317.2	3319.5
149	3048.1	3612	3330.4	3331.9
150	3057	3626.8	3343.1	3344.2
151	3066.4	3643.3	3356	3356.1
152	3074.4	3661.1	3367.5	3368
153	3089	3669.3	3379.4	3380.3
154	3100	3680.7	3391.9	3392.6
155	3109.2	3691.6	3405.2	3405
156	3118	3702.9	3417.5	3417.3
157	3127.1	3714.7	3428.6	3429.3
158	3138.7	3729	3439.7	3441.6
159	3147.9	3745.9	3451.7	3454
160	3156.1	3762.6	3462.1	3465.8
