labID,age,error,depth,cc,dR,dSTD,t.a,t.b
Sample BIM5-1,-66.99648543,1.05533328,0.5,0,0,0,3,4
Sample BIM5-2,-66.1382201,1.060958678,1.5,0,0,0,3,4
Sample BIM5-3,-63.89937646,1.135737783,2.5,0,0,0,3,4
Sample BIM5-4,-61.28844577,1.245294549,3.5,0,0,0,3,4
Sample BIM5-5,-58.89642964,1.321307275,4.5,0,0,0,3,4
Sample BIM5-6,-56.38555408,1.373598067,5.5,0,0,0,3,4
Sample BIM5-7,-53.77211624,1.424974475,6.5,0,0,0,3,4
Sample BIM5-8,-51.78702725,1.46205437,7.5,0,0,0,3,4
Sample BIM5-9,-49.81309507,1.493371491,8.5,0,0,0,3,4
Sample BIM5-10,-47.8925314,1.524106303,9.5,0,0,0,3,4
Sample BIM5-11,-45.89507155,1.556522502,10.5,0,0,0,3,4
Sample BIM5-12,-43.66236272,1.592798283,11.5,0,0,0,3,4
Sample BIM5-13,-39.98077451,1.652970071,12.5,0,0,0,3,4
Sample BIM5-14,-36.88441965,1.698640285,13.5,0,0,0,3,4
Sample BIM5-15,-33.19013162,1.758064345,14.5,0,0,0,3,4
Sample BIM5-16,-29.28641364,1.821022787,15.5,0,0,0,3,4
Sample BIM5-17,-25.38470257,1.880890535,16.5,0,0,0,3,4
Sample BIM5-18,-22.45195241,1.926591849,17.5,0,0,0,3,4
Sample BIM5-19,-18.5834555,2.019350744,19.5,0,0,0,3,4
Sample BIM5-20,-17.8212927,1.990628951,20.5,0,0,0,3,4
Sample BIM5-21,-14.43388655,2.086515836,21.5,0,0,0,3,4
Sample BIM5-22,-8.626209545,2.190607271,22.5,0,0,0,3,4
Sample BIM5-23,-1.419382941,2.367643833,23.5,0,0,0,3,4
Sample BIM5-24,8.611433669,2.679573775,24.5,0,0,0,3,4
Sample BIM5-25,19.79908534,2.915110767,25.5,0,0,0,3,4
Sample BIM5-26,41.87499088,3.831133414,26.5,0,0,0,3,4
Sample BIM5-27,69.00532714,5.02982409,27.5,0,0,0,3,4
Sample BI5-62,370,30,60.9,3,0,0,3,4
Sample BI5-178,1660,30,169.6,3,0,0,3,4
Sample BI5-317,2800,30,302.9,3,0,0,3,4
Sample BI5-415,3220,30,400.3,3,0,0,3,4
Sample BI5-999,5200,30,600.5,3,0,0,3,4
