Location,Site,Section,Sample_ID,field_min_depth,field_max_depth,field_depth_mid,strat_min_depth,strat_max_depth,strat_depth_mid,depth,SH20_min_age_95CI,SH20_max_age_95CI,SH20_median_age,SH20_mean_age,accrate_cmyr-1,kcps,cps,MSE,K,K_sd,Ca,Ca_sd,Ti,Ti_sd,Mn,Mn_sd,Fe,Fe_sd,Co,Co_sd,Ni,Ni_sd,Cu,Cu_sd,Zn,Zn_sd,Rb,Rb_sd,Sr,Sr_sd,Zr,Zr_sd,Mo_inc,Mo_coh,coh_inc,Mo_inc_sd,Mo_coh_sd,coh_inc_sd,K_ICP,K_ICP_sd,Ca_ICP,Ca_ICP_sd,Ti_ICP,Ti_ICP_sd,Mn_ICP,Mn_ICP_sd,Fe_ICP,Fe_ICP_sd,Co_ICP,Co_ICP_sd,Ni_ICP,Ni_ICP_sd,Cu_ICP,Cu_ICP_sd,Zn_ICP,Zn_ICP_sd,Rb_ICP,Rb_ICP_sd,Sr_ICP,Sr_ICP_sd,Zr_ICP,Zr_ICP_sd,dry_mass_pc,dry_mass_err
Bird Island,BI10,BI10.1,1,0,1.1,0.6,0,1.1,0.6,0.6,-67.32,-51.24,-61.52,-61.00,0.10031,20689.81818,52220.36364,1.329090909,8.636363636,0.863636364,42,4.2,15.27272727,1.527272727,16.36363636,1.636363636,5450.545455,545.0545455,68.90909091,6.890909091,172.7272727,17.27272727,88,8.8,8,0.8,26.18181818,2.618181818,28.72727273,2.872727273,792.3636364,79.23636364,38213.72727,5590.272727,0.146376585,1611.558568,191.8406062,0.003886984,1782.206118,320.7971012,1557.061769,202.41803,134.9563972,18.89389561,34.34524027,4.121428832,13959.03161,2512.62569,0.738789575,0.05171527,2.467420581,1.332407114,4.369649931,0.61175099,22.90793616,2.061714254,2.288761162,0.366201786,26.58846642,0.531769328,2.896325963,0.144816298,12.51434728,1.251434728
Bird Island,BI10,BI10.1,4,3.9,5,4.5,3.9,5,4.5,4.5,-62.17,50.94,-27.29,-22.12,0.09905,24515.91667,60507.16667,1.321666667,10.41666667,1.041666667,43.08333333,4.308333333,12.83333333,1.283333333,35.66666667,3.566666667,5083.583333,508.3583333,81.58333333,8.158333333,238.75,23.875,98.91666667,9.891666667,0.181818182,0.018181818,56.5,5.65,2.083333333,0.208333333,898.5,89.85,45226.25,6602.416667,0.145989152,654.3573009,185.3877795,0.003613515,1331.46149,239.6630682,1397.543318,181.6806313,79.78694045,11.17017166,28.06949723,3.368339668,9355.988249,1684.077885,0.761205508,0.053284386,2.98969441,1.614434981,3.255429522,0.455760133,12.50967591,1.125870832,1.525038372,0.24400614,25.05462045,0.501092409,2.113253146,0.105662657,10.48614151,1.048614151
Bird Island,BI10,BI10.1,10,11.7,12.8,12.3,11.7,12.8,12.3,12.3,-35.36,208.92,46.23,56.63,0.09457,21782.66667,52798.33333,1.291666667,9.833333333,0.983333333,56.5,5.65,12.5,1.25,12.91666667,1.291666667,1170,117,33.08333333,3.308333333,191.9166667,19.19166667,71.25,7.125,4.333333333,0.433333333,28.58333333,2.858333333,10.25,1.025,921.5,92.15,42093.83333,6060.5,0.143955505,1322.154016,252.6443782,0.003010999,1545.22611,278.1406998,2547.021617,331.1128102,340.544392,47.67621488,37.1899001,4.462788012,3942.206507,709.5971713,1.745989306,0.122219251,3.556521683,1.920521709,5.828405269,0.815976738,13.94648753,1.255183878,4.398970104,0.703835217,46.4043754,0.928087508,6.431024383,0.321551219,13.6157151,1.36157151
Bird Island,BI10,BI10.1,22,26.7,27.8,27.2,26.7,27.8,27.2,27.2,78.73,342.75,214.59,214.18,0.07835,21759.58333,52292.16667,1.33,11.33333333,1.133333333,125.0833333,12.50833333,31.91666667,3.191666667,28.5,2.85,1496.25,149.625,50.16666667,5.016666667,203.3333333,20.33333333,87.41666667,8.741666667,90.91666667,9.091666667,74.33333333,7.433333333,248.0833333,24.80833333,840.25,84.025,40802.66667,6037.25,0.148022999,1078.149453,98.40650847,0.003202734,4972.490853,895.0483535,6361.863436,827.0422467,1070.668936,149.893651,59.55046887,7.146056264,4568.280308,822.2904554,1.171208352,0.081984585,7.052448962,3.808322439,18.80830619,2.633162867,83.1136075,7.480224675,19.01381163,3.042209861,121.9608593,2.439217186,35.64216716,1.782108358,19.65584023,1.965584023
Bird Island,BI10,BI10.1,30,36.3,37.2,36.7,36.3,37.2,36.7,36.7,180.95,452.96,342.42,335.43,0.07353,22119.4,57449,1.346,26.3,2.63,217.7,21.77,75.3,7.53,44.1,4.41,7994.7,799.47,144.2,14.42,213,21.3,137.5,13.75,74.1,7.41,47,4.7,349.4,34.94,793.2,79.32,38550.7,6177,0.160262792,967.395593,126.3232186,0.00242683,16457.36219,2962.325194,8442.247188,1097.492134,1962.99309,274.8190326,148.1529747,17.77835696,18556.10587,3340.099057,14.98993637,1.049295546,9.844407416,5.315980005,25.3957986,3.555411804,90.06087679,8.105478911,43.16823811,6.906918098,150.558177,3.01116354,40.9140318,2.04570159,21.79052633,2.179052633
Bird Island,BI10,BI10.2,45,44,45,44.5,38,39,38.5,38.5,193.74,478.55,369.76,359.91,0.07582,23876.4,60911.7,1.358,14.7,1.47,248,24.8,39.4,3.94,32,3.2,6755.8,675.58,189.9,18.99,219.5,21.95,142.2,14.22,265.8,26.58,47.9,4.79,369.7,36.97,866.8,86.68,42680.9,6658.3,0.156005654,801.7086545,145.3142572,0.002073748,66668.75515,12000.37593,10818.31417,1406.380842,3006.601666,420.9242332,498.7089785,59.84507742,25853.87296,4653.697133,6.375776882,0.446304382,9.325702706,5.035879461,12.41602198,1.738243077,63.36397587,5.702757828,138.1998527,22.11197643,165.8736664,3.317473328,60.55383697,3.027691849,26.28431951,2.628431951
Bird Island,BI10,BI10.1,34,40.9,41.9,41.4,40.9,41.9,41.4,41.4,245.15,511.43,408.57,398.16,0.07847,23491.90909,61638.18182,1.349090909,11.09090909,1.109090909,171.7272727,17.17272727,33.09090909,3.309090909,36.45454545,3.645454545,10621.27273,1062.127273,258.1818182,25.81818182,227.4545455,22.74545455,143,14.3,17.45454545,1.745454545,5.636363636,0.563636364,148.1818182,14.81818182,831.4545455,83.14545455,40697.09091,6303.272727,0.154934023,1249.597652,167.3362429,0.003348951,10808.43657,1945.518583,8467.75867,1100.808627,1538.231355,215.3523897,149.1109339,17.89331207,34440.81517,6199.346731,4.788646274,0.335205239,10.02079263,5.41122802,25.1006547,3.514091658,83.32372544,7.49913529,21.08188416,3.373101466,145.2111951,2.904223902,27.74345656,1.387172828,19.47346052,1.947346052
Bird Island,BI10,BI10.2,51,51.9,52.9,52.4,45.9,46.9,46.4,46.4,374.38,530.83,465.70,461.88,0.07845,24296.54545,57427.36364,1.319090909,10.18181818,1.018181818,201.4545455,20.14545455,13.90909091,1.390909091,34.81818182,3.481818182,1059.545455,105.9545455,61.54545455,6.154545455,235.4545455,23.54545455,125.0909091,12.50909091,3.272727273,0.327272727,31.63636364,3.163636364,301.6363636,30.16363636,927.1818182,92.71818182,45251.90909,6734.363636,0.148821988,298.8807302,161.2279583,0.003551217,2479.827204,446.3688967,6975.196896,906.7755965,301.0170716,42.14239002,55.70453095,6.684543714,26327.35852,4738.924534,17.04437568,1.193106298,9.672030755,5.222896608,30.70187991,4.298263187,154.2471074,13.88223967,5.28425398,0.845480637,110.8952002,2.217904004,6.355756988,0.317787849,15.13709242,1.513709242
Bird Island,BI10,BI10.2,54,55.3,56.3,55.8,49.3,50.3,49.8,49.8,429.77,571.57,506.63,505.22,0.03464,24361,56855.45455,1.398181818,6.090909091,0.609090909,175,17.5,8.454545455,0.845454546,33,3.3,848.8181818,84.88181818,34.90909091,3.490909091,242.6363636,24.26363636,129.4545455,12.94545455,13,1.3,28.27272727,2.827272727,142,14.2,922.1818182,92.21818182,45281,6665,0.147191486,466.7517541,176.81742,0.003572464,23399.21394,4211.858509,7326.374157,952.4286404,1904.013462,266.5618847,235.7531016,28.29037219,20544.92897,3698.087215,5.701846016,0.399129221,6.289145655,3.396138654,12.23274868,1.712584815,56.72463202,5.105216882,58.41930414,9.347088662,153.965778,3.07931556,31.40903404,1.570451702,22.36604891,2.236604891
Bird Island,BI10,BI10.2,62,64.4,65.4,64.9,58.4,59.4,58.9,58.9,552.39,1056.55,759.48,767.94,0.03764,22100.09091,54142.18182,1.27,25.81818182,2.581818182,270.9090909,27.09090909,65.45454545,6.545454545,53,5.3,2591.363636,259.1363636,73.27272727,7.327272727,197,19.7,131.8181818,13.18181818,495.4545455,49.54545455,137.6363636,13.76363636,578.8181818,57.88181818,860.4545455,86.04545455,39740.27273,6298.272727,0.158576434,1545.351746,213.911239,0.004789498,867.9986358,156.2397544,5816.665099,756.1664629,225.6496719,31.59095407,36.54824658,4.38578959,2355.109726,423.9197507,1.54911114,0.10843778,7.635178907,4.12299661,44.61646774,6.246305484,109.0593506,9.815341554,3.560602291,0.569696367,97.81476508,1.956295302,6.255310392,0.31276552,12.20914471,1.220914471
