ACE PB1 XRF-CS (cps) composite dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACE Core collection dates: November 2015 and March 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spatial coverage: Sub-Antarctic Islands of Marion Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Core location; Site; Latitude; Longitude; Basal age, cal years BP (mximum core depth, cm); Year CE collected",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Marion Island; 	PB1; 	-46.97518; 	37.80475; 	3910 (105); 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Column; Parameter ; Parameter description; Unit; Unit description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[a] Location ; Location ; NA;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[b] Site; Site name; NA;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[c] Section; Core ID and Section number; NA;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[d] ID; XRFCS spectra ID number; NA;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[e] section_depth; Section Depth (minimum depth - top measurement); cm;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[f] field_depth_top; Field depth (minimum depth - top measurement); cm;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[g] depth; Stratigraphic depth for import into R and for age-depth modelling; cm;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[h] depth_err; Stratigraphic depth error of min-max scan interval depth for import into R and for age-depth modelling; cm;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[i] SH20_min_age_95CI; Southern Hemisphere (ShCal20) radiocarbon calibration minimum age (95% confidence interval); cal a BP;calendar years Before Present ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[j] SH20_max_age_95CI; Southern Hemisphere (ShCal20) radiocarbon calibration maximum age (95% confidence interval); cal a BP;calendar years Before Present ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[k] SH20_median_age; Southern Hemisphere (ShCal20) radiocarbon calibration median age; cal a BP;calendar years Before Present ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[l] SH20_mean_age; Southern Hemisphere (ShCal20) radiocarbon calibration mean age; cal a BP;calendar years Before Present ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[m] accrate; Peat accumulation rate; cm a^-1;cm per year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[n] surface; Height of core samples surface above the detector; cm;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[o] validity; Spectra validity from Qspec (1 = Valid spectra); NA;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[p] qc; itrax.R quality control process (TRUE = valid spectra) ; NA;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[q] kcps; Internal total counts per second; NA;thousands of counts per second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[r] cps; Total counts per second for all Qspec spectra matched elements and scatter parameters (extra lines are excluded here); NA;counts per second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[s] MSE; Mean Square Error - goodness of fit measure for measured vs modelled spectra in Qspec (0 = perfect fit); NA;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[t-ax] XRF-CS elements; XRFCS  cps for each element turned on in Qspec spectra matching ; cps;counts per second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[ay] Mo_inc; Molydenum (Mo) X-ray Tube incoherent scatter counts; cps;counts per second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[az] Mo_coh; Molydenum (Mo) X-ray Tube coherent scatter counts; cps;counts per second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[ba] Fe a*2; Secondary iron peak counts ; cps;counts per second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[bb] Total_scatter_cps; Total scatter (incoherent+coherent scatter) counts; cps;counts per second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[bc] inc_coh; Incoherent/coherent ratio; NA;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[bd] coh_inc; Coherent/incoherent ratio; NA;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[be] spect_period; period of time elapsed between successive spectra measurements in the dataset; years;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[bf] spect_period_err; 95% confidence interval for the period of time elapsed between successive spectra measurements in the dataset; years;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[bg] spect_period_err_pc; spect_period_err expressed as a percentage of spect_period; %;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[a] Location,[b] Site,[c] Section,[d] ID,[e] section_depth,[f] field_depth_top,[g] depth,[h] depth_err,[i] SH20_min_age_95CI,[j] SH20_max_age_95CI,[k] SH20_median_age,[l] SH20_mean_age,[m] accrate,[n] surface,[o] validity,[p] qc,[q] kcps,[r] cps,[s] MSE,[t-ax] Mg,[t-ax] Al,[t-ax] Si,[t-ax] P,[t-ax] S,[t-ax] Cl,[t-ax] K,[t-ax] Ca,[t-ax] Ti,[t-ax] V,[t-ax] Cr,[t-ax] Mn,[t-ax] Fe,[t-ax] Co,[t-ax] Ni,[t-ax] Cu,[t-ax] Zn,[t-ax] As,[t-ax] Se,[t-ax] Br,[t-ax] Rb,[t-ax] Sr,[t-ax] Y,[t-ax] Zr,[t-ax] Sn,[t-ax] I,[t-ax] Cs,[t-ax] Ba,[t-ax] Pb,[t-ax] Th,[t-ax] U,[ay] Mo_inc,[az] Mo_coh,[ba] Fe a*2,[bb] Total_scatter,[bc] inc_coh,[bd] coh_inc,[be] spect_period,[bf] spect_period_err,[bg] spect_period_err_pc
Marion Island,PB1,PB1_1A,ACE_ITRAX_16113,5.1,5.1,5.1,0.05,-50.09,494.59,84.17,120.02,0.0208,6.07,1,TRUE,21028,48722,1.52,0,6,13,14,0,4,141,179,4,0,21,74,757,114,164,70,0,0,5,1179,153,71,0,847,0,0,0,0,274,139,0,38247,5362,0,43609,7.132972771,0.140194002,3.59,2.88,80.08
Marion Island,PB1,PB1_1A,ACE_ITRAX_16114,5.2,5.2,5.2,0.05,-47.37,497.62,88.06,123.61,0.0279,6.09,1,TRUE,20234,46486,1.3,0,17,6,9,9,0,74,102,13,0,11,61,561,30,137,154,0,0,5,1060,26,39,0,847,0,0,0,0,37,115,0,37076,5322,28,42398,6.966553927,0.143542993,3.59,2.88,80.08
Marion Island,PB1,PB1_1A,ACE_ITRAX_16115,5.3,5.3,5.3,0.05,-45.24,501.84,90.82,127.2,0.0279,6.11,1,TRUE,20329,46710,1.21,0,0,6,0,18,29,84,118,13,0,8,51,583,0,192,170,0,0,0,1023,108,0,0,829,0,0,0,0,76,116,0,37133,5339,0,42472,6.955047762,0.143780465,3.59,3.17,88.44
Marion Island,PB1,PB1_1A,ACE_ITRAX_16116,5.4,5.4,5.4,0.05,-42.83,503.36,94.32,130.8,0.0278,6.11,1,TRUE,20653,47454,1.36,0,20,0,9,26,8,62,99,0,0,19,31,674,55,176,71,0,0,0,1119,0,188,0,868,0,0,0,0,14,136,0,37564,5480,0,43044,6.854744526,0.145884357,3.6,1.97,54.58
