"Location","Site","Section","sample","min_depth","max_depth","midpoint","SH20_age","kcps","cps","MSE","K","Ca","Ti","Mn","Fe","Co","Ni","Cu","Zn","Rb","Sr","Zr","Mo_inc","Mo_coh","coh_inc","K_sd","Ca_sd","Ti_sd","Mn_sd","Fe_sd","Co_sd","Ni_sd","Cu_sd","Zn_sd","Rb_sd","Sr_sd","Zr_sd","Mo_inc_sd","Mo_coh_sd","coh_inc_sd","water_content_pc","water_content_err","dry_mass_pc","dry_mass_err","density_gcm3","density_gcm3_err","P_ICP","P_ICP_sd","K_ICP","K_ICP_sd","Ca_ICP","Ca_ICP_sd","Ti_ICP","Ti_ICP_sd","Mn_ICP","Mn_ICP_sd","Fe_ICP","Fe_ICP_sd","Co_ICP","Co_ICP_sd","Ni_ICP","Ni_ICP_sd","Cu_ICP","Cu_ICP_sd","Zn_ICP","Zn_ICP_sd","As_ICP","As_ICP_sd","Rb_ICP","Rb_ICP_sd","Sr_ICP","Sr_ICP_sd","Zr_ICP","Zr_ICP_sd","Pb_ICP","Pb_ICP_sd","Th_ICP","Th_ICP_sd"
"Kerguelen","KER1","CAT1-S1-1A",1,0,1.4,0.7,-43.6,21128.75,48795.75,1.3875,0.00114087654462153,0.00428825345056453,0.000776591907852713,0.0206601854916273,0.0579766911170927,0.00213439742297463,0.00513788375034457,0.00175798779379814,0.00125418441159089,0.00333784222607096,0.0132368244511816,0.0170709697052641,1,0.153299753757847,0.15329975375,0.000326051473096419,0.00149465707733334,0.000442005590350538,0.0132078671059336,0.0217325304019975,0.0015513637602532,0.00066296561125982,0.00166322522461988,0.000798864457155401,0.00270414403928797,0.0041964539235627,0.00512028085771119,0,0.00223801407621166,0.00223801385347654,74.05292232,3.702646116,25.94707768,2.594707768,0.204293297,0.02042933,2041.721942,46.94130895,6749.372655,1924.888147,20764.4876,191.5470843,8034.582758,86.27648623,614.0518172,4.3370591,32678.58936,69.15812421,16.33205694,0.063835773,26.27212126,0.174368454,24.69368632,0.086063133,74.45665889,0.998541864,3.20283705,0.054562539,4.612179656,0.039321744,138.036883,6.40274082,93.81158408,8.921202081,1.578894472,0.016029645,0.834903047,0.005683436
"Kerguelen","KER1","CAT1-S1-1A",3,3.1,4.7,3.9,3.97058823529412,14967.4117647059,49334,1.34235294117647,0.00246865981622709,0.0192440153769128,0.0178473634970491,0.00826563730909536,1.03923653159656,0.0133712697928714,0.00735845776514169,0.00446789366632985,0.000867894478832878,0.00418944293279189,0.0366803998876221,0.0281976872741856,1,0.20387580165563,0.203875801529412,0.00200984282131423,0.0104929264690092,0.00967443830080077,0.00473254319988165,0.317761356003309,0.00322339542596456,0.0017034061739571,0.00160952030738384,0.00110746853429197,0.00207383539354596,0.00920917911845042,0.00552506046872621,0,0.0122903658319638,0.0122903659962809,67.63722506,3.381861253,32.36277494,3.236277494,0.324199705,0.03241997,2470.033093,34.02759777,8470.459825,2421.09846,24349.44729,711.6515767,10205.77283,252.6865249,553.5802331,15.06148595,48738.7654,1007.282625,18.68861595,0.079848366,39.93389191,0.141991361,26.74331214,0.313205083,81.89432683,1.376284175,6.559985032,0.051370996,6.928285046,0.072325223,172.0332159,8.636659734,130.2830932,7.874920915,2.111394546,0.024201811,1.145028767,0.007781087
"Kerguelen","KER1","CAT1-S1-1A",5,6.4,7.8,7.1,59.76,17856.5333333333,63331.2666666667,1.37933333333333,0.00515249723312242,0.0263320615537237,0.0256870134689733,0.00756579801600833,1.42615643072949,0.0110439016235802,0.0083811104377823,0.0040339369866176,0.00108657368687104,0.00426174538452519,0.0368073180032945,0.0270926374040192,1,0.201586507426897,0.201586507466667,0.00256115031625131,0.0172051943130724,0.0161175316475147,0.00405825154715457,0.466889048504849,0.00363519163059225,0.00177855532128104,0.0020206439844944,0.00112571307293286,0.00326481017370685,0.018062795606926,0.00617126585398864,0,0.0220913685473882,0.0220913685909312,41.40335573,2.070167786,58.59664427,5.859664427,0.963326181,0.096332618,1625.983285,4.532085741,7270.581826,2083.787413,18719.29689,285.4615205,11837.89698,130.380681,433.6021987,7.251617097,40886.55616,685.9688045,15.75984242,0.167762212,28.84382633,0.280654365,26.49605516,0.302346615,74.54857758,0.647526893,4.320499499,0.084280295,8.457485532,0.069317299,154.8814977,4.521959852,132.8980564,7.845461046,1.904048371,0.015679958,1.21611583,0.015233425
"Kerguelen","KER1","CAT1-S1-1A",7,9.3,10.6,9.9,108.485714285714,21546.3571428571,63213.7142857143,1.38142857142857,0.00151940996370105,0.00715285310504335,0.00561408792778829,0.00217056903480565,0.564731041389849,0.00592758263530603,0.00659000009071861,0.00297173874858145,0.000145623379551167,0.00163182201640083,0.00914018555240717,0.0222079586291958,1,0.159645524915693,0.159645525071429,0.00131631104255287,0.00295837351486172,0.00234857997194002,0.00084116434736965,0.223576236701102,0.00292237739969814,0.000594366145685227,0.0015095390658685,0.000206490445299288,0.0015199018446613,0.00227000704335036,0.00290066951621562,0,0.00631906648979654,0.00631906653232497,82.51226355,4.125613177,17.48773645,1.748773645,0.172242166,0.017224217,1606.982719,27.67398683,2638.458059,863.5155109,7892.84278,163.3355729,3166.073488,44.73377847,145.6542648,1.71335692,18707.63044,91.41985794,5.990333136,0.045056322,14.90398608,0.05400101,12.73383553,0.0819318,27.27598299,0.458474537,4.084353792,0.116059134,2.597921886,0.063207346,65.34606485,2.211412383,43.42615035,1.823579953,0.723868771,0.025206261,0.684732429,0.000968503
"Kerguelen","KER1","CAT1-S1-1A",8,10.7,12,11.4,130.207142857143,18073.1428571429,50747.7142857143,1.39357142857143,0.00438182013314665,0.0192151267350612,0.0171801465332367,0.00408059461824014,0.486752658920329,0.00538694427056097,0.00730489195775422,0.00440735149979769,0.000341320692689214,0.00250715052948605,0.0254039474173694,0.0246070072474863,1,0.185652934753216,0.185652934857143,0.00491393033053836,0.0131247344121109,0.0122242432457428,0.00222543844128312,0.200492088212665,0.00309910047169715,0.000995218491775281,0.00175580532440862,0.000486048968364885,0.00263013820846716,0.0138683631832968,0.00469336951375849,0,0.0201604584100496,0.0201604584524328,71.80119564,3.590059782,28.19880436,2.819880436,0.313169166,0.031316917,1732.985617,17.56871755,7029.037339,1907.985918,23057.20465,434.2114875,9442.994519,253.226675,372.8583737,8.19883524,35630.07615,399.9479647,14.56260068,0.081466026,31.14535059,0.089369364,25.82156005,0.18436126,65.36111894,0.643115219,3.719253835,0.057860348,4.555799076,0.017626227,143.4502871,5.236474934,114.5251759,6.949966381,1.879720325,0.033823532,0.845985799,0.005878393
"Kerguelen","KER1","CAT1-S1-1A",9,12.1,13.6,12.8,153.175,20860.6875,54932.3125,1.32875,0.00161418506198432,0.0103492260048917,0.00977539758204205,0.00224580723809251,0.276330438234369,0.00228989305403596,0.00643744447362932,0.00349259907928853,0.000477760241468487,0.00190188239476347,0.0118043374945414,0.0240124997361268,1,0.16004213391113,0.1600421338125,0.00235011661030621,0.0139253651255101,0.0113121278814973,0.00157067994161855,0.219079926714402,0.00199198254761464,0.00100410474256876,0.00117479693529841,0.00124193985879382,0.00205449493491221,0.0104874471982868,0.0032512208697682,0,0.0133615973076326,0.0133615973286676,80.8570446,4.04285223,19.1429554,1.91429554,0.183332976,0.018333298,1544.341058,19.77568712,3048.627916,1029.760485,8068.846686,203.0553031,3112.020149,70.38593935,137.6502423,3.767816255,13008.32214,299.9003674,5.221829427,0.034339306,13.60485991,0.037998077,19.18499137,0.141255927,28.74841778,0.45941447,2.507339154,0.040575593,4.22647584,0.084413495,73.24363877,2.496659877,41.3224873,1.733822103,0.701594692,0.00189081,0.759972104,0.007226092
"Kerguelen","KER1","CAT1-S1-1A",11,15.1,16.5,15.8,212.526666666667,21094.1333333333,53044.6,1.298,0.000536924041443441,0.00404138351281711,0.00378304972510089,0.00119666390353664,0.13027522169526,0.00228690098176482,0.00562377656321839,0.00274158611221743,0.000280531981668493,0.00222746632862634,0.00800656147824556,0.0233006503184156,1,0.157802914298179,0.157802914266667,0.000230851269316475,0.000998839747651216,0.00159474167182283,0.000501573671363452,0.0232624996877877,0.00128973045423512,0.000707141008678763,0.00133687582166356,0.000492295694169996,0.00188114540799969,0.00313763797160863,0.00286612899524664,0,0.0043095716994432,0.00430957165735743,80.22968919,4.01148446,19.77031081,1.977031081,0.228079577,0.022807958,1195.644073,10.13885337,2675.023484,971.5768425,7023.833905,194.9295095,3257.609478,97.329283,116.7959682,2.858430699,9929.222192,271.9387073,4.215243411,0.073672112,10.86332373,0.083331033,10.81206248,0.068603587,28.98839799,0.171941507,1.591513383,0.032977868,2.954910964,0.027519532,66.66000584,1.215205903,46.13258291,1.848216072,0.965531788,0.01952173,0.66100582,0.004545605
"Kerguelen","KER1","CAT1-S1-1A",13,18,19.4,18.7,308.48,23650.5333333333,61225.3333333333,1.33533333333333,0.000263402678015692,0.00388206495099814,0.00203167310111019,0.00110617755274473,0.200572546895503,0.00220127425945473,0.00575601338282412,0.00277627084995093,0.000137391741673552,0.00100149184427301,0.00300183319393915,0.0221904064467966,1,0.150175610912022,0.1501756108,0.000192942543685096,0.00199923274224251,0.00100250831168365,0.000443091808624675,0.097608152176003,0.00145878264570982,0.000892605634502498,0.00105234690300156,0.000239542102854253,0.00124898166459729,0.00212663731546326,0.00265306853485306,0,0.00429598403091618,0.00429598407288064,84.03655899,4.201827949,15.96344101,1.596344101,0.160195085,0.016019508,982.6393251,33.61844003,458.1692768,273.1267857,1842.298409,30.56479527,338.8842864,6.962616026,22.55582026,0.666533592,4020.387316,67.74261464,1.572869736,0.017783884,7.487431173,0.034151641,3.298222114,0.016411823,11.6740324,0.10489905,2.025278681,0.098573745,0.811121884,0.025344872,28.31046928,0.190321941,11.60409855,0.079953569,0.393167393,0.00299171,0.214132522,0.001869461
"Kerguelen","KER1","CAT1-S1-1A",17,24,25.5,24.7,466.2125,21313.25,55199.625,1.315625,0.000601772114345211,0.00606185255673931,0.00790203388402626,0.0019037537768625,0.241380649084707,0.00499781165918493,0.00601346150643778,0.00297944869228983,6.42631796490204e-05,0.0016009257065489,0.0136937387182752,0.0248192572052141,1,0.160899842569679,0.160899842625,0.000447138161931743,0.00194421566534165,0.00302313862756182,0.00050042735236623,0.0264484314399348,0.00185832997281354,0.000778311294669694,0.00127516029008409,5.16242560087561e-05,0.00147241345152382,0.00451402147815299,0.00206582064107997,0,0.0051395298813883,0.00513952988573625,68.34743292,3.417371646,31.65256708,3.165256708,0.314377289,0.031437729,1656.226334,6.054527797,5071.624524,1576.918734,15295.91562,236.5896523,6877.170886,109.8412701,213.3189091,2.983821266,18207.37633,174.7467358,6.986589224,0.042150715,16.48989021,0.0599718,22.07333655,0.101494601,44.32511103,0.350471561,2.226330413,0.015443008,3.976518253,0.100787663,114.3906738,3.793152987,97.8771987,4.502392108,1.360214265,0.002755716,0.998413767,0.012461864
"Kerguelen","KER1","CAT1-S1-1A",20,28.6,30,29.3,587.28,22599.8,56713.0666666667,1.3,0.000207145064787726,0.00296045237067083,0.00256110901762678,0.00102486821643884,0.166585397393274,0.00241765032786811,0.00590820727166801,0.00315387503535545,0.00010904449033319,0.000726674413437089,0.0049588117203072,0.0227976598313509,1,0.154267967038135,0.154267967,0.0001911012096465,0.000713233599352307,0.000821468965692217,0.00032598786466037,0.0266575457807686,0.00157593338309512,0.000845403448488562,0.0010906790867041,0.000246558435344876,0.00124833573111672,0.00287254624171592,0.00285334318020319,0,0.00427609604894762,0.00427609609282431,81.83306385,4.091653193,18.16693615,1.816693615,0.190035975,0.019003598,1984.35608,27.9378454,2197.636489,660.9589888,5707.668952,140.4932862,2119.195067,42.49584384,70.00844714,1.304675757,11359.78762,111.3855993,5.66932153,0.032214672,15.34618164,0.095693995,18.88934963,0.052728105,29.368275,0.129787204,4.466479343,0.067868015,3.67902566,0.046467408,64.93648567,2.106412572,51.11187666,2.214402619,0.612052096,0.010945345,1.260110739,0.004130806
