"Location","Site","Section","sample","min_depth","max_depth","midpoint","Sr","Sr_sd","Sr_ICP","Sr_ICP_sd","Sr_fit_OLS","Sr_lwr_OLS","Sr_upr_OLS","Sr_fit_WLS","Sr_lwr_WLS","Sr_upr_WLS"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,-7.14531261316221,-6.71350059661726,3.28047752852584,-0.76892883376751,3.86117358551783,3.22620437370626,4.49614279732941,3.84455735276069,3.15527244022118,4.53384226530019
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,-9.18863245308603,-8.87372333501462,3.22105825962403,-1.67688267393337,3.03364559071222,2.38355392731844,3.68373725410599,3.00396873490899,2.2575742131464,3.75036325667158
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,-8.17678378207948,-7.51504849222709,3.83739375220028,-0.65563963789172,3.44343611170867,2.80186184945905,4.08501037395829,3.42022685525699,2.70284916742206,4.13760454309192
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,-5.10346956634338,-6.53714533374295,4.80370016784794,-0.174803375279016,4.68810349107035,4.05978650097728,5.31642048116342,4.68453844189822,4.04567660951584,5.3234002742806
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,-4.69940871280571,-5.852392058504,5.01434956763412,0.953145772105413,4.85174486594191,4.22371270910248,5.47977702278134,4.8507625188963,4.22094930552141,5.4805757322712
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,-5.61110495434336,-6.01535472015131,4.97818920065822,0.87431295469437,4.48251526816166,3.85335470802759,5.11167582829573,4.47570548249847,3.82501581843197,5.12639514656497
"Bird Island","BI10","BI10.2",45,44,45,44.5,-4.7510250936801,-6.26966517650603,5.11122645283105,0.959546236605112,4.83084064951454,4.20279122566208,5.458890073367,4.82952837756906,4.19857788662997,5.46047886850815
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,-5.01034336655924,-6.10874626831427,4.70858561298687,0.727265684166521,4.72581884814049,4.09759792802324,5.35403976825774,4.72284904899596,4.08610208639198,5.35959601159994
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,-5.76461657956939,-6.15790508199093,5.03673035693971,0.667493795763234,4.42034430259839,3.79082239923197,5.04986620596482,4.41255329146521,3.7581898106274,5.06691677230302
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,-4.22359937002681,-5.37698938688399,4.58307553783376,0.164149271467765,5.04444379816306,4.41630697252796,5.67258062379815,5.04650275984769,4.42690816682111,5.66609735287428
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,-4.56137621890712,-6.22369518702921,5.12420449095423,0.670393547395899,4.90764690861878,4.27963340518818,5.53566041204939,4.90754684653694,4.28074761873554,5.53434607433834
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,-4.62828626682757,-5.95703649532609,4.74493052053587,0.424757633429026,4.88054888083767,4.25253133871096,5.50856642296438,4.88002113881223,4.25176589574427,5.50827638188019
"Bird Island","BI10","BI10.2",81,86.5,87.5,87,-4.64514625219977,-5.98435612267026,5.34661758690507,0.966617242496849,4.87372072324095,4.24570067847722,5.50174076800467,4.87308521447767,4.24446160170452,5.50170882725082
"Bird Island","BI10","BI10.3",88,84.8,85.8,85.3,-4.66678470493162,-6.20523897950361,4.87490594640391,-0.340358866591808,4.86495732504453,4.2369331924921,5.49298145759696,4.86418350622871,4.23508624857509,5.49328076388232
"Bird Island","BI10","BI10.3",95,93,94,93.5,-4.03931769760471,-4.70518100993258,4.78638501391686,0.72780538107135,5.11907638376188,4.49077117330063,5.74738159422313,5.1223132488813,4.50654470654548,5.73808179121712
"Bird Island","BI10","BI10.3",98,96.3,97.3,96.8,-3.95739899655976,-5.48830377176127,4.7221214785087,-0.0696101644730695,5.15225279456565,4.52384983221843,5.78065575691287,5.15601327290208,4.54192132781831,5.77010521798586
"Bird Island","BI10","BI10.3",104,103.2,104.2,103.7,-4.37409423949972,-5.75844696169254,4.84528705056754,-1.11894466459632,4.98349459425962,4.35544234296747,5.61154684555177,4.98459161316753,4.36181732494537,5.6073659013897
"Bird Island","BI10","BI10.3",114,114.9,115.9,115.4,-5.26239047602626,-6.19806038657047,4.54763367627891,0.390914586845132,4.62374180908939,3.99521882594371,5.25226479223507,4.61916095903531,3.97665023736406,5.26167168070656
"Bird Island","BI10","BI10.3",120,121.8,122.7,122.3,-5.72465348496619,-6.6248489024658,4.51904296521713,-0.901140281741689,4.43652903241751,3.80710593655898,5.06595212827605,4.42899345996024,3.77559060982821,5.08239631009227
"Bird Island","BI10","BI10.4",135,129.4,130.4,129.9,-4.99523828934966,-6.02165071977948,4.61311637523697,0.0252757264488745,4.73193628213707,4.10372922758494,5.3601433366892,4.72906303259562,4.09265746044112,5.36546860475011
"Bird Island","BI10","BI10.4",145,141,142,141.5,-4.71022365563952,-6.18801117981943,4.51362383871107,-0.357031769021802,4.84736490163954,4.21932959082163,5.47540021245744,4.84631342694741,4.2162623831929,5.47636447070193
"Bird Island","BI10","BI10.4",155,152.7,153.8,153.2,-5.2838773461566,-6.07507434330064,4.79591699049481,0.039170546510341,4.61503980061955,3.98648489918056,5.24359470205854,4.61032160940833,3.96731372242844,5.25332949638822
"Bird Island","BI10","BI10.4",165,164.8,165.8,165.3,-4.75102725966474,-6.38770489804082,4.44731158954328,0.457205785071871,4.8308397723083,4.20279034761372,5.45888919700287,4.82952748651813,4.1985769477394,5.46047802529686
"Bird Island","BI10","BI10.4",168,168.4,170,169.2,-4.91619530682944,-5.96904778045982,4.79753296389401,0.348786965272573,4.76394805021683,4.1358057345871,5.39209036584655,4.76158003268995,4.12695339175507,5.39620667362482
"Bird Island","BI10","BI10.5",181,174.6,175.6,175.1,-4.83141147279923,-5.84638342849273,4.5572450961939,0.250544180160415,4.79828481668681,4.17019734682425,5.42637228654938,4.79645872591806,4.16372608950566,5.42919136233046
"Bird Island","BI10","BI10.5",191,186.6,187.6,187.1,-4.50117474366126,-6.14419631864108,4.78042419724919,1.08433708201752,4.93202801877156,4.30401010335427,5.56004593418886,4.93231275634743,4.30681548387575,5.55781002881912
"Bird Island","BI10","BI10.5",194,190.3,191.3,190.8,-5.16003735069749,-6.17758879329412,4.80019144329258,0.864790502392804,4.66519399631455,4.0368097593839,5.2935782332452,4.66126737354363,4.02111244959204,5.30142229749523
"Bird Island","BI10","BI10.5",197,194,195,194.5,-4.92995734036352,-5.93679328001145,4.77825533569965,0.0968592974835245,4.7583745380371,4.13022189473269,5.3865271813415,4.75591855545999,4.12098309868561,5.39085401223437
"Bird Island","BI10","BI10.5",202,199.9,200.8,200.3,-4.64873791884697,-6.48993622263796,4.45197816032173,0.280656910686872,4.87226612732282,4.24424547219431,5.50028678245134,4.87160766111389,4.24290549798881,5.50030982423897
"Bird Island","BI10","BI10.6",218,209.5,210.5,210,-4.63619067653885,-5.70020961398362,4.71158837101642,0.314048937333415,4.8773476588896,4.24932901788668,5.50536629989251,4.87676939295027,4.24834152250801,5.50519726339252
"Bird Island","BI10","BI10.6",228,221.4,222.4,221.9,-4.64413630960968,-6.21817300941835,4.91382516980409,0.884159888396573,4.8741297418146,4.2461098637935,5.5021496198357,4.87350068846726,4.24489915844508,5.50210221848945
"Bird Island","BI10","BI10.6",239,234.2,235.2,234.7,-4.5088462439635,-5.98278489089563,4.76039101129108,0.30591569744853,4.92892112324879,4.30090419375371,5.55693805274386,4.92915682563609,4.30349407148952,5.55481957978266
"Bird Island","BI10","BI10.6",247,243.9,245,244.5,-5.28206168305712,-6.57851928036604,4.55468304015441,-0.35790029437403,4.61577512947732,3.98722296262558,5.24432729632907,4.61106854373817,3.96810270270165,5.25403438477469
"Bird Island","BI10","BI10.7",259,250.7,251.7,251.2,-4.86019941163718,-6.14080390888076,4.6180169814012,-0.208428346711881,4.78662593449143,4.15852153612584,5.41473033285703,4.78461583512545,4.15124174633573,5.41798992391517
"Bird Island","BI10","BI10.7",271,265,266,265.5,-5.2177093749042,-6.24706448082141,4.78497007688671,0.600669744396141,4.6418372933571,4.01337758195851,5.2702970047557,4.63754203883615,3.99606225292272,5.27902182474958
"Bird Island","BI10","BI10.7",280,275.9,276.9,276.4,-4.88580231130227,-5.86543918209985,4.60353110603016,0.287930675297533,4.77625696737865,4.14813604990896,5.40437788484835,4.77408321775348,4.14013722069391,5.40802921481305
"Bird Island","BI10","BI10.8",300,289.7,290.8,290.3,-4.74454510749841,-5.87393969170047,4.70471429278773,0.227197873431854,4.83346499146362,4.20541804281406,5.46151194011318,4.83219413871019,4.20138672635989,5.46300155106048
"Bird Island","BI10","BI10.8",303,293.4,294.4,293.9,-4.62161410980006,-6.14623961255331,4.55442858181256,-1.78282650918646,4.88325105042371,4.25523433360858,5.51126776723885,4.88276595592028,4.25465632664632,5.51087558519424
"Bird Island","BI10","BI10.8",311,303.1,304,303.6,-4.08867627262037,-6.09394471978052,4.69965995389204,-0.0403277625063534,5.0990865604307,4.47083344559605,5.72733967526535,5.1020079322388,4.48522196553422,5.71879389894339
"Bird Island","BI10","BI10.8",318,311.7,312.8,312.2,-4.43220354414176,-5.96829645128029,4.53250398956068,-0.269873776303446,4.95996079626558,4.3319284591017,5.58799313342947,4.96068638838628,4.3366712643513,5.58470151242126
"Bird Island","BI10","BI10.8",326,321.7,322.8,322.2,-4.53467383050846,-5.46208967329404,4.00686912375442,-0.100802093292027,4.91846115976846,4.29044663989416,5.54647567964277,4.91853177572854,4.29231097784062,5.54475257361647
"Bird Island","BI10","BI10.9",342,332.1,333.1,332.6,-4.17304156789586,-5.92417477109219,3.98120094013651,-0.668511562764478,5.06491929876837,4.43674337869303,5.69309521884371,5.06730141906125,4.44876395318205,5.68583888494045
"Bird Island","BI10","BI10.9",348,339.5,340.5,340,-4.40917184078114,-6.03651275273776,4.83863377723039,-0.0949163771547678,4.9692884496885,4.34124906885988,5.59732783051711,4.97016125733063,4.34663880700116,5.5936837076601
"Bird Island","BI10","BI10.9",361,355.7,356.7,356.2,-4.05405707751701,-5.95718755085103,5.0275703373299,0.270360653346096,5.11310705421044,4.48481793627834,5.74139617214253,5.11624970721426,4.50017791012071,5.73232150430781
"Bird Island","BI10","BI10.9",365,360.7,361.7,361.2,-3.69699444989915,-4.92959001409509,4.92796820808576,1.33525561959417,5.25771452802797,4.6289073164123,5.88652173964365,5.26313947687801,4.6542764691586,5.87200248459742
"Bird Island","BI10","BI10.9",372,369.1,371,370.1,-4.08595040270555,-6.08360161305509,5.15122272117239,0.754487377820605,5.1001905156807,4.47193465730671,5.72844637405468,5.10312931087928,4.48639967338747,5.71985894837108
"Bird Island","BI10","BI10.10",379,367.3,368.4,367.9,-3.91386241039485,-5.35793280900178,4.96127239704665,0.658357125488896,5.16988475954039,4.54142411339197,5.79834540568881,5.17392351782571,4.56071649530618,5.78713054034524
"Bird Island","BI10","BI10.10",386,375.7,376.6,376.1,-3.91792092640917,-5.83319233571919,4.8652129416843,-0.00387427030245468,5.16824109340766,4.53978599270895,5.79669619410637,5.17225391020954,4.55896457483715,5.78554324558193
"Bird Island","BI10","BI10.10",390,380.5,381.5,381,-4.18590283783363,-6.18753118470318,5.03272069818746,0.773787973652428,5.0597105885536,4.43154512301345,5.68787605409374,5.06201050135489,4.4432046470452,5.68081635566458
"Bird Island","BI10","BI10.10",392,382.9,384,383.4,-4.1224195020256,-5.92631680766657,4.90990425474619,0.99908755536352,5.08542082566789,4.45720038034595,5.71364127098983,5.08812651533412,4.47064189387467,5.70561113679357
"Bird Island","BI10","BI10.10",396,387.7,388.8,388.2,-4.96388924171423,-6.16786177465044,5.02211114919423,0.281675358462114,4.74463239266364,4.11645258488375,5.37281220044353,4.7419595219792,4.10626100131393,5.37765804264446
"Bird Island","BI10","BI10.10",403,396.3,397.4,396.8,-4.67048038790745,-5.69387159112233,4.79952697956569,0.340195707320899,4.86346060335531,4.23543567420294,5.49148553250769,4.86266316223558,4.23348491182545,5.4918414126457
