"Location","Site","Section","sample","min_depth","max_depth","midpoint","Ca","Ca_sd","Ca_ICP","Ca_ICP_sd","Ca_fit_OLS","Ca_lwr_OLS","Ca_upr_OLS","Ca_fit_WLS","Ca_lwr_WLS","Ca_upr_WLS"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,-0.367119166765369,-0.0183559583382684,3.75055675790579,0.18752783789529,3.4459862466813,2.70764604415652,4.18432644920608,3.4492091877531,2.67069192695194,4.22772644855426
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,0.24559465473509,0.0122797327367545,3.9830418315909,0.199152091579545,3.96924203759105,3.24010974951923,4.69837432566287,3.97059453461955,3.22438138795346,4.71680768128563
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,0.150036138459512,0.00750180692297558,3.9624248452894,0.19812124226447,3.88763534739188,3.15755957830588,4.61771111647787,3.88927955786192,3.13847336926584,4.640085746458
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,0.242190121422224,0.0121095060711112,3.50943405318882,0.175471702659441,3.96633457621383,3.23717183385242,4.69549731857523,3.96769746633096,3.22132362199934,4.71407131066258
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,0.464916993300126,0.0232458496650063,3.7116610766011,0.185583053830055,4.15654266588271,3.42887852028968,4.88420681147574,4.15722563311225,3.42089754415821,4.89355372206628
"Bird Island","BI10","BI10.2",45,44,45,44.5,0.356480513895764,0.0178240256947882,3.48283613644894,0.174141806822447,4.06393823326971,3.33566988685953,4.79220657967989,4.06495222676282,3.32385261460515,4.8060518389205
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,0.941723575239186,0.0470861787619593,3.98659343205281,0.19932967160264,4.5637340762748,3.8358929150901,5.2915752374595,4.56296148627729,3.84481663138823,5.28110634116634
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,0.919477845263982,0.0459738922631991,3.51773766033408,0.175886883016704,4.54473628868771,3.81700609798083,5.27246647939459,4.54403160868612,3.82514286311224,5.26292035426001
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,0.304132858644478,0.0152066429322239,4.42985645706653,0.221492822853327,4.01923349055033,3.29058825012652,4.74787873097415,4.02040728680374,3.27692287132751,4.76389170227998
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,0.929554967155958,0.0464777483577979,3.87476327326735,0.193738163663367,4.55334212097131,3.82556290506555,5.28112133687708,4.55260667833315,3.83405620487196,5.27115715179434
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,0.707439889594891,0.0353719944797446,4.16973952522908,0.208486976261454,4.36365650183907,3.63647970291045,5.0908333007677,4.36359911445146,3.63710036563854,5.09009786326437
"Bird Island","BI10","BI10.2",81,86.5,87.5,87,0.526781732024774,0.0263390866012387,3.89971214127583,0.194985607063792,4.20937496973301,3.48194867966843,4.9368012597976,4.20986908120644,3.47616002967248,4.9435781327404
"Bird Island","BI10","BI10.3",88,84.8,85.8,85.3,0.877684198012673,0.0438842099006336,4.20240885755624,0.210120442877812,4.50904463757735,3.78149578080895,5.23659349434575,4.50846754189949,3.7881530083913,5.22878207540767
"Bird Island","BI10","BI10.3",95,93,94,93.5,0.579671499460837,0.0289835749730418,4.0081103095961,0.200405515479805,4.2545426746544,3.52725810129446,4.98182724801435,4.25487532845055,3.52334514020688,4.98640551669423
"Bird Island","BI10","BI10.3",98,96.3,97.3,96.8,0.289344173373246,0.0144672086686623,4.18786821284582,0.209393410642291,4.00660399707952,3.27784224457981,4.73536574957924,4.00782293905563,3.26365530057575,4.7519905775355
"Bird Island","BI10","BI10.3",104,103.2,104.2,103.7,0.658347105120169,0.0329173552560085,4.58138536304094,0.229069268152047,4.32173140913368,3.59455246154588,5.04891035672148,4.32182388829562,3.59343102158007,5.05021675501116
"Bird Island","BI10","BI10.3",114,114.9,115.9,115.4,0.772564119821458,0.0386282059910729,4.19226936872369,0.209613468436184,4.41927240178914,3.6920228397738,5.14652196380448,4.41901620832889,3.69495398510061,5.14307843155716
"Bird Island","BI10","BI10.3",120,121.8,122.7,122.3,0.691462704020445,0.0345731352010223,4.45185001569152,0.222592500784576,4.35001203262538,3.62283991315534,5.07718415209541,4.35000341911969,3.62289362378713,5.07711321445226
"Bird Island","BI10","BI10.4",135,129.4,130.4,129.9,0.449853858886966,0.0224926929443483,4.13601397631452,0.206800698815726,4.14367879365663,3.41594497450454,4.87141261280872,4.14440774442537,3.40743054726874,4.88138494158201
"Bird Island","BI10","BI10.4",145,141,142,141.5,0.485578614443872,0.0242789307221936,3.81028239510249,0.190514119755125,4.17418762921417,3.44661156377465,4.90176369465368,4.17480752228928,3.43936254238793,4.91025250219062
"Bird Island","BI10","BI10.4",155,152.7,153.8,153.2,0.165765715834111,0.00828828579170554,3.70910422686904,0.185455211343452,3.90106835993543,3.17116052756106,4.63097619230979,3.90266455240217,3.15262612662653,4.65270297817781
"Bird Island","BI10","BI10.4",165,164.8,165.8,165.3,0.635049434221631,0.0317524717110816,3.73351632996399,0.186675816498199,4.30183526711012,3.57463815502181,5.02903237919843,4.3019988675496,3.57268998535389,5.03130774974532
