"Location","Site","Section","sample","min_depth","max_depth","depth","SH20_age","kcps","cps","MSE","K","Ca","Ti","Mn","Fe","Co","Ni","Cu","Zn","Rb","Sr","Zr","Mo_inc","Mo_coh","coh_inc","K_sd","Ca_sd","Ti_sd","Mn_sd","Fe_sd","Co_sd","Ni_sd","Cu_sd","Zn_sd","Rb_sd","Sr_sd","Zr_sd","Mo_inc_sd","Mo_coh_sd","coh_inc_sd","K_ICP","Ca_ICP","Ti_ICP","Mn_ICP","Fe_ICP","Co_ICP","Ni_ICP","Cu_ICP","Zn_ICP","Rb_ICP","Sr_ICP","Zr_ICP","dry_mass_pc","K_ICP_sd_5pc","Ca_ICP_sd_5pc","Ti_ICP_sd_5pc","Mn_ICP_sd_5pc","Fe_ICP_sd_5pc","Co_ICP_sd_5pc","Ni_ICP_sd_5pc","Cu_ICP_sd_5pc","Zn_ICP_sd_5pc","Rb_ICP_sd_5pc","Sr_ICP_sd_5pc","Zr_ICP_sd","dry_mass_err","K_ICP_sd","Ca_ICP_sd","Ti_ICP_sd","Mn_ICP_sd","Fe_ICP_sd","Co_ICP_sd","Ni_ICP_sd","Cu_ICP_sd","Zn_ICP_sd","Rb_ICP_sd","Sr_ICP_sd"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,-55.49090909,20689.81818,52220.36364,1.329090909,8.636363636,42,15.27272727,16.36363636,5450.545455,68.90909091,172.7272727,88,8,26.18181818,28.72727273,792.3636364,38213.72727,5590.272727,0.146376585,9.831304362,15.8113883,17.90581419,11.56955252,835.9219298,58.91087259,26.46163604,47.18262392,18.15488915,39.54950867,47.40272336,126.0430662,1611.558568,191.8406062,0.003886984,1782.206118,1557.061769,134.9563972,34.34524027,13959.03161,0.738789575,2.467420581,4.369649931,22.90793616,2.288761162,26.58846642,2.896325963,12.51434728,520.9093274,23.70865277,2.246361623,0.178633186,176.5369365,0.008034972,0.015066934,0.022750235,0.057813095,0.010158086,0.463509298,0.085387528,1.251434728,320.79710124,202.41802997,18.893895608,4.1214288324,2512.6256898,0.05171527025,1.33240711374,0.61175099034,2.0617142544,0.36620178592,0.5317693284
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,5.216666667,24515.91667,60507.16667,1.321666667,10.41666667,43.08333333,12.83333333,35.66666667,5083.583333,81.58333333,238.75,98.91666667,0.181818182,56.5,2.083333333,898.5,45226.25,6602.416667,0.145989152,8.979353422,12.12404323,12.82634599,18.95608961,710.0685573,41.30476163,34.79322034,46.75557008,0.603022689,72.09148229,7.216878365,114.7443799,654.3573009,185.3877795,0.003613515,1331.46149,1397.543318,79.78694045,28.06949723,9355.988249,0.761205508,2.98969441,3.255429522,12.50967591,1.525038372,25.05462045,2.113253146,10.48614151,522.7119355,16.95048652,0.954822132,0.234649235,27.23893955,0.003005595,0.02200764,0.010150183,0.167196198,0.011740776,0.186955871,0.03629458,1.048614151,239.6630682,181.68063134,11.170171663,3.3683396676,1684.07788482,0.05328438556,1.6144349814,0.45576013308,1.1258708319,0.24400613952,0.501092409
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,132.0833333,21782.66667,52798.33333,1.291666667,9.833333333,56.5,12.5,12.91666667,1170,33.08333333,191.9166667,71.25,4.333333333,28.58333333,10.25,921.5,42093.83333,6060.5,0.143955505,8.558178792,15.82001034,7.786935446,12.28789747,185.3448874,34.65796074,24.60028948,53.7623136,12.70170592,44.55937476,24.83445188,127.6639766,1322.154016,252.6443782,0.003010999,1545.22611,2547.021617,340.544392,37.1899001,3942.206507,1.745989306,3.556521683,5.828405269,13.94648753,4.398970104,46.4043754,6.431024383,13.6157151,589.8765904,33.02866289,4.893302391,0.366072293,48.5012016,0.00454165,0.014282314,0.020076539,0.043639925,0.046912281,0.519109914,0.078886265,1.36157151,278.1406998,331.11281021,47.67621488,4.462788012,709.59717126,0.12221925142,1.92052170882,0.81597673766,1.2551838777,0.70383521664,0.928087508
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,382.8666667,21759.58333,52292.16667,1.33,11.33333333,125.0833333,31.91666667,28.5,1496.25,50.16666667,203.3333333,87.41666667,90.91666667,74.33333333,248.0833333,840.25,40802.66667,6037.25,0.148022999,9.208033383,20.78224038,13.74083717,8.639233973,127.3064485,34.22341924,17.30650605,47.77686457,60.62471493,79.60394386,60.54368571,91.05954595,1078.149453,98.40650847,0.003202734,4972.490853,6361.863436,1070.668936,59.55046887,4568.280308,1.171208352,7.052448962,18.80830619,83.1136075,19.01381163,121.9608593,35.64216716,19.65584023,1373.757336,96.22229039,10.73236296,0.237697509,27.82191253,0.012269219,0.06465722,0.176446353,1.204215632,0.109765839,0.839622095,0.676354366,1.965584023,895.04835354,827.04224668,149.89365104,7.1460562644,822.29045544,0.08198458464,3.80832243948,2.6331628666,7.480224675,3.0422098608,2.439217186
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,541.72,22119.4,57449,1.346,26.3,217.7,75.3,44.1,7994.7,144.2,213,137.5,74.1,47,349.4,793.2,38550.7,6177,0.160262792,22.63748121,27.90877998,27.37821518,17.53377693,1003.562881,53.02368444,38.55443482,51.66827954,26.91323508,37.44922488,106.5574441,107.0252307,967.395593,126.3232186,0.00242683,16457.36219,8442.247188,1962.99309,148.1529747,18556.10587,14.98993637,9.844407416,25.3957986,90.06087679,43.16823811,150.558177,40.9140318,21.79052633,3980.600316,102.4072847,30.40726253,0.305567488,33.23324312,0.050641414,0.040880493,0.092788179,0.829001857,0.83280191,2.59385652,0.917402906,2.179052633,2962.3251942,1097.49213444,274.8190326,17.778356964,3340.0990566,1.0492955459,5.31598000464,3.555411804,8.1054789111,6.9069180976,3.01116354
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,618.7,23491.90909,61638.18182,1.349090909,11.09090909,171.7272727,33.09090909,36.45454545,10621.27273,258.1818182,227.4545455,143,17.45454545,5.636363636,148.1818182,831.4545455,40697.09091,6303.272727,0.154934023,8.141922936,21.74898117,12.9340987,17.27057403,985.4789791,60.44802426,38.94448263,51.50145629,19.22167337,9.902249515,98.66794635,100.5160322,1249.597652,167.3362429,0.003348951,10808.43657,8467.75867,1538.231355,149.1109339,34440.81517,4.788646274,10.02079263,25.1006547,83.32372544,21.08188416,145.2111951,27.74345656,19.47346052,2190.076237,27.42631931,7.943023099,0.185893427,173.6494448,0.037728077,0.096502178,0.200410389,0.676115824,0.09353744,2.397227724,3.945793598,1.947346052,1945.5185826,1100.8086271,215.3523897,17.893312068,6199.3467306,0.33520523918,5.4112280202,3.514091658,7.4991352896,3.3731014656,2.904223902
"Bird Island","BI10","BI10.2",45,44,45,44.5,670.06,23876.4,60911.7,1.358,14.7,248,39.4,32,6755.8,189.9,219.5,142.2,265.8,47.9,369.7,866.8,42680.9,6658.3,0.156005654,7.572611468,30.23978248,14.82640288,16.00694294,1156.003537,73.9541149,38.77929001,30.11016809,53.05091894,51.60415573,85.43750152,126.1787092,801.7086545,145.3142572,0.002073748,66668.75515,10818.31417,3006.601666,498.7089785,25853.87296,6.375776882,9.325702706,12.41602198,63.36397587,138.1998527,165.8736664,60.55383697,26.28431951,13007.37375,94.24288942,14.09773486,6.046753704,38.38777974,0.021747503,0.028353619,0.076135345,0.318454995,2.068052956,2.61051165,6.691084732,2.628431951,12000.375927,1406.3808421,420.92423324,59.84507742,4653.6971328,0.44630438174,5.03587946124,1.7382430772,5.7027578283,22.111976432,3.317473328
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,800.2454545,24296.54545,57427.36364,1.319090909,10.18181818,201.4545455,13.90909091,34.81818182,1059.545455,61.54545455,235.4545455,125.0909091,3.272727273,31.63636364,301.6363636,927.1818182,45251.90909,6734.363636,0.148821988,8.412112479,15.58437446,14.03890698,16.98716093,180.1123892,35.1692014,31.43044268,36.71908099,10.8544084,61.23605593,99.87519485,95.6230288,298.8807302,161.2279583,0.003551217,2479.827204,6975.196896,301.0170716,55.70453095,26327.35852,17.04437568,9.672030755,30.70187991,154.2471074,5.28425398,110.8952002,6.355756988,15.13709242,632.4407929,67.76762951,3.519876752,0.688199618,199.5705658,0.072771457,0.061309265,0.12301453,0.912951267,0.054223017,2.069414432,0.110447115,1.513709242,446.36889672,906.77559648,42.142390024,6.684543714,4738.9245336,1.1931062976,5.2228966077,4.2982631874,13.882239666,0.8454806368,2.217904004
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,856.1454545,24361,56855.45455,1.398181818,6.090909091,175,8.454545455,33,848.8181818,34.90909091,242.6363636,129.4545455,13,28.27272727,142,922.1818182,45281,6665,0.147191486,7.751832628,17.37239189,9.277538859,15.54348738,82.92022453,34.7000131,31.40787394,54.47635016,22.21260903,36.03634529,97.45460482,63.17407408,466.7517541,176.81742,0.003572464,23399.21394,7326.374157,1904.013462,235.7531016,20544.92897,5.701846016,6.289145655,12.23274868,56.72463202,58.41930414,153.965778,31.40903404,22.36604891,3611.164788,349.9533771,92.77560752,13.60034647,1107.050592,0.226259322,1.766837081,0.369735042,1.511547748,1.652885172,1.949345735,0.597663272,2.236604891,4211.8585092,952.42864041,266.56188468,28.290372192,3698.0872146,0.39912922112,3.3961386537,1.7125848152,5.1052168818,9.3470886624,3.07931556
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,1005.718182,22100.09091,54142.18182,1.27,25.81818182,270.9090909,65.45454545,53,2591.363636,73.27272727,197,131.8181818,495.4545455,137.6363636,578.8181818,860.4545455,39740.27273,6298.272727,0.158576434,20.3951866,43.27922029,47.76685804,34.30160346,263.6502504,18.13334447,28.72281323,61.3413697,70.33116469,115.2347801,175.5829252,100.4752344,1545.351746,213.911239,0.004789498,867.9986358,5816.665099,225.6496719,36.54824658,2355.109726,1.54911114,7.635178907,44.61646774,109.0593506,3.560602291,97.81476508,6.255310392,12.20914471,403.6307052,70.73844961,2.024591047,0.120334052,9.689444316,0.010688746,0.081872982,0.152122701,0.741410788,0.038361736,1.178390202,0.136212551,1.220914471,156.239754444,756.16646287,31.590954066,4.3857895896,423.91975068,0.1084377798,4.12299660978,6.2463054836,9.815341554,0.56969636656,1.9562953016
