Parameter,Parameter description,Unit,Unit description
Location ,Location ,NA,
Site,Site name,NA,
Section,Core Section ID and number,NA,
Sample_ID,"Combined subsample site, section and subsample ID number ",NA,
Core_section,Section label on cores,NA,
Sample,Sample number ,NA,
Radius_1_cm,Long axis measurement of subsample slice,cm,
Radius_2_cm,Short axis meausrement of subsample slice,cm,
Thickness_cm,Thickness of the sample slice,cm,
section_depth_top,Minimum section depth of sample,cm,
section_depth_bottom,Maximum section depth of sample,cm,
section_depth_mid,Midpoint section depth of sample,cm,
field_depth_top,Minimum field stratigraphic depth of sample,cm,
field_depth_bottom,Maximum field stratigraphic depth of sample,cm,
field_depth_mid,Midpoint field stratigraphic depth of sample,cm,
strat_depth_top,Minimum stratigraphic (modified) depth of sample,cm,
strat_depth_bottom,Maximum stratigraphic (modified) depth of sample,cm,
strat_depth_mid,Midpoint  stratigraphic (modified) depth of sample,cm,
depth,Depth used in age depth model ,cm,
SH20_min_age_95CI,Southern Hemisphere (ShCal20) radiocarbon calibration minimum age (95% confidence interval),cal a BP,calendar years Before Present 
SH20_max_age_95CI,Southern Hemisphere (ShCal20) radiocarbon calibration maximum age (95% confidence interval),cal a BP,calendar years Before Present 
SH20_median_age,Southern Hemisphere (ShCal20) radiocarbon calibration median age,cal a BP,calendar years Before Present 
SH20_mean_age,Southern Hemisphere (ShCal20) radiocarbon calibration mean age,cal a BP,calendar years Before Present 
accrate_cmyr-1,Peat accumulation rate,cm a^-1,cm per year
Wet_bag_g,Sample + bag wet mass,g,
Dry_bag_g,Sample + bag dry mass,g,
Wet_mass_g,Sample wet mass,g,
Dry_mass_g,Sample dry mass,g,
Ash_Mass ,Sample mass after Loss-on-ignition at 550C for 4 hours,g,
Water_Content_pc,Water content ,%,percentage 
Dry_mass,Sample mass after freeze-drying or drying o/n at 110C,%,percentage 
LOI550,Loss-on-ignition at 550C for 4 hours,%,percentage 
C_content,Carbon content,%,percentage 
Volume_cm3,Sample volume,cm^3,
Wet_density_g_cm3,Subsample wet density,g cm^-3,
Dry_density_g_cm3,Subsample dry density,g cm^-3,
DMAR_g_cm2_yr,Dry mass acccumlation rate ,g cm^2 yr^-1,
